POW_GCCSA_CODE_2021,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
5GPER,14,39,6,20,72,3385,2029,203,471,6081,8986,43814,1727,830,55357,41175,45349,2667,1939,91133,66590,28719,4126,2136,101566,73061,31044,6442,2049,112599,75666,34721,5238,1669,117295,69614,30918,2879,1282,104693,69114,28204,2583,1196,101100,66282,26466,3130,1077,96952,54585,24931,3578,879,83971,35512,22656,3118,612,61890,13402,14231,1551,309,29495,3544,6931,507,175,11159,1106,3337,233,239,4916,578639,341328,37774,14394,972128
5RWAU,7,17,0,14,34,1200,606,124,206,2133,4369,8830,660,407,14263,12740,4728,978,551,19005,18159,5094,1653,669,25577,19838,6717,2279,632,29468,20551,7800,1927,606,30876,19730,7104,1546,521,28904,20903,6872,1643,485,29902,20891,6904,1954,487,30226,18302,6783,2045,428,27564,13119,6738,1813,321,21996,5271,4100,835,171,10385,1711,2086,245,132,4169,829,1220,154,183,2383,176427,74983,17727,5586,274718
59499,0,0,7,6,11,201,151,36,31,423,840,1191,116,66,2207,2433,2215,287,166,5104,3520,1889,384,172,5967,4287,2077,566,212,7141,4082,2231,466,156,6932,3538,2094,372,102,6109,3453,2234,402,117,6199,3498,2336,440,124,6396,2920,2347,489,86,5847,2013,2176,444,64,4703,758,1403,247,31,2433,213,657,119,27,1015,81,326,76,36,516,31634,23168,4409,1359,60566
59799,0,0,0,0,0,6,0,0,0,9,3,3,0,0,13,45,7,0,7,55,76,5,9,0,91,121,11,26,9,165,165,10,47,3,221,144,3,36,0,189,151,11,34,0,196,160,12,43,4,223,115,6,27,3,149,51,5,8,5,61,8,0,9,0,25,0,0,0,0,8,0,0,0,0,0,1046,77,235,27,1386
