POW_GCCSA_CODE_2021,Mng_Mng_nfd_M,Mng_Mng_nfd_F,Mng_Mng_nfd_P,Mng_ChiefEx_GMng_legs__M,Mng_ChiefEx_GMng_legs__F,Mng_ChiefEx_GMng_legs__P,Mng_Farmers_FMng_M,Mng_Farmers_FMng_F,Mng_Farmers_FMng_P,Mng_Spec_Mng_M,Mng_Spec_Mng_F,Mng_Spec_Mng_P,Mng_Hosp_ret_svce_Mng_M,Mng_Hosp_ret_svce_Mng_F,Mng_Hosp_ret_svce_Mng_P,Mng_Tot_M,Mng_Tot_F,Mng_Tot_P,Pro_Pro_nfd_M,Pro_Pro_nfd_F,Pro_Pro_nfd_P,Pro_Arts_media_Pro_M,Pro_Arts_media_Pro_F,Pro_Arts_media_Pro_P,Pro_Busin_HR_mkting_Pro_M,Pro_Busin_HR_mkting_Pro_F,Pro_Busin_HR_mkting_Pro_P,Pro_DesEng_sci_tspt_Pro_M,Pro_DesEng_sci_tspt_Pro_F,Pro_DesEng_sci_tspt_Pro_P,Pro_Educ_Pro_M,Pro_Educ_Pro_F,Pro_Educ_Pro_P,Pro_Health_Pro_M,Pro_Health_Pro_F,Pro_Health_Pro_P,Pro_Inf_Com_Tec_ICT_Pro_M,Pro_Inf_Com_Tec_ICT_Pro_F,Pro_Inf_Com_Tec_ICT_Pro_P,Pro_Leg_soc_welf_Pro_M,Pro_Leg_soc_welf_Pro_F,Pro_Leg_soc_welf_Pro_P,Pro_Tot_M,Pro_Tot_F,Pro_Tot_P,TecTW_TecTW_nfd_M,TecTW_TecTW_nfd_F,TecTW_TecTW_nfd_P,TecTW_Eng_ICT_STecs_M,TecTW_Eng_ICT_STecs_F,TecTW_Eng_ICT_STecs_P,TecTW_Auto_eng_tds_wks_M,TecTW_Auto_eng_tds_wks_F,TecTW_Auto_eng_tds_wks_P,TecTW_Const_tds_wks_M,TecTW_Const_tds_wks_F,TecTW_Const_tds_wks_P,TecTW_EleTec_telco_tds_wks_M,TecTW_EleTec_telco_tds_wks_F,TecTW_EleTec_telco_tds_wks_P,TecTW_Food_tds_wks_M,TecTW_Food_tds_wks_F,TecTW_Food_tds_wks_P,TecTW_Sk_ani_hort_wks_M,TecTW_Sk_ani_hort_wks_F,TecTW_Sk_ani_hort_wks_P,TecTW_Oth_TecTW_M,TecTW_Oth_TecTW_F,TecTW_Oth_TecTW_P,TecTW_Tot_M,TecTW_Tot_F,TecTW_Tot_P,CoPSW_CoPSW_nfd_M,CoPSW_CoPSW_nfd_F,CoPSW_CoPSW_nfd_P,CoPSW_HlthWlfSptWs_M,CoPSW_HlthWlfSptWs_F,CoPSW_HlthWlfSptWs_P,CoPSW_Carers_aides_M,CoPSW_Carers_aides_F,CoPSW_Carers_aides_P,CoPSW_Hosp_wks_M,CoPSW_Hosp_wks_F,CoPSW_Hosp_wks_P,CoPSW_ProtecSvcWks_M,CoPSW_ProtecSvcWks_F,CoPSW_ProtecSvcWks_P,CoPSW_SptsPsnlSvceWs_M,CoPSW_SptsPsnlSvceWs_F,CoPSW_SptsPsnlSvceWs_P,CoPSW_Tot_M,CoPSW_Tot_F,CoPSW_Tot_P,ClAW_ClAW_nfd_M,ClAW_ClAW_nfd_F,ClAW_ClAW_nfd_P,ClAW_OfMngs_ProgAdm_M,ClAW_OfMngs_ProgAdm_F,ClAW_OfMngs_ProgAdm_P,ClAW_PsnlAs_secretaries_M,ClAW_PsnlAs_secretaries_F,ClAW_PsnlAs_secretaries_P,ClAW_GnrlClerWs_M,ClAW_GnrlClerWs_F,ClAW_GnrlClerWs_P,ClAW_InqClks_recepts_M,ClAW_InqClks_recepts_F,ClAW_InqClks_recepts_P,ClAW_Num_clerks_M,ClAW_Num_clerks_F,ClAW_Num_clerks_P,ClAW_Clerl_OfSuptWs_M,ClAW_Clerl_OfSuptWs_F,ClAW_Clerl_OfSuptWs_P,ClAW_Oth_ClAW_M,ClAW_Oth_ClAW_F,ClAW_Oth_ClAW_P,ClAW_Tot_M,ClAW_Tot_F,ClAW_Tot_P,SWs_SWs_nfd_M,SWs_SWs_nfd_F,SWs_SWs_nfd_P,SWs_Sales_reps_agnts_M,SWs_Sales_reps_agnts_F,SWs_Sales_reps_agnts_P,SWs_SalesAs_SalesPsns_M,SWs_SalesAs_SalesPsns_F,SWs_SalesAs_SalesPsns_P,SWs_SalesSptWks_M,SWs_SalesSptWks_F,SWs_SalesSptWks_P,SWs_Tot_M,SWs_Tot_F,SWs_Tot_P,MaOpD_MaOpD_nfd_M,MaOpD_MaOpD_nfd_F,MaOpD_MaOpD_nfd_P,MaOpD_Ma_StatPlntOps_M,MaOpD_Ma_StatPlntOps_F,MaOpD_Ma_StatPlntOps_P,MaOpD_MobPlntOps_M,MaOpD_MobPlntOps_F,MaOpD_MobPlntOps_P,MaOpD_RoadRail_dvrs_M,MaOpD_RoadRail_dvrs_F,MaOpD_RoadRail_dvrs_P,MaOpD_StorPsns_M,MaOpD_StorPsns_F,MaOpD_StorPsns_P,MaOpD_Tot_M,MaOpD_Tot_F,MaOpD_Tot_P,Lab_Lab_nfd_M,Lab_Lab_nfd_F,Lab_Lab_nfd_P,Lab_Clnrs_lndryWs_M,Lab_Clnrs_lndryWs_F,Lab_Clnrs_lndryWs_P,Lab_Const_and_Min_Lab_M,Lab_Const_and_Min_Lab_F,Lab_Const_and_Min_Lab_P,Lab_Factory_ProcWs_M,Lab_Factory_ProcWs_F,Lab_Factory_ProcWs_P,Lab_FarmFrstyGrdnWs_M,Lab_FarmFrstyGrdnWs_F,Lab_FarmFrstyGrdnWs_P,Lab_Food_prep_asts_M,Lab_Food_prep_asts_F,Lab_Food_prep_asts_P,Lab_Oth_Lab_M,Lab_Oth_Lab_F,Lab_Oth_Lab_P,Lab_Tot_M,Lab_Tot_F,Lab_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,NS_M,NS_F,NS_P,Tot_M,Tot_F,Tot_P
5GPER,3202,1493,4693,9208,2960,12166,1191,524,1714,41943,24261,66203,17519,17392,34916,73066,46627,119691,1533,1747,3282,2561,2840,5405,27157,29669,56828,29561,12114,41673,12362,31646,44004,12869,39755,52622,13561,3312,16872,6239,12540,18778,105844,133620,239460,2371,226,2597,18280,7425,25709,29261,737,29998,16852,345,17191,15116,484,15597,9196,4998,14195,4863,3414,8274,7595,7725,15317,103532,25348,128885,76,206,283,2854,9587,12439,6497,46373,52871,7074,16684,23755,11673,3229,14899,5213,11303,16520,33380,87382,120762,157,461,616,6059,15931,21988,216,6243,6459,2869,20322,23187,2753,19622,22377,4799,21536,26334,3913,2856,6766,9373,11567,20943,30145,98537,128674,120,157,275,6990,6211,13201,20010,35744,55757,3243,9467,12708,30364,51581,81942,1064,67,1137,11659,2373,14033,6983,427,7411,21773,2023,23797,9015,2371,11384,50492,7266,57760,1121,245,1363,7301,12356,19663,9162,350,9508,6904,4051,10954,2756,1328,4079,8348,7866,16213,13093,4292,17388,48680,30483,79166,5661,3782,9436,3559,2790,6346,484720,487405,972128
5RWAU,655,345,996,1225,589,1814,9208,3510,12717,7715,4113,11827,4355,5039,9395,23157,13591,36747,120,159,282,372,569,941,2338,3166,5512,7403,2250,9652,2645,7580,10225,2683,7492,10170,492,91,584,851,2182,3038,16899,23490,40391,773,60,832,7702,2000,9696,18811,574,19382,4825,73,4894,7300,289,7587,2501,1690,4189,2022,1003,3024,1833,1670,3502,45763,7363,53118,17,51,63,741,2682,3416,1348,10646,11998,990,3814,4799,2904,860,3768,653,2024,2672,6645,20073,26721,28,88,116,940,3569,4509,33,1118,1149,375,5633,6009,242,4059,4309,423,4562,4986,519,678,1195,1870,1931,3800,4431,21633,26061,22,30,52,929,1150,2082,4020,8447,12466,611,2011,2619,5579,11639,17220,632,92,724,15743,2433,18179,4092,393,4480,9159,2057,11215,1415,424,1835,31047,5396,36441,506,135,636,1956,5984,7943,4857,314,5171,2221,1144,3363,4155,1619,5771,1581,2172,3747,4677,1641,6317,19944,13004,32945,2023,847,2866,1219,988,2204,156698,118021,274718
59499,145,67,206,220,108,328,280,121,403,1606,445,2051,451,315,774,2704,1059,3764,42,47,85,392,308,699,614,569,1184,1046,253,1293,383,731,1113,354,774,1128,294,40,332,195,492,682,3305,3216,6520,246,11,258,1202,191,1393,2445,64,2515,8801,162,8965,2680,54,2735,214,106,316,1449,389,1840,417,317,731,17457,1301,18753,10,30,39,143,387,531,644,3423,4065,71,202,270,507,105,611,527,698,1226,1891,4848,6741,6,12,14,133,201,338,3,109,115,51,380,428,42,147,191,78,467,544,432,171,597,214,140,350,955,1631,2582,5,0,5,377,292,673,336,481,818,102,548,651,818,1324,2143,74,13,86,2168,195,2363,926,42,969,3462,564,4020,126,20,150,6751,834,7579,168,26,191,1202,2608,3812,3413,117,3532,158,61,219,888,165,1056,82,80,164,1865,268,2135,7777,3327,11109,643,222,863,300,211,510,42601,17965,60566
59799,3,0,4,0,0,0,0,0,0,28,0,34,13,3,18,46,9,61,0,0,0,0,0,0,8,4,6,181,9,194,3,0,3,14,7,19,0,0,3,4,0,4,209,24,233,31,0,30,101,0,104,129,0,131,16,0,16,83,5,80,38,10,48,0,0,0,111,11,120,507,24,528,0,0,0,3,4,4,0,0,0,4,8,15,14,4,15,8,7,9,29,18,45,0,0,0,5,0,5,0,0,0,3,5,13,0,0,0,0,0,0,0,0,0,26,3,27,29,12,42,0,0,0,0,0,0,5,0,6,0,0,0,5,0,6,0,4,4,134,5,139,3,0,5,17,6,18,8,0,8,158,12,168,0,5,4,17,16,34,100,0,100,4,0,4,0,0,0,0,3,10,95,9,98,229,31,258,23,6,32,13,3,7,1240,144,1386
