POW_GCCSA_CODE_2021,Lab_1_149_H_0,Lab_1_149_H_1_19,Lab_1_149_H_20_29,Lab_1_149_H_30_34,Lab_1_149_H_35_39,Lab_1_149_H_40_44,Lab_1_149_H_45_49,Lab_1_149_H_50ov,Lab_1_149_H_NS,Lab_1_149_H_Tot,Lab_150_299_H_0,Lab_150_299_H_1_19,Lab_150_299_H_20_29,Lab_150_299_H_30_34,Lab_150_299_H_35_39,Lab_150_299_H_40_44,Lab_150_299_H_45_49,Lab_150_299_H_50ov,Lab_150_299_H_NS,Lab_150_299_H_Tot,Lab_300_399_H_0,Lab_300_399_H_1_19,Lab_300_399_H_20_29,Lab_300_399_H_30_34,Lab_300_399_H_35_39,Lab_300_399_H_40_44,Lab_300_399_H_45_49,Lab_300_399_H_50ov,Lab_300_399_H_NS,Lab_300_399_H_Tot,Lab_400_499_H_0,Lab_400_499_H_1_19,Lab_400_499_H_20_29,Lab_400_499_H_30_34,Lab_400_499_H_35_39,Lab_400_499_H_40_44,Lab_400_499_H_45_49,Lab_400_499_H_50ov,Lab_400_499_H_NS,Lab_400_499_H_Tot,Lab_500_649_H_0,Lab_500_649_H_1_19,Lab_500_649_H_20_29,Lab_500_649_H_30_34,Lab_500_649_H_35_39,Lab_500_649_H_40_44,Lab_500_649_H_45_49,Lab_500_649_H_50ov,Lab_500_649_H_NS,Lab_500_649_H_Tot,Lab_650_799_H_0,Lab_650_799_H_1_19,Lab_650_799_H_20_29,Lab_650_799_H_30_34,Lab_650_799_H_35_39,Lab_650_799_H_40_44,Lab_650_799_H_45_49,Lab_650_799_H_50ov,Lab_650_799_H_NS,Lab_650_799_H_Tot,Lab_800_999_H_0,Lab_800_999_H_1_19,Lab_800_999_H_20_29,Lab_800_999_H_30_34,Lab_800_999_H_35_39,Lab_800_999_H_40_44,Lab_800_999_H_45_49,Lab_800_999_H_50ov,Lab_800_999_H_NS,Lab_800_999_H_Tot,Lab_1000_1249_H_0,Lab_1000_1249_H_1_19,Lab_1000_1249_H_20_29,Lab_1000_1249_H_30_34,Lab_1000_1249_H_35_39,Lab_1000_1249_H_40_44,Lab_1000_1249_H_45_49,Lab_1000_1249_H_50ov,Lab_1000_1249_H_NS,Lab_1000_1249_H_Tot,Lab_1250_1499_H_0,Lab_1250_1499_H_1_19,Lab_1250_1499_H_20_29,Lab_1250_1499_H_30_34,Lab_1250_1499_H_35_39,Lab_1250_1499_H_40_44,Lab_1250_1499_H_45_49,Lab_1250_1499_H_50ov,Lab_1250_1499_H_NS,Lab_1250_1499_H_Tot,Lab_1500_1749_H_0,Lab_1500_1749_H_1_19,Lab_1500_1749_H_20_29,Lab_1500_1749_H_30_34,Lab_1500_1749_H_35_39,Lab_1500_1749_H_40_44,Lab_1500_1749_H_45_49,Lab_1500_1749_H_50ov,Lab_1500_1749_H_NS,Lab_1500_1749_H_Tot,Lab_1750_1999_H_0,Lab_1750_1999_H_1_19,Lab_1750_1999_H_20_29,Lab_1750_1999_H_30_34,Lab_1750_1999_H_35_39,Lab_1750_1999_H_40_44,Lab_1750_1999_H_45_49,Lab_1750_1999_H_50ov,Lab_1750_1999_H_NS,Lab_1750_1999_H_Tot,Lab_2000_2999_H_0,Lab_2000_2999_H_1_19,Lab_2000_2999_H_20_29,Lab_2000_2999_H_30_34,Lab_2000_2999_H_35_39,Lab_2000_2999_H_40_44,Lab_2000_2999_H_45_49,Lab_2000_2999_H_50ov,Lab_2000_2999_H_NS,Lab_2000_2999_H_Tot,Lab_3000_3499_H_0,Lab_3000_3499_H_1_19,Lab_3000_3499_H_20_29,Lab_3000_3499_H_30_34,Lab_3000_3499_H_35_39,Lab_3000_3499_H_40_44,Lab_3000_3499_H_45_49,Lab_3000_3499_H_50ov,Lab_3000_3499_H_NS,Lab_3000_3499_H_Tot,Lab_3500mo_H_0,Lab_3500mo_H_1_19,Lab_3500mo_H_20_29,Lab_3500mo_H_30_34,Lab_3500mo_H_35_39,Lab_3500mo_H_40_44,Lab_3500mo_H_45_49,Lab_3500mo_H_50ov,Lab_3500mo_H_NS,Lab_3500mo_H_Tot,Lab_PINS_H_0,Lab_PINS_H_1_19,Lab_PINS_H_20_29,Lab_PINS_H_30_34,Lab_PINS_H_35_39,Lab_PINS_H_40_44,Lab_PINS_H_45_49,Lab_PINS_H_50ov,Lab_PINS_H_NS,Lab_PINS_H_Tot,Lab_Tot_H_0,Lab_Tot_H_1_19,Lab_Tot_H_20_29,Lab_Tot_H_30_34,Lab_Tot_H_35_39,Lab_Tot_H_40_44,Lab_Tot_H_45_49,Lab_Tot_H_50ov,Lab_Tot_H_NS,Lab_Tot_H_Tot,OIDNS_NNI_H_0,OIDNS_NNI_H_1_19,OIDNS_NNI_H_20_29,OIDNS_NNI_H_30_34,OIDNS_NNI_H_35_39,OIDNS_NNI_H_40_44,OIDNS_NNI_H_45_49,OIDNS_NNI_H_50ov,OIDNS_NNI_H_NS,OIDNS_NNI_H_Tot,OIDNS_1_149_H_0,OIDNS_1_149_H_1_19,OIDNS_1_149_H_20_29,OIDNS_1_149_H_30_34,OIDNS_1_149_H_35_39,OIDNS_1_149_H_40_44,OIDNS_1_149_H_45_49,OIDNS_1_149_H_50ov,OIDNS_1_149_H_NS,OIDNS_1_149_H_Tot,OIDNS_150_299_H_0,OIDNS_150_299_H_1_19,OIDNS_150_299_H_20_29,OIDNS_150_299_H_30_34,OIDNS_150_299_H_35_39,OIDNS_150_299_H_40_44,OIDNS_150_299_H_45_49,OIDNS_150_299_H_50ov,OIDNS_150_299_H_NS,OIDNS_150_299_H_Tot,OIDNS_300_399_H_0,OIDNS_300_399_H_1_19,OIDNS_300_399_H_20_29,OIDNS_300_399_H_30_34,OIDNS_300_399_H_35_39,OIDNS_300_399_H_40_44,OIDNS_300_399_H_45_49,OIDNS_300_399_H_50ov,OIDNS_300_399_H_NS,OIDNS_300_399_H_Tot
5GPER,376,5954,273,37,18,15,4,11,53,6742,210,4780,721,118,66,42,15,29,74,6057,180,3427,1229,231,111,78,16,36,96,5404,191,2819,2289,404,205,133,36,56,96,6230,267,2445,3642,1154,667,375,75,151,114,8891,268,1399,2332,1810,2208,989,151,273,159,9579,300,900,1394,1411,3628,2409,462,586,189,11285,291,570,675,730,2775,2854,754,1031,144,9827,191,214,272,332,1096,1392,499,1011,72,5080,173,126,126,136,566,824,370,961,47,3332,121,55,71,81,265,426,216,763,38,2041,274,70,78,66,281,451,239,1105,50,2621,54,30,9,12,38,50,30,189,12,413,39,44,30,11,29,52,20,149,13,388,15,130,67,32,63,57,9,43,207,621,3038,23294,13280,6597,12056,10165,2902,6431,1406,79166,60,64,11,12,19,21,5,31,198,426,32,238,19,8,12,8,0,11,127,452,29,217,39,6,6,8,0,19,131,441,34,161,75,19,13,14,12,13,152,492
5RWAU,130,1433,77,9,7,15,10,19,32,1733,78,1115,204,54,25,20,8,20,34,1555,79,961,324,88,58,43,13,51,43,1647,89,857,537,138,98,61,9,42,48,1888,125,780,924,365,274,169,59,146,62,2905,145,481,741,595,706,456,107,242,85,3555,149,305,429,490,1158,1037,294,543,85,4494,193,229,232,285,859,1105,407,1004,77,4383,184,114,108,107,342,612,296,1135,56,2959,134,83,82,73,193,346,211,983,37,2138,113,55,46,32,101,195,125,861,29,1554,228,76,77,47,134,186,157,1566,56,2513,54,20,12,7,24,33,36,296,13,490,43,35,29,11,9,22,18,233,14,415,14,43,35,25,31,40,15,75,92,377,1790,6717,3901,2353,4022,4368,1763,7268,768,32945,36,22,3,0,4,11,0,16,90,188,10,63,0,0,0,0,3,5,50,141,13,42,10,7,3,6,0,3,67,152,24,41,23,8,0,4,4,9,68,180
59499,32,319,17,3,0,3,0,0,5,386,38,471,64,17,3,6,5,10,5,621,43,454,127,29,19,9,6,10,18,712,29,418,234,61,30,30,8,20,10,826,53,358,373,122,64,68,10,26,21,1092,40,235,282,169,139,140,30,73,16,1132,51,179,219,174,246,201,56,119,14,1264,79,119,151,159,217,355,96,218,29,1429,57,60,77,103,113,236,84,241,10,977,51,38,41,43,98,172,70,284,12,808,51,20,33,27,44,86,70,250,10,595,94,28,27,32,48,98,36,398,10,769,27,0,3,3,9,15,10,90,8,155,15,9,4,4,4,9,16,56,3,116,5,19,9,9,6,11,3,13,30,100,681,2788,1676,947,1048,1444,492,1825,215,11109,9,5,0,0,6,3,0,11,27,63,0,12,0,0,0,0,0,0,5,31,3,8,6,0,0,0,0,0,10,37,3,12,0,4,0,5,0,0,15,50
59799,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,12,0,16,4,0,0,0,3,3,0,13,0,18,16,0,0,0,0,5,3,72,3,107,4,0,0,0,3,0,0,21,0,34,3,0,0,0,0,0,0,22,0,28,0,0,0,0,4,0,0,0,0,6,37,6,3,5,11,4,4,167,9,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
