POW_GCCSA_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
5GPER,3158,8881,16233,13781,28552,17345,3507,4863,1341,97653,4037,6602,12540,12276,37725,30980,7260,9805,1410,122633,3652,3719,7275,8050,29422,28403,7992,11676,936,101119,3696,3047,4907,6400,23997,26891,8343,14235,801,92314,3055,1844,2822,3841,16176,20763,6979,13441,572,69480,5692,2912,3923,4948,24823,38705,14313,31199,834,127348,1225,881,987,1072,3960,9151,3679,9394,206,30558,1874,1645,1985,1994,4858,14861,6573,20750,323,54850,194,758,598,378,961,1144,282,812,3511,8643,37774,145960,119574,75796,191813,202258,61921,122645,14394,972128
5RWAU,1028,1967,3333,3405,6091,4600,1221,2700,436,24779,1412,1578,2442,2675,7005,7143,2312,5148,490,30202,1316,991,1390,1561,4861,5728,2203,6207,373,24636,1492,890,1076,1247,3931,5272,2357,7992,341,24585,1535,604,644,749,2735,4320,2074,8719,334,21711,4132,1300,1314,899,4070,7233,4832,24077,606,48459,1303,385,376,216,729,1491,1501,8254,198,14447,1552,523,490,333,741,1750,1628,9295,217,16537,176,283,216,136,218,338,114,746,1041,3277,17727,31902,25622,17457,36201,42735,19563,77921,5586,274718
59499,327,820,1120,808,993,1068,262,548,113,6056,394,604,829,829,1268,1789,459,951,139,7263,335,335,449,504,964,1636,483,1155,91,5954,359,249,289,353,762,1431,490,1500,85,5518,320,148,192,188,454,951,363,1408,62,4081,756,241,227,238,534,1173,532,3273,102,7083,254,56,50,43,112,227,122,984,32,1875,332,112,99,73,111,275,127,1076,42,2245,57,68,41,30,57,91,28,135,274,776,4409,11147,7411,4605,6534,10124,3133,11844,1359,60566
59799,3,0,0,0,3,3,0,10,0,18,3,0,0,4,9,3,3,22,0,54,3,0,0,0,0,3,0,19,6,33,6,0,0,0,0,4,3,41,3,65,8,0,0,0,4,11,3,49,0,89,55,5,11,4,7,10,8,221,3,321,33,5,0,0,3,5,5,146,3,198,113,8,3,5,6,22,9,371,5,525,0,0,0,0,4,0,0,9,3,18,235,39,21,17,40,63,31,905,27,1386
