POW_GCCSA_CODE_2021,Tot_150_299_A_55_64,Tot_150_299_A_65_74,Tot_150_299_A_75ov,Tot_150_299_Tot,Tot_300_399_A_15_19,Tot_300_399_A_20_24,Tot_300_399_A_25_34,Tot_300_399_A_35_44,Tot_300_399_A_45_54,Tot_300_399_A_55_64,Tot_300_399_A_65_74,Tot_300_399_A_75ov,Tot_300_399_Tot,Tot_400_499_A_15_19,Tot_400_499_A_20_24,Tot_400_499_A_25_34,Tot_400_499_A_35_44,Tot_400_499_A_45_54,Tot_400_499_A_55_64,Tot_400_499_A_65_74,Tot_400_499_A_75ov,Tot_400_499_Tot,Tot_500_649_A_15_19,Tot_500_649_A_20_24,Tot_500_649_A_25_34,Tot_500_649_A_35_44,Tot_500_649_A_45_54,Tot_500_649_A_55_64,Tot_500_649_A_65_74,Tot_500_649_A_75ov,Tot_500_649_Tot,Tot_650_799_A_15_19,Tot_650_799_A_20_24,Tot_650_799_A_25_34,Tot_650_799_A_35_44,Tot_650_799_A_45_54,Tot_650_799_A_55_64,Tot_650_799_A_65_74,Tot_650_799_A_75ov,Tot_650_799_Tot,Tot_800_999_A_15_19,Tot_800_999_A_20_24,Tot_800_999_A_25_34,Tot_800_999_A_35_44,Tot_800_999_A_45_54,Tot_800_999_A_55_64,Tot_800_999_A_65_74,Tot_800_999_A_75ov,Tot_800_999_Tot,Tot_1000_1249_A_15_19,Tot_1000_1249_A_20_24,Tot_1000_1249_A_25_34,Tot_1000_1249_A_35_44,Tot_1000_1249_A_45_54,Tot_1000_1249_A_55_64,Tot_1000_1249_A_65_74,Tot_1000_1249_A_75ov,Tot_1000_1249_Tot,Tot_1250_1499_A_15_19,Tot_1250_1499_A_20_24,Tot_1250_1499_A_25_34,Tot_1250_1499_A_35_44,Tot_1250_1499_A_45_54,Tot_1250_1499_A_55_64,Tot_1250_1499_A_65_74,Tot_1250_1499_A_75ov,Tot_1250_1499_Tot,Tot_1500_1749_A_15_19,Tot_1500_1749_A_20_24,Tot_1500_1749_A_25_34,Tot_1500_1749_A_35_44,Tot_1500_1749_A_45_54,Tot_1500_1749_A_55_64,Tot_1500_1749_A_65_74,Tot_1500_1749_A_75ov,Tot_1500_1749_Tot,Tot_1750_1999_A_15_19,Tot_1750_1999_A_20_24,Tot_1750_1999_A_25_34,Tot_1750_1999_A_35_44,Tot_1750_1999_A_45_54,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000_3499_A_15_19,Tot_3000_3499_A_20_24,Tot_3000_3499_A_25_34,Tot_3000_3499_A_35_44,Tot_3000_3499_A_45_54,Tot_3000_3499_A_55_64,Tot_3000_3499_A_65_74,Tot_3000_3499_A_75ov,Tot_3000_3499_Tot,Tot_3500mo_A_15_19,Tot_3500mo_A_20_24,Tot_3500mo_A_25_34,Tot_3500mo_A_35_44,Tot_3500mo_A_45_54,Tot_3500mo_A_55_64,Tot_3500mo_A_65_74,Tot_3500mo_A_75ov,Tot_3500mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
5GPER,2351,1095,206,31742,5516,7386,5003,4643,3681,3515,1626,304,31673,4499,7995,6869,5753,5004,4775,2133,419,37451,4610,11422,12066,10198,9214,8227,3587,609,59935,2997,12461,16543,14087,11988,10156,3797,475,72500,2032,13940,25489,19830,17728,13860,4297,481,97653,1019,12275,34028,27230,23682,19040,4905,458,122633,353,7240,29219,24178,20459,15564,3813,299,101119,178,3792,25640,23723,20252,15017,3419,296,92314,72,1519,17526,19302,16963,11437,2493,173,69480,66,1504,25185,39204,34577,22163,4307,346,127348,19,208,4639,9861,9048,5467,1202,117,30558,40,199,4454,16570,19151,11226,2783,443,54850,507,1114,1759,1600,1780,1374,386,122,8643,55357,91133,214168,221994,198052,145866,40652,4916,972128
5RWAU,884,508,125,6549,924,574,1011,1238,1094,1297,724,163,7021,1130,765,1319,1509,1533,1720,849,204,9033,1587,1569,2446,2709,2781,2721,1386,299,15505,1243,2428,3537,3465,3586,3328,1294,233,19109,871,3111,5219,4667,4866,4361,1459,235,24779,555,2871,6679,6014,6394,5816,1665,206,30202,277,2100,5679,5274,5365,4581,1206,155,24636,167,1520,5809,5521,5758,4659,1035,109,24585,87,1032,4887,5205,5331,4113,936,111,21711,96,1658,10736,12712,12606,8867,1645,140,48459,10,272,3089,4207,3822,2568,438,46,14447,25,159,2580,4972,4809,3152,726,115,16537,196,248,568,576,654,684,231,117,3277,14263,19005,55048,59779,60131,49553,14554,2383,274718
59499,350,152,31,2176,190,340,400,430,451,491,216,42,2562,254,398,517,479,551,616,299,68,3175,349,547,770,737,838,892,413,59,4604,186,652,929,894,1036,926,407,60,5089,127,646,1317,1193,1233,1109,385,63,6056,75,576,1850,1528,1485,1323,395,29,7263,42,401,1513,1374,1306,1035,263,26,5954,37,294,1424,1336,1221,977,206,28,5518,19,183,996,1118,937,661,154,6,4081,13,283,1813,1939,1690,1086,238,21,7083,0,42,455,556,470,267,70,8,1875,4,39,391,670,616,410,94,22,2245,38,72,153,122,168,159,56,19,776,2207,5104,13102,13038,12601,10552,3447,516,60566
59799,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,4,3,4,0,0,0,11,0,0,0,0,0,3,0,0,10,0,6,6,5,0,3,0,0,14,0,4,7,3,3,0,0,0,18,7,10,17,14,10,5,0,0,54,0,4,15,3,7,5,0,0,33,0,5,9,16,17,9,4,0,65,0,11,19,24,20,13,0,0,89,0,9,67,96,99,41,7,0,321,0,5,38,69,58,33,3,0,198,0,3,73,169,188,89,5,0,525,0,3,3,0,5,0,0,0,18,13,55,252,411,418,212,28,0,1386
