POW_GCCSA_CODE_2021,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot,LG_1000_1249_Mng,LG_1000_1249_Pro,LG_1000_1249_TecTW,LG_1000_1249_CoPSW,LG_1000_1249_ClAW,LG_1000_1249_SWks,LG_1000_1249_MaOpDv,LG_1000_1249_Lab,LG_1000_1249_IDNS,LG_1000_1249_Tot,LG_1250_1499_Mng,LG_1250_1499_Pro,LG_1250_1499_TecTW,LG_1250_1499_CoPSW,LG_1250_1499_ClAW,LG_1250_1499_SWks,LG_1250_1499_MaOpDv,LG_1250_1499_Lab,LG_1250_1499_IDNS,LG_1250_1499_Tot,LG_1500_1749_Mng,LG_1500_1749_Pro,LG_1500_1749_TecTW,LG_1500_1749_CoPSW,LG_1500_1749_ClAW,LG_1500_1749_SWks,LG_1500_1749_MaOpDv,LG_1500_1749_Lab,LG_1500_1749_IDNS,LG_1500_1749_Tot,LG_1750_1999_Mng,LG_1750_1999_Pro,LG_1750_1999_TecTW,LG_1750_1999_CoPSW,LG_1750_1999_ClAW,LG_1750_1999_SWks,LG_1750_1999_MaOpDv,LG_1750_1999_Lab,LG_1750_1999_IDNS,LG_1750_1999_Tot,LG_2000_2999_Mng,LG_2000_2999_Pro,LG_2000_2999_TecTW,LG_2000_2999_CoPSW,LG_2000_2999_ClAW,LG_2000_2999_SWks,LG_2000_2999_MaOpDv,LG_2000_2999_Lab,LG_2000_2999_IDNS,LG_2000_2999_Tot,LG_3000_3499_Mng,LG_3000_3499_Pro,LG_3000_3499_TecTW,LG_3000_3499_CoPSW,LG_3000_3499_ClAW,LG_3000_3499_SWks,LG_3000_3499_MaOpDv,LG_3000_3499_Lab,LG_3000_3499_IDNS,LG_3000_3499_Tot,LG_3500mo_Mng,LG_3500mo_Pro,LG_3500mo_TecTW,LG_3500mo_CoPSW,LG_3500mo_ClAW,LG_3500mo_SWks,LG_3500mo_MaOpDv,LG_3500mo_Lab,LG_3500mo_IDNS,LG_3500mo_Tot,LG_PINS_Mng,LG_PINS_Pro,LG_PINS_TecTW,LG_PINS_CoPSW,LG_PINS_ClAW,LG_PINS_SWks,LG_PINS_MaOpDv,LG_PINS_Lab,LG_PINS_IDNS,LG_PINS_Tot,LG_Tot_Mng,LG_Tot_Pro,LG_Tot_TecTW,LG_Tot_CoPSW,LG_Tot_ClAW,LG_Tot_SWks,LG_Tot_MaOpDv,LG_Tot_Lab,LG_Tot_IDNS,LG_Tot_Tot,Pvte_NNI_Mng,Pvte_NNI_Pro,Pvte_NNI_TecTW,Pvte_NNI_CoPSW,Pvte_NNI_ClAW,Pvte_NNI_SWks,Pvte_NNI_MaOpDv,Pvte_NNI_Lab,Pvte_NNI_IDNS,Pvte_NNI_Tot,Pvte_1_149_Mng,Pvte_1_149_Pro,Pvte_1_149_TecTW,Pvte_1_149_CoPSW,Pvte_1_149_ClAW,Pvte_1_149_SWks,Pvte_1_149_MaOpDv,Pvte_1_149_Lab,Pvte_1_149_IDNS,Pvte_1_149_Tot,Pvte_150_299_Mng,Pvte_150_299_Pro,Pvte_150_299_TecTW,Pvte_150_299_CoPSW,Pvte_150_299_ClAW,Pvte_150_299_SWks,Pvte_150_299_MaOpDv,Pvte_150_299_Lab,Pvte_150_299_IDNS,Pvte_150_299_Tot,Pvte_300_399_Mng,Pvte_300_399_Pro,Pvte_300_399_TecTW,Pvte_300_399_CoPSW,Pvte_300_399_ClAW,Pvte_300_399_SWks,Pvte_300_399_MaOpDv,Pvte_300_399_Lab,Pvte_300_399_IDNS,Pvte_300_399_Tot,Pvte_400_499_Mng,Pvte_400_499_Pro,Pvte_400_499_TecTW,Pvte_400_499_CoPSW,Pvte_400_499_ClAW,Pvte_400_499_SWks,Pvte_400_499_MaOpDv,Pvte_400_499_Lab,Pvte_400_499_IDNS,Pvte_400_499_Tot,Pvte_500_649_Mng,Pvte_500_649_Pro,Pvte_500_649_TecTW,Pvte_500_649_CoPSW,Pvte_500_649_ClAW,Pvte_500_649_SWks,Pvte_500_649_MaOpDv,Pvte_500_649_Lab,Pvte_500_649_IDNS,Pvte_500_649_Tot,Pvte_650_799_Mng,Pvte_650_799_Pro,Pvte_650_799_TecTW,Pvte_650_799_CoPSW,Pvte_650_799_ClAW,Pvte_650_799_SWks,Pvte_650_799_MaOpDv,Pvte_650_799_Lab,Pvte_650_799_IDNS,Pvte_650_799_Tot,Pvte_800_999_Mng,Pvte_800_999_Pro,Pvte_800_999_TecTW,Pvte_800_999_CoPSW,Pvte_800_999_ClAW,Pvte_800_999_SWks,Pvte_800_999_MaOpDv,Pvte_800_999_Lab,Pvte_800_999_IDNS,Pvte_800_999_Tot,Pvte_1000_1249_Mng,Pvte_1000_1249_Pro,Pvte_1000_1249_TecTW,Pvte_1000_1249_CoPSW,Pvte_1000_1249_ClAW,Pvte_1000_1249_SWks,Pvte_1000_1249_MaOpDv,Pvte_1000_1249_Lab,Pvte_1000_1249_IDNS,Pvte_1000_1249_Tot
5GPER,36,95,91,110,248,20,6,40,9,660,51,167,147,120,281,4,39,124,17,946,88,202,339,139,538,15,191,365,38,1902,141,397,366,140,761,7,177,177,32,2192,202,687,299,150,511,10,83,98,45,2094,198,564,159,62,222,5,34,25,36,1300,430,568,94,48,145,3,19,18,21,1346,119,52,6,7,15,5,3,0,7,208,233,39,6,9,13,0,0,0,5,293,10,12,0,6,16,0,9,10,3,62,1538,2883,1616,1333,3057,147,583,951,208,12305,761,569,524,561,622,594,196,625,185,4642,522,1643,860,5883,1335,10014,817,6640,216,27922,901,2202,1618,6707,2440,8777,1199,5801,232,29877,1244,2409,2655,6524,3140,6786,1276,5025,230,29290,1497,2647,4039,7581,4071,6908,1566,5811,261,34388,2697,4628,7079,11980,7251,9104,2588,8216,458,54006,3872,6066,9410,13379,9596,8553,3987,8771,542,64168,6747,9281,13493,14576,13915,8021,8363,10381,867,85639,10474,16098,18510,12882,18663,6782,10464,8701,1101,103674
5RWAU,26,41,45,52,105,6,26,63,3,364,44,60,73,54,180,3,120,123,11,664,53,100,162,66,352,16,230,208,19,1192,85,144,141,54,294,10,132,106,17,975,126,181,101,50,175,0,65,48,20,756,119,140,55,25,94,0,17,22,13,488,299,129,56,22,91,0,20,15,7,634,72,12,3,0,7,0,0,0,0,102,99,4,4,4,12,0,0,0,0,129,3,6,4,4,9,0,7,9,0,40,966,869,709,510,1492,43,630,718,112,6059,791,101,171,122,138,130,121,316,77,1959,341,209,268,1100,272,2191,153,1689,52,6289,623,383,416,938,510,1362,235,1447,63,5969,749,419,637,933,690,1014,278,1512,74,6300,920,478,1069,1290,921,1217,353,1715,72,8047,1559,799,1963,2243,1709,2005,656,2665,122,13723,1814,1051,2323,2829,2095,2269,935,3225,120,16668,2686,1495,3203,2962,2851,2200,1641,4144,234,21421,3878,2336,4394,2654,3331,1695,2656,3937,239,25132
59499,0,0,0,7,0,0,0,3,0,9,0,0,0,0,5,0,0,3,0,12,5,0,4,0,0,0,3,9,0,19,0,4,5,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,9,22,9,0,11,25,3,96,67,51,86,41,47,24,49,121,33,516,35,214,109,428,54,124,82,381,19,1451,46,285,235,450,93,166,179,595,19,2072,88,238,433,460,133,161,213,695,28,2441,101,278,645,563,124,177,304,810,43,3046,165,372,1077,823,164,210,451,1072,48,4395,193,361,1240,921,239,217,531,1106,62,4877,245,433,1822,826,281,203,691,1244,77,5820,347,517,2527,737,292,232,817,1406,109,6985
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,4,0,0,0,0,4,0,11,0,0,0,0,0,0,0,6,0,9,0,5,3,0,0,0,5,4,0,14,0,0,4,4,0,0,0,6,0,17,4,3,16,3,0,6,3,18,0,54
