POW_GCCSA_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
5GPER,1048,1220,1013,715,482,103,5,4591,163,119,89,51,25,7,0,460,1011,1314,920,521,319,69,13,4175,2224,2662,2030,1280,832,180,28,9229,2143,12037,21002,19241,13943,6216,1346,75935,25530,23424,20732,15437,14577,5064,591,105348,646,956,726,572,418,236,185,3746,146488,214168,221994,198052,145866,40652,4916,972128
5RWAU,5,9,21,12,13,7,0,65,35,148,143,113,55,6,0,497,185,316,314,225,138,28,5,1202,222,471,475,348,204,41,6,1771,427,1839,3484,3932,4091,2567,831,17159,5224,8377,8423,7995,7279,2043,219,39565,303,393,373,371,354,166,138,2096,33274,55048,59779,60131,49553,14554,2383,274718
59499,36,41,20,11,10,4,0,121,3,16,14,11,0,3,0,49,39,90,98,48,39,10,4,335,81,143,129,72,53,14,4,499,180,702,1040,873,675,396,142,4003,1208,2018,1877,1805,1706,687,98,9404,41,71,72,70,58,26,26,363,7310,13102,13038,12601,10552,3447,516,60566
59799,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,5,7,5,8,0,0,24,0,3,11,12,4,0,0,30,0,3,6,6,4,0,0,18,13,68,91,102,50,6,0,329,0,6,4,4,3,0,0,16,66,252,411,418,212,28,0,1386
