POW_GCCSA_CODE_2021,AgFF_Mng,AgFF_Pro,AgFF_Tech_trds_wks,AgFF_Com_persl_svce_wks,AgFF_Cler_admin_wks,AgFF_Sales_wks,AgFF_Mach_ops_dvrs,AgFF_Labourers,AgFF_IDNS,AgFF_Tot,Min_Mng,Min_Pro,Min_Tech_trds_wks,Min_Com_persl_svce_wks,Min_Cler_admin_wks,Min_Sales_wks,Min_Mach_ops_dvrs,Min_Labourers,Min_IDNS,Min_Tot,Mnf_Mng,Mnf_Pro,Mnf_Tech_trds_wks,Mnf_Com_persl_svce_wks,Mnf_Cler_admin_wks,Mnf_Sales_wks,Mnf_Mach_ops_dvrs,Mnf_Labourers,Mnf_IDNS,Mnf_Tot,EGWWS_Mng,EGWWS_Pro,EGWWS_Tech_trds_wks,EGWWS_Com_persl_svce_wks,EGWWS_Cler_admin_wks,EGWWS_Sales_wks,EGWWS_Mach_ops_dvrs,EGWWS_Labourers,EGWWS_IDNS,EGWWS_Tot,Const_Mng,Const_Pro,Const_Tech_trds_wks,Const_Com_persl_svce_wks,Const_Cler_admin_wks,Const_Sales_wks,Const_Mach_ops_dvrs,Const_Labourers,Const_IDNS,Const_Tot,WST_Mng,WST_Pro,WST_Tech_trds_wks,WST_Com_persl_svce_wks,WST_Cler_admin_wks,WST_Sales_wks,WST_Mach_ops_dvrs,WST_Labourers,WST_IDNS,WST_Tot,RetT_Mng,RetT_Pro,RetT_Tech_trds_wks,RetT_Com_persl_svce_wks,RetT_Cler_admin_wks,RetT_Sales_wks,RetT_Mach_ops_dvrs,RetT_Labourers,RetT_IDNS,RetT_Tot,AcFd_Mng,AcFd_Pro,AcFd_Tech_trds_wks,AcFd_Com_persl_svce_wks,AcFd_Cler_admin_wks,AcFd_Sales_wks,AcFd_Mach_ops_dvrs,AcFd_Labourers,AcFd_IDNS,AcFd_Tot,TPW_Mng,TPW_Pro,TPW_Tech_trds_wks,TPW_Com_persl_svce_wks,TPW_Cler_admin_wks,TPW_Sales_wks,TPW_Mach_ops_dvrs,TPW_Labourers,TPW_IDNS,TPW_Tot,IMT_Mng,IMT_Pro,IMT_Tech_trds_wks,IMT_Com_persl_svce_wks,IMT_Cler_admin_wks,IMT_Sales_wks,IMT_Mach_ops_dvrs,IMT_Labourers,IMT_IDNS,IMT_Tot,FinIns_Mng,FinIns_Pro,FinIns_Tech_trds_wks,FinIns_Com_persl_svce_wks,FinIns_Cler_admin_wks,FinIns_Sales_wks,FinIns_Mach_ops_dvrs,FinIns_Labourers,FinIns_IDNS,FinIns_Tot,RHRE_Mng,RHRE_Pro,RHRE_Tech_trds_wks,RHRE_Com_persl_svce_wks,RHRE_Cler_admin_wks,RHRE_Sales_wks,RHRE_Mach_ops_dvrs,RHRE_Labourers,RHRE_IDNS,RHRE_Tot,ProSTS_Mng,ProSTS_Pro,ProSTS_Tech_trds_wks,ProSTS_Com_persl_svce_wks,ProSTS_Cler_admin_wks,ProSTS_Sales_wks,ProSTS_Mach_ops_dvrs,ProSTS_Labourers,ProSTS_IDNS,ProSTS_Tot,AdSup_Mng,AdSup_Pro,AdSup_Tech_trds_wks,AdSup_Com_persl_svce_wks,AdSup_Cler_admin_wks,AdSup_Sales_wks,AdSup_Mach_ops_dvrs,AdSup_Labourers,AdSup_IDNS,AdSup_Tot,PubAS_Mng,PubAS_Pro,PubAS_Tech_trds_wks,PubAS_Com_persl_svce_wks,PubAS_Cler_admin_wks,PubAS_Sales_wks,PubAS_Mach_ops_dvrs,PubAS_Labourers,PubAS_IDNS,PubAS_Tot,EdTrn_Mng,EdTrn_Pro,EdTrn_Tech_trds_wks,EdTrn_Com_persl_svce_wks,EdTrn_Cler_admin_wks,EdTrn_Sales_wks,EdTrn_Mach_ops_dvrs,EdTrn_Labourers,EdTrn_IDNS,EdTrn_Tot,HltHC_SA_Mng,HltHC_SA_Pro,HltHC_SA_Tech_trds_wks,HltHC_SA_Com_persl_svce_wks,HltHC_SA_Cler_admin_wks,HltHC_SA_Sales_wks,HltHC_SA_Mach_ops_dvrs,HltHC_SA_Labourers,HltHC_SA_IDNS,HltHC_SA_Tot,ArtsR_Mng,ArtsR_Pro,ArtsR_Tech_trds_wks,ArtsR_Com_persl_svce_wks,ArtsR_Cler_admin_wks,ArtsR_Sales_wks,ArtsR_Mach_ops_dvrs,ArtsR_Labourers,ArtsR_IDNS,ArtsR_Tot,OthSvs_Mng,OthSvs_Pro,OthSvs_Tech_trds_wks,OthSvs_Com_persl_svce_wks,OthSvs_Cler_admin_wks,OthSvs_Sales_wks,OthSvs_Mach_ops_dvrs,OthSvs_Labourers,OthSvs_IDNS,OthSvs_Tot,IDNS_Mng,IDNS_Pro,IDNS_Tech_trds_wks,IDNS_Com_persl_svce_wks,IDNS_Cler_admin_wks,IDNS_Sales_wks,IDNS_Mach_ops_dvrs,IDNS_Labourers,IDNS_IDNS,IDNS_Tot
5GPER,2029,457,531,23,575,203,410,1895,91,6211,7873,14088,7717,214,4775,199,5207,1598,639,42306,8602,5116,15696,810,5757,2557,7104,7082,606,53328,1807,2748,1907,58,2013,230,1427,773,238,11195,10801,6139,31633,351,9816,1305,5178,9100,857,75179,5204,3284,3217,87,4184,3358,4274,1707,297,25628,13630,4310,4985,933,4973,49567,4502,9212,445,92566,9576,812,8954,19485,1763,8759,1513,14168,339,65366,4460,3569,2141,1541,9313,1341,18382,2021,495,43267,1338,3001,1417,77,1094,1016,117,289,87,8438,3578,9271,312,190,10445,888,55,100,483,25316,2249,1500,726,131,3096,6240,373,584,187,15082,10574,44770,9473,296,12136,657,857,784,646,80189,2993,3865,2434,2124,3734,456,992,10309,290,27193,7772,15208,4517,15047,14844,246,823,2498,1110,62057,7040,50040,3169,19640,7544,232,149,3137,393,91348,7801,58115,5660,43935,20858,764,1121,4966,887,144111,2914,3172,1595,6014,1711,897,123,1262,198,17885,3612,3572,15875,7565,4103,599,588,2997,251,39172,5843,6426,6915,2252,5935,2427,4557,4691,7236,46297
5RWAU,12558,562,1060,64,1045,212,1258,5117,161,22034,3010,6185,18186,529,2249,72,18630,3082,780,52724,1727,1009,4307,225,985,555,2373,2808,186,14172,354,210,1240,9,434,30,698,450,90,3522,2010,751,9564,68,2146,167,3487,3386,242,21818,824,439,1176,17,696,1027,878,346,76,5476,3154,576,1361,196,1026,10620,629,2527,90,20178,3275,128,2751,4140,1052,1681,395,5109,130,18666,1216,954,982,249,1977,340,5148,723,129,11732,141,315,203,14,120,170,5,36,10,1021,270,589,13,10,1097,89,9,21,37,2132,356,122,337,38,656,1130,134,271,32,3081,520,3056,1519,56,1476,56,114,230,60,7089,555,619,1009,513,586,86,563,2942,65,6939,1648,2189,1074,3814,2965,69,672,1244,215,13900,1730,10361,812,5200,1419,41,39,1172,90,20865,1402,10412,1012,9298,3913,186,164,1161,168,27720,373,592,264,566,217,79,20,235,35,2378,678,550,4365,1168,1007,154,151,749,70,8888,927,769,1868,544,977,465,1083,1345,2413,10382
59499,412,95,289,6,48,21,130,453,36,1491,263,532,1743,57,134,5,2101,624,87,5550,119,107,403,14,37,186,127,163,20,1175,39,28,147,4,44,4,79,74,7,426,927,223,11677,33,365,72,1261,3814,222,18594,136,135,139,0,23,279,50,28,14,808,317,97,120,23,52,808,65,114,13,1603,195,48,184,193,37,117,138,244,11,1162,146,151,92,117,424,44,3117,247,39,4378,38,138,219,10,43,22,10,41,3,506,65,145,22,10,163,19,3,9,35,454,52,38,39,3,34,154,28,57,17,427,261,1173,311,24,389,142,24,84,29,2436,148,204,1078,358,163,50,135,3920,46,6104,97,126,141,505,93,0,18,186,35,1209,81,1182,39,640,50,11,6,35,21,2063,120,1242,171,3768,179,26,16,181,48,5747,49,378,49,269,25,10,7,34,12,820,67,144,1293,517,66,26,29,326,21,2503,243,320,600,187,217,172,239,473,651,3109
59799,0,3,4,0,0,0,0,19,0,27,25,60,222,4,13,0,112,57,10,509,5,9,23,0,0,0,9,5,0,57,0,8,11,0,0,0,0,11,3,33,3,14,72,0,0,0,25,38,5,159,0,6,0,0,0,0,0,0,0,8,3,15,57,0,6,6,0,5,3,89,8,4,28,10,6,0,0,19,0,73,4,57,17,7,0,0,10,31,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,4,0,25,0,5,27,4,0,0,4,25,3,66,0,0,3,7,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,38,49,5,8,0,10,37,18,167
