POW_GCCSA_CODE_2021,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49ov_Mng,FTS_49ov_Pro,FTS_49ov_TecTW,FTS_49ov_CoPSW,FTS_49ov_ClAW,FTS_49ov_SWks,FTS_49ov_MaOpDv,FTS_49ov_Lab,FTS_49ov_IDNS,FTS_49ov_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49ov_Mng,PTS_49ov_Pro,PTS_49ov_TecTW,PTS_49ov_CoPSW,PTS_49ov_ClAW,PTS_49ov_SWks,PTS_49ov_MaOpDv,PTS_49ov_Lab,PTS_49ov_IDNS,PTS_49ov_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
5GPER,23,94,96,645,126,727,88,508,33,2342,387,1839,762,9727,1798,15271,1244,8360,302,39679,287,605,582,3648,1087,4078,667,2313,90,13359,195,216,229,1483,410,1393,180,584,26,4713,83,120,397,356,170,223,33,92,17,1504,55,116,331,158,98,65,32,54,8,910,21,38,210,78,38,28,16,25,4,453,22,43,175,91,23,14,10,16,3,404,7,32,37,175,30,198,34,112,291,924,1072,3097,2828,16363,3779,22002,2298,12069,788,64296,11,33,84,57,31,59,20,32,6,322,41,179,130,743,206,902,121,473,26,2830,53,185,171,708,261,733,143,367,18,2637,91,158,285,670,230,522,103,227,14,2299,136,319,1404,435,314,181,54,108,20,2962,75,254,1367,178,199,83,51,58,21,2291,33,130,759,72,60,26,29,39,7,1155,38,100,581,60,41,16,23,40,8,901,3,11,48,45,7,40,3,27,67,249,484,1358,4830,2977,1343,2562,544,1366,181,15638
5RWAU,8,8,39,111,18,160,13,150,13,523,49,86,120,1130,139,2493,117,1560,71,5762,12,26,44,200,27,317,40,224,13,901,7,5,29,91,25,90,15,61,5,325,8,24,76,61,26,17,4,15,4,243,3,5,76,22,19,5,4,6,0,150,0,11,65,15,12,0,6,9,0,120,7,25,117,15,9,5,20,19,0,219,8,4,8,32,0,50,5,29,81,213,102,199,576,1685,270,3139,223,2075,181,8454,0,5,57,28,5,6,9,18,6,126,3,12,29,67,23,69,6,60,4,281,9,7,35,80,28,39,10,49,3,261,11,25,60,125,40,52,0,51,5,363,18,32,372,114,84,34,17,29,0,694,14,27,434,46,47,12,13,29,8,624,16,13,266,23,21,13,16,11,0,378,13,27,388,25,26,6,25,25,3,537,0,0,29,3,3,3,3,0,19,66,76,153,1664,519,278,236,92,272,45,3324
59499,0,12,11,57,7,22,9,28,4,146,3,236,41,523,35,99,84,212,14,1256,8,23,21,111,12,26,68,50,10,320,0,16,12,48,13,5,7,13,0,116,0,0,27,9,0,0,0,4,0,46,0,0,31,11,0,0,0,3,0,53,0,0,11,0,0,0,0,4,0,13,3,0,14,11,0,0,0,0,6,24,0,3,0,9,0,10,4,3,24,60,11,290,171,779,70,165,179,317,49,2037,0,0,19,3,0,7,0,0,0,32,0,24,3,52,5,12,16,26,0,138,0,13,16,32,3,10,7,15,0,92,0,4,30,26,0,6,4,15,0,86,0,0,144,5,0,0,4,4,0,165,3,7,190,8,0,0,0,4,0,209,0,3,81,5,0,0,0,3,0,94,0,0,54,3,0,0,0,8,0,75,0,0,0,3,0,4,0,0,0,12,6,52,544,143,18,36,30,76,3,904
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
