POW_GCCSA_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
5GPER,119691,239460,128885,120762,128674,81942,57760,79166,15782,972128
5RWAU,36747,40391,53118,26721,26061,17220,36441,32945,5074,274718
59499,3764,6520,18753,6741,2582,2143,7579,11109,1375,60566
59799,61,233,528,45,42,6,168,258,46,1386
