POW_GCCSA_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
5GPER,56,6122,30,6211,935,41287,87,42306,488,52739,103,53328,185,10984,23,11195,996,73988,189,75179,238,25354,38,25628,1046,91325,196,92566,671,64577,119,65366,454,42715,94,43267,70,8350,20,8438,141,25139,39,25316,103,14960,17,15082,587,79495,104,80189,380,26753,58,27193,1273,60685,95,62057,1126,90069,153,91348,1479,142370,256,144111,226,17633,29,17885,426,38668,76,39172,754,45241,296,46297,11636,958465,2029,972128
5RWAU,395,21488,160,22034,2802,49724,190,52724,301,13819,45,14172,182,3324,20,3522,798,20919,105,21818,86,5362,26,5476,737,19350,90,20178,601,17972,90,18666,369,11295,72,11732,57,959,5,1021,54,2080,5,2132,53,3015,6,3081,207,6860,27,7089,463,6435,43,6939,868,12981,43,13900,1294,19507,65,20865,1541,26079,110,27720,224,2143,7,2378,389,8461,40,8888,796,9439,155,10382,12210,261217,1293,274718
59499,30,1441,18,1491,294,5239,27,5550,8,1165,4,1175,6,418,0,426,317,18207,64,18594,8,796,0,808,32,1568,3,1603,14,1144,0,1162,50,4313,15,4378,8,502,0,506,0,453,0,454,3,425,0,427,31,2399,7,2436,108,5979,21,6104,28,1175,3,1209,40,2019,6,2063,73,5661,20,5747,14,802,0,820,31,2450,17,2503,89,2978,45,3109,1189,59132,244,60566
59799,0,31,0,27,10,505,0,509,4,54,0,57,0,31,0,33,3,154,3,159,0,8,0,8,4,90,0,89,6,69,0,73,0,120,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,3,68,0,66,0,17,0,17,0,0,0,0,0,6,0,3,0,0,0,0,0,3,0,3,0,164,0,167,22,1355,7,1386
