POW_GCCSA_CODE_2021,M_Tot_H_0,M_Tot_H_1_19,M_Tot_H_20_29,M_Tot_H_30_34,M_Tot_H_35_39,M_Tot_H_40_44,M_Tot_H_45_49,M_Tot_H_50ov,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_19,F_AgFF_H_20_29,F_AgFF_H_30_34,F_AgFF_H_35_39,F_AgFF_H_40_44,F_AgFF_H_45_49,F_AgFF_H_50ov,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_19,F_Min_H_20_29,F_Min_H_30_34,F_Min_H_35_39,F_Min_H_40_44,F_Min_H_45_49,F_Min_H_50ov,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_19,F_Mnf_H_20_29,F_Mnf_H_30_34,F_Mnf_H_35_39,F_Mnf_H_40_44,F_Mnf_H_45_49,F_Mnf_H_50ov,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_19,F_EGWWS_H_20_29,F_EGWWS_H_30_34,F_EGWWS_H_35_39,F_EGWWS_H_40_44,F_EGWWS_H_45_49,F_EGWWS_H_50ov,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_19,F_Const_H_20_29,F_Const_H_30_34,F_Const_H_35_39,F_Const_H_40_44,F_Const_H_45_49,F_Const_H_50ov,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_19,F_WST_H_20_29,F_WST_H_30_34,F_WST_H_35_39,F_WST_H_40_44,F_WST_H_45_49,F_WST_H_50ov,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_19,F_RetT_H_20_29,F_RetT_H_30_34,F_RetT_H_35_39,F_RetT_H_40_44,F_RetT_H_45_49,F_RetT_H_50ov,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_19,F_AcFd_H_20_29,F_AcFd_H_30_34,F_AcFd_H_35_39,F_AcFd_H_40_44,F_AcFd_H_45_49,F_AcFd_H_50ov,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_19,F_TPW_H_20_29,F_TPW_H_30_34,F_TPW_H_35_39,F_TPW_H_40_44,F_TPW_H_45_49,F_TPW_H_50ov,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_19,F_IMT_H_20_29,F_IMT_H_30_34,F_IMT_H_35_39,F_IMT_H_40_44,F_IMT_H_45_49,F_IMT_H_50ov,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_19,F_FinIns_H_20_29,F_FinIns_H_30_34,F_FinIns_H_35_39,F_FinIns_H_40_44,F_FinIns_H_45_49,F_FinIns_H_50ov,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_19,F_RHRE_H_20_29,F_RHRE_H_30_34,F_RHRE_H_35_39,F_RHRE_H_40_44,F_RHRE_H_45_49,F_RHRE_H_50ov,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_19,F_ProSTS_H_20_29,F_ProSTS_H_30_34,F_ProSTS_H_35_39,F_ProSTS_H_40_44,F_ProSTS_H_45_49,F_ProSTS_H_50ov,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_19,F_AdSup_H_20_29,F_AdSup_H_30_34,F_AdSup_H_35_39,F_AdSup_H_40_44,F_AdSup_H_45_49,F_AdSup_H_50ov,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_19,F_PubAS_H_20_29,F_PubAS_H_30_34,F_PubAS_H_35_39,F_PubAS_H_40_44,F_PubAS_H_45_49,F_PubAS_H_50ov,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_19,F_EdTrn_H_20_29,F_EdTrn_H_30_34,F_EdTrn_H_35_39,F_EdTrn_H_40_44,F_EdTrn_H_45_49,F_EdTrn_H_50ov,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_19,F_HltHC_SA_H_20_29,F_HltHC_SA_H_30_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40_44,F_HltHC_SA_H_45_49,F_HltHC_SA_H_50ov,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_19,F_ArtsR_H_20_29,F_ArtsR_H_30_34,F_ArtsR_H_35_39,F_ArtsR_H_40_44,F_ArtsR_H_45_49,F_ArtsR_H_50ov,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_19,F_OthSvs_H_20_29,F_OthSvs_H_30_34,F_OthSvs_H_35_39,F_OthSvs_H_40_44,F_OthSvs_H_45_49,F_OthSvs_H_50ov,F_OthSvs_H_NS,F_OthSvs_H_Tot
5GPER,14915,48446,34220,23803,93681,127698,42427,91417,8121,484720,72,546,418,340,449,445,98,212,35,2610,755,594,982,750,1737,3471,1035,2058,87,11473,462,2431,2160,1256,3481,2981,751,944,90,14564,187,214,353,295,1160,804,209,212,16,3447,410,2238,2171,1205,2523,3647,704,1166,118,14188,265,1003,1122,716,2107,1847,408,532,34,8037,2236,18018,11682,5179,8629,4644,1317,1609,453,53768,1118,14750,7522,3191,3940,2809,842,1525,401,36095,597,1362,1604,897,2173,2370,542,725,98,10361,148,611,496,277,706,609,146,210,26,3230,827,1205,1904,1291,3674,3201,697,1000,70,13868,260,1121,1092,678,1953,1740,418,742,58,8065,1506,4739,4999,3302,7147,7697,1918,3090,154,34562,557,3530,2899,1279,2826,1989,476,797,146,14496,2011,2645,3484,2506,9709,5979,1502,1697,162,29686,3065,12644,11639,7791,12360,9754,3869,6480,379,67973,6667,18448,22783,16546,25719,14373,3196,5875,854,114461,427,3203,1616,877,1343,1041,261,460,61,9280,707,5027,3920,2218,3780,2575,669,1020,208,20131
5RWAU,10615,10411,7533,5467,16855,26287,13883,62213,3438,156698,326,1307,973,571,636,1064,339,1332,138,6676,1034,343,383,170,482,886,894,4427,121,8759,217,593,450,298,723,686,314,462,38,3778,32,70,63,46,162,125,50,82,9,648,152,563,424,257,394,593,161,626,37,3210,73,211,218,123,254,356,110,178,14,1539,636,3565,2564,1410,2144,1254,438,704,121,12826,513,3384,1901,1052,1309,1083,354,1548,180,11330,160,497,514,249,430,545,154,441,39,3033,27,118,70,45,98,78,24,30,8,502,79,194,242,151,325,288,62,95,8,1437,77,211,206,118,460,320,90,281,14,1772,149,659,537,425,698,517,152,375,29,3536,160,942,641,347,541,453,132,515,50,3787,509,727,737,532,1840,1412,316,493,46,6604,914,2660,2726,2011,2681,2462,1049,1877,130,16512,1607,3323,3970,3326,4806,3237,715,1520,236,22738,80,423,296,130,192,137,46,115,19,1432,168,951,674,445,731,509,165,280,46,3964
59499,2952,4936,4038,3044,4872,8568,2760,10492,938,42601,55,93,47,27,28,40,8,50,10,360,129,31,29,13,36,46,41,335,20,668,27,63,44,34,64,42,9,25,0,316,0,6,5,6,8,6,5,5,0,53,76,213,118,65,96,146,31,90,21,859,11,74,41,29,38,54,15,21,0,287,76,263,160,62,122,121,24,47,9,888,64,204,72,35,44,47,17,95,11,580,75,226,129,49,52,65,20,58,10,677,12,50,19,7,10,16,3,22,3,141,26,40,36,21,32,37,4,20,4,221,15,52,30,15,17,20,3,24,5,178,72,390,189,83,94,113,16,73,7,1052,155,1453,677,254,182,154,40,133,32,3085,54,61,35,36,44,44,15,35,7,327,124,625,240,97,98,76,12,48,16,1330,322,1502,1127,543,486,305,82,147,54,4569,12,157,49,23,25,37,0,21,4,323,59,425,202,96,100,77,10,38,10,1018
59799,214,20,16,14,33,57,26,840,22,1240,0,0,0,0,0,0,0,0,0,5,3,0,3,0,3,0,0,17,6,33,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,4,16,0,29,0,0,0,0,0,4,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,6,0,19,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
