POW_GCCSA_CODE_2021,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
5GPER,579,37,29,29872,26627,740,845,91,41,28346,23987,1101,937,129,47,26205,22931,1254,999,128,48,25363,24209,1504,1300,170,51,27233,23342,1473,1362,184,81,26437,18533,1245,1041,154,74,21047,11165,745,598,94,40,12639,3679,322,288,68,16,4373,626,125,110,39,12,909,120,41,29,17,8,216,204597,8887,8332,1134,465,223412,24692,31,207,80,39,25057,25382,57,594,47,43,26128,16737,180,986,128,41,18069,20309,611,1799,354,66,23134,23690,995,2336,436,82,27540,21196,1081,2125,409,79,24897,19105,996,1988,404,80,22574,17339,990,1962,352,76,20712,15656,943,1630,355,80,18661,12848,802,1520,373,74,15619,6233,573,947,289,49,8093,2109,320,486,256,22,3194,634,141,222,160,24,1186,205911,7723,16806,3652,765,234863,21351,391,720,196,204,22861,5025,197,356,246,444,6274,436885,17203,26215,5231,1876,487405,8881,13,60,8,20,8986,40226,224,628,35,60,41175,63374,1278,1750,78,111,66590,66433,3520,2750,211,146,73061,66552,5338,3280,311
5RWAU,123,17,21,6605,5524,154,206,42,24,5948,5184,291,271,78,22,5849,5342,336,343,97,20,6132,5950,407,484,145,41,7021,6023,419,473,168,48,7127,4897,404,521,178,40,6039,3109,277,353,151,31,3920,978,117,211,118,21,1441,174,57,93,85,10,422,38,28,52,63,5,191,49994,2551,3181,1156,305,57190,4958,0,17,32,8,5026,2809,11,53,17,12,2902,3115,25,186,58,26,3404,4295,137,406,142,22,4994,5193,240,545,179,29,6178,4684,235,476,148,33,5574,4429,232,472,138,35,5307,4262,215,448,155,48,5131,3944,214,449,210,30,4848,3508,206,480,225,33,4457,1557,163,347,231,31,2329,496,77,196,176,20,963,167,38,101,121,20,449,43415,1807,4176,1828,338,51569,6305,177,375,160,103,7113,1602,80,133,150,195,2148,101313,4610,7863,3290,943,118021,4309,9,19,19,11,4369,12430,69,155,34,45,12740,17329,275,437,57,64,18159,18148,752,745,114,73,19838,18069,1231,964,208
59499,63,6,0,607,526,30,94,3,6,659,384,48,86,8,3,526,380,49,96,9,0,530,406,35,128,8,8,584,413,43,142,9,8,615,308,50,120,11,5,493,195,11,56,11,0,276,51,11,19,3,0,90,17,0,6,3,0,28,0,3,11,3,0,16,3682,298,847,84,28,4938,404,0,68,9,9,483,804,5,189,3,4,1005,572,17,238,16,3,847,624,48,362,28,9,1075,736,57,421,38,14,1263,643,53,410,28,7,1141,706,52,427,23,18,1225,706,62,462,26,13,1274,653,43,429,21,10,1163,536,30,295,36,14,904,265,29,145,32,6,482,109,10,49,24,6,194,37,12,32,14,4,95,6793,423,3522,303,108,11151,1082,54,229,59,30,1457,315,9,39,24,33,417,11872,783,4638,479,197,17965,811,0,25,0,5,840,2178,44,196,9,12,2433,2758,180,547,14,21,3520,2917,432,893,20,23,4287,2499,577,952,23
59799,0,0,0,14,14,0,0,0,0,14,10,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,8,11,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,91,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,21,14,0,3,0,0,23,9,0,0,0,0,10,131,0,8,0,4,144,3,0,0,0,0,3,45,0,0,0,0,45,68,0,3,0,0,76,117,0,4,0,0,121,160,5,0,0
