POW_GCCSA_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
5GPER,6550,888,399,104693,84792,7931,6977,969,431,101100,79845,8138,7483,1004,489,96952,68188,7367,6995,968,452,83971,48941,5689,5911,974,377,61890,21010,3616,3862,790,222,29495,6420,1887,1960,723,164,11159,2089,1009,976,640,203,4916,841764,57278,59418,9350,4320,972128
5RWAU,1862,448,190,28904,24989,1924,2194,554,232,29902,24821,2126,2358,638,288,30226,22003,2013,2543,741,259,27564,16809,1670,2425,845,245,21996,6661,1005,1725,815,179,10385,1751,564,1002,721,129,4169,576,319,649,701,147,2383,232439,14399,18952,6600,2330,274718
59499,1844,75,58,6109,3328,697,2010,86,77,6199,3325,674,2220,95,91,6396,2818,629,2198,105,89,5847,2180,481,1846,122,83,4703,985,278,991,116,62,2433,366,135,401,93,28,1015,123,68,193,94,40,516,36070,5347,17340,1043,767,60566
59799,0,0,3,189,189,0,3,0,0,196,219,0,0,0,0,223,143,5,0,0,0,149,58,3,0,0,0,61,22,0,0,0,0,25,3,3,0,0,0,8,0,0,0,0,0,0,1334,16,17,4,11,1386
