POW_GCCSA_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
5GPER,96499,22141,29818,45431,92813,78527,50617,1009,4824,421687
5RWAU,18528,2984,4530,6394,14226,12521,9227,480,1607,70500
59499,6105,1200,1702,2320,4460,3800,2728,65,414,22790
59799,116,31,45,56,97,76,47,0,14,480
