POW_GCCSA_CODE_2021,Pvte_1250_1499_Mng,Pvte_1250_1499_Pro,Pvte_1250_1499_TecTW,Pvte_1250_1499_CoPSW,Pvte_1250_1499_ClAW,Pvte_1250_1499_SWks,Pvte_1250_1499_MaOpDv,Pvte_1250_1499_Lab,Pvte_1250_1499_IDNS,Pvte_1250_1499_Tot,Pvte_1500_1749_Mng,Pvte_1500_1749_Pro,Pvte_1500_1749_TecTW,Pvte_1500_1749_CoPSW,Pvte_1500_1749_ClAW,Pvte_1500_1749_SWks,Pvte_1500_1749_MaOpDv,Pvte_1500_1749_Lab,Pvte_1500_1749_IDNS,Pvte_1500_1749_Tot,Pvte_1750_1999_Mng,Pvte_1750_1999_Pro,Pvte_1750_1999_TecTW,Pvte_1750_1999_CoPSW,Pvte_1750_1999_ClAW,Pvte_1750_1999_SWks,Pvte_1750_1999_MaOpDv,Pvte_1750_1999_Lab,Pvte_1750_1999_IDNS,Pvte_1750_1999_Tot,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000_3499_Mng,Pvte_3000_3499_Pro,Pvte_3000_3499_TecTW,Pvte_3000_3499_CoPSW,Pvte_3000_3499_ClAW,Pvte_3000_3499_SWks,Pvte_3000_3499_MaOpDv,Pvte_3000_3499_Lab,Pvte_3000_3499_IDNS,Pvte_3000_3499_Tot,Pvte_3500mo_Mng,Pvte_3500mo_Pro,Pvte_3500mo_TecTW,Pvte_3500mo_CoPSW,Pvte_3500mo_ClAW,Pvte_3500mo_SWks,Pvte_3500mo_MaOpDv,Pvte_3500mo_Lab,Pvte_3500mo_IDNS,Pvte_3500mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot
5GPER,9585,18624,15085,6616,13695,4418,6923,4635,898,80483,9974,20676,13277,3989,9298,3166,5319,3068,731,69494,8202,17020,9156,1905,4908,1938,3866,1918,556,49468,20639,36479,14794,1965,6652,2893,6099,2455,979,92956,7651,10231,3558,247,1578,761,1101,404,299,25824,19086,20870,3411,341,2433,1462,813,367,575,49363,591,847,985,644,557,557,401,507,599,5685,104444,170283,118453,95780,100155,80742,54978,73323,8725,806877,9,13,21,14,17,7,9,21,228,338,5,15,5,40,7,26,10,35,219,355,0,14,22,51,13,25,8,37,199,369,5,16,32,50,23,16,17,51,244,455,3,24,43,57,17,24,17,74,233,501,10,18,61,84,24,31,27,75,312,641,16,32,82,91,40,36,53,89,327,758,25,56,130,91,58,26,91,109,411,997,33,79,147,80,58,17,86,95,478,1070,26,85,112,44,58,10,62,34,311,751,40,93,83,30,32,5,43,16,234,569,22,65,49,18,9,4,23,17,162,378
5RWAU,3129,2556,3905,1450,2326,824,2867,2755,242,20048,3125,2904,4234,926,1886,595,3878,2017,210,19770,2551,2645,3995,461,1118,369,4647,1478,194,17462,4754,6567,12573,700,1612,469,12026,2449,491,41653,1810,2324,5416,115,428,128,2708,485,216,13626,3947,3187,5262,109,477,235,1842,404,248,15715,472,168,472,180,148,134,341,338,189,2445,33151,27626,50305,19023,20522,16843,35336,30566,2842,236226,14,0,5,7,3,10,0,9,105,156,4,0,0,13,6,6,0,13,81,128,3,3,9,11,0,3,0,29,89,147,12,4,0,8,7,9,5,24,99,172,7,4,14,17,0,11,3,32,103,189,18,8,23,21,9,5,7,26,124,237,9,7,24,28,8,13,8,32,117,246,16,9,23,22,13,0,19,34,158,283,14,16,33,19,18,5,20,35,160,323,7,11,30,11,15,3,16,15,99,212,11,18,21,3,8,3,21,5,86,171,9,5,23,3,7,4,11,3,67,131
59499,366,490,2391,382,228,186,620,973,73,5716,432,520,2257,226,173,143,661,805,70,5283,276,429,1526,115,128,87,649,595,58,3857,585,879,2517,128,170,91,1534,764,94,6753,194,312,701,17,52,21,348,152,26,1826,423,479,731,21,52,42,274,113,48,2182,47,40,192,44,34,18,83,89,58,599,3605,5895,18495,6185,2266,2106,7490,10913,868,57826,0,3,0,0,4,0,0,3,29,43,0,0,0,8,0,7,0,0,10,29,0,0,6,0,0,0,3,9,16,24,0,0,3,7,0,0,0,12,22,48,0,0,5,5,5,0,0,10,28,50,0,6,4,8,0,4,10,14,28,73,0,3,13,5,4,0,7,7,37,83,4,4,3,5,5,3,8,8,45,80,0,10,15,7,7,0,12,3,35,91,0,4,3,0,4,5,9,7,32,56,0,5,11,0,0,0,3,3,23,46,9,0,6,4,0,0,5,0,9,28
59799,0,6,13,3,0,0,0,5,0,32,0,11,15,5,3,0,6,16,5,62,0,15,27,4,0,0,15,18,0,79,9,49,80,10,9,0,46,107,6,312,8,39,80,0,5,0,33,29,3,198,32,104,278,5,12,0,62,26,8,528,0,0,0,0,0,0,0,6,6,13,58,235,527,40,39,6,172,253,35,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
