POW_GCCSA_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
5GPER,593,5057,2085,7143,4559,1711,6265,2438,812,3245,32903,10361,43267,143,89,227,504,511,1018,778,599,1381,730,648,1376,130,79,211,2049,743,2787,790,293,1084,90,267,354,5207,3230,8438,384,298,685,4484,6021,10510,2179,3640,5820,4400,3906,8306,11450,13868,25316,25,35,59,2046,974,3018,4951,7058,12004,7024,8065,15082,208,119,332,35313,31202,66511,10104,3237,13342,45624,34562,80189,0,47,49,5858,7883,13739,6830,6568,13398,12689,14496,27193,67,80,149,14960,21106,36059,3846,1223,5074,13504,7275,20776,32368,29686,62057,699,1329,2031,12512,50677,63192,7453,10852,18309,2698,5113,7814,23374,67973,91348,539,1978,2520,10050,36393,46445,9167,32247,41411,3581,18774,22356,6310,25064,31377,29651,114461,144111,168,235,408,618,790,1409,1087,1464,2551,4462,4772,9229,2264,2020,4289,8604,9280,17885,6,7,16,12991,2808,15800,6042,17071,23113,3,241,245,19048,20131,39172,23253,12661,35908,5942,4442,10382,484720,487405,972128
5RWAU,349,605,684,1290,1317,411,1725,336,100,435,8702,3033,11732,12,16,34,49,95,148,89,105,195,123,135,262,0,3,4,171,63,230,54,15,70,13,66,79,514,502,1021,26,43,72,325,841,1160,112,194,303,231,364,594,692,1437,2132,4,4,10,637,318,956,675,1448,2119,1312,1772,3081,21,7,27,3145,3401,6537,392,133,520,3556,3536,7089,6,8,11,1531,1600,3133,1620,2174,3796,3151,3787,6939,17,25,39,4163,5050,9217,111,22,131,2998,1506,4505,7291,6604,13900,141,294,431,3260,14235,17492,584,1172,1755,368,820,1188,4353,16512,20865,112,556,658,1580,7288,8867,1588,6093,7678,476,3210,3689,1238,5589,6827,4984,22738,27720,33,36,71,316,310,625,152,310,465,418,730,1146,24,56,78,943,1432,2378,0,0,0,4091,958,5047,837,2993,3826,3,15,14,4925,3964,8888,4567,2468,7032,1885,1469,3351,156698,118021,274718
59499,64,903,309,1213,341,29,369,42,18,59,3695,677,4378,12,3,15,36,45,80,68,36,107,34,11,45,4,8,11,161,18,178,49,10,65,0,8,8,371,141,506,10,9,16,82,104,186,50,57,107,93,51,142,234,221,454,0,3,3,77,18,97,170,161,328,244,178,427,13,12,26,1034,951,1985,337,89,430,1390,1052,2436,0,0,0,562,569,1133,2454,2518,4972,3021,3085,6104,6,0,8,169,145,312,157,30,189,557,154,711,878,327,1209,46,72,118,200,662,865,54,92,137,440,500,937,736,1330,2063,45,157,204,87,161,246,331,1171,1494,122,953,1080,594,2122,2719,1177,4569,5747,25,28,52,19,7,27,217,179,396,208,100,310,27,18,38,491,323,820,0,0,0,1115,89,1205,362,885,1247,0,47,47,1481,1018,2503,1565,666,2223,518,367,879,42601,17965,60566
59799,9,0,0,0,20,4,23,0,0,0,114,14,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,28,0,0,0,25,4,25,0,0,0,48,9,54,9,9,16,54,19,66,0,0,0,3,5,9,3,0,5,6,0,6,11,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,138,13,155,11,0,15,1240,144,1386
