POW_GCCSA_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
5GPER,179,75666,60192,5677,3272,308,163,69614,58595,6149,3806,378,192,69114,55304,6227,4092,428,234,66282,44890,5436,3709,364,184,54585,28725,3742,2612,287,143,35512,9926,1916,1317,174,69,13402,2018,812,543,133,34,3544,406,350,221,112,19,1106,505524,40688,28034,2823,1568,578639,43081,68,398,199,78,43814,43807,165,1152,149,82,45349,26297,392,1767,174,93,28719,26824,1032,2656,429,111,31044,29107,1573,3359,568,119,34721,25512,1687,3080,519,123,30918,22923,1631,2990,536,116,28204,20947,1722,3166,511,122,26466,19504,1729,3041,518,140,24931,17082,1767,3073,596,135,22656,9625,1586,2376,553,97,14231,3968,1009,1352,533,69,6931,1503,610,708,450,65,3337,290179,14967,29106,5737,1339,341328,34771,953,1365,347,339,37774,11292,670,909,441,1077,14394,841764,57278,59418,9350,4320,972128
5RWAU,86,20551,16911,1358,1140,233,90,19730,17479,1537,1406,353,132,20903,17185,1665,1502,394,143,20891,14622,1537,1613,392,144,18302,10121,1153,1302,436,114,13119,3412,579,861,335,85,5271,668,302,417,273,41,1711,145,136,277,238,30,829,150819,10615,10847,3076,1066,176427,8639,11,47,114,19,8830,4548,19,100,43,22,4728,4693,43,255,76,37,5094,5843,182,515,153,30,6717,6507,316,728,213,35,7800,5884,329,642,183,55,7104,5630,321,690,176,54,6872,5525,362,729,206,76,6904,5283,363,787,293,54,6783,4970,414,942,347,68,6738,2541,353,741,412,53,4100,953,227,487,359,54,2086,375,142,306,351,42,1220,61401,3077,6983,2923,603,74983,15859,496,830,322,217,17727,4357,214,301,272,449,5586,232439,14399,18952,6600,2330,274718
59499,32,4082,2071,524,892,30,25,3538,1936,495,952,36,34,3453,1900,463,1071,29,38,3498,1476,401,974,35,35,2920,1006,261,690,36,23,2013,351,110,249,26,17,758,73,41,75,18,0,213,5,16,40,15,5,81,19983,3553,7547,275,282,31634,1002,0,148,30,4,1191,1710,41,444,13,12,2215,1228,59,562,26,15,1889,1132,116,768,39,17,2077,1140,143,868,51,27,2231,990,161,882,41,19,2094,1015,168,973,46,30,2234,1026,183,1040,47,35,2336,959,183,1116,46,39,2347,876,171,1030,60,37,2176,490,138,672,67,26,1403,246,65,277,57,7,657,92,39,126,59,11,326,11910,1483,8910,576,289,23168,3221,244,717,147,89,4409,958,68,169,48,110,1359,36070,5347,17340,1043,767,60566
59799,0,165,144,0,0,0,0,144,151,0,3,0,0,151,161,0,0,0,0,160,112,5,4,0,0,115,47,3,0,0,0,51,8,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1019,17,8,0,5,1046,3,0,0,0,0,3,7,0,0,0,0,7,5,0,0,0,0,5,6,0,0,0,0,11,10,0,0,0,0,10,3,0,0,0,0,3,9,0,0,0,0,11,15,0,0,0,0,12,4,0,0,0,0,6,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,4,0,0,77,227,0,8,0,5,235,26,0,0,0,0,27,1334,16,17,4,11,1386
