SA2_CODE_2021,C11_M_NatPhy_sci_15_19,C11_M_NatPhy_sci_20_24,C11_M_NatPhy_sci_25_34,C11_M_NatPhy_sci_35_44,C11_M_NatPhy_sci_45_54,C11_M_NatPhy_sci_55_64,C11_M_NatPhy_sci_65_74,C11_M_NatPhy_sci_75_84,C11_M_NatPhy_sci_85over,C11_M_NatPhy_sci_Tot,C11_M_InfTec_15_19,C11_M_InfTec_20_24,C11_M_InfTec_25_34,C11_M_InfTec_35_44,C11_M_InfTec_45_54,C11_M_InfTec_55_64,C11_M_InfTec_65_74,C11_M_InfTec_75_84,C11_M_InfTec_85over,C11_M_InfTec_Tot,C11_M_EngRT_15_19,C11_M_EngRT_20_24,C11_M_EngRT_25_34,C11_M_EngRT_35_44,C11_M_EngRT_45_54,C11_M_EngRT_55_64,C11_M_EngRT_65_74,C11_M_EngRT_75_84,C11_M_EngRT_85over,C11_M_EngRT_Tot,C11_M_ArchBuild_15_19,C11_M_ArchBuild_20_24,C11_M_ArchBuild_25_34,C11_M_ArchBuild_35_44,C11_M_ArchBuild_45_54,C11_M_ArchBuild_55_64,C11_M_ArchBuild_65_74,C11_M_ArchBuild_75_84,C11_M_ArchBuild_85over,C11_M_ArchBuild_Tot,C11_M_AgEnv_RS_15_19,C11_M_AgEnv_RS_20_24,C11_M_AgEnv_RS_25_34,C11_M_AgEnv_RS_35_44,C11_M_AgEnv_RS_45_54,C11_M_AgEnv_RS_55_64,C11_M_AgEnv_RS_65_74,C11_M_AgEnv_RS_75_84,C11_M_AgEnv_RS_85over,C11_M_AgEnv_RS_Tot,C11_M_Health_15_19,C11_M_Health_20_24,C11_M_Health_25_34,C11_M_Health_35_44,C11_M_Health_45_54,C11_M_Health_55_64,C11_M_Health_65_74,C11_M_Health_75_84,C11_M_Health_85over,C11_M_Health_Tot,C11_M_Educ_15_19,C11_M_Educ_20_24,C11_M_Educ_25_34,C11_M_Educ_35_44,C11_M_Educ_45_54,C11_M_Educ_55_64,C11_M_Educ_65_74,C11_M_Educ_75_84,C11_M_Educ_85over,C11_M_Educ_Tot,C11_M_MngtCom_15_19,C11_M_MngtCom_20_24,C11_M_MngtCom_25_34,C11_M_MngtCom_35_44,C11_M_MngtCom_45_54,C11_M_MngtCom_55_64,C11_M_MngtCom_65_74,C11_M_MngtCom_75_84,C11_M_MngtCom_85over,C11_M_MngtCom_Tot,C11_M_Soc_cult_15_19,C11_M_Soc_cult_20_24,C11_M_Soc_cult_25_34,C11_M_Soc_cult_35_44,C11_M_Soc_cult_45_54,C11_M_Soc_cult_55_64,C11_M_Soc_cult_65_74,C11_M_Soc_cult_75_84,C11_M_Soc_cult_85over,C11_M_Soc_cult_Tot,C11_M_Creative_art_15_19,C11_M_Creative_art_20_24,C11_M_Creative_art_25_34,C11_M_Creative_art_35_44,C11_M_Creative_art_45_54,C11_M_Creative_art_55_64,C11_M_Creative_art_65_74,C11_M_Creative_art_75_84,C11_M_Creative_art_85over,C11_M_Creative_art_Tot,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85over,C11_M_FoodHos_PS_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85over,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85over,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85over,C11_M_FldStu_NS_Tot,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_NatPhy_sci_15_19,C16_M_NatPhy_sci_20_24,C16_M_NatPhy_sci_25_34,C16_M_NatPhy_sci_35_44,C16_M_NatPhy_sci_45_54,C16_M_NatPhy_sci_55_64,C16_M_NatPhy_sci_65_74,C16_M_NatPhy_sci_75_84,C16_M_NatPhy_sci_85over,C16_M_NatPhy_sci_Tot,C16_M_InfTec_15_19,C16_M_InfTec_20_24,C16_M_InfTec_25_34,C16_M_InfTec_35_44,C16_M_InfTec_45_54,C16_M_InfTec_55_64,C16_M_InfTec_65_74,C16_M_InfTec_75_84,C16_M_InfTec_85over,C16_M_InfTec_Tot,C16_M_EngRT_15_19,C16_M_EngRT_20_24,C16_M_EngRT_25_34,C16_M_EngRT_35_44,C16_M_EngRT_45_54,C16_M_EngRT_55_64,C16_M_EngRT_65_74,C16_M_EngRT_75_84,C16_M_EngRT_85over,C16_M_EngRT_Tot,C16_M_ArchBuild_15_19,C16_M_ArchBuild_20_24,C16_M_ArchBuild_25_34,C16_M_ArchBuild_35_44,C16_M_ArchBuild_45_54,C16_M_ArchBuild_55_64,C16_M_ArchBuild_65_74,C16_M_ArchBuild_75_84,C16_M_ArchBuild_85over,C16_M_ArchBuild_Tot,C16_M_AgEnv_RS_15_19,C16_M_AgEnv_RS_20_24,C16_M_AgEnv_RS_25_34,C16_M_AgEnv_RS_35_44,C16_M_AgEnv_RS_45_54,C16_M_AgEnv_RS_55_64,C16_M_AgEnv_RS_65_74,C16_M_AgEnv_RS_75_84,C16_M_AgEnv_RS_85over,C16_M_AgEnv_RS_Tot
501011001,0,0,4,17,7,8,5,0,0,47,0,0,4,3,4,4,0,0,0,9,0,11,33,41,65,84,42,15,6,300,0,3,18,30,38,26,8,8,0,129,0,4,21,28,19,13,8,6,0,100,0,0,0,8,4,4,5,4,0,29,0,0,0,3,13,15,12,3,0,52,0,0,4,16,18,11,7,3,0,56,0,0,4,6,12,17,8,0,0,43,0,0,0,3,4,0,3,6,0,15,0,3,9,21,13,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,18,13,18,33,46,39,19,18,6,206,24,30,114,207,234,223,126,62,16,1037,0,0,8,23,12,10,12,4,0,63,0,3,3,0,0,3,0,0,0,15,3,8,52,75,72,89,72,28,7,406,0,3,27,42,42,34,23,4,0,185,3,3,12,38,22,11,11,6,0,107
501011003,0,4,20,22,18,13,14,0,0,95,0,0,0,7,4,9,0,0,0,22,4,18,62,116,114,101,67,22,7,517,0,22,55,95,83,53,32,9,0,347,0,3,32,42,23,20,12,7,0,150,0,0,10,26,17,18,16,5,0,89,0,0,5,11,14,34,19,5,3,87,0,5,29,58,51,43,40,10,0,242,0,3,13,22,20,18,13,3,0,90,0,0,11,15,0,11,3,3,0,44,3,8,33,49,19,11,3,3,0,130,0,0,0,0,0,0,0,0,0,5,0,0,6,4,3,6,0,0,0,23,27,25,33,56,41,46,26,10,6,267,45,96,323,525,403,373,235,77,21,2095,0,0,17,32,34,21,18,6,3,124,0,0,6,4,7,4,4,0,0,29,3,31,105,142,165,138,101,57,12,748,4,18,78,93,89,78,39,16,0,408,0,5,32,43,38,33,16,9,0,174
501011004,0,4,24,17,12,11,6,0,0,79,0,0,5,4,0,0,0,0,0,15,6,8,72,127,108,77,26,14,3,447,4,17,73,70,87,42,3,3,0,305,0,3,46,34,17,9,5,0,0,118,0,4,8,25,10,8,8,3,0,59,0,0,8,18,22,26,12,6,0,93,3,0,22,30,17,29,9,3,3,120,0,0,13,15,10,13,7,0,0,66,0,3,9,12,5,6,0,0,0,44,0,4,33,40,19,0,0,6,0,109,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,4,0,0,0,12,27,20,71,72,50,34,19,12,4,313,40,65,389,480,368,264,107,54,18,1783,0,4,36,40,13,13,17,3,0,134,6,0,0,7,5,0,0,0,0,22,5,17,83,134,109,91,51,20,8,525,0,12,77,97,82,82,26,7,3,381,0,5,35,58,23,18,4,3,0,146
501011293,0,0,5,0,0,8,5,5,0,22,0,5,0,3,6,3,3,0,0,20,3,27,64,76,91,96,55,32,9,449,7,32,31,38,37,34,35,23,0,227,3,5,22,12,20,9,7,4,0,79,0,0,5,8,13,8,6,0,0,45,0,0,8,12,15,15,6,6,0,62,3,8,23,29,31,25,16,3,0,140,0,8,6,3,7,11,9,0,0,45,0,0,6,3,9,6,3,0,0,25,0,4,20,23,14,15,4,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,3,0,0,17,26,18,27,32,35,31,28,42,5,238,48,100,211,245,282,261,171,116,18,1448,0,0,4,7,9,4,11,5,4,38,4,0,12,0,3,0,0,0,0,24,15,37,88,94,107,127,103,51,7,617,4,25,46,49,65,45,35,18,0,297,0,3,12,19,22,16,9,3,0,88
501011294,0,0,11,10,13,9,4,3,0,51,3,4,11,10,0,3,0,0,0,44,11,41,140,185,177,150,134,55,14,899,10,49,81,106,96,78,44,36,13,513,0,9,45,31,31,22,19,17,0,168,0,0,19,27,24,14,8,4,0,100,3,0,16,30,38,38,22,10,0,151,10,4,43,71,64,51,32,7,3,294,5,0,10,23,18,10,8,7,0,91,4,0,14,11,16,0,3,0,0,51,4,9,34,45,38,23,9,7,0,171,0,0,0,0,0,0,0,0,0,6,0,0,0,4,10,5,5,0,0,24,57,27,67,81,72,63,56,61,25,506,99,161,493,625,597,467,348,209,59,3063,0,3,12,15,10,11,12,4,3,72,0,0,10,15,12,3,0,0,0,49,7,67,174,227,222,199,213,100,27,1231,7,34,110,112,96,106,78,35,8,598,0,4,32,49,36,30,24,16,8,202
501021005,0,6,8,12,19,9,6,0,0,60,6,8,18,9,7,0,0,0,0,53,21,97,276,324,312,251,78,29,9,1391,10,44,90,71,84,63,33,11,5,419,3,7,22,18,31,21,11,3,0,115,0,0,12,29,35,13,7,4,0,101,0,0,10,16,32,39,8,6,0,117,5,9,36,77,63,44,18,6,0,259,0,7,16,20,21,26,11,7,0,99,0,0,0,0,6,5,5,0,0,28,4,8,31,34,31,8,8,0,0,121,0,0,0,0,0,0,0,0,0,0,4,0,8,17,11,3,3,0,0,46,54,27,83,92,85,66,47,27,9,502,101,219,610,733,729,551,244,102,26,3306,0,3,10,10,10,12,5,7,0,57,5,17,19,16,6,3,0,0,0,68,27,106,338,345,363,279,175,53,13,1696,15,38,109,92,71,69,31,16,6,440,0,4,27,30,30,32,21,7,0,150
501021007,0,0,3,0,7,8,3,0,0,26,0,3,6,0,3,3,0,0,0,17,8,26,48,66,113,73,49,8,0,387,0,10,24,23,23,30,13,4,0,120,5,3,6,8,13,16,7,0,0,53,0,0,0,4,15,6,3,4,0,32,0,0,0,14,8,12,3,0,0,40,0,5,5,10,21,13,3,6,0,60,0,0,4,6,0,8,4,4,0,30,0,0,0,3,0,0,3,0,0,6,0,4,10,10,4,5,6,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,15,13,26,41,36,42,24,9,0,197,35,54,131,192,242,200,111,26,0,997,0,0,5,4,11,7,7,6,0,30,0,0,5,3,0,0,6,0,0,17,7,26,62,97,99,85,65,13,4,450,5,5,20,19,35,31,18,6,4,137,0,3,12,16,19,16,11,0,0,74
501021008,0,0,8,0,0,0,0,0,0,17,3,4,7,0,9,0,0,0,0,30,9,49,93,77,77,65,36,19,0,424,5,27,43,32,37,21,21,4,0,195,0,7,14,4,8,4,0,0,0,34,0,0,10,7,11,4,0,0,0,30,0,0,14,5,9,9,4,0,0,33,0,4,17,13,12,10,5,3,0,69,0,8,13,12,11,3,0,0,0,42,0,3,0,4,0,5,0,0,0,15,0,10,14,13,10,5,0,0,0,61,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,0,4,14,35,75,174,140,81,57,36,34,24,664,58,189,406,319,260,178,106,64,32,1611,0,7,8,3,0,3,0,0,0,16,6,5,11,11,5,6,0,0,0,38,8,42,98,85,78,92,61,15,7,493,4,16,39,29,31,29,18,6,0,174,0,6,9,15,5,8,0,0,0,46
501021009,0,0,4,5,0,5,0,0,0,21,3,0,5,4,0,4,0,0,0,16,16,111,243,223,247,171,95,23,7,1137,10,23,45,29,51,23,19,8,0,221,0,7,8,16,10,9,4,0,0,46,0,8,11,3,13,5,6,0,0,48,0,0,9,4,11,8,0,0,0,38,0,3,14,17,14,13,3,0,0,70,0,3,4,9,4,7,0,0,0,29,0,0,3,0,0,3,0,0,0,10,4,0,5,15,14,6,7,7,0,51,0,0,0,0,0,0,0,0,0,8,0,0,0,8,8,4,3,0,0,22,34,34,94,81,104,95,40,47,22,548,71,191,445,426,479,361,183,85,22,2267,0,0,3,0,4,3,3,3,0,20,0,8,6,11,0,0,0,0,0,22,20,84,175,166,177,181,133,32,12,982,4,16,40,18,22,33,20,14,0,166,4,4,4,8,10,10,0,0,0,42
501021010,0,0,0,4,4,6,0,0,0,16,0,0,0,0,0,0,0,0,0,4,5,13,45,69,60,59,17,0,0,282,3,5,15,13,19,10,11,0,0,77,0,0,7,12,11,5,5,0,0,34,0,0,0,4,0,3,5,0,0,19,0,0,0,5,10,10,6,0,0,29,0,0,3,12,11,8,4,0,0,32,0,0,0,5,6,3,0,0,0,14,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,13,6,8,25,20,15,17,10,4,117,27,32,84,147,159,119,56,20,9,643,0,0,0,4,6,5,3,0,0,20,0,3,0,0,0,0,0,0,0,10,7,28,45,51,82,59,38,6,0,315,3,0,8,12,15,20,6,3,0,77,0,0,5,12,10,6,7,5,0,44
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,0,0,9,7,7,9,3,0,0,38,3,4,25,9,3,0,0,0,0,41,15,97,210,212,189,135,71,30,8,975,10,40,59,33,65,33,16,12,0,260,0,3,13,6,14,8,0,0,0,52,0,0,7,13,18,9,3,0,0,57,0,0,9,13,8,13,8,6,0,53,3,3,32,45,36,22,10,3,6,164,0,7,11,11,12,12,4,0,0,53,0,6,3,5,0,4,3,0,0,28,4,10,14,20,17,13,5,3,0,85,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,4,0,6,0,19,32,19,53,48,53,43,39,43,28,363,78,187,453,427,428,309,168,105,44,2189,0,0,3,9,10,11,7,4,0,44,0,8,20,17,4,0,0,0,0,49,17,92,259,214,187,161,107,42,14,1097,6,22,92,41,47,49,37,18,0,307,0,3,16,9,10,13,0,3,0,66
501021014,0,0,5,9,3,0,0,0,0,22,0,0,6,7,0,0,0,0,0,14,15,48,104,161,151,96,67,16,3,665,0,9,21,27,38,33,28,10,0,171,6,3,18,15,26,14,5,5,0,94,0,0,0,4,11,6,8,0,0,32,0,0,5,13,10,16,9,0,0,50,3,5,9,17,32,20,13,5,0,110,5,0,0,9,7,3,5,4,0,29,0,0,5,0,0,6,0,0,0,9,4,4,12,18,8,10,11,5,0,70,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,10,37,24,56,58,64,63,50,30,4,382,73,94,242,351,359,263,196,72,14,1660,0,0,6,6,10,4,4,4,0,27,0,0,10,0,5,5,0,0,0,25,16,47,119,185,169,133,89,29,0,790,5,7,34,29,40,36,32,14,6,199,4,4,22,24,24,19,11,6,0,108
501021015,0,0,5,3,3,3,0,0,0,19,0,8,8,6,0,0,0,0,0,29,7,61,126,110,113,94,48,28,7,594,7,35,51,27,33,34,9,4,4,197,3,3,10,6,3,0,4,0,0,35,0,0,10,10,10,5,4,0,0,35,0,0,3,8,16,9,7,0,0,43,0,4,22,23,26,12,3,0,0,95,5,8,14,5,6,6,6,3,0,46,0,0,4,0,0,5,0,0,0,14,3,7,20,19,11,6,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,0,17,35,20,56,46,42,43,28,21,8,298,55,150,341,260,274,223,118,64,19,1508,0,0,0,3,0,3,5,3,0,11,0,7,9,10,7,0,0,0,0,35,13,35,139,116,94,98,84,32,9,625,3,18,45,35,28,35,32,11,3,209,0,0,7,5,3,3,3,4,0,29
