SA2_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
501011001,12,0,0,6,110,5,3,19,27,11,3,3,8,80,4,7,14,26,12,9,8,4,83,604,319,819,488,175,36,23,242,2707
501011003,27,3,3,20,227,5,7,28,37,19,5,0,10,113,0,8,16,26,9,10,3,4,72,1118,487,1536,924,269,57,16,379,4779
501011004,13,4,3,6,110,7,0,19,18,15,0,0,5,68,4,0,9,26,17,13,0,11,89,1106,538,1240,598,189,46,23,301,4038
501011293,17,8,0,19,213,13,3,39,41,24,10,6,14,152,7,4,16,27,27,15,5,10,109,938,432,1186,785,278,91,50,250,4007
501011294,55,23,5,31,480,18,13,79,93,58,20,9,31,321,23,31,86,103,104,36,31,47,468,1871,846,2547,1642,660,175,102,483,8326
501021005,44,14,3,22,282,7,9,51,46,27,16,9,14,177,4,9,14,36,29,16,4,7,110,1728,825,2453,1489,558,165,81,385,7677
501021007,14,0,0,8,82,3,0,11,15,17,8,0,9,62,0,0,7,5,8,11,0,5,38,503,243,643,449,178,59,30,171,2270
501021008,12,10,5,9,124,4,6,21,25,15,16,4,7,87,3,6,20,19,33,21,13,12,129,742,320,707,482,193,103,51,259,2860
501021009,23,13,9,27,178,7,0,16,30,17,14,6,21,106,5,5,10,13,20,3,10,35,101,720,312,1000,759,326,119,48,329,3611
501021010,12,3,0,9,65,0,0,0,14,7,5,6,6,29,0,0,3,3,6,4,0,5,17,290,115,411,259,96,28,17,98,1321
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,31,5,4,24,244,8,7,47,53,45,15,10,34,210,5,3,26,43,19,19,15,49,177,1136,549,1531,994,371,116,72,287,5047
501021014,27,19,6,10,176,4,0,22,31,25,17,11,14,125,0,8,14,19,20,15,19,11,110,841,359,1027,775,324,124,86,286,3810
501021015,24,16,7,7,152,10,9,27,25,24,10,0,6,107,0,0,21,20,18,15,5,11,94,754,344,902,517,247,97,40,179,3073
501021016,9,3,0,17,77,3,3,14,18,6,11,0,11,73,0,0,3,23,7,4,0,17,61,344,154,490,368,154,53,42,152,1756
501021251,16,8,0,9,112,3,6,10,12,5,3,0,3,48,0,0,7,7,5,0,0,3,24,1047,422,1187,663,230,62,43,174,3833
501021252,5,0,0,0,41,0,3,0,5,0,5,0,0,12,3,0,0,3,6,0,4,3,19,319,93,416,241,95,26,18,37,1244
501021253,47,10,15,21,289,9,11,55,68,30,17,11,25,226,10,16,52,92,75,28,27,67,369,1446,595,1652,980,425,131,82,379,5691
501021254,12,7,3,11,76,3,0,10,11,6,0,4,13,54,0,0,0,7,6,4,11,7,31,518,254,534,359,166,68,50,183,2136
501031017,36,3,0,21,190,3,3,32,18,18,4,5,8,97,3,5,10,18,13,6,4,12,73,590,283,843,582,296,62,38,280,2979
501031018,18,3,7,17,146,7,9,16,17,21,8,0,9,95,4,6,18,13,11,6,4,7,72,576,247,732,535,242,65,32,185,2609
501031019,6,6,3,4,94,4,4,18,26,18,6,3,9,87,0,3,14,20,13,13,6,11,77,500,215,582,455,201,88,45,178,2248
501031020,17,6,5,19,140,0,0,17,22,10,3,3,6,65,0,4,4,13,9,5,8,9,56,486,197,556,435,192,60,35,252,2206
502011021,20,10,9,12,186,3,0,23,28,14,7,0,3,78,5,3,0,14,4,0,4,5,31,750,313,1175,708,239,68,25,172,3446
502011022,29,4,0,9,241,10,10,31,32,19,10,0,7,118,6,3,30,25,17,7,4,5,98,944,459,1426,765,280,71,36,179,4154
502011023,43,10,0,25,318,19,17,71,64,49,16,12,38,293,14,9,44,73,52,14,11,74,298,899,468,1182,853,415,131,77,338,4353
502011024,66,23,8,46,645,23,18,111,125,69,20,15,35,410,15,9,65,95,58,25,21,50,333,1896,901,2901,1750,616,179,96,456,8786
502011025,27,15,10,50,281,13,15,43,52,29,11,11,40,214,3,11,36,44,36,20,9,91,256,1135,588,1129,742,356,138,88,581,4762
502011026,24,3,0,16,170,4,6,36,30,11,3,0,17,108,5,0,16,18,10,7,0,5,63,595,253,885,540,215,54,25,205,2776
