SA2_CODE_2021,Netherlands_C11_P,Netherlands_C16_M,Netherlands_C16_F,Netherlands_C16_P,Netherlands_C21_M,Netherlands_C21_F,Netherlands_C21_P,New_Zealand_C11_M,New_Zealand_C11_F,New_Zealand_C11_P,New_Zealand_C16_M,New_Zealand_C16_F,New_Zealand_C16_P,New_Zealand_C21_M,New_Zealand_C21_F,New_Zealand_C21_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Pakistan_C21_M,Pakistan_C21_F,Pakistan_C21_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Philippines_C21_M,Philippines_C21_F,Philippines_C21_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Poland_C21_M,Poland_C21_F,Poland_C21_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,Singapore_C21_M,Singapore_C21_F,Singapore_C21_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,South_Africa_C21_M,South_Africa_C21_F,South_Africa_C21_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Sri_Lanka_C21_M,Sri_Lanka_C21_F,Sri_Lanka_C21_P,Taiwan_C11_M,Taiwan_C11_F,Taiwan_C11_P,Taiwan_C16_M,Taiwan_C16_F,Taiwan_C16_P,Taiwan_C21_M,Taiwan_C21_F,Taiwan_C21_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,Thailand_C21_M,Thailand_C21_F,Thailand_C21_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unitd_Kingdom_C21_M,Unitd_Kingdom_C21_F,Unitd_Kingdom_C21_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Unit_Sts_Amer_C21_M,Unit_Sts_Amer_C21_F,Unit_Sts_Amer_C21_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Vietnam_C21_M,Vietnam_C21_F,Vietnam_C21_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Born_elsewhere_C21_M,Born_elsewhere_C21_F,Born_elsewhere_C21_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Country_birt_ns_C21_M,Country_birt_ns_C21_F,Country_birt_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
501011001,19,5,16,23,14,15,34,75,56,130,85,65,150,90,92,186,0,0,0,0,0,0,0,0,0,0,7,12,11,15,26,5,17,24,0,0,0,3,5,4,0,0,0,3,0,3,5,0,5,5,0,8,16,19,27,25,21,43,28,26,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,4,0,4,13,6,11,12,208,217,432,235,251,487,284,323,610,11,18,27,9,16,26,27,20,50,0,0,0,0,0,0,3,5,7,44,56,96,42,55,102,78,86,165,163,125,292,292,266,564,335,314,655,2243,2194,4439,2731,2704,5432,3291,3307,6595
501011003,29,26,25,46,23,17,40,118,93,209,134,104,238,155,129,281,3,0,3,0,0,0,0,0,4,0,9,6,7,10,13,3,18,20,0,0,4,3,0,8,7,6,17,0,4,3,5,6,11,5,11,16,37,33,71,51,55,106,78,78,156,0,0,4,9,11,15,10,11,14,0,10,7,15,19,35,8,17,30,3,4,8,0,13,13,6,16,20,368,365,728,428,437,865,517,547,1061,31,27,58,36,21,57,35,33,68,0,5,0,0,0,10,0,3,5,98,98,195,114,108,218,147,160,305,240,187,432,450,407,855,500,436,937,4260,4121,8384,5218,5065,10283,5942,5958,11900
501011004,30,12,16,29,17,16,32,121,114,233,132,154,285,154,139,289,0,0,0,0,0,0,0,0,0,22,31,49,27,45,70,30,45,74,0,0,0,0,0,3,3,3,7,3,4,8,0,10,7,4,13,16,32,23,56,47,45,96,64,62,120,3,7,3,3,4,10,8,5,6,10,10,27,25,22,46,4,18,23,0,3,7,7,15,18,7,17,25,283,337,621,358,398,760,413,463,875,20,21,40,24,22,53,46,38,83,3,4,7,3,6,8,6,12,17,72,78,158,118,120,242,210,198,407,324,285,607,421,378,798,467,370,837,3665,3665,7324,4403,4428,8828,5094,5099,10193
501011293,21,18,13,27,16,18,36,88,72,165,115,108,225,110,113,229,0,0,0,0,3,4,7,6,15,10,15,29,25,37,62,26,34,60,0,4,9,5,10,6,0,3,5,7,4,9,5,5,8,5,12,15,34,29,65,40,43,87,66,62,131,3,0,6,0,0,0,0,0,7,0,0,0,0,4,4,0,4,4,0,8,13,4,13,24,11,23,28,318,332,651,383,391,775,424,457,881,10,6,15,15,18,27,21,13,32,0,0,0,8,8,17,5,7,20,46,56,103,64,74,139,80,102,177,177,191,372,337,329,669,288,251,539,3332,3562,6898,4204,4433,8638,4564,4794,9359
501011294,68,38,48,85,32,44,75,179,160,336,216,216,434,230,213,446,0,4,3,4,0,5,4,4,12,20,50,69,29,48,76,24,66,88,3,3,6,3,3,8,4,8,12,5,9,16,6,8,19,8,7,15,71,69,143,82,89,167,84,101,188,0,0,0,12,8,21,11,14,21,0,0,6,7,10,13,0,7,13,3,18,19,6,30,39,3,36,42,567,732,1298,712,817,1529,774,932,1702,14,14,29,21,17,35,25,32,55,13,7,17,15,16,27,17,25,41,92,100,192,106,140,248,142,154,295,375,371,749,614,631,1241,500,441,943,7153,7851,15004,8452,9249,17693,9192,10095,19292
501021005,45,37,30,66,40,36,71,370,310,679,430,403,835,377,350,727,0,0,0,5,0,3,8,5,12,12,32,43,21,58,79,40,89,125,9,4,14,4,8,13,0,8,12,11,5,14,12,13,26,16,16,32,120,118,240,149,163,311,162,174,336,0,6,6,5,5,10,0,7,6,0,0,0,0,9,10,11,31,36,0,3,3,3,15,23,12,29,41,615,617,1234,634,669,1301,605,665,1275,18,16,34,13,25,37,12,25,37,0,3,4,0,5,4,5,8,14,127,147,270,155,167,317,161,169,333,422,375,795,632,591,1229,491,340,830,7379,7461,14843,8701,8892,17588,9521,9730,19256
501021007,14,9,7,19,12,10,24,62,43,108,67,54,125,78,61,136,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,9,6,0,6,3,0,6,0,0,0,0,0,0,6,0,6,3,0,3,30,30,55,26,32,54,33,29,59,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,0,0,0,0,0,0,0,0,0,4,11,178,197,376,165,212,379,176,207,381,3,4,11,6,3,13,6,8,14,0,0,0,4,4,7,0,0,4,19,19,41,32,35,62,40,42,83,214,204,415,209,214,420,200,179,379,2333,2356,4691,2554,2641,5196,2658,2800,5457
501021008,22,17,16,32,5,13,19,98,92,197,87,89,178,96,98,199,0,0,0,3,4,8,8,6,18,41,46,86,57,87,140,42,78,121,4,5,9,4,4,6,3,10,5,3,9,6,4,5,5,6,0,7,21,25,43,23,28,53,35,35,72,0,0,0,0,0,0,9,3,11,0,0,0,5,7,14,0,5,7,3,9,15,0,3,6,0,16,22,200,212,414,192,188,382,177,201,377,12,6,20,6,3,9,8,4,5,6,9,13,0,8,8,7,8,17,48,52,99,59,69,128,57,63,114,263,264,528,293,275,569,253,261,512,3331,3190,6522,3457,3289,6744,3552,3422,6976
501021009,20,12,4,19,18,4,17,175,115,293,113,111,215,102,99,203,0,0,0,3,4,4,3,0,5,25,24,47,14,25,35,14,30,42,13,17,32,12,12,21,6,10,10,4,5,4,0,4,4,0,5,6,28,16,47,22,14,42,27,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,7,7,0,8,9,245,245,485,172,202,373,210,220,431,8,4,11,6,6,14,3,7,13,4,5,7,5,6,7,0,4,4,66,45,107,28,38,61,30,30,63,368,201,567,450,438,884,367,312,679,4903,4221,9127,4436,4365,8798,4468,4347,8812
501021010,20,13,6,17,11,6,20,30,25,59,33,27,65,36,19,53,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,10,10,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,17,24,25,21,44,22,22,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,113,233,103,113,213,125,135,260,3,12,13,3,9,14,8,9,13,0,0,0,0,0,0,0,0,0,17,13,28,15,17,31,15,20,36,92,65,153,134,114,252,132,111,238,1531,1450,2984,1591,1552,3143,1694,1594,3286
