SA2_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
501011001,20,229,184,1225,36,1700,0,0,0,5,0,9,6,0,0,0,0,13,4,0,7,11,0,22,45,9,9,12,4,79,635,243,155,1056,53,2147,7,0,0,0,0,12,22,0,5,15,0,36,69,16,7,100,6,192,5,0,0,13,0,21,0,0,0,0,0,4,3,0,0,6,0,10,103,39,30,305,15,482,39,12,4,61,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,24,4,6,0,5,33,41,17,3,10,0,65,7,4,0,6,0,12,12,0,0,0,0,16,0,0,0,0,0,0,142,36,41,255,4,483,0,0,0,3,0,0,12,0,0,0,0,16,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,10,0,44,114,30,26,41,0,212,11,0,4,36,238,294,1081,401,285,2331,335,4439,32,279
501011003,44,419,339,2612,56,3475,0,4,0,3,0,10,24,7,3,7,0,39,11,7,0,20,0,36,68,24,20,58,0,172,1060,438,295,2026,74,3878,5,3,0,0,0,11,48,3,9,18,0,80,100,35,21,172,4,333,9,5,0,15,0,36,5,4,0,3,0,11,14,0,0,4,0,21,183,73,48,591,10,897,81,38,9,132,0,267,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,11,5,3,0,3,0,8,20,0,0,0,0,20,70,27,14,8,0,114,19,10,5,11,0,43,11,0,3,0,0,20,0,0,0,0,0,0,195,106,67,489,6,858,9,0,0,0,0,12,46,13,3,0,5,72,8,0,4,19,0,31,0,0,0,0,0,0,5,0,4,4,0,11,34,15,4,26,6,76,246,62,64,68,0,440,18,6,3,57,372,463,1908,786,558,4626,510,8384,45,546
501011004,58,347,324,1924,38,2691,0,0,0,0,0,6,57,0,5,11,7,81,10,6,0,22,0,39,76,25,19,48,0,166,966,335,342,1504,54,3206,52,0,9,0,0,56,37,3,7,17,0,69,103,33,25,112,4,282,10,6,3,9,0,33,0,4,0,0,0,7,19,9,0,3,0,31,173,72,54,495,13,818,80,34,14,124,6,247,21,0,0,0,0,21,0,0,0,0,0,5,0,0,0,0,0,6,3,0,5,3,0,10,40,8,4,0,0,56,69,28,19,6,3,123,12,9,4,20,0,47,7,4,0,4,0,10,0,0,0,0,0,0,195,85,65,418,4,771,0,0,0,0,0,0,37,9,5,3,0,57,4,0,0,10,0,21,8,5,0,0,0,14,5,0,0,0,0,5,30,11,5,21,0,67,236,53,46,46,5,386,12,10,7,61,555,653,1866,660,588,3550,666,7324,68,499
501011293,38,338,235,2179,66,2857,0,0,0,18,0,21,19,5,3,13,0,42,6,4,0,9,0,18,51,25,15,25,3,114,933,329,231,1723,83,3304,25,0,0,0,0,26,15,0,0,14,0,27,70,25,9,120,0,219,3,3,6,8,0,17,8,0,0,6,0,9,19,0,0,3,3,23,133,45,33,415,3,631,42,34,6,106,10,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,3,0,3,23,12,0,0,0,31,41,28,13,5,3,86,16,3,0,14,0,42,5,0,0,3,0,13,0,0,0,0,0,0,150,60,36,374,17,644,0,0,0,0,0,5,46,8,5,4,0,63,8,3,4,17,0,35,4,0,0,0,0,4,4,0,0,0,0,4,25,5,3,22,0,47,164,35,25,49,4,274,22,9,5,81,290,401,1572,612,399,3859,446,6898,73,415
501011294,101,751,571,4995,184,6610,0,3,0,27,0,28,46,0,7,6,0,61,12,0,0,15,0,29,140,35,28,104,3,308,1913,759,577,3679,160,7088,70,0,10,0,6,85,18,8,7,31,0,62,95,60,33,234,9,429,8,12,5,23,0,47,8,0,0,6,0,18,19,0,6,9,0,33,271,115,85,882,32,1380,102,76,20,297,9,510,5,0,3,0,0,4,0,5,0,0,0,0,4,0,4,8,0,11,9,5,3,8,0,23,56,20,11,5,0,99,76,52,28,9,0,168,37,10,7,27,0,84,16,4,0,7,0,27,0,3,0,0,0,3,321,130,90,743,24,1308,0,0,0,0,0,0,105,0,0,0,5,115,10,9,0,20,0,37,0,0,0,5,0,10,10,0,0,0,0,11,39,12,11,29,0,90,342,91,51,80,13,580,44,30,18,204,597,892,3226,1355,944,8514,971,15004,114,810
501021005,87,694,542,4725,98,6146,0,3,0,29,13,39,38,0,3,17,3,59,9,5,0,8,0,27,157,40,35,69,7,300,1963,673,515,3442,120,6716,46,0,3,0,0,54,25,9,0,16,0,42,142,33,35,232,5,441,8,8,7,40,0,61,15,0,3,0,0,19,40,8,3,9,3,58,296,89,70,837,12,1303,193,100,36,499,13,850,24,0,5,0,0,27,10,0,4,0,0,18,8,3,0,6,0,14,4,0,3,10,0,13,293,27,16,6,13,353,131,57,29,13,3,233,46,11,3,19,7,91,13,0,0,3,0,20,0,0,3,0,0,0,351,121,106,736,9,1325,7,0,0,3,0,8,154,8,12,4,0,174,9,0,3,15,0,29,5,0,4,0,0,9,0,0,0,0,0,4,53,6,6,33,0,94,314,59,48,103,14,534,39,15,10,152,665,883,3623,1182,913,8203,922,14843,91,821
501021007,32,232,163,1546,50,2021,0,0,0,8,0,8,3,0,0,5,0,7,0,4,0,0,0,7,47,14,11,20,0,98,532,218,168,1200,45,2160,0,0,5,0,0,5,11,0,0,12,0,21,37,10,14,73,4,141,4,0,0,3,0,10,0,0,0,4,0,0,5,0,3,0,0,6,72,21,26,274,11,408,27,22,5,110,0,162,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,10,7,0,10,0,0,18,25,26,7,12,4,61,7,9,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,94,33,25,253,12,419,0,0,0,0,0,0,28,3,0,0,0,33,0,0,0,7,0,13,0,0,0,3,0,6,0,0,0,0,0,0,19,3,0,10,4,40,61,25,15,22,7,124,13,10,6,65,354,439,867,398,271,2710,442,4691,26,262
501021008,32,225,190,1929,94,2472,0,0,0,21,0,18,29,4,0,4,0,40,3,0,0,0,0,3,39,13,12,27,0,96,592,239,194,1473,89,2591,79,0,0,0,0,79,8,0,3,5,0,28,51,11,10,93,7,173,4,9,0,11,0,19,4,0,0,0,0,6,41,0,0,0,0,48,101,39,34,333,24,533,78,26,18,158,9,286,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,76,8,6,0,0,87,47,7,13,0,0,67,22,4,0,12,0,39,3,0,0,3,0,6,0,0,0,0,0,0,130,36,47,307,11,531,0,0,0,0,0,0,21,4,0,0,0,27,6,0,7,7,0,18,0,0,0,0,0,4,11,0,0,0,0,14,19,6,4,23,0,51,160,34,22,43,9,265,26,11,5,73,808,931,1350,433,348,3390,997,6522,61,313
501021009,54,356,271,3186,116,3985,0,3,0,30,0,37,30,3,0,0,0,33,3,3,0,7,0,13,59,24,6,23,0,111,779,345,262,2271,89,3741,45,0,8,0,0,52,10,3,0,7,0,25,96,43,9,174,9,324,0,0,0,3,0,10,9,4,0,0,0,13,24,13,5,4,0,43,136,58,23,450,20,685,138,64,13,242,9,459,23,0,0,0,0,26,5,0,0,4,0,6,0,4,0,0,0,5,10,3,0,3,0,13,110,10,0,4,3,127,55,9,12,0,3,88,111,7,3,24,0,147,6,4,0,0,0,13,0,0,0,0,0,7,165,89,75,536,14,881,7,0,0,0,0,7,29,3,7,0,0,34,9,0,0,10,0,16,0,0,0,0,0,3,3,0,0,0,0,3,42,20,9,44,0,118,181,33,25,53,12,303,52,19,17,169,428,691,1782,693,471,5524,654,9127,63,394
501021010,18,131,95,964,23,1233,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,3,51,15,20,16,0,102,330,129,120,861,28,1461,0,0,0,4,0,8,8,0,4,3,0,10,20,4,4,37,0,71,0,0,6,0,0,6,0,0,0,0,0,0,5,0,0,0,0,8,38,10,11,223,9,288,34,25,15,142,8,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,3,3,18,9,4,0,0,0,15,12,3,0,0,0,16,14,0,0,0,0,15,0,0,0,0,0,0,63,20,23,170,0,283,0,0,0,0,0,0,17,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,8,0,3,6,3,16,44,6,4,11,0,71,3,0,4,25,131,171,580,231,202,1778,186,2984,23,140
