SA2_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
501011001,4,0,0,0,10,3,14,3,3,14,4,11,18,9,23,33,0,0,0,0,0,0,0,0,0,6,10,19,4,14,20,12,25,44,191,138,328,252,244,493,322,303,627,547,519,1065,707,740,1447,896,946,1849
501011003,6,7,5,14,4,3,8,11,20,30,15,28,44,12,42,59,0,0,0,0,0,0,0,3,4,9,24,41,25,37,60,23,51,73,284,226,510,439,389,833,469,393,868,1196,1142,2337,1486,1513,2999,1770,1745,3512
501011004,6,3,3,10,12,10,21,18,22,39,10,29,34,23,40,61,0,0,0,0,0,0,0,0,0,18,29,45,10,32,47,33,51,80,371,324,690,419,383,800,442,356,802,1170,1169,2339,1400,1367,2765,1588,1568,3152
501011293,8,15,12,20,12,7,21,3,14,22,8,17,29,14,33,45,0,0,0,0,0,0,0,0,0,11,17,28,21,27,49,30,37,64,237,242,476,357,358,715,295,246,541,905,952,1857,1237,1289,2524,1216,1235,2448
501011294,10,9,19,30,22,28,51,24,40,58,16,38,50,32,66,91,0,0,3,4,0,4,0,0,3,25,45,71,29,56,82,52,91,147,464,482,943,658,719,1374,508,465,973,2002,2113,4111,2461,2694,5156,2519,2662,5186
501021005,7,4,12,20,24,17,42,15,34,49,21,42,57,52,56,112,0,0,0,0,0,0,0,0,0,19,44,61,21,54,73,76,73,150,506,457,965,637,634,1273,503,353,857,2248,2248,4496,2675,2797,5471,2865,2883,5751
501021007,4,5,4,5,4,5,9,7,8,13,8,14,18,6,19,24,0,0,0,0,0,0,3,0,6,5,12,21,9,10,27,13,31,40,222,222,449,210,206,423,209,181,384,668,713,1392,742,800,1545,761,813,1583
501021008,11,0,13,17,3,7,11,6,16,24,9,12,23,14,26,37,0,3,3,0,0,0,0,0,0,18,23,42,17,23,38,20,28,49,655,388,1037,623,302,923,773,279,1058,1147,977,2125,1154,918,2071,1352,957,2306
501021009,11,0,0,3,14,11,26,3,7,16,5,15,21,13,27,35,0,0,0,0,0,0,0,0,0,8,10,19,10,21,28,23,38,62,470,292,760,443,473,913,390,353,750,1333,1121,2460,1246,1287,2531,1200,1175,2377
501021010,5,0,3,9,6,7,13,0,6,6,4,8,13,3,7,11,0,0,0,0,0,0,0,0,0,4,11,11,6,16,19,7,16,18,104,80,184,126,103,231,119,101,225,458,428,884,449,481,928,459,448,902
