SA2_CODE_2021,C11_CF_1F1NW_800_1249,C11_CF_1F1NW_1250_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000more,C11_CF_1F1NW_Ns,C11_CF_1F1NW_Tot,C11_CF_1P1NW_Neg_ni_inc,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_399,C11_CF_1P1NW_400_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_1249,C11_CF_1P1NW_1250_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000more,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_Neg_ni_inc,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_399,C11_CF_1A1NW_400_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_1249,C11_CF_1A1NW_1250_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000more,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_Neg_ni_inc,C11_CF_BA_1_149,C11_CF_BA_150_399,C11_CF_BA_400_649,C11_CF_BA_650_799,C11_CF_BA_800_1249,C11_CF_BA_1250_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000more,C11_CF_BA_Ns,C11_fc_BA_Tot,C11_CF_BNW_Neg_ni_inc,C11_CF_BNW_1_149,C11_CF_BNW_150_399,C11_CF_BNW_400_649,C11_CF_BNW_650_799,C11_CF_BNW_800_1249,C11_CF_BNW_1250_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000more,C11_CF_BNW_Ns,C11_CF_BNW_Tot,C11_CF_LFns_Neg_ni_inc,C11_CF_LFns_1_149,C11_CF_LFns_150_399,C11_CF_LFns_400_649,C11_CF_LFns_650_799,C11_CF_LFns_800_1249,C11_CF_LFns_1250_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_CF_Tot_Neg_ni_inc,C11_CF_Tot_1_149,C11_CF_Tot_150_399,C11_CF_Tot_400_649,C11_CF_Tot_650_799,C11_CF_Tot_800_1249,C11_CF_Tot_1250_1999,C11_CF_Tot_2000_2499,C11_CF_Tot_2500_2999,C11_CF_Tot_3000_3999,C11_CF_Tot_4000more,C11_CF_TotFI_Ns,C11_CF_Tot_Tot,C11_1PF_F_Neg_ni_inc,C11_1PF_F_1_149,C11_1PF_F_150_399,C11_1PF_F_400_649,C11_1PF_F_650_799,C11_1PF_F_800_1249,C11_1PF_F_1250_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_Neg_ni_inc,C11_1PF_P_1_149,C11_1PF_P_150_399,C11_1PF_P_400_649,C11_1PF_P_650_799,C11_1PF_P_800_1249,C11_1PF_P_1250_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_Neg_ni_inc,C11_1PF_A_1_149,C11_1PF_A_150_399,C11_1PF_A_400_649,C11_1PF_A_650_799,C11_1PF_A_800_1249,C11_1PF_A_1250_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_Neg_ni_inc,C11_1PF_U_1_149,C11_1PF_U_150_399,C11_1PF_U_400_649,C11_1PF_U_650_799,C11_1PF_U_800_1249,C11_1PF_U_1250_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000more,C11_1PF_U_Ns,C11_1PF_U_Tot,C11_1PF_N_lf_Fi_Neg_ni_inc,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_399,C11_1PF_N_lf_Fi_400_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_1249,C11_1PF_N_lf_Fi_1250_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_lf_Tot,C11_1PF_LFns_Neg_ni_inc,C11_1PF_LFns_1_149,C11_1PF_LFns_150_399,C11_1PF_LFns_400_649,C11_1PF_LFns_650_799,C11_1PF_LFns_800_1249,C11_1PF_LFns_1250_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_LFns_3000_3999,C11_1PF_LFns_4000more,C11_1PF_LFns_Ns,C11_1PF_LF_NS_Tot,C11_1PF_TotFI_Neg_ni_inc,C11_1PF_TotFI_1_149,C11_1PF_TotFI_150_399,C11_1PF_TotFI_400_649,C11_1PF_TotFI_650_799,C11_1PF_TotFI_800_1249,C11_1PF_TotFI_1250_1999,C11_1PF_TotFI_2000_2499,C11_1PF_TotFI_2500_2999,C11_1PF_TotFI_3000_3999,C11_1PF_TotFI_4000more,C11_1PF_TotFI_Ns,C11_1PF_TotFI_Tot,C11_TotFI_Neg_ni_inc,C11_TotFI_1_149,C11_TotFI_150_399,C11_TotFI_400_649,C11_TotFI_650_799,C11_TotFI_800_1249,C11_TotFI_1250_1999,C11_TotFI_2000_2499,C11_TotFI_2500_2999,C11_TotFI_3000_3999,C11_TotFI_4000more,C11_TotFI_Ns,C11_Tot_Tot,C16_CFNC_BF_Neg_ni_inc,C16_CFNC_BF_1_149,C16_CFNC_BF_150_399,C16_CFNC_BF_400_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_1249,C16_CFNC_BF_1250_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999
501011001,17,17,3,10,0,0,0,65,0,0,0,0,0,6,5,0,0,0,0,4,20,0,0,0,0,0,3,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,58,58,5,4,6,12,20,68,116,46,40,28,5,96,455,0,0,0,6,0,7,9,0,3,0,0,3,24,0,0,7,9,14,5,0,0,0,0,0,7,50,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,3,10,4,4,3,0,0,0,0,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,23,24,12,0,7,0,0,15,118,20,8,49,137,100,224,265,93,62,45,18,197,1211,8,0,0,3,7,7,25,25,16,12
501011003,37,63,10,31,9,3,13,175,0,0,0,4,0,12,14,3,4,0,0,3,42,0,0,0,0,0,0,10,0,9,0,0,0,27,0,0,0,0,0,0,0,5,6,0,0,0,15,0,0,0,4,3,4,9,0,0,5,5,5,31,0,0,0,0,0,0,0,0,0,0,0,137,140,8,0,6,25,25,117,289,123,106,84,45,219,1047,4,0,0,0,7,12,11,0,3,7,0,9,56,0,4,5,29,18,23,8,0,4,0,0,8,89,0,0,0,0,4,0,0,0,0,0,0,4,13,0,0,3,3,0,0,0,0,0,0,0,0,12,0,0,8,19,11,9,0,0,0,0,0,5,52,0,0,0,0,0,0,0,0,0,0,0,6,10,10,6,20,55,35,41,17,4,5,5,0,28,228,28,8,60,173,117,347,539,235,167,169,76,357,2269,3,0,6,0,0,15,40,48,20,41
501011004,38,53,12,21,0,0,9,152,0,0,0,11,10,9,9,4,4,0,0,3,55,0,0,0,0,4,9,10,0,4,4,0,3,32,0,0,0,0,0,0,3,4,0,0,0,6,16,0,0,0,4,0,9,4,0,0,0,0,4,33,0,0,0,0,0,0,4,0,0,0,0,116,121,3,0,0,25,38,139,230,98,79,60,19,179,871,0,0,7,6,13,25,23,6,0,4,0,11,89,0,0,14,24,23,22,9,0,0,0,0,11,102,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,0,0,0,0,0,0,0,0,12,6,0,11,30,15,12,8,0,0,5,0,6,80,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,34,60,55,60,32,3,0,5,0,35,296,15,6,60,136,118,324,436,180,125,108,23,302,1836,0,0,0,0,0,8,38,65,28,28
501011293,25,53,10,29,3,4,12,140,0,0,3,7,4,9,8,3,4,0,0,9,42,0,0,0,0,0,0,5,0,3,0,0,6,18,0,0,0,0,0,0,6,4,0,0,0,0,11,0,0,0,8,6,4,5,0,0,0,0,5,31,0,0,0,0,0,0,0,0,0,0,0,92,98,3,4,8,16,22,64,204,89,84,50,30,158,725,0,0,0,3,8,28,17,3,0,0,0,15,75,0,0,6,19,21,12,3,0,0,0,0,0,65,0,0,0,5,0,5,0,0,0,0,0,0,12,0,5,9,8,4,3,0,0,0,0,0,5,22,5,0,32,35,19,18,3,0,0,0,0,14,124,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,47,65,52,64,21,3,0,0,0,39,302,16,12,76,244,159,303,387,186,115,94,48,273,1909,0,0,0,0,0,0,23,41,21,27
501011294,84,128,11,46,6,5,21,336,0,0,0,9,6,25,12,3,11,0,0,4,72,0,0,0,0,3,7,13,0,3,0,0,0,31,0,0,0,0,0,3,4,5,0,0,0,5,29,0,0,5,19,12,21,20,6,5,0,0,9,93,0,0,0,0,0,0,0,0,0,0,0,191,196,3,4,9,49,61,240,432,220,164,143,40,323,1680,0,0,0,11,11,50,37,8,8,4,0,24,159,0,3,29,49,51,45,16,5,0,0,0,19,219,0,0,0,0,4,9,6,0,0,0,0,3,17,0,6,8,8,3,0,0,0,0,0,0,8,25,9,0,40,62,28,29,8,0,0,0,0,24,197,0,0,0,0,0,0,0,0,0,0,0,7,11,6,9,76,126,93,132,73,14,8,4,0,86,627,26,14,129,470,347,703,818,365,246,220,70,600,4010,0,0,0,0,0,5,59,61,53,53
501021005,50,177,24,146,31,8,33,476,0,0,0,5,4,16,13,3,9,4,0,4,48,0,0,0,0,0,3,14,3,13,0,0,6,46,0,0,0,0,0,3,4,0,3,6,4,11,28,3,0,0,5,10,15,16,4,5,0,0,14,68,0,0,0,0,0,0,0,0,0,0,0,215,221,11,4,6,10,23,136,470,262,354,292,87,367,2024,0,0,3,0,17,38,54,6,13,5,0,20,159,0,0,12,30,29,30,24,7,0,0,0,14,146,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,8,7,4,0,0,0,0,0,0,0,23,10,5,37,45,23,24,6,5,0,5,0,12,155,0,0,0,0,0,0,0,0,0,0,0,3,3,9,12,53,87,68,98,82,14,13,12,0,52,500,29,12,88,302,213,459,855,480,500,496,127,591,4150,3,0,0,0,0,8,57,71,65,92
501021007,21,57,8,21,5,0,5,131,0,0,0,0,4,8,0,6,0,0,0,4,14,0,0,0,0,0,3,6,0,5,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,4,3,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,60,60,3,0,5,9,19,61,143,62,70,50,6,100,530,0,0,4,0,3,19,17,0,8,0,0,5,53,0,0,4,19,7,11,0,0,0,0,0,7,47,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,4,7,4,0,0,0,0,0,0,0,9,3,0,15,20,8,5,3,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,52,30,36,20,0,7,0,0,14,184,10,3,44,157,102,184,283,121,112,90,14,177,1292,0,0,0,0,0,6,24,24,22,27
501021008,36,48,9,18,6,4,12,139,0,0,0,5,3,5,8,0,0,0,0,0,25,0,0,0,0,0,0,4,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,10,7,17,5,0,0,0,0,6,62,0,0,0,0,0,0,0,0,0,0,0,46,49,0,3,9,16,18,91,157,62,59,42,10,98,554,0,0,0,0,13,22,23,5,7,0,0,7,78,0,0,10,27,17,18,6,0,0,0,0,6,95,0,0,0,0,3,4,0,0,0,0,0,0,11,0,0,5,9,0,4,0,0,0,0,0,5,26,0,0,24,36,20,21,13,0,0,0,0,15,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,78,57,66,48,8,10,0,0,31,337,5,0,67,192,123,274,334,130,101,82,23,204,1538,0,0,0,0,0,0,32,22,15,20
501021009,17,87,23,85,18,6,18,268,0,0,0,4,0,13,15,3,3,4,0,3,40,0,0,0,0,0,0,5,3,10,3,0,4,31,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,4,15,7,21,9,3,0,4,0,10,70,0,0,0,0,0,3,0,0,4,0,0,60,64,6,0,3,20,15,75,221,86,201,169,72,142,1006,0,0,0,3,4,14,22,6,12,3,0,17,88,0,0,19,29,10,8,3,0,0,0,0,4,74,0,0,0,6,0,0,0,0,4,0,0,0,9,0,0,4,5,0,0,0,0,0,0,0,0,18,6,0,35,28,20,24,8,4,4,5,0,26,161,0,0,0,0,0,0,0,0,0,0,0,10,8,6,0,56,75,34,50,42,10,16,9,0,49,355,19,4,87,285,115,256,393,180,324,276,83,301,2324,0,0,0,0,0,4,21,20,11,38
501021010,11,31,8,20,0,0,9,87,0,0,0,0,0,7,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,3,6,0,0,0,0,0,8,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,35,35,4,0,0,8,4,39,92,47,52,52,11,80,383,0,0,0,4,3,3,8,3,5,0,0,0,36,0,0,0,0,4,10,6,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,4,14,0,3,0,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,13,19,12,4,7,0,0,12,97,4,0,17,74,43,108,166,88,75,84,21,128,815,4,0,0,0,0,4,11,18,16,13
