SA2_CODE_2021,C21_Aus_Bplace_NS,C21_Aus_Tot_resp,C21_Aus_Ab_BP_B_OS,C21_Aus_Ab_Fa_O_B_OS,C21_Aus_Ab_Mo_O_B_OS,C21_Aus_Ab_BP_B_Aus,C21_Aus_Abor_Bplace_NS,C21_Aus_Abor_Tot_respons,C21_Chi_BP_B_OS,C21_Chi_Fa_O_B_OS,C21_Chi_Mo_O_B_OS,C21_Chi_BP_B_Aus,C21_Chi_Bplace_NS,C21_Chi_Tot_resp,C21_Cro_BP_B_OS,C21_Cro_Fa_O_B_OS,C21_Cro_Mo_O_B_OS,C21_Cro_BP_B_Aus,C21_Cro_Bplace_NS,C21_Cro_Tot_resp,C21_Dut_BP_B_OS,C21_Dut_Fa_O_B_OS,C21_Dut_Mo_O_B_OS,C21_Dut_BP_B_Aus,C21_Dut_Bplace_NS,C21_Dut_Tot_resp,C21_Eng_BP_B_OS,C21_Eng_Fa_O_B_OS,C21_Eng_Mo_O_B_OS,C21_Eng_BP_B_Aus,C21_Eng_Bplace_NS,C21_Eng_Tot_resp,C21_Fil_BP_B_OS,C21_Fil_Fa_O_B_OS,C21_Fil_Mo_O_B_OS,C21_Fil_BP_B_Aus,C21_Fil_Bplace_NS,C21_Fil_Tot_resp,C21_Fre_BP_B_OS,C21_Fre_Fa_O_B_OS,C21_Fre_Mo_O_B_OS,C21_Fre_BP_B_Aus,C21_Fre_Bplace_NS,C21_Fre_Tot_resp,C21_Ger_BP_B_OS,C21_Ger_Fa_O_B_OS,C21_Ger_Mo_O_B_OS,C21_Ger_BP_B_Aus,C21_Ger_Bplace_NS,C21_Ger_Tot_resp,C21_Gre_BP_B_OS,C21_Gre_Fa_O_B_OS,C21_Gre_Mo_O_B_OS,C21_Gre_BP_B_Aus,C21_Gre_Bplace_NS,C21_Gre_Tot_resp,C21_Hun_BP_B_OS,C21_Hun_Fa_O_B_OS,C21_Hun_Mo_O_B_OS,C21_Hun_BP_B_Aus,C21_Hun_Bplace_NS,C21_Hun_Tot_resp,C21_Ind_BP_B_OS,C21_Ind_Fa_O_B_OS,C21_Ind_Mo_O_B_OS,C21_Ind_BP_B_Aus,C21_Ind_Bplace_NS,C21_Ind_Tot_resp,C21_Iri_BP_B_OS,C21_Iri_Fa_O_B_OS,C21_Iri_Mo_O_B_OS,C21_Iri_BP_B_Aus,C21_Iri_Bplace_NS,C21_Iri_Tot_resp,C21_Ita_BP_B_OS,C21_Ita_Fa_O_B_OS,C21_Ita_Mo_O_B_OS,C21_Ita_BP_B_Aus,C21_Ita_Bplace_NS,C21_Ita_Tot_resp,C21_Kor_BP_B_OS,C21_Kor_Fa_O_B_OS,C21_Kor_Mo_O_B_OS,C21_Kor_BP_B_Aus,C21_Kor_Bplace_NS,C21_Kor_Tot_resp,C21_Leb_BP_B_OS,C21_Leb_Fa_O_B_OS,C21_Leb_Mo_O_B_OS,C21_Leb_BP_B_Aus,C21_Leb_Bplace_NS,C21_Leb_Tot_resp,C21_Mac_BP_B_OS,C21_Mac_Fa_O_B_OS,C21_Mac_Mo_O_B_OS,C21_Mac_BP_B_Aus,C21_Mac_Bplace_NS,C21_Mac_Tot_resp,C21_Mal_BP_B_OS,C21_Mal_Fa_O_B_OS,C21_Mal_Mo_O_B_OS,C21_Mal_BP_B_Aus,C21_Mal_Bplace_NS,C21_Mal_Tot_resp,C21_Mao_BP_B_OS,C21_Mao_Fa_O_B_OS,C21_Mao_Mo_O_B_OS,C21_Mao_BP_B_Aus,C21_Mao_Bplace_NS,C21_Mao_Tot_resp,C21_NZ_BP_B_OS,C21_NZ_Fa_O_B_OS,C21_NZ_Mo_O_B_OS,C21_NZ_BP_B_Aus,C21_NZ_Bplace_NS,C21_NZ_Tot_resp,C21_Pol_BP_B_OS,C21_Pol_Fa_O_B_OS,C21_Pol_Mo_O_B_OS,C21_Pol_BP_B_Aus,C21_Pol_Bplace_NS,C21_Pol_Tot_resp,C21_Rus_BP_B_OS,C21_Rus_Fa_O_B_OS,C21_Rus_Mo_O_B_OS,C21_Rus_BP_B_Aus,C21_Rus_Birthplac_ns,C21_Rus_Tot_resp,C21_Sam_BP_B_OS,C21_Sam_Fa_O_B_OS,C21_Sam_Mo_O_B_OS,C21_Sam_BP_B_Aus,C21_Sam_Birthplac_ns,C21_Sam_Tot_resp,C21_Sco_BP_B_OS,C21_Sco_Fa_O_B_OS,C21_Sco_Mo_O_B_OS,C21_Sco_BP_B_Aus,C21_Sco_Birthplac_ns,C21_Sco_Tot_resp,C21_Ser_BP_B_OS,C21_Ser_Fa_O_B_OS,C21_Ser_Mo_O_B_OS,C21_Ser_BP_B_Aus,C21_Ser_Bplace_NS,C21_Ser_Tot_resp,C21_SAf_BP_B_OS,C21_SAf_Fa_O_B_OS,C21_SAf_Mo_O_B_OS,C21_SAf_BP_B_Aus,C21_SAf_Bplace_NS,C21_SAf_Tot_resp,C21_Span_BP_B_OS,C21_Span_Fa_O_B_OS,C21_Span_Mo_O_B_OS,C21_Span_BP_B_Aus,C21_Span_Bplace_NS,C21_Span_Tot_resp,C21_SriL_BP_B_OS,C21_SriL_Fa_O_B_OS,C21_SriL_Mo_O_B_OS,C21_SriL_BP_B_Aus,C21_SriL_Bplace_NS,C21_SriL_Tot_resp,C21_Viet_BP_B_OS,C21_Viet_Fa_O_B_OS,C21_Viet_Mo_O_B_OS,C21_Viet_BP_B_Aus,C21_Viet_Bplace_NS,C21_Viet_Tot_resp,C21_Wel_BP_B_OS,C21_Wel_Fa_O_B_OS,C21_Wel_Mo_O_B_OS,C21_Wel_BP_B_Aus,C21_Wel_Bplace_NS,C21_Wel_Tot_resp,C21_Oth_BP_B_OS,C21_Oth_Fa_O_B_OS,C21_Oth_Mo_O_B_OS,C21_Oth_BP_B_Aus,C21_Oth_Bplace_NS,C21_Oth_Tot_resp,C21_Anc_ns_BP_B_OS,C21_Anc_ns_Fa_O_B_OS,C21_Anc_ns_Mo_O_B_OS,C21_Anc_ns_BP_B_Aus,C21_Anc_ns_Bplace_NS,C21_Anc_NS_Tot_resp,C21_Tot_P_BP_B_OS,C21_Tot_P_Fa_O_B_OS,C21_Tot_P_Mo_O_B_OS,C21_Tot_P_BP_B_Aus,C21_Tot_P_Bplace_NS,C21_Tot_P_Tot_resp
501011001,24,2522,0,3,0,62,0,63,28,0,0,0,0,32,16,5,3,16,0,35,77,25,16,31,3,156,945,320,273,1604,49,3195,25,0,6,4,0,32,46,4,7,5,0,64,105,19,24,137,0,282,12,0,3,12,0,27,4,0,0,0,0,5,9,6,0,5,0,17,161,52,41,435,5,694,70,20,3,96,0,188,4,0,5,0,0,11,0,0,0,0,0,0,5,3,0,5,0,18,3,0,0,0,0,8,19,12,3,0,0,37,48,20,16,12,0,96,20,9,0,13,0,35,12,0,0,10,0,23,0,0,0,0,0,0,183,51,53,411,8,708,4,0,0,0,0,4,25,10,5,0,0,38,14,0,3,7,0,28,0,0,0,0,0,7,10,0,0,0,0,10,36,3,3,23,0,71,200,52,43,62,4,363,3,3,3,30,549,589,1628,540,457,3338,625,6595
501011003,55,4620,0,11,7,82,0,101,36,4,3,7,0,57,9,8,3,33,0,58,117,40,29,61,0,248,1664,592,482,2909,64,5709,21,0,15,4,0,38,85,7,6,20,0,122,182,42,44,219,9,487,23,3,0,28,0,60,13,3,0,13,0,23,35,0,6,11,0,49,344,115,72,793,7,1326,153,46,24,227,6,458,15,0,0,0,0,15,5,0,0,3,0,7,3,0,0,3,0,7,0,4,7,13,0,15,41,3,4,0,0,51,92,44,33,6,6,187,37,11,10,19,3,84,12,3,5,10,0,28,0,0,0,0,0,0,367,132,100,677,10,1282,13,0,0,0,0,16,101,16,17,6,0,142,22,0,0,19,0,48,7,3,0,0,0,14,8,0,4,5,0,15,58,17,7,30,0,113,451,102,116,108,6,785,26,6,8,39,778,859,3012,1065,863,6058,902,11900
501011004,23,3524,5,6,7,132,0,144,77,6,3,14,3,103,11,11,8,49,0,76,117,34,15,97,0,259,1441,500,513,2104,33,4588,92,0,11,6,0,111,105,4,24,22,0,154,204,28,38,165,0,435,14,13,5,20,0,46,10,5,6,4,0,30,36,3,3,7,0,53,299,110,91,617,4,1130,219,56,30,162,5,467,28,0,0,0,0,31,4,0,0,0,0,4,4,0,3,5,0,8,10,0,0,10,0,23,46,21,7,0,0,74,88,37,18,12,0,156,40,14,10,28,0,93,13,0,0,4,0,21,0,0,0,0,0,0,338,121,79,576,9,1123,6,0,7,0,0,8,58,18,11,3,0,83,65,3,5,7,0,86,11,5,0,5,0,15,16,0,0,0,3,14,60,12,8,34,6,109,542,98,122,117,3,878,31,13,10,52,759,860,3043,942,882,4485,834,10193
501011293,28,3561,0,14,6,216,4,240,62,5,10,5,0,84,11,0,0,19,0,36,99,21,17,60,0,205,1233,482,355,2442,43,4562,59,3,7,0,0,68,38,9,3,19,0,65,121,32,23,167,0,336,8,9,6,16,0,32,15,5,0,4,0,20,48,5,3,0,0,58,234,83,65,608,10,997,65,36,18,176,0,296,12,0,0,0,0,12,4,0,0,0,0,4,0,0,0,8,0,10,8,4,0,5,0,13,27,12,10,0,0,53,50,25,12,3,0,96,23,9,6,15,0,56,6,0,4,4,0,12,0,0,0,0,0,0,266,110,73,568,0,1013,7,0,0,0,0,11,68,10,8,3,0,86,15,3,0,18,0,36,5,0,0,0,0,10,25,0,0,3,0,26,43,10,3,21,0,76,357,70,61,82,3,569,21,8,6,46,487,568,2340,829,613,5004,562,9359
501011294,89,7819,0,30,13,403,6,456,95,8,13,26,0,135,25,8,7,32,5,71,191,61,40,144,3,438,2467,942,731,5285,86,9504,77,4,22,10,0,113,62,12,12,38,0,122,171,64,44,361,6,636,11,14,0,39,0,66,14,4,0,11,0,28,46,8,14,20,0,89,448,173,109,1270,14,2017,154,94,46,504,12,805,24,0,9,0,0,37,0,0,0,5,0,8,4,0,4,14,0,28,19,4,0,17,0,42,50,27,11,21,0,113,94,75,33,20,4,228,56,14,22,26,0,118,29,0,5,12,0,47,6,0,0,0,0,0,486,173,144,1193,6,2003,5,4,0,6,0,8,93,21,18,7,0,145,26,11,4,38,0,77,20,0,0,0,0,23,37,4,0,0,0,38,90,21,14,52,0,177,602,113,130,178,13,1034,36,13,11,129,887,1078,4391,1640,1318,10857,1085,19292
501021005,46,7944,8,34,16,497,6,560,144,5,6,10,0,168,15,3,8,40,0,69,197,63,34,123,0,421,2161,909,755,5082,46,8944,147,0,30,3,0,178,37,3,4,27,0,74,203,60,37,376,10,680,11,11,0,53,0,78,14,0,0,8,0,29,178,10,4,22,0,215,467,118,120,1130,6,1844,233,134,41,755,4,1179,34,0,15,0,0,47,4,4,0,0,0,6,4,0,0,8,0,17,7,5,10,18,0,38,310,52,32,8,4,407,132,62,36,20,6,252,72,23,24,64,0,180,11,0,3,14,0,30,14,0,0,0,0,17,501,168,147,1148,8,1978,10,3,0,0,0,15,204,15,30,5,0,254,22,10,4,36,0,76,3,0,0,0,0,7,17,0,0,0,0,17,59,24,14,53,6,150,623,116,139,188,5,1066,54,10,8,73,769,913,4671,1591,1316,10810,873,19256
501021007,27,2409,0,8,17,120,0,142,3,0,0,11,0,15,0,0,0,10,0,18,63,18,22,55,0,160,637,246,212,1504,30,2625,7,0,3,0,0,13,23,3,0,11,4,36,50,20,11,106,0,189,0,0,0,9,0,10,0,0,0,0,0,0,13,3,0,7,0,24,111,28,23,324,4,492,35,18,10,129,3,198,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,4,0,4,0,4,0,10,12,7,7,0,0,25,23,17,17,4,0,60,13,5,0,3,0,27,5,0,4,4,0,10,0,0,0,0,0,0,128,44,45,322,3,539,0,0,0,0,0,0,37,4,5,0,0,46,3,4,0,9,0,16,0,0,0,0,0,0,4,0,0,0,0,4,22,6,4,15,0,56,133,37,16,41,3,229,9,0,5,34,323,368,1055,429,367,3224,390,5457
501021008,34,2413,4,15,8,312,5,344,64,0,4,8,3,80,0,4,0,9,0,22,43,18,5,26,0,97,593,307,227,1677,38,2835,120,0,8,0,6,132,16,0,0,12,0,33,48,23,16,103,0,186,9,0,0,13,0,19,0,0,0,0,0,8,51,5,0,3,0,55,116,54,32,370,4,579,79,36,14,186,0,316,20,0,0,0,0,20,4,0,0,0,0,5,0,0,0,4,0,3,5,0,0,0,0,3,89,11,19,4,0,122,42,12,11,14,0,75,25,7,8,17,0,54,8,0,0,0,0,14,6,0,0,0,0,3,141,51,41,367,5,607,0,0,0,0,0,0,25,4,0,0,0,34,15,5,3,8,0,28,9,0,4,0,0,19,11,0,6,0,0,11,13,7,0,27,0,53,266,42,37,74,7,421,12,0,3,36,980,1035,1511,544,374,3487,1061,6976
501021009,45,3780,0,16,9,333,12,367,26,4,0,9,0,34,6,4,0,4,0,16,57,20,9,37,0,128,694,377,289,2575,61,3996,49,0,6,0,0,58,12,0,0,16,0,29,79,36,11,190,4,320,4,0,0,5,0,8,4,0,0,0,0,7,17,8,5,10,0,33,110,60,40,464,6,681,99,66,8,300,4,479,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,80,19,13,3,0,109,38,18,15,16,0,83,75,10,6,55,0,146,4,4,0,3,0,12,0,0,0,0,0,0,139,86,61,573,5,861,0,0,0,0,0,4,40,0,7,4,0,51,6,0,0,8,0,13,0,0,0,0,0,0,4,0,0,0,0,9,45,15,11,50,0,120,156,40,18,51,0,265,11,4,6,68,651,741,1397,676,456,5523,755,8812
501021010,10,1377,0,0,0,24,4,30,6,0,0,0,0,4,0,0,0,5,0,8,48,7,14,19,0,89,371,161,124,880,14,1545,11,0,8,0,0,17,7,0,6,3,0,14,43,16,8,47,0,110,0,3,5,4,0,9,0,5,0,0,0,4,8,0,4,0,0,11,58,30,15,215,3,311,38,21,25,160,0,242,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,12,3,5,0,0,20,11,5,0,8,0,21,8,3,0,5,0,22,10,4,0,0,0,12,0,0,0,0,0,0,91,30,30,174,4,331,0,3,0,0,0,3,31,5,7,4,0,48,3,0,0,3,0,7,0,5,0,0,0,5,0,0,0,0,0,0,9,0,0,15,0,28,62,10,8,24,0,108,3,0,0,8,189,211,669,273,207,1920,219,3286
