SA2_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
501011001,10,11,0,0,24,12,4,4,0,18,20,11,6,0,44,16,4,0,0,22,8,10,0,0,16,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,7,8,4,0,15,0,5,0,0,4,100,53,18,5,172
501011003,17,16,0,0,37,13,26,0,0,42,42,21,6,0,72,24,19,0,0,39,11,5,0,0,21,5,4,0,0,10,10,0,0,0,10,5,5,0,0,5,12,13,4,0,28,0,3,0,0,9,162,129,27,5,320
501011004,21,13,6,6,40,22,17,4,0,46,59,40,4,0,103,22,21,6,0,50,17,11,0,0,27,11,4,0,0,18,3,4,0,0,9,7,0,4,0,10,20,22,7,0,47,3,6,0,0,6,223,149,41,10,418
501011293,28,13,4,0,54,35,15,3,3,62,48,26,8,0,78,24,14,9,0,39,19,13,3,0,37,16,3,0,0,20,0,0,0,0,4,3,0,0,0,0,19,9,7,0,36,0,0,3,0,5,226,112,44,10,394
501011294,43,31,14,9,90,49,32,12,0,91,116,47,28,5,198,43,30,7,0,84,32,19,7,0,63,9,9,0,0,15,7,3,0,0,17,4,9,0,0,14,33,21,12,6,67,9,0,0,0,8,399,261,94,23,777
501021005,37,33,5,0,85,39,24,10,5,86,71,51,19,9,151,61,26,12,6,101,29,23,14,4,68,20,8,0,0,31,13,14,10,0,30,3,0,0,0,10,28,30,9,3,72,0,0,0,0,4,367,268,104,30,767
501021007,6,10,0,3,15,18,6,0,5,18,24,15,5,4,45,23,9,4,0,31,9,4,0,0,16,3,0,0,0,3,4,4,0,0,6,0,0,0,0,0,9,14,6,0,22,4,0,0,0,3,115,71,19,10,220
501021008,21,17,3,3,44,38,6,3,3,56,59,29,4,4,95,35,7,0,4,44,14,3,0,0,19,8,9,0,0,10,5,0,0,0,8,0,0,0,0,0,21,4,5,0,37,5,4,0,0,8,270,121,38,18,446
501021009,14,12,6,0,29,23,10,9,0,48,35,24,9,9,77,15,8,5,3,32,19,8,5,0,32,14,3,0,6,19,6,3,0,0,10,7,3,0,0,8,16,8,3,4,28,6,6,0,0,10,212,102,53,23,390
501021010,0,0,5,0,5,5,0,0,0,10,12,7,3,0,17,4,3,0,0,8,5,0,0,0,13,0,0,0,0,0,4,0,0,0,3,0,0,5,0,0,6,3,4,0,13,4,0,0,0,4,47,21,13,4,90
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,18,19,6,0,50,33,19,8,8,68,65,36,8,6,116,33,14,11,0,57,26,18,0,0,46,8,9,0,0,14,9,7,3,0,14,4,3,0,0,12,11,17,7,3,36,6,4,0,0,9,246,170,53,24,497
501021014,18,7,7,0,37,26,7,0,0,41,59,20,3,0,83,15,14,3,0,32,20,10,0,0,30,9,3,0,4,17,4,3,0,0,7,6,0,0,0,6,18,8,5,7,31,11,3,0,0,9,229,95,30,13,363
501021015,26,11,3,0,40,20,14,7,0,42,59,19,9,4,90,28,10,0,0,47,17,10,4,0,33,8,0,4,0,13,3,5,0,0,7,0,0,0,0,7,11,16,0,0,25,4,0,0,0,4,226,113,30,16,391
501021016,3,4,3,0,9,13,4,0,0,15,14,8,6,0,21,5,6,0,0,9,0,5,0,0,7,3,0,0,0,3,4,4,0,0,9,0,0,0,0,3,17,7,0,0,29,0,5,0,0,4,82,45,15,5,144
