SA2_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
501011001,375,53,57,482,196,158,34,6,390,11,7,14,397,53,51,501,168,127,18,9,316,8,4,9,324,49,41,414,210,128,20,11,369,3,4,12,377,62,59,494,164,131,27,0,330,6,3,11,338,98,37,473,139,157,35,7,339,7,0,9,351,169,37,554,64,80,16,0,162,0,0,5,164,300,27,491,41,48,5,6,99,0,0,0,98,314,28,443,25,28,3,3,59,0,5,5,65,474,38,572,1489,1319,213,60,3082,51,41,89,3168,1708,462,5343
501011003,678,89,70,835,415,270,53,12,751,3,0,9,758,66,56,880,424,282,43,18,768,10,8,15,783,66,52,898,388,226,36,9,659,11,0,14,672,70,73,811,301,232,52,8,598,5,9,11,611,130,62,801,206,234,46,10,501,0,5,5,507,270,52,827,86,171,25,0,287,0,5,4,286,495,42,821,40,83,9,0,136,0,4,0,140,562,61,763,16,44,11,4,68,0,0,0,68,698,84,857,2909,2451,435,118,5910,56,65,122,6031,2754,717,9492
501011004,665,92,67,822,375,279,37,14,712,7,3,8,719,88,51,860,410,256,43,10,725,13,8,19,740,66,99,900,303,198,37,7,546,3,3,10,558,82,70,705,227,162,35,4,427,8,5,13,442,96,35,568,158,192,33,4,387,8,15,14,400,186,29,625,63,102,12,0,180,0,0,0,176,338,37,553,20,50,14,0,89,0,0,0,92,311,34,434,4,23,5,0,28,0,0,0,28,413,27,465,2587,2164,380,84,5218,77,77,151,5372,2026,625,8018
501011293,401,67,29,499,257,153,21,4,430,7,10,17,447,63,28,542,335,171,20,6,528,10,8,16,537,69,40,645,331,181,22,9,537,4,7,7,550,91,35,674,273,160,17,3,461,10,4,10,473,113,36,623,174,175,21,0,379,5,13,15,393,249,38,671,74,106,15,4,193,0,0,0,198,432,21,652,13,42,3,0,67,0,0,0,67,586,47,700,9,19,0,7,29,0,0,0,29,804,77,909,2348,1655,227,68,4295,81,93,179,4473,2805,477,7764
501011294,937,174,64,1178,605,334,38,15,999,20,10,25,1025,121,66,1212,655,341,40,7,1040,10,8,23,1058,125,64,1255,575,325,70,7,979,20,13,29,1010,146,53,1205,472,325,63,9,868,8,19,20,892,211,55,1161,332,317,66,5,725,9,8,21,736,460,49,1256,114,181,26,0,331,0,12,10,335,883,55,1283,33,89,16,0,134,0,0,3,137,1092,54,1275,9,34,7,3,57,0,0,0,60,2026,161,2241,4603,3473,533,101,8710,142,161,297,9000,5873,821,15691
501021005,1185,171,53,1414,673,314,41,18,1043,18,13,31,1073,129,57,1259,721,272,41,12,1045,22,14,35,1075,119,64,1256,659,258,54,6,976,19,6,29,1006,134,49,1184,561,228,60,10,861,14,14,25,887,235,70,1197,368,221,48,5,643,18,8,24,665,498,66,1237,89,138,20,3,255,0,5,11,264,673,37,975,22,56,6,5,90,0,0,3,95,799,45,941,7,18,0,0,29,0,0,0,30,1006,56,1087,5472,3032,502,131,9131,221,198,414,9550,4649,713,14910
501021007,259,46,18,321,161,77,11,7,254,6,3,8,266,38,20,326,188,101,18,3,310,4,3,7,317,32,31,377,211,101,15,7,331,3,0,3,335,56,28,418,170,103,26,6,315,5,0,9,323,67,27,420,143,91,23,7,270,11,3,13,280,145,30,458,47,46,9,0,110,0,0,0,110,209,28,348,18,37,6,0,55,0,0,0,55,278,26,360,7,15,0,3,24,0,0,0,24,311,27,364,1457,916,166,73,2615,47,35,81,2694,1395,315,4400
501021008,270,181,35,484,168,84,12,0,265,8,3,13,276,145,29,456,171,84,17,7,278,4,3,8,288,125,26,442,149,88,9,3,250,18,11,31,275,135,32,442,158,95,15,5,263,10,5,9,276,134,27,440,138,80,23,0,242,3,3,11,248,177,24,447,38,45,9,0,87,5,0,4,95,262,14,369,5,20,0,0,30,0,0,0,32,271,15,315,3,7,0,0,10,0,0,0,10,517,37,569,1526,968,160,53,2709,117,83,196,2908,2513,400,5818
501021009,379,69,39,490,211,101,11,9,332,18,11,26,358,86,48,488,219,104,16,11,359,12,9,20,377,86,49,515,273,107,22,9,407,21,11,26,442,139,34,604,231,127,30,6,393,18,8,16,413,183,39,641,134,97,23,6,259,17,8,27,286,332,36,660,58,52,3,3,114,9,0,13,123,482,48,652,8,25,0,3,41,0,0,4,40,495,37,574,10,16,5,10,34,0,0,0,34,583,132,745,1946,1170,209,97,3420,197,92,293,3708,2914,615,7239
501021010,157,18,12,191,101,63,8,3,172,0,4,4,177,11,4,196,118,55,9,0,180,5,0,5,181,16,14,218,146,75,14,6,236,0,0,5,236,39,26,307,132,34,22,7,190,0,4,4,198,46,13,260,83,59,14,0,165,0,9,9,176,84,26,280,35,47,0,0,82,0,4,4,80,130,18,233,5,25,3,0,35,0,0,0,35,139,12,190,8,14,0,4,31,0,0,0,30,175,25,227,961,568,106,32,1663,22,27,57,1718,778,191,2685
