SA2_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
501011001,31,9,24,32,7,0,5,141,110,250,70,43,117,0,0,0,4,3,6,12,31,43,4,0,7,92,80,173,38,16,55,0,0,0,5,0,4,26,63,88,0,6,3,66,83,148,1433,1440,2877,92,78,173,236,274,513,77,194,271,796,722,1515,2637,2707,5343
501011003,54,11,42,54,0,4,7,225,227,462,107,57,163,5,0,10,13,14,24,20,40,57,0,0,3,139,113,254,47,29,70,0,0,0,7,3,13,19,40,61,0,5,4,75,72,143,2722,2758,5480,132,150,288,364,415,788,92,225,311,1403,1237,2635,4717,4779,9492
501011004,40,4,26,34,3,4,4,94,110,206,38,31,67,7,0,7,0,9,9,12,24,35,0,3,3,55,68,117,33,22,53,0,0,0,3,6,12,15,56,70,0,3,4,52,89,139,1815,1814,3625,127,154,281,318,474,790,53,199,256,1671,1401,3073,3977,4038,8018
501011293,52,22,41,60,11,7,22,212,213,420,105,67,175,0,0,4,16,22,42,22,62,84,3,0,5,147,152,298,44,21,63,0,0,0,7,3,10,21,85,108,0,0,0,73,109,184,1971,1979,3949,116,141,253,341,509,854,89,295,388,1238,1079,2317,3753,4007,7764
501011294,114,34,120,156,8,18,23,432,480,915,219,123,342,5,8,5,22,26,47,37,155,196,5,15,16,290,321,614,142,93,237,4,3,5,15,29,48,86,327,411,0,9,13,250,468,715,3913,3942,7859,236,296,538,642,1006,1655,242,868,1109,2325,2212,4537,7368,8326,15691
501021005,47,22,76,95,0,4,7,266,282,546,130,91,222,0,0,3,12,16,22,16,66,90,3,0,3,161,177,342,57,17,77,0,0,0,0,3,9,25,90,114,0,4,4,87,110,200,4019,4082,8104,213,260,472,507,747,1255,122,431,556,2371,2146,4518,7231,7677,14910
501021007,26,6,22,33,4,0,7,118,82,204,33,24,54,0,0,0,9,4,7,4,32,36,0,0,3,45,62,104,17,12,28,0,0,0,0,4,4,7,21,26,0,0,5,24,38,62,1151,1172,2316,80,85,167,216,251,466,38,139,179,645,627,1273,2128,2270,4400
501021008,38,10,31,39,0,4,7,105,124,227,45,25,64,3,4,8,7,13,27,12,44,53,0,0,5,68,87,150,39,16,57,5,0,5,8,12,14,13,97,116,0,0,0,61,129,190,1092,934,2029,152,152,299,307,411,716,66,279,345,1343,1084,2427,2961,2860,5818
501021009,47,18,59,81,11,3,15,187,178,371,64,45,107,9,0,9,13,11,23,14,48,63,0,0,0,95,106,197,34,13,49,0,0,0,4,3,13,25,81,107,4,0,8,77,101,183,1587,1595,3178,137,162,303,404,410,811,122,318,440,1372,1131,2507,3630,3611,7239
501021010,16,3,14,17,0,0,0,48,65,116,25,17,41,0,0,0,4,0,9,7,14,17,3,0,3,37,29,70,16,7,22,0,0,0,0,5,0,9,9,15,0,0,0,28,17,44,778,775,1552,44,32,75,118,116,231,35,71,100,395,328,726,1371,1321,2685
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,6,0,6,0,0,0,4,0,4,10,0,8
501021012,39,23,78,104,3,3,10,215,244,468,89,87,179,4,4,8,7,13,17,21,105,121,7,3,11,130,210,343,85,34,118,0,0,0,3,4,12,39,133,174,3,0,5,132,177,315,2462,2474,4939,148,176,328,372,499,865,131,476,602,1639,1423,3067,4751,5047,9798
501021014,34,15,48,63,7,0,4,161,176,338,76,37,112,0,0,6,5,9,20,19,70,92,8,4,13,120,125,237,52,22,75,3,0,3,4,6,13,26,74,102,8,0,10,91,110,202,1950,1924,3871,131,138,265,352,347,693,93,316,413,1363,1080,2446,3881,3810,7695
501021015,31,13,49,57,3,0,3,134,152,288,70,39,110,4,0,4,3,7,14,12,51,60,0,3,7,91,107,197,40,23,60,0,0,0,0,6,6,26,65,92,3,0,4,73,94,169,1305,1308,2619,112,122,238,242,392,633,80,267,345,1101,990,2089,2841,3073,5914
501021016,20,4,20,31,0,0,0,88,77,165,41,29,76,3,0,4,4,8,14,8,34,45,0,0,8,65,73,138,26,16,44,0,0,0,0,4,8,15,39,53,0,0,3,47,61,106,868,874,1741,74,72,141,214,186,396,49,159,204,573,475,1046,1775,1756,3533
501021251,26,7,29,36,5,4,6,94,112,205,28,15,49,0,0,0,4,12,13,9,17,23,3,0,3,44,48,91,16,3,19,0,0,0,0,0,0,0,17,21,0,0,0,21,24,48,1838,1857,3693,88,172,254,229,358,583,45,143,185,1296,1303,2604,3492,3833,7327
501021252,3,8,10,17,0,3,4,35,41,76,12,5,15,0,0,0,0,3,6,0,9,14,0,0,0,14,12,27,9,0,9,0,0,0,0,0,4,3,15,20,0,3,3,8,19,32,760,754,1516,27,36,63,87,66,157,26,57,84,339,330,671,1241,1244,2487
