SA2_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
501011001,6,9,3,120,196,4,4,23,4,229,2497,78,18,106,27,2728
501011003,9,10,0,153,259,14,8,18,6,311,4106,301,37,118,17,4579
501011004,0,0,6,79,221,16,6,53,8,305,3476,226,24,127,31,3885
501011293,5,7,0,44,127,50,0,51,0,225,3363,297,18,149,10,3836
501011294,0,11,0,269,249,69,0,40,4,363,6554,908,32,175,20,7689
501021005,0,12,0,113,183,16,0,75,0,273,6452,260,43,222,10,6978
501021007,0,4,0,40,123,10,0,10,0,145,2016,89,0,18,3,2125
501021008,0,0,0,31,146,53,0,15,3,210,2353,497,0,14,8,2871
501021009,0,0,0,47,242,17,8,8,3,280,3374,123,112,32,12,3653
501021010,0,5,0,30,71,0,0,18,0,86,1192,6,0,75,0,1275
501021011,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,8
501021012,0,5,0,173,142,22,3,29,4,205,4190,368,18,75,7,4654
501021014,0,0,0,99,163,18,0,33,3,216,3385,124,4,126,15,3654
501021015,0,0,0,76,105,22,0,3,0,136,2533,428,48,3,6,3016
501021016,0,0,0,49,74,17,0,7,5,101,1536,105,0,35,15,1692
501021251,0,0,0,18,99,16,12,0,0,122,3202,120,70,0,3,3398
501021252,0,0,4,11,21,0,0,0,0,21,1004,0,0,0,4,1012
501021253,16,5,0,141,133,88,48,37,4,312,3674,1442,436,148,22,5721
501021254,0,0,0,24,99,100,11,23,0,236,1783,368,80,26,5,2259
501031017,0,5,4,120,207,7,0,14,4,224,2857,68,7,42,13,2984
501031018,0,0,5,73,136,0,5,6,0,152,2361,43,6,35,18,2470
501031019,0,0,0,46,121,17,7,4,4,151,2022,200,18,20,30,2286
501031020,0,8,4,102,209,0,4,18,13,241,2172,25,25,57,31,2312
502011021,0,3,0,41,78,7,4,5,0,93,2969,108,45,80,4,3209
502011022,0,0,0,57,110,8,0,31,0,145,3723,200,13,72,0,4007
502011023,3,0,0,435,147,56,0,8,0,214,3268,917,26,8,4,4211
502011024,3,0,0,261,169,57,7,0,0,237,6944,969,148,6,3,8074
502011025,12,0,0,97,225,131,51,57,6,475,2631,1660,646,144,23,5100
502011026,0,3,0,39,128,7,0,21,0,156,2501,67,9,124,5,2703
502011027,0,0,0,248,216,24,0,0,0,250,7079,439,10,0,6,7531
502011028,0,0,0,70,193,31,20,0,0,247,4126,514,210,4,6,4854
502011029,0,3,0,227,198,23,0,21,3,241,3548,227,4,123,11,3909
503011030,89,0,0,136,49,6,9,0,0,65,2065,128,172,0,0,2359
503011031,80,0,0,127,36,51,90,0,0,180,1519,1039,1430,0,3,3992
503011032,4,0,0,48,50,20,37,0,0,104,2053,381,592,0,3,3025
503011033,6,0,0,40,30,0,14,0,0,46,2591,80,228,0,0,2902
503011034,10,0,0,70,76,29,77,3,0,183,2648,600,992,3,4,4243
503011035,35,0,0,138,75,26,67,3,0,168,4304,937,1210,4,3,6453
503011036,71,0,0,119,47,20,24,0,6,99,2659,456,268,6,6,3385
503021037,0,0,0,0,0,0,4,0,0,4,0,0,23,0,0,23
503021038,4,0,0,100,54,55,81,6,0,195,3000,1132,594,41,4,4771
503021039,49,0,0,111,90,27,127,10,3,253,3950,1344,1993,22,9,7314
503021040,11,0,0,64,71,21,41,0,0,138,2632,744,661,9,9,4047
503021042,200,0,0,265,73,33,178,14,3,294,3572,1407,2939,22,17,7957
503021043,32,0,0,169,52,68,142,4,0,265,3404,1627,3011,10,6,8051
503021295,48,0,4,67,4,15,413,40,6,490,270,357,5483,40,25,6171
503021296,24,0,0,63,48,60,218,31,6,365,1064,1388,3213,46,17,5727
503021297,73,0,0,81,0,3,443,313,6,774,31,88,5817,318,27,6288
504011044,9,0,0,100,214,85,15,4,0,323,5174,1137,305,8,10,6632
504011045,0,0,0,149,260,85,19,9,0,370,8244,1425,257,13,7,9942
504011046,22,0,0,61,61,116,153,13,3,343,2028,2221,2429,16,7,6697
504011047,0,0,0,121,252,95,4,7,5,359,7509,1454,50,5,13,9037
504011048,10,0,0,38,54,19,0,0,0,71,2497,517,22,0,0,3034
504021049,0,0,0,11,58,0,0,0,0,59,1044,3,0,0,4,1050
504021050,3,0,0,25,63,0,0,0,0,67,2562,28,4,4,4,2608
