SA2_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
501011001,5,9,0,0,12,10,10,0,0,19,35,14,7,0,61,29,43,23,4,99,31,50,15,0,89,30,33,11,3,77,36,52,8,0,103,24,26,7,0,58,36,64,23,7,130,4,4,0,0,9,249,308,103,20,677
501011003,14,3,7,0,15,9,10,0,0,17,44,32,9,3,88,60,59,20,0,142,53,94,37,3,185,68,89,32,5,193,67,95,31,5,200,68,120,47,17,249,83,131,53,13,275,5,0,0,0,9,459,648,234,48,1381
501011004,3,0,3,0,5,0,7,0,0,14,54,46,20,0,124,60,69,25,3,156,63,86,25,6,182,48,68,24,5,148,67,80,36,5,190,37,60,14,5,116,56,107,34,3,198,0,5,3,0,9,406,532,187,29,1149
501011293,8,0,0,0,4,4,9,0,0,11,29,23,12,7,71,52,41,14,7,106,47,55,23,5,133,47,40,14,3,104,48,82,31,0,163,48,52,33,4,139,55,75,33,5,169,5,4,0,0,12,344,377,163,33,917
501011294,4,10,6,0,21,14,7,5,0,29,80,78,18,9,190,89,96,35,13,231,86,127,46,17,272,82,110,43,14,246,101,170,72,12,354,85,132,51,10,273,120,143,61,25,344,7,7,0,4,18,674,890,336,109,2004
501021005,7,0,0,7,11,11,4,0,0,22,66,55,24,6,152,96,93,49,15,255,114,184,69,21,388,94,150,51,14,304,142,232,71,22,474,127,171,70,26,403,132,161,68,34,398,6,11,8,0,21,813,1068,415,157,2451
501021007,6,4,0,0,3,10,4,4,0,15,17,10,9,4,37,14,21,19,0,58,30,52,17,6,103,36,28,10,5,73,49,37,18,5,99,28,32,12,6,78,33,57,18,9,124,4,3,0,0,5,218,248,113,27,606
501021008,3,3,0,0,4,8,4,3,3,18,31,18,11,3,69,21,32,11,6,65,27,36,13,0,77,24,34,7,5,67,29,37,8,3,74,8,17,3,0,35,28,32,11,3,71,0,0,0,0,3,185,212,62,32,492
501021009,13,3,0,0,23,7,14,3,3,24,32,26,12,3,76,38,39,16,0,97,33,44,19,6,102,32,48,21,3,108,49,57,25,6,143,35,46,18,5,105,43,49,30,11,132,0,0,0,0,7,297,330,152,46,831
501021010,0,0,0,0,0,0,5,0,0,5,12,3,3,3,19,17,23,8,0,43,15,24,6,7,56,15,24,5,5,45,24,40,13,0,84,21,24,19,0,65,27,31,8,8,73,0,0,0,0,3,130,177,59,25,393
