SA2_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
501011001,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,4,5,0,0,0,0,0,0,20,0,10,4,9,7,9,0,0,0,0,0,0,35,0,0,4,4,7,4,9,0,0,0,0,4,37,0,0,3,3,0,0,3,0,0,0,0,0,11,0,0,4,11,14,14,6,0,0,0,0,0,54,0,0,0,9,17,7,9,5,0,0,0,0,45,0,0,7,8,12,14,4,9,0,0,0,9,53,0,0,3,7,3,4,10,4,0,0,0,0,29,0,0,0,3,3,6,4,4,0,0,0,5,36,0,0,0,4,5,3,9,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,11,10
501011003,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,13,4,0,3,4,0,4,8,0,0,0,0,0,30,4,0,3,7,8,3,26,5,0,0,0,5,54,0,0,7,0,0,0,8,8,0,0,4,0,31,0,0,11,11,9,6,24,7,0,0,0,0,70,3,0,0,6,7,8,20,20,0,0,0,3,76,0,0,5,0,0,6,17,17,5,0,0,11,72,4,0,0,3,6,10,39,24,4,3,0,0,99,3,0,0,8,11,8,46,43,4,0,0,5,128,0,0,3,0,0,3,21,32,0,0,0,4,65,0,0,0,0,0,0,15,17,10,6,3,0,58,0,0,0,0,3,3,9,14,0,0,3,0,29,0,0,0,0,0,0,3,4,3,0,5,0,8,0,0,3,0,4
501011004,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,4,0,7,3,3,0,0,7,3,0,0,0,5,28,7,3,10,3,0,7,12,0,0,0,0,6,48,0,8,20,12,5,9,29,3,0,0,0,3,87,0,0,5,0,0,0,14,0,0,0,0,0,23,0,0,5,8,6,22,34,9,0,0,0,3,89,0,0,7,6,3,19,38,12,0,0,0,3,91,0,0,3,4,7,13,34,14,3,0,0,3,91,0,0,3,6,4,16,34,9,0,0,0,3,78,0,4,0,10,4,15,40,20,0,0,5,9,103,0,0,3,0,0,8,22,12,4,0,0,5,61,0,0,0,0,0,0,19,17,0,0,5,3,44,0,0,0,0,0,0,12,15,0,0,5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,3
501011293,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,6,14,13,9,0,7,3,0,0,0,0,5,65,9,20,19,9,7,13,17,0,0,0,0,3,93,0,6,24,12,13,22,21,0,0,0,0,6,102,0,0,9,5,0,10,4,0,0,0,0,4,43,0,0,10,17,13,18,29,4,0,0,0,0,100,0,0,13,9,11,18,22,4,0,0,0,0,82,0,0,0,4,7,13,25,3,0,0,0,0,58,0,0,0,3,3,9,40,5,0,0,0,0,68,0,0,4,3,0,31,29,10,0,0,0,0,86,0,0,0,0,7,7,17,5,0,0,0,6,46,0,0,0,4,0,3,10,11,3,0,0,0,37,0,0,0,0,0,0,5,6,3,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,8,6
501011294,0,3,4,0,3,6,0,0,0,0,0,3,23,0,3,0,0,0,8,8,0,0,0,0,0,18,5,17,17,6,3,16,13,0,0,0,0,0,81,21,35,16,14,11,17,14,8,0,0,7,8,136,0,18,44,15,14,43,34,5,0,0,0,8,172,0,4,34,10,6,10,29,5,0,0,0,0,96,0,5,12,21,9,33,70,5,0,0,0,8,173,0,0,11,12,14,50,59,7,0,0,0,10,160,0,0,6,12,10,31,69,18,0,0,0,4,148,0,0,4,4,6,21,68,15,0,0,0,4,123,0,0,0,3,9,33,78,39,0,0,0,0,166,0,0,6,0,0,10,31,25,0,0,0,3,75,0,0,0,0,0,4,22,17,0,0,0,5,54,0,0,0,4,0,3,11,21,0,0,0,0,48,0,0,0,0,0,0,4,4,0,0,0,0,6,0,5,5,14,5
501021005,0,0,0,4,3,0,3,5,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,0,5,3,3,3,0,4,3,8,0,0,0,0,3,30,0,5,12,7,4,11,7,0,0,0,0,4,60,0,5,4,12,8,16,25,3,0,0,0,0,75,0,4,9,8,0,6,6,0,0,0,0,0,21,0,0,9,14,9,22,34,4,0,0,0,0,83,0,0,3,7,7,20,30,13,0,0,0,0,78,0,0,0,4,5,18,41,14,0,0,0,0,87,0,0,0,3,0,14,37,28,0,0,0,0,86,0,0,0,10,6,18,62,59,4,0,0,4,156,0,0,3,4,0,8,29,37,0,0,0,0,79,0,0,0,4,0,3,34,56,5,0,0,3,118,0,0,0,0,0,4,22,25,4,0,0,0,62,0,0,0,0,0,0,5,11,0,0,0,0,22,0,0,4,4,0
501021007,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,21,0,4,6,3,4,7,8,0,0,0,0,0,26,0,4,8,6,4,4,8,0,0,0,0,0,36,0,0,3,0,0,4,0,0,0,0,0,0,8,0,0,4,0,5,7,15,0,0,0,0,0,37,0,0,5,4,3,6,12,0,0,0,0,3,36,0,0,7,3,0,8,9,0,0,0,0,0,30,0,0,0,0,3,0,13,4,0,0,0,4,24,0,0,0,0,3,4,13,0,0,0,0,4,27,0,0,0,0,3,3,4,0,0,0,0,0,11,0,0,0,4,0,3,6,4,3,0,0,0,15,0,0,0,0,0,0,7,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0
501021008,0,0,0,0,0,0,4,0,0,0,0,0,9,3,3,0,0,0,0,0,0,0,0,0,0,9,16,14,6,0,0,7,4,0,0,0,0,3,61,14,21,9,9,3,13,15,0,0,0,0,7,94,0,3,7,14,14,34,28,0,0,0,0,4,105,0,0,20,4,7,8,3,0,0,0,0,0,36,0,6,11,16,6,32,33,5,0,0,0,0,110,0,0,3,10,14,41,34,0,0,0,0,0,100,0,0,0,6,17,30,33,5,0,0,0,0,94,0,0,4,6,13,18,32,4,0,0,0,0,70,0,0,4,3,5,31,37,7,0,0,0,0,96,0,0,0,0,5,15,14,5,0,0,0,3,44,0,0,0,0,0,3,13,5,0,0,0,0,34,0,0,0,0,0,4,11,4,0,0,0,0,20,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,10,4,3
501021009,0,0,3,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,6,7,14,11,9,8,0,0,0,0,0,0,0,42,11,26,8,11,3,4,0,0,0,0,0,0,71,0,3,7,4,15,9,10,0,0,0,0,0,48,0,0,15,12,8,4,0,0,0,0,0,0,38,0,3,4,17,4,12,0,0,0,0,0,3,47,5,3,4,11,7,11,8,0,0,0,0,0,46,0,0,4,8,0,9,15,3,0,0,0,0,42,0,0,4,6,4,13,3,0,0,0,0,0,34,0,0,12,16,10,22,9,4,0,0,0,0,84,0,0,3,3,3,8,5,0,0,0,0,0,26,0,3,4,13,3,19,12,16,0,0,0,3,70,0,0,0,5,4,7,5,5,3,0,0,0,20,0,0,0,0,5,3,4,3,0,0,0,0,19,0,0,4,7,4
501021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,3,3,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,0,0,0,0,3,13,0,0,4,4,3,0,4,0,0,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,6,0,0,0,0,11,0,0,0,0,3,6,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0
