SA2_CODE_2021,UOL_Pe_ex_Da_C11_P,UOL_Pe_ex_Da_C16_M,UOL_Pe_ex_Da_C16_F,UOL_Pe_ex_Da_C16_P,UOL_Pe_ex_Da_C21_M,UOL_Pe_ex_Da_C21_F,UOL_Pe_ex_Da_C21_P,UOL_Portuguese_C11_M,UOL_Portuguese_C11_F,UOL_Portuguese_C11_P,UOL_Portuguese_C16_M,UOL_Portuguese_C16_F,UOL_Portuguese_C16_P,UOL_Portuguese_C21_M,UOL_Portuguese_C21_F,UOL_Portuguese_C21_P,UOL_Punjabi_C11_M,UOL_Punjabi_C11_F,UOL_Punjabi_C11_P,UOL_Punjabi_C16_M,UOL_Punjabi_C16_F,UOL_Punjabi_C16_P,UOL_Punjabi_C21_M,UOL_Punjabi_C21_F,UOL_Punjabi_C21_P,UOL_Russian_C11_M,UOL_Russian_C11_F,UOL_Russian_C11_P,UOL_Russian_C16_M,UOL_Russian_C16_F,UOL_Russian_C16_P,UOL_Russian_C21_M,UOL_Russian_C21_F,UOL_Russian_C21_P,UOL_Serbian_C11_M,UOL_Serbian_C11_F,UOL_Serbian_C11_P,UOL_Serbian_C16_M,UOL_Serbian_C16_F,UOL_Serbian_C16_P,UOL_Serbian_C21_M,UOL_Serbian_C21_F,UOL_Serbian_C21_P,UOL_Sinhalese_C11_M,UOL_Sinhalese_C11_F,UOL_Sinhalese_C11_P,UOL_Sinhalese_C16_M,UOL_Sinhalese_C16_F,UOL_Sinhalese_C16_P,UOL_Sinhalese_C21_M,UOL_Sinhalese_C21_F,UOL_Sinhalese_C21_P,UOL_Spanish_C11_M,UOL_Spanish_C11_F,UOL_Spanish_C11_P,UOL_Spanish_C16_M,UOL_Spanish_C16_F,UOL_Spanish_C16_P,UOL_Spanish_C21_M,UOL_Spanish_C21_F,UOL_Spanish_C21_P,UOL_Tagalog_C11_M,UOL_Tagalog_C11_F,UOL_Tagalog_C11_P,UOL_Tagalog_C16_M,UOL_Tagalog_C16_F,UOL_Tagalog_C16_P,UOL_Tagalog_C21_M,UOL_Tagalog_C21_F,UOL_Tagalog_C21_P,UOL_Tamil_C11_M,UOL_Tamil_C11_F,UOL_Tamil_C11_P,UOL_Tamil_C16_M,UOL_Tamil_C16_F,UOL_Tamil_C16_P,UOL_Tamil_C21_M,UOL_Tamil_C21_F,UOL_Tamil_C21_P,UOL_Thai_C11_M,UOL_Thai_C11_F,UOL_Thai_C11_P,UOL_Thai_C16_M,UOL_Thai_C16_F,UOL_Thai_C16_P,UOL_Thai_C21_M,UOL_Thai_C21_F,UOL_Thai_C21_P,UOL_Turkish_C11_M,UOL_Turkish_C11_F,UOL_Turkish_C11_P,UOL_Turkish_C16_M,UOL_Turkish_C16_F,UOL_Turkish_C16_P,UOL_Turkish_C21_M,UOL_Turkish_C21_F,UOL_Turkish_C21_P,UOL_Urdu_C11_M,UOL_Urdu_C11_F,UOL_Urdu_C11_P,UOL_Urdu_C16_M,UOL_Urdu_C16_F,UOL_Urdu_C16_P,UOL_Urdu_C21_M,UOL_Urdu_C21_F,UOL_Urdu_C21_P,UOL_Viet_C11_M,UOL_Viet_C11_F,UOL_Viet_C11_P,UOL_Viet_C16_M,UOL_Viet_C16_F,UOL_Viet_C16_P,UOL_Viet_C21_M,UOL_Viet_C21_F,UOL_Viet_C21_P,UOL_Other_C11_M,UOL_Other_C11_F,UOL_Other_C11_P,UOL_Other_C16_M,UOL_Other_C16_F,UOL_Other_C16_P,UOL_Other_C21_M,UOL_Other_C21_F,UOL_Other_C21_P,Lang_used_home_NS_C11_M,Lang_used_home_NS_C11_F,Lang_used_home_NS_C11_P,Lang_used_home_NS_C16_M,Lang_used_home_NS_C16_F,Lang_used_home_NS_C16_P,Lang_used_home_NS_C21_M,Lang_used_home_NS_C21_F,Lang_used_home_NS_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
501011001,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,9,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,0,4,5,10,16,26,0,3,3,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,8,9,10,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,14,25,41,28,30,54,35,36,72,152,105,259,237,222,460,317,286,605,2243,2194,4439,2731,2704,5432,3291,3307,6595
501011003,0,0,0,0,0,0,0,0,6,6,6,11,20,11,15,26,4,0,3,0,0,4,11,0,10,0,4,5,0,0,0,3,0,7,0,7,7,0,7,7,0,4,4,0,0,0,4,4,10,8,6,11,8,5,16,16,12,28,20,22,36,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,3,0,6,5,6,12,6,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,8,0,3,3,35,33,64,49,57,108,62,74,144,222,175,397,422,373,794,466,396,869,4260,4121,8384,5218,5065,10283,5942,5958,11900
501011004,0,3,0,5,0,0,0,13,19,32,23,28,47,16,22,38,0,0,0,13,9,23,5,0,6,0,0,0,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,4,3,0,0,5,14,4,16,34,29,61,57,55,114,15,14,30,29,23,50,18,20,37,0,0,0,0,0,0,0,0,0,0,3,7,3,11,22,11,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,10,4,6,14,51,52,99,68,68,134,121,79,205,313,276,590,372,323,697,442,329,778,3665,3665,7324,4403,4428,8828,5094,5099,10193
501011293,0,0,0,0,0,0,0,0,5,3,4,3,8,9,5,15,0,0,0,8,10,16,14,19,28,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,6,0,0,0,0,0,5,3,4,9,6,6,7,5,6,8,8,9,16,11,12,22,14,14,28,0,0,0,5,3,4,3,4,7,4,11,9,8,16,22,4,20,26,0,0,0,10,3,9,0,0,0,0,0,0,0,0,0,3,0,4,4,4,7,6,12,20,9,15,25,47,46,96,81,69,152,90,102,192,155,151,308,309,292,598,293,247,535,3332,3562,6898,4204,4433,8638,4564,4794,9359
501011294,4,0,4,10,0,3,5,0,3,3,5,13,21,8,13,20,3,4,7,10,6,15,23,13,38,0,4,7,0,7,7,5,6,13,0,0,0,0,0,0,0,0,0,0,0,0,7,10,15,5,8,12,0,5,5,0,7,5,8,9,14,12,13,29,14,22,41,11,18,31,0,0,0,0,0,0,3,3,9,4,17,17,3,24,33,3,31,40,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,11,7,16,9,13,26,19,27,42,93,116,210,108,145,251,139,155,289,332,386,715,582,595,1182,497,457,953,7153,7851,15004,8452,9249,17693,9192,10095,19292
501021005,0,8,3,7,0,0,4,5,6,18,10,8,12,8,6,11,0,0,0,0,0,6,12,11,27,0,5,6,0,4,3,0,0,6,0,5,5,0,7,7,5,5,10,0,0,0,0,5,5,0,0,0,13,12,21,15,10,27,6,13,21,8,21,24,11,17,30,16,39,53,0,6,6,5,5,8,9,4,13,0,3,3,3,13,18,8,22,27,0,3,0,0,0,0,0,0,4,0,0,0,0,0,6,4,4,8,3,0,3,0,5,9,10,13,19,122,143,258,196,214,413,209,230,444,373,322,694,610,545,1149,505,363,868,7379,7461,14843,8701,8892,17588,9521,9730,19256
501021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,4,4,22,27,49,24,38,61,41,31,71,189,177,363,186,179,369,196,172,362,2333,2356,4691,2554,2641,5196,2658,2800,5457
501021008,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,8,5,11,10,4,6,0,0,0,0,4,3,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,5,7,11,8,5,15,9,4,14,8,16,21,24,28,56,22,30,44,6,5,9,0,6,13,0,0,0,3,9,9,0,6,6,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,8,8,18,9,5,15,5,6,12,3,8,18,47,54,95,66,84,147,62,73,137,573,243,822,615,258,872,773,271,1040,3331,3190,6522,3457,3289,6744,3552,3422,6976
501021009,0,0,0,3,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,5,0,0,6,0,5,3,7,5,12,0,9,8,0,5,3,6,0,8,0,0,0,0,0,0,0,12,9,0,5,10,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,4,5,5,7,4,13,3,5,4,62,65,123,41,48,92,48,49,98,336,142,475,382,353,733,365,335,702,4903,4221,9127,4436,4365,8798,4468,4347,8812
501021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,36,17,20,33,19,17,38,82,53,136,104,92,195,118,91,199,1531,1450,2984,1591,1552,3143,1694,1594,3286
