SA2_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
501011001,0,0,0,0,3,16,3,3,0,22,32,0,44,106,3,0,0,0,10,5,0,8,27,853,674,166,14,1704,635,60,324,2728
501011003,0,0,0,0,0,15,8,4,0,30,52,0,36,118,0,0,0,0,4,5,4,9,17,1431,1373,312,16,3133,800,119,526,4579
501011004,0,0,0,0,0,3,0,0,0,4,11,10,94,127,12,3,3,0,10,4,3,6,31,946,1146,415,22,2526,784,171,400,3885
501011293,10,3,0,0,6,36,8,0,0,37,54,0,51,149,0,3,0,0,4,0,0,5,10,1254,915,386,33,2579,939,98,219,3836
501011294,8,0,0,0,11,23,7,0,0,38,53,4,82,175,9,3,0,0,11,8,0,0,20,2330,1991,759,38,5121,1991,183,396,7689
501021005,0,0,0,3,3,25,6,0,0,31,68,0,119,222,0,5,0,0,5,8,0,0,10,2096,2434,746,43,5317,1235,124,306,6978
501021007,0,0,0,0,0,0,5,0,0,3,3,0,15,18,0,0,0,0,0,0,0,0,3,702,603,214,11,1532,414,45,135,2125
501021008,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,3,0,0,8,621,489,438,32,1580,982,119,193,2871
501021009,0,0,0,0,5,5,0,4,0,12,3,3,12,32,0,3,0,0,5,10,0,0,12,1016,821,380,31,2253,1067,86,249,3653
501021010,0,0,0,0,0,18,0,0,0,15,37,0,18,75,0,0,0,0,0,0,0,0,0,444,393,89,0,927,251,14,84,1275
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,8
501021012,0,0,0,0,0,8,0,0,0,11,21,0,39,75,0,0,0,0,4,0,0,0,7,1384,1453,477,35,3352,995,100,210,4654
501021014,5,3,0,4,17,9,8,5,0,28,30,0,63,126,0,0,0,0,4,3,0,9,15,1116,992,343,45,2495,827,86,240,3654
501021015,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,3,0,0,0,6,839,694,372,44,1948,840,101,127,3016
501021016,0,0,0,4,8,9,0,0,0,11,12,0,11,35,0,0,0,0,0,6,0,10,15,525,428,144,10,1101,443,39,105,1692
