SA2_CODE_2021,C16_M_Health_15_19,C16_M_Health_20_24,C16_M_Health_25_34,C16_M_Health_35_44,C16_M_Health_45_54,C16_M_Health_55_64,C16_M_Health_65_74,C16_M_Health_75_84,C16_M_Health_85over,C16_M_Health_Tot,C16_M_Educ_15_19,C16_M_Educ_20_24,C16_M_Educ_25_34,C16_M_Educ_35_44,C16_M_Educ_45_54,C16_M_Educ_55_64,C16_M_Educ_65_74,C16_M_Educ_75_84,C16_M_Educ_85over,C16_M_Educ_Tot,C16_M_MngtCom_15_19,C16_M_MngtCom_20_24,C16_M_MngtCom_25_34,C16_M_MngtCom_35_44,C16_M_MngtCom_45_54,C16_M_MngtCom_55_64,C16_M_MngtCom_65_74,C16_M_MngtCom_75_84,C16_M_MngtCom_85over,C16_M_MngtCom_Tot,C16_M_Soc_cult_15_19,C16_M_Soc_cult_20_24,C16_M_Soc_cult_25_34,C16_M_Soc_cult_35_44,C16_M_Soc_cult_45_54,C16_M_Soc_cult_55_64,C16_M_Soc_cult_65_74,C16_M_Soc_cult_75_84,C16_M_Soc_cult_85over,C16_M_Soc_cult_Tot,C16_M_Creative_art_15_19,C16_M_Creative_art_20_24,C16_M_Creative_art_25_34,C16_M_Creative_art_35_44,C16_M_Creative_art_45_54,C16_M_Creative_art_55_64,C16_M_Creative_art_65_74,C16_M_Creative_art_75_84,C16_M_Creative_art_85over,C16_M_Creative_art_Tot,C16_M_FoodHos_PS_15_19,C16_M_FoodHos_PS_20_24,C16_M_FoodHos_PS_25_34,C16_M_FoodHos_PS_35_44,C16_M_FoodHos_PS_45_54,C16_M_FoodHos_PS_55_64,C16_M_FoodHos_PS_65_74,C16_M_FoodHos_PS_75_84,C16_M_FoodHos_PS_85over,C16_M_Foodhos_PS_Tot,C16_M_MixFld_pr_15_19,C16_M_MixFld_pr_20_24,C16_M_MixFld_pr_25_34,C16_M_MixFld_pr_35_44,C16_M_MixFld_pr_45_54,C16_M_MixFld_pr_55_64,C16_M_MixFld_pr_65_74,C16_M_MixFld_pr_75_84,C16_M_MixFld_pr_85overer,C16_M_MixFld_pr_Tot,C16_M_FldStu_ID_15_19,C16_M_FldStu_ID_20_24,C16_M_FldStu_ID_25_34,C16_M_FldStu_ID_35_44,C16_M_FldStu_ID_45_54,C16_M_FldStu_ID_55_64,C16_M_FldStu_ID_65_74,C16_M_FldStu_ID_75_84,C16_M_FldStu_ID_85over,C16_M_FldStu_ID_Tot,C16_M_FldStu_NS_15_19,C16_M_FldStu_NS_20_24,C16_M_FldStu_NS_25_34,C16_M_FldStu_NS_35_44,C16_M_FldStu_NS_45_54,C16_M_FldStu_NS_55_64,C16_M_FldStu_NS_65_74,C16_M_FldStu_NS_75_84,C16_M_FldStu_NS_85over,C16_M_FldStu_NS_Tot,C16_M_Tot_15_19,C16_M_Tot_20_24,C16_M_Tot_25_34,C16_M_Tot_35_44,C16_M_Tot_45_54,C16_M_Tot_55_64,C16_M_Tot_65_74,C16_M_Tot_75_84,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_NatPhy_sci_15_19,C21_M_NatPhy_sci_20_24,C21_M_NatPhy_sci_25_34,C21_M_NatPhy_sci_35_44,C21_M_NatPhy_sci_45_54,C21_M_NatPhy_sci_55_64,C21_M_NatPhy_sci_65_74,C21_M_NatPhy_sci_75_84,C21_M_NatPhy_sci_85over,C21_M_NatPhy_sci_Tot,C21_M_InfTec_15_19,C21_M_InfTec_20_24,C21_M_InfTec_25_34,C21_M_InfTec_35_44,C21_M_InfTec_45_54,C21_M_InfTec_55_64,C21_M_InfTec_65_74,C21_M_InfTec_75_84,C21_M_InfTec_85over,C21_M_InfTec_Tot,C21_M_EngRT_15_19,C21_M_EngRT_20_24,C21_M_EngRT_25_34,C21_M_EngRT_35_44,C21_M_EngRT_45_54,C21_M_EngRT_55_64,C21_M_EngRT_65_74,C21_M_EngRT_75_84,C21_M_EngRT_85over,C21_M_EngRT_Tot,C21_M_ArchBuild_15_19,C21_M_ArchBuild_20_24,C21_M_ArchBuild_25_34,C21_M_ArchBuild_35_44,C21_M_ArchBuild_45_54,C21_M_ArchBuild_55_64,C21_M_ArchBuild_65_74,C21_M_ArchBuild_75_84,C21_M_ArchBuild_85over,C21_M_ArchBuild_Tot,C21_M_AgEnv_RS_15_19,C21_M_AgEnv_RS_20_24,C21_M_AgEnv_RS_25_34,C21_M_AgEnv_RS_35_44,C21_M_AgEnv_RS_45_54,C21_M_AgEnv_RS_55_64,C21_M_AgEnv_RS_65_74,C21_M_AgEnv_RS_75_84,C21_M_AgEnv_RS_85over,C21_M_AgEnv_RS_Tot,C21_M_Health_15_19,C21_M_Health_20_24,C21_M_Health_25_34,C21_M_Health_35_44,C21_M_Health_45_54,C21_M_Health_55_64,C21_M_Health_65_74,C21_M_Health_75_84,C21_M_Health_85over,C21_M_Health_Tot,C21_M_Educ_15_19,C21_M_Educ_20_24,C21_M_Educ_25_34,C21_M_Educ_35_44,C21_M_Educ_45_54,C21_M_Educ_55_64,C21_M_Educ_65_74,C21_M_Educ_75_84,C21_M_Educ_85over,C21_M_Educ_Tot,C21_M_MngtCom_15_19,C21_M_MngtCom_20_24,C21_M_MngtCom_25_34,C21_M_MngtCom_35_44,C21_M_MngtCom_45_54,C21_M_MngtCom_55_64,C21_M_MngtCom_65_74,C21_M_MngtCom_75_84,C21_M_MngtCom_85over,C21_M_MngtCom_Tot,C21_M_Soc_cult_15_19,C21_M_Soc_cult_20_24,C21_M_Soc_cult_25_34,C21_M_Soc_cult_35_44,C21_M_Soc_cult_45_54,C21_M_Soc_cult_55_64,C21_M_Soc_cult_65_74,C21_M_Soc_cult_75_84,C21_M_Soc_cult_85over,C21_M_Soc_cult_Tot,C21_M_Creative_art_15_19,C21_M_Creative_art_20_24,C21_M_Creative_art_25_34,C21_M_Creative_art_35_44,C21_M_Creative_art_45_54,C21_M_Creative_art_55_64,C21_M_Creative_art_65_74,C21_M_Creative_art_75_84,C21_M_Creative_art_85over,C21_M_Creative_art_Tot
501011001,0,0,8,13,8,6,9,4,0,46,0,0,4,17,4,19,18,9,0,68,4,5,8,9,10,19,27,6,0,84,4,0,0,12,11,15,9,3,5,56,0,0,6,6,4,9,0,5,0,25,0,0,9,15,16,10,4,0,0,66,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,6,3,0,0,14,28,4,28,51,41,39,33,13,16,249,40,31,165,295,247,272,223,83,29,1390,0,0,8,19,12,14,19,7,0,76,0,4,7,4,0,4,6,0,0,23,0,12,58,97,81,98,96,38,9,490,0,10,21,43,42,45,34,8,6,197,6,9,16,27,40,22,17,9,5,144,0,0,5,14,14,14,14,7,4,75,0,0,8,11,17,24,25,8,3,91,0,0,6,15,20,29,33,18,0,127,4,5,13,13,13,13,8,10,0,66,0,3,3,8,7,6,3,0,0,38
501011003,0,4,11,29,25,24,19,9,0,127,0,0,8,21,14,41,25,4,0,118,0,8,32,65,64,49,59,19,0,304,3,3,28,22,17,23,25,7,3,126,0,3,11,13,8,4,6,0,5,51,0,3,38,52,31,13,7,3,0,144,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,20,37,15,62,86,77,79,49,20,7,427,55,94,429,606,574,502,372,143,32,2809,0,4,19,29,36,23,36,6,0,162,0,0,4,4,13,10,7,0,0,38,10,14,85,158,176,168,168,64,20,859,3,19,81,102,89,84,60,23,0,464,3,7,20,40,46,31,27,15,5,187,0,0,11,28,33,35,21,16,6,139,0,0,3,26,15,27,47,17,0,138,13,15,51,66,85,78,67,40,8,413,9,0,24,32,19,30,32,15,3,161,0,0,11,17,18,3,16,3,0,75
501011004,0,4,10,27,26,13,12,0,0,93,0,0,8,23,20,23,15,9,6,100,0,0,41,36,34,26,22,11,3,169,3,9,21,20,26,10,13,3,0,98,0,5,11,12,16,12,3,0,0,63,0,3,55,45,42,15,0,4,0,164,0,0,3,0,0,0,0,0,0,7,0,0,4,6,0,9,0,0,0,21,38,14,60,70,75,60,37,15,3,364,53,73,437,587,472,367,194,81,23,2287,0,3,16,38,34,25,27,10,3,149,3,3,5,13,12,7,0,0,0,46,3,20,92,105,151,110,81,24,9,591,3,19,64,98,71,84,46,5,0,379,3,5,32,55,46,20,18,8,0,180,3,0,21,17,33,22,15,8,0,118,0,0,4,29,27,29,25,18,5,139,7,8,48,52,44,42,37,11,3,250,0,4,30,32,27,23,27,12,5,157,0,6,10,20,14,17,13,0,0,80
501011293,0,4,10,19,14,12,6,3,0,68,0,0,5,12,18,20,13,7,0,80,4,5,21,43,41,29,37,7,0,187,0,0,9,14,13,12,14,3,0,73,0,0,11,3,9,7,5,0,0,33,0,9,28,30,21,11,13,5,0,113,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,5,0,0,16,27,17,45,53,51,53,56,34,6,345,49,108,289,349,376,336,318,140,29,1991,0,0,3,7,15,6,11,8,4,59,5,4,10,10,3,4,0,0,0,47,0,27,77,101,130,126,144,61,4,675,4,16,54,50,39,54,43,30,7,290,0,4,16,20,23,17,19,12,0,112,0,0,5,15,23,24,12,3,0,94,0,0,7,11,19,19,23,7,3,100,8,11,30,26,42,41,44,13,4,225,0,3,5,21,23,10,20,9,0,101,0,5,18,12,9,4,4,0,0,50
501011294,3,0,11,30,29,27,12,10,3,126,4,5,19,25,30,37,30,17,0,171,7,9,40,78,84,63,66,15,3,364,0,7,15,36,23,20,26,8,3,146,3,4,10,15,13,8,9,3,4,57,6,14,40,66,43,35,13,0,3,217,0,0,0,0,0,0,6,0,0,11,0,0,0,3,15,5,0,6,0,34,49,26,71,85,105,91,87,90,67,670,87,176,543,752,711,646,578,313,133,3942,0,3,8,27,15,16,11,10,0,95,5,11,16,22,11,5,8,0,0,84,16,37,173,261,236,244,233,136,28,1366,4,37,123,97,110,100,117,48,19,665,5,5,26,53,36,41,33,13,7,220,6,0,24,45,51,32,27,14,3,188,0,3,24,34,35,37,54,28,4,225,11,21,52,59,106,81,77,50,5,477,3,13,30,25,39,28,28,18,5,192,3,6,5,17,11,11,11,4,0,74
501021005,0,3,19,30,34,32,17,0,0,131,0,0,21,23,37,51,29,11,0,172,3,7,42,86,88,51,42,6,5,333,13,11,14,27,30,29,12,5,0,141,0,3,10,8,9,7,3,0,3,46,4,6,29,42,28,18,7,0,0,125,0,0,0,0,0,0,0,0,0,7,0,0,13,11,11,12,8,0,0,54,50,24,96,101,114,87,75,40,6,607,116,221,746,831,829,678,425,150,33,4027,0,0,12,13,9,13,11,11,0,75,4,16,24,27,11,7,0,0,0,90,44,83,363,414,382,327,252,87,10,1962,5,33,108,108,75,83,49,22,6,489,3,4,19,22,26,31,25,7,0,145,4,5,23,33,25,35,17,4,3,148,4,0,14,38,37,50,46,14,4,206,21,15,43,91,91,75,47,20,3,398,11,17,18,27,28,30,28,9,4,164,7,7,4,11,10,6,8,0,0,53
501021007,0,0,7,5,3,11,8,0,0,38,0,0,0,4,13,13,9,0,3,39,0,5,13,8,19,9,19,0,0,76,6,0,3,3,6,0,6,0,0,36,0,0,0,0,0,0,3,0,0,12,0,6,9,13,7,5,0,0,0,28,0,0,0,0,0,0,0,0,0,7,0,0,0,3,4,3,0,0,0,14,17,13,20,31,43,42,35,13,3,210,36,53,149,203,267,227,170,42,12,1161,0,0,0,0,12,10,4,4,0,31,0,4,3,3,0,5,0,0,0,21,5,25,73,79,80,101,71,36,0,471,0,8,18,26,26,35,25,3,0,132,0,5,8,17,18,14,11,3,0,77,0,0,4,5,6,12,14,5,0,47,0,0,3,4,14,7,12,0,0,59,0,6,12,15,13,23,15,4,0,93,6,0,5,4,8,9,11,7,0,54,0,0,0,3,4,0,0,0,0,17
501021008,0,3,13,9,9,6,0,0,3,42,0,0,9,13,7,12,8,0,0,49,0,15,28,20,16,11,4,0,4,98,0,3,14,12,11,13,5,0,0,61,0,5,5,3,4,3,3,0,0,22,0,8,24,17,16,3,7,0,0,71,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,4,0,0,0,18,28,51,150,135,109,62,55,26,9,631,54,158,404,351,307,249,167,52,32,1771,0,0,3,3,4,6,0,0,0,18,3,6,11,6,8,11,0,0,0,40,0,27,66,71,64,82,79,34,5,428,3,10,28,29,26,27,20,14,3,164,0,0,11,13,5,6,4,0,0,37,4,3,19,4,7,9,5,0,0,50,0,0,5,8,12,16,11,6,3,59,8,13,22,18,16,11,10,5,0,99,0,9,16,18,9,21,10,4,0,83,0,4,10,4,7,5,0,0,0,20
501021009,0,0,7,7,8,12,8,0,0,54,0,0,4,8,17,11,9,0,0,41,0,7,14,7,15,13,8,3,0,60,0,8,9,12,4,4,0,0,0,38,0,0,4,0,0,0,0,0,0,10,0,0,4,15,17,12,8,3,0,66,0,0,0,0,4,0,0,0,0,3,0,0,0,7,8,4,3,0,0,23,39,30,64,49,64,68,69,47,17,443,62,161,339,305,343,358,258,108,30,1975,0,0,4,6,3,3,3,0,0,21,3,7,4,9,0,3,0,0,0,29,11,59,159,172,174,183,151,58,9,978,0,6,37,31,19,34,17,13,3,147,0,0,14,8,4,8,9,3,0,52,0,4,0,6,11,17,15,6,0,65,0,0,0,6,7,17,11,4,0,46,4,11,15,20,15,14,13,4,0,89,0,3,9,6,9,7,8,0,0,38,0,0,0,0,0,0,0,5,0,8
501021010,0,0,3,8,7,8,3,0,0,28,0,0,0,4,11,10,3,3,0,35,0,0,6,18,21,6,10,0,0,60,3,0,0,0,4,0,7,0,0,23,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,21,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,17,6,9,17,16,25,24,10,3,126,36,38,79,142,177,158,102,31,4,773,0,0,0,4,5,0,8,0,0,22,0,9,0,0,3,0,0,0,0,13,4,11,59,64,70,71,54,10,0,347,0,0,15,10,14,21,5,3,0,70,6,0,5,10,12,14,10,0,0,56,0,0,4,8,0,9,4,3,0,29,0,0,0,0,8,16,13,0,0,36,0,0,8,13,25,15,9,3,0,79,0,0,0,0,3,3,3,0,0,22,0,0,0,0,0,0,0,0,0,4
