SA2_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
506031124,119,169,171,115,79,63,60,29,10,812,0,6,0,3,8,0,10,4,5,34,875,993,971,784,731,779,747,731,535,7145,100,187,341,141,37,15,12,0,0,835,354,342,441,233,120,63,32,19,3,1611,4,0,0,4,0,4,3,0,0,17,0,0,0,0,0,0,0,0,0,0,36,48,127,25,4,0,0,4,0,251,0,23,31,9,5,14,7,3,4,97,40,74,151,33,14,17,5,12,4,346,944,1567,1857,918,654,564,371,246,115,7248,179,284,427,230,161,118,118,188,282,1978,2631,3655,4663,2690,1817,1639,1359,1219,943,20612
506031125,112,83,52,80,75,81,41,12,0,549,0,0,0,4,0,8,0,0,0,20,664,643,368,486,699,879,574,247,57,4625,63,69,55,61,71,55,26,3,0,416,127,91,42,62,75,36,15,10,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,44,23,13,9,9,0,0,142,4,4,3,4,11,9,5,0,0,41,35,17,44,21,25,17,12,8,0,181,679,569,425,461,486,428,251,74,17,3396,66,57,52,52,65,61,27,13,4,408,1730,1522,1049,1238,1510,1582,986,373,88,10078
506031126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3
506031127,124,82,143,144,71,52,35,9,3,665,4,0,4,4,0,0,0,4,0,24,1027,731,1007,983,829,754,608,345,116,6407,395,243,597,381,105,55,19,5,0,1802,937,421,571,455,264,98,52,18,5,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,311,234,882,197,35,33,11,0,0,1705,8,6,29,21,9,3,6,0,0,80,314,244,908,210,45,34,16,4,0,1786,843,844,1435,847,487,438,222,69,34,5222,264,228,426,257,146,136,55,40,16,1553,3900,2852,5214,3389,2008,1587,1016,503,176,20655
506031128,96,44,79,93,59,72,63,18,7,521,5,0,0,7,4,5,0,0,0,22,714,432,490,681,610,827,920,544,202,5411,98,66,103,91,61,31,27,9,0,482,185,79,103,92,55,30,25,14,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,62,27,5,8,5,5,3,140,0,10,13,13,7,13,4,3,0,72,23,25,78,37,13,21,9,8,4,214,1158,720,951,901,674,599,438,170,59,5675,118,79,102,119,102,87,74,53,43,776,2398,1470,1945,2046,1616,1721,1619,851,319,13992
506031129,156,95,55,97,98,72,44,29,15,655,0,0,0,0,0,0,4,3,0,5,921,703,305,608,832,843,857,753,340,6160,250,144,55,245,177,72,25,8,0,971,209,93,49,135,79,31,26,11,0,633,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,37,21,19,34,18,9,12,0,0,156,7,8,5,13,8,4,9,5,0,56,39,29,27,48,22,17,16,5,0,213,1119,781,525,709,672,515,377,188,56,4938,81,67,53,73,73,78,61,50,24,559,2781,1969,1104,1984,2060,1691,1455,1054,428,14518
506031130,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,3,0,0,0,16
506031131,178,164,63,135,165,106,85,25,9,923,4,4,0,3,0,8,5,3,0,37,1298,987,407,886,1165,1026,1128,537,162,7609,438,215,108,385,267,107,48,20,5,1592,257,162,50,159,136,40,13,9,4,830,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,39,30,35,29,25,25,5,5,4,190,12,0,7,18,9,5,9,0,0,63,49,33,42,46,32,28,13,12,5,256,1799,1062,622,1140,977,634,521,188,43,6977,160,91,68,108,134,77,61,37,10,750,4214,2714,1411,2945,2937,2055,1906,846,235,19262
506041132,209,153,158,153,112,86,47,24,0,933,7,4,0,3,4,3,0,0,0,28,1314,907,914,1127,1035,936,898,525,134,7788,263,66,238,238,42,29,13,3,0,896,789,363,392,416,225,102,61,23,0,2376,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,91,321,87,17,15,3,0,0,649,3,9,16,17,18,16,3,3,0,83,112,98,335,103,35,30,8,4,0,735,1086,887,1081,909,743,593,411,163,46,5930,333,206,301,246,207,119,86,49,19,1565,4041,2628,3404,3263,2440,1910,1590,803,210,20280
506041133,247,160,124,155,180,141,64,12,9,1079,0,10,0,4,4,10,0,3,0,48,1439,1208,702,1124,1436,1192,941,473,212,8729,550,190,247,511,238,110,42,14,3,1901,623,295,249,332,221,113,45,11,4,1890,0,0,0,0,0,4,0,0,0,6,0,0,0,3,0,0,0,0,0,0,296,104,327,221,55,49,37,12,3,1096,11,21,16,14,12,19,10,6,0,114,307,121,343,242,64,71,44,20,3,1208,1694,1178,980,1215,972,621,360,122,84,7225,176,280,625,522,301,143,72,33,15,2164,4953,3400,3321,4228,3440,2426,1629,697,324,24415
