SA2_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
501011001,0,0,0,0,0,0,4,0,0,5,0,0,0,12,14,0,28,155,26,10,211,50,4,454,0,0,0,3,8,0,16,0,0,0,4,0,0,3,0,14,3,11,11,0,44,5,5,0,11,9,0,31,6,0,0,27,6,0,45,12,0,4,29,3,0,52,42,0,0,61,7,0,111,59,0,0,62,6,0,125,25,0,0,6,0,0,36,5,0,0,9,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,16,3,0,0,24,14,3,42,170,21,10,266,68,8,537
501011003,0,0,0,0,0,0,6,3,0,8,5,0,0,13,11,0,31,371,21,0,311,67,8,782,0,0,0,4,0,0,7,0,0,0,5,0,0,8,0,3,0,11,10,0,27,9,4,0,11,8,0,36,17,5,0,24,8,0,50,3,0,0,28,9,0,41,16,0,0,29,9,0,59,81,0,0,85,5,0,177,132,0,0,58,6,0,194,63,0,0,22,0,0,80,18,0,0,10,0,0,33,3,0,0,0,0,0,9,0,0,0,3,0,0,9,15,0,0,29,11,0,51,12,0,0,48,24,0,84,363,23,4,367,100,4,865
501011004,0,0,3,4,0,0,5,4,0,18,4,7,0,11,17,0,36,418,77,19,379,73,6,970,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,13,3,0,38,0,15,3,22,6,0,46,12,5,0,18,0,0,29,17,13,0,29,4,0,57,45,16,0,66,6,0,128,192,5,0,151,4,0,348,97,0,0,53,4,0,163,12,0,0,23,0,0,35,3,0,0,3,27,0,33,0,0,0,3,3,0,11,0,0,0,0,0,0,5,0,0,0,12,0,0,13,10,7,0,32,13,3,61,396,76,7,420,77,3,968
501011293,0,0,0,0,0,0,0,0,0,4,12,12,0,6,3,0,37,463,195,4,214,42,0,922,0,5,0,6,0,0,9,0,4,0,0,0,0,4,0,58,5,4,0,0,62,5,40,15,7,7,0,75,0,13,0,13,0,0,31,8,24,0,9,7,0,51,92,15,0,59,5,0,175,262,9,0,89,4,0,362,113,0,0,20,0,0,131,19,0,0,6,0,0,28,3,0,0,3,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,11,0,13,9,3,35,520,163,25,236,42,5,990
501011294,0,0,0,0,0,0,0,7,0,4,9,13,4,20,10,0,58,860,311,39,477,101,17,1801,5,9,0,5,0,0,18,0,11,0,0,0,0,15,0,114,10,9,11,0,149,5,53,19,14,7,0,105,7,19,5,30,19,0,77,18,37,15,40,20,0,125,127,25,5,119,34,0,311,429,14,0,201,27,0,666,203,0,0,47,7,5,258,34,0,0,8,3,0,39,5,0,0,0,0,0,11,0,0,0,0,7,0,6,0,0,0,0,0,0,3,0,0,0,7,7,0,11,12,17,4,23,12,6,69,845,297,56,505,153,10,1862
501021005,0,0,0,3,0,0,0,0,0,4,13,8,0,5,3,0,30,728,83,7,312,48,3,1183,0,3,0,3,0,0,6,0,8,4,0,0,0,12,6,36,5,11,4,0,55,5,20,0,7,9,0,40,11,14,3,21,9,0,60,20,17,6,29,3,0,70,180,10,6,120,9,0,323,391,5,0,124,18,0,538,90,0,0,16,0,0,101,9,0,0,6,8,0,15,4,0,0,3,5,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,9,26,6,59,725,104,18,342,92,4,1289
501021007,0,0,0,0,0,0,0,0,0,0,4,3,0,7,3,0,15,146,39,3,132,11,0,337,0,5,0,0,0,0,5,0,0,0,0,4,0,0,0,13,0,4,0,0,15,0,14,3,10,5,0,31,4,5,4,5,0,0,17,7,3,0,15,0,0,34,29,0,0,41,3,0,74,68,0,0,37,0,0,103,10,0,0,3,0,0,20,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,10,3,0,20,124,41,9,135,23,0,332
501021008,0,0,0,0,0,0,0,0,0,0,3,8,0,4,3,0,23,456,206,42,250,40,14,1005,0,10,0,0,0,0,13,0,21,0,4,0,0,29,3,82,7,11,0,0,104,4,41,25,16,4,0,84,13,21,11,24,0,0,64,117,22,7,62,8,3,216,234,6,0,117,5,0,365,101,0,15,31,18,5,171,15,0,0,3,3,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,17,5,4,45,501,215,59,289,41,10,1112
501021009,0,0,0,0,0,0,3,0,0,4,4,9,0,14,3,0,33,270,163,10,234,26,8,710,0,0,0,7,0,0,3,0,7,0,0,0,0,7,3,46,0,14,3,0,73,14,20,5,27,5,0,68,25,20,0,40,4,0,87,95,22,0,60,7,0,186,86,6,0,47,11,0,150,35,0,0,19,3,0,58,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,16,8,4,48,265,131,12,230,48,3,688
501021010,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,50,0,0,94,21,3,167,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,13,0,0,4,10,8,0,23,0,0,0,6,9,0,17,0,0,0,17,3,0,24,17,0,0,19,4,0,32,16,0,0,10,0,0,25,7,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,9,38,3,12,84,27,0,170
