SA2_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
506061142,78,0,0,0,4,0,0,15,14,4,9,5,6,58,0,0,0,0,0,0,5,8,5,9,7,0,36,7,0,6,12,6,16,23,18,7,0,0,9,104,0,0,0,0,0,0,5,0,0,0,0,364,370,8,0,0,22,19,97,597,534,419,485,376,472,3041,0,0,5,3,6,55,103,50,21,20,15,27,295,0,0,6,31,25,76,30,11,16,4,3,11,211,0,0,0,0,8,6,8,0,9,0,0,6,34,3,0,4,11,3,10,12,0,0,0,0,0,35,10,0,15,53,31,47,37,11,4,0,6,19,245,0,0,0,0,0,0,0,0,0,0,0,5,4,14,0,29,101,77,196,185,80,39,28,21,65,832,45,12,52,188,204,471,1044,878,660,728,526,697,5496
506061143,43,0,0,0,0,0,0,4,4,0,8,0,0,20,0,0,0,0,0,0,0,0,0,6,0,4,11,0,0,0,8,0,4,12,9,0,5,4,3,50,0,0,0,0,0,0,0,0,0,0,0,113,113,6,5,6,11,5,34,134,121,118,179,234,167,1006,0,0,0,0,0,13,31,13,8,9,6,5,73,0,0,4,4,6,11,11,3,3,0,0,4,55,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,9,0,0,6,10,12,13,7,5,0,0,5,9,73,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,17,23,43,45,18,12,7,5,24,216,28,13,19,48,108,163,330,240,214,274,321,269,2030
506061144,25,0,0,0,0,0,0,3,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,3,6,6,0,4,4,3,24,0,0,0,0,0,0,0,0,0,0,0,72,72,0,0,0,0,6,16,67,59,57,95,93,123,521,0,0,0,0,0,5,6,8,0,5,0,3,30,0,0,0,3,6,12,0,0,0,0,0,3,37,0,0,0,4,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,7,0,4,4,0,6,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,14,31,19,9,6,5,0,19,129,18,7,10,33,73,120,173,144,108,165,154,203,1209
506071145,64,0,0,0,0,0,4,8,4,0,5,3,0,16,0,0,0,0,0,0,3,0,0,9,7,0,16,3,0,0,6,4,13,13,3,5,6,5,0,63,0,0,0,0,0,0,0,0,0,0,0,99,97,8,0,3,10,11,45,120,137,118,226,504,127,1317,0,0,0,0,3,25,49,33,15,18,22,15,189,0,0,0,6,11,28,33,11,3,5,0,10,116,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,8,5,0,0,0,0,0,0,0,17,8,0,11,22,7,25,21,12,0,6,0,15,124,0,0,0,0,0,0,0,0,0,0,0,5,5,10,0,17,36,30,78,107,54,17,35,26,47,459,35,10,45,115,129,292,534,410,342,503,898,299,3601
506071146,54,0,0,0,0,0,0,4,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,14,4,13,19,13,7,9,16,8,101,0,0,0,0,0,0,0,0,0,0,0,84,89,0,0,4,14,10,40,110,113,107,236,618,137,1400,0,0,0,0,0,10,29,28,4,11,24,10,113,0,0,4,12,8,14,19,7,5,0,6,6,86,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,18,3,0,10,30,15,34,26,9,3,0,0,12,147,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,19,47,29,59,69,46,9,14,33,40,379,38,13,27,103,125,230,376,270,209,373,859,241,2876
506071147,83,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,3,3,0,5,15,3,0,0,9,0,6,13,8,6,16,16,8,85,0,0,0,0,0,0,0,0,0,0,0,109,109,5,0,3,11,6,40,112,124,106,278,911,171,1774,0,0,0,6,0,19,57,24,10,20,35,14,171,0,0,0,8,19,26,33,13,4,3,8,5,125,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,5,0,5,0,4,0,0,0,0,0,13,19,4,8,19,7,27,27,10,11,6,10,13,164,0,0,0,0,0,0,0,0,0,0,0,7,7,23,5,19,29,25,67,123,54,25,29,52,47,489,59,20,46,96,113,284,610,416,329,586,1459,357,4372
507011148,100,0,0,0,0,0,0,9,3,0,9,5,5,35,0,0,0,0,0,0,4,5,7,7,7,5,37,7,3,4,13,8,13,15,9,10,15,5,3,105,0,0,0,0,0,0,0,0,0,3,0,272,278,8,3,7,20,13,94,344,460,450,842,858,391,3491,0,0,0,0,3,41,87,52,15,31,23,27,282,0,0,4,23,18,61,57,25,12,3,3,9,223,0,0,0,0,0,0,0,0,0,3,0,4,17,0,0,5,3,4,0,3,0,0,0,0,0,26,5,0,6,20,11,43,31,11,10,3,0,9,161,0,0,0,0,0,0,0,0,0,0,0,4,8,7,0,18,53,40,152,187,91,33,39,28,66,714,52,18,44,120,163,466,819,764,688,1202,1087,583,5995
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,48,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,3,0,0,0,3,3,14,4,0,6,11,3,3,18,3,6,11,4,12,72,0,0,0,0,0,0,0,0,0,0,0,97,96,6,0,3,12,12,24,121,174,182,272,398,177,1372,0,0,0,0,0,10,29,19,10,6,9,12,102,0,0,0,11,9,25,17,5,3,5,0,3,83,0,0,0,0,0,3,0,0,0,3,0,0,16,0,0,4,3,0,0,0,0,0,0,0,0,6,3,0,3,5,0,25,17,7,4,7,3,9,103,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,5,26,13,66,67,38,18,22,13,28,308,52,7,27,94,142,225,372,319,302,433,539,278,2793
507011153,43,0,0,0,0,0,0,6,0,0,0,4,0,15,0,0,0,0,0,0,0,5,0,0,0,5,8,0,0,0,3,3,13,13,11,7,6,0,9,65,0,0,0,0,0,0,0,0,0,0,0,59,59,0,0,0,9,12,58,128,146,122,177,154,100,904,0,0,0,0,3,11,52,34,20,13,0,17,156,0,0,6,9,7,36,24,8,3,4,0,13,108,0,0,0,0,0,0,6,4,0,0,3,0,16,0,0,9,4,0,0,4,0,0,0,0,0,25,5,0,16,26,14,36,26,9,0,0,0,9,152,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,26,44,30,89,112,55,30,24,8,46,461,20,11,40,89,121,253,393,324,226,318,235,207,2236
507011154,68,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,3,4,0,6,4,0,0,0,10,20,22,6,0,0,3,7,81,0,0,0,0,0,5,0,0,0,0,0,92,91,7,3,0,9,18,69,159,147,137,177,140,128,995,0,0,0,0,3,23,62,45,13,23,13,28,204,0,0,0,19,26,59,45,13,10,0,0,19,194,0,0,0,0,0,0,4,0,0,0,0,4,19,0,0,3,7,8,9,8,0,0,0,0,0,38,6,5,29,53,25,60,45,8,9,5,3,26,261,0,0,0,0,0,3,0,0,0,0,0,8,17,9,0,29,76,62,152,167,64,24,22,22,92,727,29,18,51,147,208,369,521,369,283,321,241,315,2881
507011155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011158,23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,3,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,7,25,33,24,74,206,55,423,0,0,0,0,0,3,4,0,0,3,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,5,5,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,13,4,0,9,8,0,53,17,9,0,24,30,63,123,103,80,173,375,94,1079
