SA2_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
501011001,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,4,18,0,4,0,0,19,5,0,0,3,0,19,27,0,26,5,5,63,32,9,31,0,0,71,6,0,16,0,0,27,5,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,0,0,19,122,13,101,9,9,249
501011003,0,0,0,6,0,0,0,0,0,10,0,0,6,0,0,12,10,0,8,0,0,18,9,0,7,0,0,20,17,0,12,0,0,28,39,0,42,3,3,88,57,5,59,3,4,126,13,5,32,4,0,48,7,0,11,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,3,9,0,13,4,4,30,175,10,185,14,16,414
501011004,0,0,0,0,3,0,0,0,0,6,3,0,8,0,0,13,6,0,7,0,0,9,7,0,6,0,0,15,26,0,14,0,3,49,79,9,97,5,5,194,41,7,39,0,0,97,3,0,13,0,0,17,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,3,0,14,184,21,204,16,11,426
501011293,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,3,0,0,9,7,0,3,0,6,18,33,0,18,6,0,49,82,11,62,14,8,181,41,10,30,7,3,80,5,5,12,0,5,23,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,13,191,26,133,25,19,394
501011294,0,0,0,0,4,0,5,0,0,9,23,0,4,0,0,30,21,0,4,0,0,30,20,4,6,0,0,34,67,5,47,0,0,119,138,25,151,10,22,339,52,18,76,10,13,168,5,3,17,0,0,30,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,15,342,59,307,26,35,768
501021005,0,0,0,0,3,0,0,0,0,3,14,0,0,0,0,15,10,0,5,0,3,17,8,3,10,0,5,25,60,6,54,4,6,126,95,26,146,13,12,293,26,7,35,8,4,77,5,3,6,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,224,47,258,26,37,588
501021007,0,0,0,0,5,0,0,0,0,5,5,0,4,0,0,10,5,3,0,0,0,6,10,0,9,0,0,15,12,0,14,0,3,31,35,3,20,3,4,65,4,0,6,0,0,10,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,73,8,57,10,11,150
501021008,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,7,8,0,4,0,0,14,34,6,13,0,0,49,67,7,46,8,9,138,34,9,25,0,3,69,3,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,165,16,98,10,12,302
501021009,0,0,0,0,3,0,0,0,0,6,11,0,6,0,0,21,20,0,13,0,8,34,18,0,36,0,3,56,23,8,27,6,6,63,9,8,11,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,11,90,13,104,5,15,231
501021010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,8,0,0,0,0,8,6,0,3,0,0,11,0,0,8,0,0,14,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,40,3,20,0,5,62
