SA2_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
501011001,3,6,6,3,19,29,3,0,0,3,75,0,0,6,5,0,3,9,19,7,0,3,3,53,0,0,0,0,4,0,3,10,4,0,3,0,23,0,0,0,0,0,3,3,9,0,0,0,3,31,0,0,0,0,4,0,3,3,0,4,7,0,22,0,0,0,0,0,6,11,8,10,4,0,3,43,0,0,0,0,0,3,0,0,0,0,0,0,6,16,3,44,31,45,52,111,125,36,19,21,42,537
501011003,4,0,6,4,11,30,15,8,4,9,90,0,0,3,0,0,5,3,16,32,9,11,12,84,0,0,0,0,0,0,3,14,24,10,5,5,70,0,0,0,0,0,0,0,16,15,8,11,7,63,0,0,0,0,0,5,0,9,20,10,43,15,103,0,0,5,0,5,5,0,17,28,10,8,6,80,0,0,0,0,0,0,0,0,0,0,0,6,9,7,8,27,36,46,41,59,177,195,80,101,84,859
501011004,0,0,5,8,19,61,22,4,0,4,126,0,0,0,3,5,0,11,55,28,4,6,3,117,0,0,0,0,0,7,13,34,14,3,3,3,67,0,0,0,6,0,3,0,24,17,3,10,4,60,0,0,0,0,0,0,3,9,16,4,21,4,59,0,0,0,0,0,5,4,36,28,8,5,6,89,0,0,0,0,0,0,0,0,0,0,12,3,17,3,0,38,46,29,57,128,348,163,35,59,61,968
501011293,3,0,3,0,19,62,13,0,0,0,111,0,0,0,0,0,9,16,44,17,0,0,4,90,0,0,0,0,0,0,11,22,11,0,0,0,47,0,0,0,0,0,0,10,14,21,0,0,0,46,0,0,0,0,0,0,0,12,9,5,3,0,36,0,0,0,0,0,0,11,37,24,12,0,5,91,0,0,0,6,0,3,3,5,0,0,0,4,21,9,4,62,75,31,51,175,362,131,28,12,35,990
501011294,6,3,3,3,31,100,27,0,3,5,191,0,0,0,0,7,10,32,85,37,0,0,8,179,0,0,0,0,0,0,3,50,22,3,0,4,79,0,0,0,0,0,0,7,46,26,9,3,7,110,0,0,4,0,0,4,6,23,28,4,4,4,82,6,3,0,3,0,10,13,60,35,8,0,0,139,3,0,6,4,3,4,4,4,0,0,0,13,40,18,15,149,105,77,125,311,666,258,39,32,69,1860
501021005,0,3,6,7,33,74,14,3,0,6,153,3,0,0,0,9,4,33,87,15,0,0,11,169,0,0,0,0,0,0,17,34,10,0,0,4,71,0,0,0,0,0,0,15,39,22,0,6,3,88,0,0,0,0,0,4,6,27,7,5,0,13,73,0,0,3,0,4,0,17,60,16,4,0,4,117,0,0,0,3,0,0,4,0,0,0,0,3,10,6,12,55,40,60,70,323,534,101,15,10,57,1286
501021007,0,5,0,4,13,19,4,0,0,7,51,0,0,0,0,0,3,4,13,0,0,0,0,31,0,0,0,0,0,6,7,8,0,0,0,0,19,0,0,0,0,0,5,0,7,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,3,11,3,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,0,12,5,0,15,31,17,34,74,103,20,8,0,20,332
501021008,5,0,10,15,61,24,0,0,0,0,115,0,0,3,0,4,15,34,12,4,0,0,0,70,0,0,0,3,3,6,11,3,0,0,0,0,29,0,0,0,0,0,0,15,14,6,0,0,0,40,0,0,0,0,0,0,7,5,0,0,0,0,12,0,0,0,0,0,15,18,16,0,0,0,4,49,0,0,3,4,0,4,5,3,0,0,0,3,27,13,29,104,83,64,216,365,167,19,3,7,45,1109
501021009,0,5,10,18,22,0,0,0,0,3,58,0,0,0,3,5,12,18,8,0,0,0,3,51,0,0,0,4,3,6,9,0,0,0,0,0,19,0,0,0,0,0,5,10,7,0,0,0,0,30,0,0,0,0,0,4,3,4,0,0,0,7,20,0,0,5,0,0,8,13,14,3,0,0,0,43,0,0,0,5,0,4,0,0,0,0,0,8,18,3,7,73,68,87,186,150,58,8,0,0,48,688
501021010,0,0,0,4,5,3,4,0,0,0,20,0,0,3,0,0,0,5,3,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,5,5,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,17,24,32,25,12,0,0,9,170
