GCCSA_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
5GPER,124,3286,275,402,80,38,4208,53,6083,369,288,91,62,6947,534,4987,910,2304,440,107,9271,1773,2585,426,3738,570,89,9188,2286,920,93,3827,593,58,7776,7822,932,143,6623,717,99,16327,24015,456,146,13863,1305,204,39992,30226,168,73,13342,1031,190,45025,10191,50,22,3904,248,50,14461,3689,34,11,1229,84,15,5059,1660,44,4,537,54,6,2308,953,36,7,351,55,10,1411,525,21,5,175,21,4,756,1344,10,4,585,110,16,2072,1291,1371,279,1874,548,377,5747,86481,20974,2775,53045,5940,1325,170542,109,1057,93,249,38,21,1566,37,1345,202,181,55,27,1847,301,7872,499,1406,258,93,10422,740,3872,943,2156,382,81,8160,1106,1470,226,2103,233,47,5179,4673,1342,186,3711,806,69,10789,19691,1101,192,10133,1073,153,32344,41299,482,162,17262,1555,227,60985,19195,80,46,7145,522,88,27075,6638,25,16,2205,136,19,9031,2795,19,5,900,54,17,3787,1500,13,3,467,37,6,2026,794,10,3,212
5RWAU,90,1812,965,342,2959,55,6222,66,2146,304,259,626,37,3434,534,3026,509,1543,2172,88,7869,1488,1814,153,1966,1429,49,6902,1297,519,62,1599,611,28,4118,3394,381,52,2078,584,32,6519,4944,231,36,2378,442,36,8066,3200,115,18,1101,280,26,4737,740,52,5,317,157,10,1269,378,19,4,126,90,0,619,226,18,0,87,78,5,410,109,6,0,72,43,0,236,70,4,0,37,50,0,164,868,8,0,325,355,15,1574,694,766,144,778,1739,163,4281,18103,10908,2244,13000,11607,549,56416,94,1264,254,200,2575,21,4415,39,861,190,146,476,22,1735,268,3190,355,1038,1686,54,6582,912,2227,394,1410,1257,77,6273,989,900,85,1394,797,37,4208,2498,1010,106,2058,946,35,6655,5675,638,92,3055,826,52,10340,6244,219,40,2362,478,53,9392,1898,63,14,550,205,18,2744,667,31,3,186,90,4,976,350,18,6,104,85,3,561,215,9,7,61,53,5,352,96,4,0,44
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
