GCCSA_CODE_2021,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85over,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85over,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85over,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85over,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85over,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85over,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85over,C11_M_CL_CL_nfd_Tot,C11_M_CL_Tot_15_19,C11_M_CL_Tot_20_24,C11_M_CL_Tot_25_34,C11_M_CL_Tot_35_44,C11_M_CL_Tot_45_54,C11_M_CL_Tot_55_64,C11_M_CL_Tot_65_74,C11_M_CL_Tot_75_84,C11_M_CL_Tot_85over,C11_M_CL_Tot_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85over,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85over,C11_M_LE_NS_Tot,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85over,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85over,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85over,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85over,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85over,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85over,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85over,C16_M_CL_CL_nfd_Tot,C16_M_CL_Tot_15_19,C16_M_CL_Tot_20_24,C16_M_CL_Tot_25_34,C16_M_CL_Tot_35_44,C16_M_CL_Tot_45_54,C16_M_CL_Tot_55_64,C16_M_CL_Tot_65_74,C16_M_CL_Tot_75_84,C16_M_CL_Tot_85over,C16_M_CL_Tot_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85over,C16_M_LE_ID_Tot
5GPER,3,344,5997,6765,6137,4424,2070,622,132,26489,0,173,1726,2575,2337,1635,610,177,25,9259,49,6972,26445,21688,16550,11833,5140,1883,520,91082,358,3693,9895,10818,10522,9304,5055,2126,558,52315,3470,13581,30059,30937,31942,24610,14664,6928,1719,157905,925,1000,1364,888,614,460,207,86,16,5568,188,562,1173,1278,1224,1196,675,309,75,6686,4581,15147,32598,33104,33777,26269,15548,7319,1817,170155,180,804,2028,2084,1955,1936,1497,928,351,11760,5344,6111,12353,10500,8932,7478,5546,4794,2281,63343,10515,33246,91049,87533,80208,62874,35454,17836,5681,424396,5,375,8386,10312,7844,5465,3234,1090,246,36943,4,211,2239,2797,2915,2231,1090,258,51,11809,56,8340,32281,26935,19676,13908,8089,2776,805,112863,458,3745,13406,13389,12760,10370,7176,2878,738,64913,2849,13563,38134,32389,33635,27449,18096,9047,2245,177409,1373,1330,1557,977,717,467,259,69,26,6766,251,653,1779,1968,2095,1823,1481,772,208,11028,4476,15541,41473,35328,36445,29733,19838,9889,2480,195200,125,356,1235,1247,1085,885,811,406,144,6291
5RWAU,0,26,402,551,558,462,242,69,13,2318,0,19,216,387,371,295,90,21,7,1420,3,582,3130,3251,2418,1857,780,247,50,12315,35,347,1484,2314,2470,2182,1025,339,57,10241,1169,4767,11835,12299,11990,8411,4111,1596,367,56547,352,403,485,354,266,147,76,17,5,2106,68,139,351,448,396,384,194,83,8,2066,1579,5318,12670,13096,12652,8943,4385,1693,378,60717,53,153,491,518,580,585,415,203,53,3056,2025,2632,6075,5686,5074,3499,1980,1307,454,28737,3705,9073,24464,25813,24131,17823,8921,3879,1010,118803,0,14,521,744,622,544,423,119,24,3000,0,26,258,402,385,401,191,43,4,1705,4,454,3308,3389,2704,2257,1295,393,97,13904,47,339,1836,2550,2780,2524,1599,536,116,12327,948,4167,13052,12254,12056,9899,5534,2073,451,60435,459,463,557,371,316,229,95,36,0,2526,89,180,500,668,645,657,535,205,54,3524,1501,4809,14111,13288,13014,10785,6165,2308,500,66487,22,61,180,223,223,212,208,95,38,1249
59499,0,4,33,27,20,0,6,0,0,83,0,0,0,0,3,6,0,0,0,15,0,36,117,67,41,50,5,0,0,318,0,14,48,38,38,54,20,0,0,225,10,76,222,164,149,196,121,9,0,955,3,8,10,8,5,4,0,0,0,38,0,0,6,12,5,11,6,0,0,36,12,86,246,184,158,207,126,9,0,1029,0,4,17,11,11,21,15,3,0,84,38,73,206,187,186,124,50,23,0,896,48,217,674,514,466,458,224,43,3,2644,0,0,24,12,6,9,6,0,0,66,0,0,3,5,0,5,3,0,0,12,0,18,93,38,14,33,15,6,0,219,0,11,29,23,31,35,26,0,0,152,9,44,178,135,138,144,85,10,3,750,0,6,10,7,0,4,0,0,0,31,0,0,10,3,11,8,10,0,0,46,8,49,195,148,148,159,93,13,3,825,0,3,3,9,0,0,3,0,0,26
59799,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,3,0,0,0,15,0,0,10,13,5,0,0,0,0,29,0,9,43,34,31,7,3,0,0,125,0,0,6,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,9,44,41,29,12,3,0,0,139,0,0,9,5,5,0,0,0,0,22,0,3,21,17,3,9,0,0,0,67,0,19,95,73,54,21,4,3,0,276,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,8,10,5,4,0,3,0,31,0,0,8,14,13,11,0,0,0,51,0,0,44,39,35,7,3,0,0,130,0,0,4,3,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,10,0,0,46,43,36,9,3,0,0,142,0,0,0,0,0,0,0,0,0,0
