GCCSA_CODE_2021,Age_37_C16_F,Age_37_C16_P,Age_37_C21_M,Age_37_C21_F,Age_37_C21_P,Age_38_C11_M,Age_38_C11_F,Age_38_C11_P,Age_38_C16_M,Age_38_C16_F,Age_38_C16_P,Age_38_C21_M,Age_38_C21_F,Age_38_C21_P,Age_39_C11_M,Age_39_C11_F,Age_39_C11_P,Age_39_C16_M,Age_39_C16_F,Age_39_C16_P,Age_39_C21_M,Age_39_C21_F,Age_39_C21_P,Age_35_39_C11_M,Age_35_39_C11_F,Age_35_39_C11_P,Age_35_39_C16_M,Age_35_39_C16_F,Age_35_39_C16_P,Age_35_39_C21_M,Age_35_39_C21_F,Age_35_39_C21_P,Age_40_C11_M,Age_40_C11_F,Age_40_C11_P,Age_40_C16_M,Age_40_C16_F,Age_40_C16_P,Age_40_C21_M,Age_40_C21_F,Age_40_C21_P,Age_41_C11_M,Age_41_C11_F,Age_41_C11_P,Age_41_C16_M,Age_41_C16_F,Age_41_C16_P,Age_41_C21_M,Age_41_C21_F,Age_41_C21_P,Age_42_C11_M,Age_42_C11_F,Age_42_C11_P,Age_42_C16_M,Age_42_C16_F,Age_42_C16_P,Age_42_C21_M,Age_42_C21_F,Age_42_C21_P,Age_43_C11_M,Age_43_C11_F,Age_43_C11_P,Age_43_C16_M,Age_43_C16_F,Age_43_C16_P,Age_43_C21_M,Age_43_C21_F,Age_43_C21_P,Age_44_C11_M,Age_44_C11_F,Age_44_C11_P,Age_44_C16_M,Age_44_C16_F,Age_44_C16_P,Age_44_C21_M,Age_44_C21_F,Age_44_C21_P,Age_40_44_C11_M,Age_40_44_C11_F,Age_40_44_C11_P,Age_40_44_C16_M,Age_40_44_C16_F,Age_40_44_C16_P,Age_40_44_C21_M,Age_40_44_C21_F,Age_40_44_C21_P,Age_45_C11_M,Age_45_C11_F,Age_45_C11_P,Age_45_C16_M,Age_45_C16_F,Age_45_C16_P,Age_45_C21_M,Age_45_C21_F,Age_45_C21_P,Age_46_C11_M,Age_46_C11_F,Age_46_C11_P,Age_46_C16_M,Age_46_C16_F,Age_46_C16_P,Age_46_C21_M,Age_46_C21_F,Age_46_C21_P,Age_47_C11_M,Age_47_C11_F,Age_47_C11_P,Age_47_C16_M,Age_47_C16_F,Age_47_C16_P,Age_47_C21_M,Age_47_C21_F,Age_47_C21_P,Age_48_C11_M,Age_48_C11_F,Age_48_C11_P,Age_48_C16_M,Age_48_C16_F,Age_48_C16_P,Age_48_C21_M,Age_48_C21_F,Age_48_C21_P,Age_49_C11_M,Age_49_C11_F,Age_49_C11_P,Age_49_C16_M,Age_49_C16_F,Age_49_C16_P,Age_49_C21_M,Age_49_C21_F,Age_49_C21_P,Age_45_49_C11_M,Age_45_49_C11_F,Age_45_49_C11_P,Age_45_49_C16_M,Age_45_49_C16_F,Age_45_49_C16_P,Age_45_49_C21_M,Age_45_49_C21_F,Age_45_49_C21_P,Age_50_C11_M,Age_50_C11_F,Age_50_C11_P,Age_50_C16_M,Age_50_C16_F,Age_50_C16_P,Age_50_C21_M,Age_50_C21_F,Age_50_C21_P,Age_51_C11_M,Age_51_C11_F,Age_51_C11_P,Age_51_C16_M,Age_51_C16_F,Age_51_C16_P,Age_51_C21_M,Age_51_C21_F,Age_51_C21_P,Age_52_C11_M,Age_52_C11_F,Age_52_C11_P,Age_52_C16_M,Age_52_C16_F,Age_52_C16_P,Age_52_C21_M,Age_52_C21_F,Age_52_C21_P,Age_53_C11_M,Age_53_C11_F,Age_53_C11_P,Age_53_C16_M,Age_53_C16_F,Age_53_C16_P,Age_53_C21_M,Age_53_C21_F,Age_53_C21_P,Age_54_C11_M,Age_54_C11_F,Age_54_C11_P,Age_54_C16_M,Age_54_C16_F,Age_54_C16_P,Age_54_C21_M,Age_54_C21_F,Age_54_C21_P,Age_50_54_C11_M,Age_50_54_C11_F,Age_50_54_C11_P,Age_50_54_C16_M,Age_50_54_C16_F,Age_50_54_C16_P,Age_50_54_C21_M,Age_50_54_C21_F,Age_50_54_C21_P,Age_55_C11_M,Age_55_C11_F,Age_55_C11_P,Age_55_C16_M,Age_55_C16_F,Age_55_C16_P
5GPER,13767,27226,16124,16714,32835,12454,12615,25067,13415,13259,26673,16232,16476,32712,13210,13439,26646,13021,13160,26180,15757,15822,31581,61442,62448,123893,68748,68877,137621,80691,82738,163435,13434,13825,27264,13199,13407,26602,15313,15552,30868,12773,13032,25809,13092,13243,26337,14518,14699,29218,12643,13104,25742,13028,13484,26516,14059,14443,28497,12035,12451,24484,13391,13647,27042,13868,13857,27722,12031,12197,24227,14013,14471,28487,13397,13783,27177,62919,64605,127525,66729,68258,134982,71155,72329,143484,11763,12209,23973,14253,14618,28871,13593,13748,27339,11759,12315,24077,13475,13642,27123,13409,13848,27261,12225,12400,24627,13433,13658,27087,13414,13753,27172,12255,12610,24870,12794,13050,25850,13717,14006,27723,12037,12285,24327,12521,12744,25263,14325,14700,29020,60035,61830,121868,66479,67714,134190,68465,70055,138515,11683,12185,23872,12323,12584,24901,14579,14905,29489,11424,11792,23211,12187,12542,24722,13650,13929,27579,11105,11531,22639,12520,12718,25228,13701,13895,27596,10733,11139,21867,12326,12693,25026,12876,13117,25996,10487,11060,21549,12231,12389,24621,12557,12839,25395,55430,57706,113137,61583,62922,124500,67358,68693,136051,10615,10987,21602,11684,12291,23977
5RWAU,3350,6968,3720,3637,7359,4005,3484,7489,3559,3310,6863,3700,3670,7369,4277,3784,8062,3602,3241,6844,3600,3595,7202,19458,17530,36987,18200,16704,34906,18307,18303,36610,4367,3950,8318,3560,3302,6857,3671,3520,7187,4100,3653,7752,3556,3433,6986,3492,3397,6889,4044,3662,7706,3805,3477,7281,3486,3434,6922,4063,3505,7569,3976,3478,7452,3401,3227,6629,3811,3448,7264,4221,3692,7912,3431,3189,6621,20389,18213,38604,19118,17378,36492,17476,16769,34251,3964,3377,7340,4165,3937,8101,3462,3251,6709,4021,3440,7464,3939,3649,7585,3424,3445,6869,4026,3435,7456,3966,3660,7630,3525,3446,6971,4112,3568,7687,3882,3470,7353,3744,3397,7140,3938,3530,7467,3779,3367,7151,3965,3734,7696,20058,17356,37414,19738,18083,37816,18113,17268,35382,4170,3637,7806,3934,3453,7385,4068,3913,7983,3800,3520,7318,3848,3509,7351,3823,3570,7395,3933,3466,7402,3921,3502,7426,3686,3602,7288,3822,3307,7124,4048,3689,7734,3694,3565,7259,3808,3183,6990,3847,3638,7481,3589,3365,6953,19524,17115,36642,19601,17784,37383,18866,18016,36883,3678,3294,6976,4073,3769,7837
59499,27,85,78,54,128,65,38,109,62,40,103,85,61,145,69,31,102,61,32,91,69,43,113,368,212,584,295,156,450,449,315,769,75,39,116,58,27,86,169,111,277,83,50,138,54,38,96,64,56,126,60,31,95,50,29,83,80,39,118,79,42,123,79,21,99,75,47,117,63,36,95,69,28,97,95,38,135,364,200,562,308,149,454,476,298,770,73,36,108,66,35,105,145,55,195,73,32,110,66,22,91,64,58,118,74,41,114,83,30,107,65,46,107,59,26,87,44,28,71,75,60,131,83,34,118,48,24,77,99,35,132,368,180,543,315,141,454,433,244,680,69,51,123,72,39,104,134,65,202,66,37,106,54,32,93,68,24,97,54,45,100,61,42,97,80,44,121,60,48,111,71,36,107,68,54,118,75,49,121,69,38,110,55,43,94,314,236,553,321,186,509,404,228,631,71,75,142,70,54,126
59799,0,17,25,9,34,18,0,18,13,3,11,26,0,26,12,0,12,15,0,15,8,0,8,62,3,61,59,3,62,85,10,92,8,0,8,20,0,20,22,0,22,14,0,14,10,0,10,14,0,14,10,0,10,14,0,14,13,0,18,6,0,6,10,3,15,22,0,22,6,0,8,9,0,9,13,0,13,41,5,42,62,3,63,79,0,82,14,0,14,14,0,14,5,0,5,7,0,9,9,0,6,17,0,17,4,0,4,10,0,10,13,4,17,3,0,3,16,0,18,8,0,8,9,0,9,6,0,8,13,0,11,33,5,33,47,3,57,51,3,57,9,0,14,12,0,12,9,0,8,5,0,5,4,0,4,13,0,13,3,0,3,7,0,7,10,0,10,5,0,5,8,0,11,9,0,9,3,0,3,11,0,11,3,4,3,35,0,37,44,0,45,48,3,54,4,0,4,8,0,8
