GCCSA_CODE_2021,C11_M_NatPhy_sci_15_19,C11_M_NatPhy_sci_20_24,C11_M_NatPhy_sci_25_34,C11_M_NatPhy_sci_35_44,C11_M_NatPhy_sci_45_54,C11_M_NatPhy_sci_55_64,C11_M_NatPhy_sci_65_74,C11_M_NatPhy_sci_75_84,C11_M_NatPhy_sci_85over,C11_M_NatPhy_sci_Tot,C11_M_InfTec_15_19,C11_M_InfTec_20_24,C11_M_InfTec_25_34,C11_M_InfTec_35_44,C11_M_InfTec_45_54,C11_M_InfTec_55_64,C11_M_InfTec_65_74,C11_M_InfTec_75_84,C11_M_InfTec_85over,C11_M_InfTec_Tot,C11_M_EngRT_15_19,C11_M_EngRT_20_24,C11_M_EngRT_25_34,C11_M_EngRT_35_44,C11_M_EngRT_45_54,C11_M_EngRT_55_64,C11_M_EngRT_65_74,C11_M_EngRT_75_84,C11_M_EngRT_85over,C11_M_EngRT_Tot,C11_M_ArchBuild_15_19,C11_M_ArchBuild_20_24,C11_M_ArchBuild_25_34,C11_M_ArchBuild_35_44,C11_M_ArchBuild_45_54,C11_M_ArchBuild_55_64,C11_M_ArchBuild_65_74,C11_M_ArchBuild_75_84,C11_M_ArchBuild_85over,C11_M_ArchBuild_Tot,C11_M_AgEnv_RS_15_19,C11_M_AgEnv_RS_20_24,C11_M_AgEnv_RS_25_34,C11_M_AgEnv_RS_35_44,C11_M_AgEnv_RS_45_54,C11_M_AgEnv_RS_55_64,C11_M_AgEnv_RS_65_74,C11_M_AgEnv_RS_75_84,C11_M_AgEnv_RS_85over,C11_M_AgEnv_RS_Tot,C11_M_Health_15_19,C11_M_Health_20_24,C11_M_Health_25_34,C11_M_Health_35_44,C11_M_Health_45_54,C11_M_Health_55_64,C11_M_Health_65_74,C11_M_Health_75_84,C11_M_Health_85over,C11_M_Health_Tot,C11_M_Educ_15_19,C11_M_Educ_20_24,C11_M_Educ_25_34,C11_M_Educ_35_44,C11_M_Educ_45_54,C11_M_Educ_55_64,C11_M_Educ_65_74,C11_M_Educ_75_84,C11_M_Educ_85over,C11_M_Educ_Tot,C11_M_MngtCom_15_19,C11_M_MngtCom_20_24,C11_M_MngtCom_25_34,C11_M_MngtCom_35_44,C11_M_MngtCom_45_54,C11_M_MngtCom_55_64,C11_M_MngtCom_65_74,C11_M_MngtCom_75_84,C11_M_MngtCom_85over,C11_M_MngtCom_Tot,C11_M_Soc_cult_15_19,C11_M_Soc_cult_20_24,C11_M_Soc_cult_25_34,C11_M_Soc_cult_35_44,C11_M_Soc_cult_45_54,C11_M_Soc_cult_55_64,C11_M_Soc_cult_65_74,C11_M_Soc_cult_75_84,C11_M_Soc_cult_85over,C11_M_Soc_cult_Tot,C11_M_Creative_art_15_19,C11_M_Creative_art_20_24,C11_M_Creative_art_25_34,C11_M_Creative_art_35_44,C11_M_Creative_art_45_54,C11_M_Creative_art_55_64,C11_M_Creative_art_65_74,C11_M_Creative_art_75_84,C11_M_Creative_art_85over,C11_M_Creative_art_Tot,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85over,C11_M_FoodHos_PS_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85over,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85over,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85over,C11_M_FldStu_NS_Tot,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_NatPhy_sci_15_19,C16_M_NatPhy_sci_20_24,C16_M_NatPhy_sci_25_34,C16_M_NatPhy_sci_35_44,C16_M_NatPhy_sci_45_54,C16_M_NatPhy_sci_55_64,C16_M_NatPhy_sci_65_74,C16_M_NatPhy_sci_75_84,C16_M_NatPhy_sci_85over,C16_M_NatPhy_sci_Tot,C16_M_InfTec_15_19,C16_M_InfTec_20_24,C16_M_InfTec_25_34,C16_M_InfTec_35_44,C16_M_InfTec_45_54,C16_M_InfTec_55_64,C16_M_InfTec_65_74,C16_M_InfTec_75_84,C16_M_InfTec_85over,C16_M_InfTec_Tot,C16_M_EngRT_15_19,C16_M_EngRT_20_24,C16_M_EngRT_25_34,C16_M_EngRT_35_44,C16_M_EngRT_45_54,C16_M_EngRT_55_64,C16_M_EngRT_65_74,C16_M_EngRT_75_84,C16_M_EngRT_85over,C16_M_EngRT_Tot,C16_M_ArchBuild_15_19,C16_M_ArchBuild_20_24,C16_M_ArchBuild_25_34,C16_M_ArchBuild_35_44,C16_M_ArchBuild_45_54,C16_M_ArchBuild_55_64,C16_M_ArchBuild_65_74,C16_M_ArchBuild_75_84,C16_M_ArchBuild_85over,C16_M_ArchBuild_Tot,C16_M_AgEnv_RS_15_19,C16_M_AgEnv_RS_20_24,C16_M_AgEnv_RS_25_34,C16_M_AgEnv_RS_35_44,C16_M_AgEnv_RS_45_54,C16_M_AgEnv_RS_55_64,C16_M_AgEnv_RS_65_74,C16_M_AgEnv_RS_75_84,C16_M_AgEnv_RS_85over,C16_M_AgEnv_RS_Tot
5GPER,33,966,3341,3524,3147,2473,1197,403,109,15190,485,1487,6062,3919,2165,874,187,17,3,15191,1459,8958,26179,28021,28680,22864,12498,5562,1389,135620,853,3950,8091,7841,7689,6196,4012,1983,470,41082,112,592,1978,1907,1536,1077,680,309,72,8270,71,919,3782,3912,3503,2433,1365,644,173,16802,45,335,1773,2303,2992,3068,1727,721,178,13141,479,4131,13253,13051,11061,8266,3955,1460,458,56124,399,2006,5451,5350,4605,3991,1933,724,175,24634,357,1482,3133,1939,1278,1008,436,160,44,9839,270,1513,3931,3246,2593,1556,860,310,79,14363,61,95,64,78,73,60,46,32,14,520,63,263,869,1027,958,701,380,202,77,4548,5822,6536,13155,11419,9920,8302,6170,5313,2433,69074,10515,33246,91049,87533,80208,62874,35454,17836,5681,424396,44,1328,3871,3747,3555,2715,1897,589,174,17925,412,1529,5963,5706,3010,1380,406,49,6,18461,1310,9735,33465,31729,30689,25434,17033,7699,1964,159064,706,3718,11934,8895,8541,6738,4793,2734,680,48741,105,514,2001,2086,1846,1351,911,410,115,9333
5RWAU,13,112,493,566,402,323,166,49,10,2144,104,177,438,282,177,100,28,0,0,1308,566,3287,8966,9369,8944,6400,3054,1084,222,41893,266,1146,2388,2317,2461,1937,1055,425,77,12084,170,412,1304,1383,1287,949,478,185,26,6201,16,79,478,816,829,551,260,92,17,3134,12,72,499,696,819,934,385,101,20,3532,99,314,1378,1839,1643,1314,588,160,41,7376,67,231,669,806,756,667,279,113,13,3603,36,120,283,269,241,241,96,35,3,1311,83,272,1018,1142,861,452,248,90,14,4167,25,17,22,25,18,19,15,3,4,143,24,56,187,284,278,195,108,39,14,1180,2215,2774,6349,6016,5420,3751,2162,1499,553,30732,3705,9073,24464,25813,24131,17823,8921,3879,1010,118803,14,100,522,597,435,392,295,88,20,2462,87,194,426,367,234,121,57,12,0,1508,538,2877,10111,9561,9208,7576,4529,1627,362,46390,224,874,2775,2308,2313,2185,1333,597,128,12736,160,390,1126,1434,1367,1156,730,317,74,6756
59499,0,10,23,21,12,7,0,0,0,72,0,9,19,6,0,5,0,0,0,51,5,47,185,142,126,154,95,3,0,753,6,31,61,40,31,48,24,6,0,248,0,3,22,12,14,13,0,0,0,63,0,5,12,8,10,10,5,0,0,55,0,0,5,6,10,15,15,0,0,45,0,20,42,35,17,37,6,0,0,158,0,9,26,16,24,20,3,0,0,96,0,5,21,15,8,4,0,0,0,58,0,4,29,8,17,14,5,0,0,79,0,0,5,0,0,0,0,0,0,5,0,0,6,4,3,4,7,0,0,24,39,76,224,189,191,132,56,27,0,933,48,217,674,514,466,458,224,43,3,2644,0,7,9,12,3,4,0,0,0,38,0,0,14,3,5,11,5,0,0,38,0,35,144,81,109,104,69,7,3,558,5,11,53,42,22,36,15,3,0,185,0,6,14,12,4,15,11,0,0,61
59799,0,0,5,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,42,33,30,9,0,0,0,122,0,0,10,8,3,3,0,0,0,28,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,11,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,8,0,3,21,13,9,5,0,0,0,63,0,19,95,73,54,21,4,3,0,276,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,47,52,41,13,0,0,0,156,0,0,15,0,3,0,0,0,0,20,0,0,4,5,0,0,0,0,0,6
