GCCSA_CODE_2021,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Not_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Not_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Not_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Not_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Not_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Not_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Not_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Not_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Not_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Not_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Not_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Not_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75over_Em_FT,C11_M_75over_Em_PT,C11_M_75over_Em_AFW,C11_M_75over_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Look_FT,C11_M_75over_Unem_Look_PT,C11_M_75over_Unem_Tot,C11_M_75over_Tot_LF,C11_M_75ove_Not_LF,C11_M_75over_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_Tot_Tot_labo_for,C11_M_Tot_Not_LF,C11_M_Tot_LF_NS,C11_M_Tot_Tot,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Not_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Not_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot
5GPER,10013,14164,1006,985,26167,1992,2497,4485,30657,26564,3070,60289,30104,13691,1755,1470,47022,2766,1590,4354,51380,9965,4677,66020,43181,7763,2000,1255,54202,2131,597,2726,56932,5447,5292,67671,42182,5431,1839,1043,50499,1592,328,1920,52414,4085,4305,60806,43794,5001,1947,1178,51919,1420,255,1673,53596,3935,3914,61442,44801,5264,1904,1082,53053,1378,251,1627,54680,4359,3881,62919,42674,5022,2019,980,50699,1270,207,1473,52174,4436,3423,60035,38151,5024,1959,777,45910,1123,241,1361,47270,5016,3141,55430,30394,5298,1831,630,38147,1024,235,1266,39415,7025,2799,49242,19712,6949,1513,498,28672,707,338,1049,29721,13418,2342,45482,6046,4713,605,230,11594,124,137,253,11845,19205,1821,32870,1199,2053,186,88,3526,30,65,95,3627,19400,1579,24608,371,1029,104,96,1603,7,24,33,1635,34953,4196,40788,352621,81415,18680,10303,463013,15552,6774,22332,485342,157819,44440,687601,5495,15035,673,534,21737,2264,4862,7134,28868,29764,2768,61397,24793,17861,1254,1160,45065,4530,2847,7377,52444,11675,4226,68350,43175,10730,1692,1219,56818,3968,1114,5083
5RWAU,3912,2641,346,311,7215,672,374,1048,8261,6508,1281,16052,8685,1508,491,352,11033,758,158,917,11948,1912,1939,15799,11439,1302,660,385,13788,557,103,650,14437,1673,2459,18567,11458,1232,713,369,13770,457,86,540,14315,1536,2022,17865,12633,1419,800,392,15242,486,71,559,15806,1589,2066,19458,13364,1561,844,384,16157,412,88,499,16661,1565,2166,20389,13074,1564,812,347,15794,393,82,472,16276,1718,2068,20058,12453,1692,816,345,15305,372,69,438,15750,1895,1888,19524,9802,1698,807,219,12530,319,83,403,12931,2552,1453,16936,6184,1952,613,191,8933,222,112,329,9267,4508,1127,14905,2053,1238,291,92,3669,44,50,97,3769,5960,695,10423,650,643,116,51,1455,9,17,27,1481,5483,572,7538,331,417,83,59,892,11,7,20,915,8728,1122,10766,106046,18864,7397,3487,135795,4711,1292,6009,141804,45625,20851,208283,2462,3019,192,211,5886,683,571,1251,7142,7195,1294,15631,6977,1644,354,283,9251,1032,250,1284,10538,1997,1401,13934,10457,1469,553,247,12729,811,132,945
59499,18,6,0,0,25,11,3,14,41,47,34,121,133,22,10,7,171,22,8,31,200,69,67,335,223,45,27,3,295,22,8,34,330,65,100,494,167,29,10,6,215,28,4,37,245,74,107,428,153,20,23,4,193,19,5,24,222,54,94,368,132,18,15,7,173,30,12,42,217,65,78,364,142,13,13,4,172,32,0,36,210,64,98,368,114,14,13,7,148,22,0,21,169,70,79,314,85,15,9,0,112,25,6,27,143,144,76,362,64,12,8,3,80,15,8,21,99,221,47,368,15,9,6,0,26,0,4,4,24,206,30,266,0,0,0,0,4,0,0,0,4,101,18,126,0,0,0,0,3,0,0,0,0,51,19,74,1236,213,125,41,1619,227,61,283,1906,1239,831,3979,0,8,0,0,7,18,3,19,27,36,26,87,57,32,3,10,104,24,4,36,137,63,57,257,145,42,6,7,199,41,3,42
59799,3,0,0,0,3,0,0,0,3,0,0,7,20,0,5,0,25,0,0,0,25,5,3,33,52,0,3,0,58,0,0,0,57,0,11,71,50,0,3,5,59,0,0,0,59,0,11,68,43,4,0,0,49,4,0,4,49,0,12,62,30,0,4,0,36,0,0,0,36,0,7,41,21,0,6,0,24,0,0,0,29,0,6,33,27,0,0,0,32,0,0,0,32,0,3,35,14,0,0,0,15,0,0,0,15,3,5,21,12,0,0,0,11,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,273,11,20,5,310,5,0,5,312,10,53,377,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,14,0,3,16,29,0,0,0,34,0,0,0
