GCCSA_CODE_2021,CFNC_FI_H_MI_C11_Fam,CFNC_FI_H_MI_C11_Per,CFNC_FI_H_MI_C16_Fam,CFNC_FI_H_MI_C16_Per,CFNC_FI_H_MI_C21_Fam,CFNC_FI_H_MI_C21_Per,CFNC_FI_S_MI_C11_Fam,CFNC_FI_S_MI_C11_Per,CFNC_FI_S_MI_C16_Fam,CFNC_FI_S_MI_C16_Per,CFNC_FI_S_MI_C21_Fam,CFNC_FI_S_MI_C21_Per,CFNC_FI_L_MI_C11_Fam,CFNC_FI_L_MI_C11_Per,CFNC_FI_L_MI_C16_Fam,CFNC_FI_L_MI_C16_Per,CFNC_FI_L_MI_C21_Fam,CFNC_FI_L_MI_C21_Per,CF_CU15_DS_FI_H_MI_C11_Fam,CF_CU15_DS_FI_H_MI_C11_Per,CF_CU15_DS_FI_H_MI_C16_Fam,CF_CU15_DS_FI_H_MI_C16_Per,CF_CU15_DS_FI_H_MI_C21_Fam,CF_CU15_DS_FI_H_MI_C21_Per,CF_CU15_DS_FI_S_MI_C11_Fam,CF_CU15_DS_FI_S_MI_C11_Per,CF_CU15_DS_FI_S_MI_C16_Fam,CF_CU15_DS_FI_S_MI_C16_Per,CF_CU15_DS_FI_S_MI_C21_Fam,CF_CU15_DS_FI_S_MI_C21_Per,CF_CU15_DS_FI_L_MI_C11_Fam,CF_CU15_DS_FI_L_MI_C11_Per,CF_CU15_DS_FI_L_MI_C16_Fam,CF_CU15_DS_FI_L_MI_C16_Per,CF_CU15_DS_FI_L_MI_C21_Fam,CF_CU15_DS_FI_L_MI_C21_Per,CF_CU15noDS_FI_H_MI_C11_Fam,CF_CU15noDS_FI_H_MI_C11_Per,CF_CU15noDS_FI_H_MI_C16_Fam,CF_CU15noDS_FI_H_MI_C16_Per,CF_CU15noDS_FI_H_MI_C21_Fam,CF_CU15noDS_FI_H_MI_C21_Per,CF_CU15noDS_FI_S_MI_C11_Fam,CF_CU15noDS_FI_S_MI_C11_Per,CF_CU15noDS_FI_S_MI_C16_Fam,CF_CU15noDS_FI_S_MI_C16_Per,CF_CU15noDS_FI_S_MI_C21_Fam,CF_CU15noDS_FI_S_MI_C21_Per,CF_CU15noDS_FI_L_MI_C11_Fam,CF_CU15noDS_FI_L_MI_C11_Per,CF_CU15noDS_FI_L_MI_C16_Fam,CF_CU15noDS_FI_L_MI_C16_Per,CF_CU15noDS_FI_L_MI_C21_Fam,CF_CU15noDS_FI_L_MI_C21_Per,CFNCU15_DS_FI_H_MI_C11_Fam,CFNCU15_DS_FI_H_MI_C11_Per,CFNCU15_DS_FI_H_MI_C16_Fam,CFNCU15_DS_FI_H_MI_C16_Per,CFNCU15_DS_FI_H_MI_C21_Fam,CFNCU15_DS_FI_H_MI_C21_Per,CFNCU15_DS_FI_S_MI_C11_Fam,CFNCU15_DS_FI_S_MI_C11_Per,CFNCU15_DS_FI_S_MI_C16_Fam,CFNCU15_DS_FI_S_MI_C16_Per,CFNCU15_DS_FI_S_MI_C21_Fam,CFNCU15_DS_FI_S_MI_C21_Per,CFNCU15_DS_FI_L_MI_C11_Fam,CFNCU15_DS_FI_L_MI_C11_Per,CFNCU15_DS_FI_L_MI_C16_Fam,CFNCU15_DS_FI_L_MI_C16_Per,CFNCU15_DS_FI_L_MI_C21_Fam,CFNCU15_DS_FI_L_MI_C21_Per,CF_nonDC_FI_H_MI_C11_Fam,CF_nonDC_FI_H_MI_C11_Per,CF_nonDC_FI_H_MI_C16_Fam,CF_nonDC_FI_H_MI_C16_Per,CF_nonDC_FI_H_MI_C21_Fam,CF_nonDC_FI_H_MI_C21_Per,CF_nonDC_FI_S_MI_C11_Fam,CF_nonDC_FI_S_MI_C11_Per,CF_nonDC_FI_S_MI_C16_Fam,CF_nonDC_FI_S_MI_C16_Per,CF_nonDC_FI_S_MI_C21_Fam,CF_nonDC_FI_S_MI_C21_Per,CF_nonDC_FI_L_MI_C11_Fam,CF_nonDC_FI_L_MI_C11_Per,CF_nonDC_FI_L_MI_C16_Fam,CF_nonDC_FI_L_MI_C16_Per,CF_nonDC_FI_L_MI_C21_Fam,CF_nonDC_FI_L_MI_C21_Per,Tot_CF_FI_H_MI_C11_Fam,Tot_CF_FI_H_MI_C11_Per,Tot_CF_FI_H_MI_C16_Fam,Tot_CF_FI_H_MI_C16_Per,Tot_CF_FI_H_MI_C21_Fam,Tot_CF_FI_H_MI_C21_Per,Tot_CF_FI_S_MI_C11_Fam,Tot_CF_FI_S_MI_C11_Per,Tot_CF_FI_S_MI_C16_Fam,Tot_CF_FI_S_MI_C16_Per,Tot_CF_FI_S_MI_C21_Fam,Tot_CF_FI_S_MI_C21_Per,Tot_CF_FI_L_MI_C11_Fam,Tot_CF_FI_L_MI_C11_Per,Tot_CF_FI_L_MI_C16_Fam,Tot_CF_FI_L_MI_C16_Per,Tot_CF_FI_L_MI_C21_Fam,Tot_CF_FI_L_MI_C21_Per,Tot_CF_Tot_C11_Fam,Tot_CF_Tot_C11_Per,Tot_CF_Tot_C16_Fam,Tot_CF_Tot_C16_Per,Tot_CF_Tot_C21_Fam,Tot_CF_Tot_C21_Per
5GPER,22660,14.6,31225,18.3,37270,19.4,56126,36.1,53825,31.5,59048,30.7,76645,49.3,85915,50.3,96205,50,2161,10.4,3346,14.1,3783,14.3,3600,17.3,3379,14.2,3699,14,15105,72.4,16972,71.6,18996,71.8,10188,9.4,15658,12.6,18618,13.5,14623,13.5,14216,11.4,16249,11.8,83538,77.1,94746,76,102821,74.7,3152,12.4,5078,16.9,5457,16.8,5110,20.2,4984,16.6,5285,16.2,17104,67.4,19954,66.5,21822,67,4123,13,5968,16.9,7011,18,9079,28.7,8959,25.4,9629,24.7,18445,58.3,20308,57.6,22385,57.4,42289,12.4,61280,15.9,72141,16.8,88547,25.9,85359,22.2,93906,21.9,210839,61.7,237894,61.9,262240,61.2,341671,100,384536,100,428286,100
5RWAU,6041,13.3,7587,15.7,8931,17.2,18173,40,18405,38.1,19078,36.8,21263,46.8,22281,46.2,23874,46,610,12.8,729,14.1,753,14.2,898,19,862,16.8,935,17.7,3235,68.2,3559,69.1,3614,68.1,3278,10.6,3716,12.2,3822,12.8,4798,15.5,4279,14,4078,13.7,22901,73.9,22569,73.8,21866,73.5,439,12.4,652,15.3,662,15.5,865,24.4,853,20,818,19.2,2245,63.2,2754,64.7,2787,65.3,798,11.9,1147,16,1212,16.5,2107,31.4,2103,29.4,2078,28.3,3799,56.7,3899,54.5,4042,55.2,11172,12.2,13827,14.5,15380,15.6,26844,29.4,26503,27.8,26995,27.4,53438,58.4,55054,57.7,56180,57,91454,100,95389,100,98558,100
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
