GCCSA_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
5GPER,64889,32960,97845,67573,37839,105417,77424,48138,125556,89695,96561,186252,93045,111422,204469,112850,138121,250973,117885,20037,137916,121621,22000,143625,128690,27111,155805,24709,58155,82862,29027,70655,99683,35599,91652,127252,29918,100991,130917,29182,96051,125237,31644,100473,132123,28485,49056,77544,31290,52939,84234,31240,52822,84068,50676,5867,56544,53927,6309,60236,64263,9426,73685,49021,26371,75391,52533,29832,82368,57624,34213,91834,7737,4624,12359,9197,5749,14947,10501,7095,17595,463013,394621,857631,487399,432800,920201,549839,509051,1058890
5RWAU,23577,12190,35769,21521,12303,33822,21602,13413,35016,13538,18052,31587,12891,19551,32445,13082,22667,35748,38921,5853,44767,37429,5912,43337,36357,6858,43221,4919,15357,20280,5458,17578,23039,6311,20545,26859,4371,22647,27018,3963,21091,25052,3931,21408,25334,4998,11904,16906,5607,12406,18012,5651,11880,17528,24016,2916,26938,22868,2980,25854,22505,3962,26465,19025,11261,30282,18296,11449,29744,18276,12456,30737,2435,1342,3775,2719,1396,4112,2832,1734,4566,135795,101528,237324,130756,104674,235428,130548,114926,245471
59499,111,62,171,70,41,109,57,49,107,244,219,457,124,119,234,115,139,257,475,58,537,302,47,347,232,34,272,73,165,231,61,96,161,51,172,223,52,184,239,34,82,112,36,112,150,53,96,147,27,58,89,29,47,77,296,39,334,236,36,272,182,31,213,293,126,417,234,151,390,169,120,292,29,18,51,33,18,55,19,11,33,1619,972,2595,1127,643,1772,899,715,1614
59799,9,0,8,8,3,9,9,0,9,53,0,55,72,6,81,32,0,33,74,6,74,82,8,81,77,11,83,4,9,12,4,4,3,0,4,9,0,0,6,7,0,8,10,0,10,0,0,0,0,0,0,0,0,0,41,0,41,31,0,31,25,0,31,128,3,130,100,0,102,86,15,98,4,0,4,13,0,13,12,0,6,310,18,328,321,15,332,246,29,277
