GCCSA_CODE_2021,C21_F_Tot_Em_Tot,C21_F_Tot_Unem_Look_FT,C21_F_Tot_Unem_Look_PT,C21_F_Tot_Unem_Tot,C21_F_Tot_Tot_labo_for,C21_F_Tot_Not_LF,C21_F_Tot_LF_NS,C21_F_Tot_Tot,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Not_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Not_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Not_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Not_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Not_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Not_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Not_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Not_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Not_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Not_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Not_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Not_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Em_FT,C11_P_75over_Em_PT,C11_P_75over_Em_Aw_fr_w,C11_P_75over_Emp_H_wor_ns,C11_P_75over_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_Tot_Tot_labo_for,C11_P_Tot_Not_LF,C11_P_Tot_LF_NS,C11_P_Tot_Tot,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Not_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Not_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot
5GPER,509051,11160,17164,28323,537374,299590,39502,876467,15711,34083,2137,1853,53781,3418,5160,8579,62360,49697,5697,117747,53333,31598,3549,2427,90899,4455,3296,7751,98648,22594,7941,129178,72875,20362,4315,1856,99408,3383,1666,5050,104454,19004,8876,132331,63036,20599,4756,1546,89938,2496,1429,3926,93866,20077,7457,121395,61647,24874,4249,1786,92559,2253,1450,3703,96263,20774,6865,123893,65406,28040,3674,1768,98892,2266,1482,3749,102640,18182,6705,127525,65679,25890,3803,1650,97027,2124,1075,3202,100223,15726,5922,121868,60178,22835,3879,1370,88270,1804,896,2707,90976,16711,5451,113137,46631,20315,3574,1131,71660,1402,711,2110,73768,22386,5004,101150,27887,18077,2782,805,49552,894,655,1548,51101,36474,4455,92026,7880,8863,1042,357,18135,143,228,370,18511,44192,3506,66207,1507,3275,285,147,5213,41,82,123,5340,42820,3294,51452,474,1473,181,171,2293,13,45,63,2356,85288,10896,98541,542264,260274,38227,16868,857631,24690,18177,42858,900495,413909,82050,1396458,8226,35453,1445,1080,46211,3674,9816,13499,59705,55119,5306,120131,43748,40069,2616,2066,88498,6972,5643,12619,101113,24113,8205,133428
5RWAU,114926,2130,2653,4790,119717,72708,19408,211827,6056,6620,645,564,13893,1128,787,1917,15809,12199,2213,30226,14020,3913,897,551,19378,1162,385,1552,20926,5188,3059,29176,17409,4389,1321,544,23668,849,345,1199,24863,6096,3745,34708,15802,5487,1423,534,23247,728,368,1097,24338,6403,3223,33967,17351,7005,1420,580,26365,761,351,1111,27476,6134,3379,36987,19252,7673,1431,608,28968,712,377,1090,30062,5180,3362,38604,19640,6947,1398,554,28534,676,284,955,29490,4751,3169,37414,18881,6741,1528,562,27717,577,206,786,28498,5229,2913,36642,14364,5877,1424,374,22042,431,207,634,22680,7080,2274,32026,8320,4770,1050,302,14442,272,190,469,14913,11061,1872,27846,2692,2333,444,156,5626,52,68,120,5748,12730,1208,19683,831,1075,186,84,2182,12,21,34,2211,11327,1044,14584,427,615,117,104,1269,11,12,21,1290,19821,2561,23671,155057,63457,13287,5525,237324,7380,3608,10981,248307,113215,34017,395540,3770,7313,390,386,11859,1050,1151,2199,14061,13255,2399,29712,11344,4410,679,464,16895,1550,523,2077,18970,4817,2597,26381
59499,715,94,66,160,875,967,1193,3030,28,27,0,0,57,25,10,35,95,75,61,232,218,65,20,4,311,39,18,56,364,144,107,614,339,91,33,9,480,49,14,60,545,140,142,826,252,64,25,11,348,36,15,56,404,173,151,721,196,44,28,5,264,30,13,37,300,136,143,584,188,40,21,10,256,46,14,62,318,129,120,562,184,44,26,7,261,50,3,53,312,110,120,543,166,48,22,7,242,35,5,39,284,165,106,553,132,52,17,0,202,32,8,37,243,341,112,694,83,31,16,4,134,11,15,27,158,424,62,648,22,10,5,0,36,0,4,4,40,350,46,431,0,0,0,0,7,0,0,0,7,153,21,179,0,0,0,0,5,0,0,0,3,73,34,113,1807,509,212,63,2595,351,111,469,3058,2414,1218,6691,10,18,0,3,27,16,10,26,60,54,39,153,116,61,3,12,199,42,13,59,256,130,115,503
59799,29,0,0,0,29,9,19,61,3,0,0,0,3,0,0,0,3,0,0,7,23,0,5,0,30,0,0,0,30,6,3,38,62,0,3,0,67,0,0,0,65,0,14,79,48,0,3,5,61,0,0,0,61,0,11,72,46,4,0,0,48,4,0,4,55,0,12,61,31,0,4,0,37,0,0,0,37,0,3,42,28,0,6,0,29,0,0,0,30,0,6,33,31,0,0,0,33,0,0,0,33,0,3,37,14,0,0,0,15,0,0,0,15,3,5,21,12,0,0,0,11,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,293,12,18,5,328,5,0,5,333,18,65,415,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,0,14,4,6,23
