GCCSA_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
5GPER,91,3859,9291,9423,7650,5655,3788,1545,332,41629,428,2321,7681,10427,5726,3094,1167,231,18,31093,1833,8692,37508,39110,33378,29931,22519,10381,2835,186188,768,3133,12712,11239,9272,7854,5767,2872,866,54491,212,1080,3450,4002,3220,2382,1421,666,185,16608,979,7971,29539,25604,20753,17578,11465,5417,1708,121006,934,3330,14590,16707,17154,15633,12149,5266,1385,87145,3248,11771,42473,52450,42269,29290,17806,7273,1905,208488,2516,9220,27068,28060,23675,18184,11876,4089,849,125530,1579,5136,10627,8966,5374,3312,2288,964,293,38534,1680,5569,14820,12922,9613,6354,3907,1639,362,56872,374,306,323,184,156,188,158,91,34,1830,285,882,3050,3586,3067,2231,1434,715,241,15484,5786,8518,23011,20976,17566,14109,11751,10523,7643,119877,20719,71783,236157,243656,198878,155788,107495,51659,18647,1104787
5RWAU,11,272,1045,1321,1072,781,586,199,30,5312,101,243,621,671,419,320,188,47,5,2612,621,2336,9193,9370,8693,7984,5606,2198,483,46494,161,741,2849,2616,2238,2261,1659,678,163,13367,322,639,1664,2249,2107,1746,1082,428,101,10328,318,1175,4380,4501,4233,4564,3136,1396,392,24092,193,726,3305,4460,4773,4387,3285,1165,245,22533,765,1772,6053,7177,6396,5208,3170,1132,250,31911,577,1221,3913,4591,4275,3934,2488,684,111,21797,197,414,1212,1167,884,712,560,255,56,5453,388,1069,3125,2858,2603,1674,971,369,57,13121,70,75,85,39,34,48,29,21,8,417,62,156,457,650,670,597,364,148,42,3141,3398,3533,9633,9472,9312,8293,6273,4043,1913,55867,7185,14371,47536,51145,47727,42516,29384,12746,3837,256450
59499,0,12,29,17,12,15,9,0,0,80,0,0,10,9,7,4,6,0,0,39,0,20,122,98,82,90,71,19,0,508,0,9,41,40,28,21,23,0,0,165,0,9,17,17,8,10,11,0,0,67,0,18,74,58,24,37,31,6,0,238,0,9,29,25,22,25,16,0,0,135,6,28,116,86,61,67,40,5,0,413,4,34,77,60,38,63,26,6,0,297,4,16,40,18,9,8,4,0,0,95,9,11,40,39,24,29,11,0,0,167,0,5,0,0,0,5,0,0,0,5,5,10,9,5,9,11,0,0,0,39,105,234,666,815,753,496,247,70,22,3408,131,400,1270,1293,1073,876,505,105,20,5668
59799,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,18,46,27,15,5,0,0,113,0,0,7,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,3,0,0,11,0,0,4,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,4,0,0,4,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6,3,15,51,75,48,21,3,0,0,228,3,32,97,145,92,48,15,0,0,428
