GCCSA_CODE_2021,C21_20_24_Div_M,C21_20_24_Div_F,C21_20_24_Div_P,C21_20_24_Wid_M,C21_20_24_Wid_F,C21_20_24_Wid_P,C21_20_24_Nvr_marrd_M,C21_20_24_Nvr_marrd_F,C21_20_24_Nvr_marrd_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Married_M,C21_25_29_Married_F,C21_25_29_Married_P,C21_25_29_Sep_M,C21_25_29_Sep_F,C21_25_29_Sep_P,C21_25_29_Div_M,C21_25_29_Div_F,C21_25_29_Div_P,C21_25_29_Wid_M,C21_25_29_Wid_F,C21_25_29_Wid_P,C21_25_29_Nvr_marrd_M,C21_25_29_Nvr_marrd_F,C21_25_29_Nvr_marrd_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Married_M,C21_30_34_Married_F,C21_30_34_Married_P,C21_30_34_Sep_M,C21_30_34_Sep_F,C21_30_34_Sep_P,C21_30_34_Div_M,C21_30_34_Div_F,C21_30_34_Div_P,C21_30_34_Wid_M,C21_30_34_Wid_F,C21_30_34_Wid_P,C21_30_34_Nvr_marrd_M,C21_30_34_Nvr_marrd_F,C21_30_34_Nvr_marrd_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Married_M,C21_35_39_Married_F,C21_35_39_Married_P,C21_35_39_Sep_M,C21_35_39_Sep_F,C21_35_39_Sep_P,C21_35_39_Div_M,C21_35_39_Div_F,C21_35_39_Div_P,C21_35_39_Wid_M,C21_35_39_Wid_F,C21_35_39_Wid_P,C21_35_39_Nvr_marrd_M,C21_35_39_Nvr_marrd_F,C21_35_39_Nvr_marrd_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Married_M,C21_40_44_Married_F,C21_40_44_Married_P,C21_40_44_Sep_M,C21_40_44_Sep_F,C21_40_44_Sep_P,C21_40_44_Div_M,C21_40_44_Div_F,C21_40_44_Div_P,C21_40_44_Wid_M,C21_40_44_Wid_F,C21_40_44_Wid_P,C21_40_44_Nvr_marrd_M,C21_40_44_Nvr_marrd_F,C21_40_44_Nvr_marrd_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Married_M,C21_45_49_Married_F,C21_45_49_Married_P,C21_45_49_Sep_M,C21_45_49_Sep_F,C21_45_49_Sep_P,C21_45_49_Div_M,C21_45_49_Div_F,C21_45_49_Div_P,C21_45_49_Wid_M,C21_45_49_Wid_F,C21_45_49_Wid_P,C21_45_49_Nvr_marrd_M,C21_45_49_Nvr_marrd_F,C21_45_49_Nvr_marrd_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Married_M,C21_50_54_Married_F,C21_50_54_Married_P,C21_50_54_Sep_M,C21_50_54_Sep_F,C21_50_54_Sep_P,C21_50_54_Div_M,C21_50_54_Div_F,C21_50_54_Div_P,C21_50_54_Wid_M,C21_50_54_Wid_F,C21_50_54_Wid_P,C21_50_54_Nvr_marrd_M,C21_50_54_Nvr_marrd_F,C21_50_54_Nvr_marrd_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Married_M,C21_55_59_Married_F,C21_55_59_Married_P,C21_55_59_Sep_M,C21_55_59_Sep_F,C21_55_59_Sep_P,C21_55_59_Div_M,C21_55_59_Div_F,C21_55_59_Div_P,C21_55_59_Wid_M,C21_55_59_Wid_F,C21_55_59_Wid_P,C21_55_59_Nvr_marrd_M,C21_55_59_Nvr_marrd_F,C21_55_59_Nvr_marrd_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Married_M,C21_60_64_Married_F,C21_60_64_Married_P,C21_60_64_Sep_M,C21_60_64_Sep_F,C21_60_64_Sep_P,C21_60_64_Div_M,C21_60_64_Div_F,C21_60_64_Div_P,C21_60_64_Wid_M,C21_60_64_Wid_F,C21_60_64_Wid_P,C21_60_64_Nvr_marrd_M,C21_60_64_Nvr_marrd_F,C21_60_64_Nvr_marrd_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_69_Married_M,C21_65_69_Married_F,C21_65_69_Married_P,C21_65_69_Sep_M,C21_65_69_Sep_F,C21_65_69_Sep_P,C21_65_69_Div_M,C21_65_69_Div_F,C21_65_69_Div_P,C21_65_69_Wid_M,C21_65_69_Wid_F,C21_65_69_Wid_P,C21_65_69_Nvr_marrd_M,C21_65_69_Nvr_marrd_F,C21_65_69_Nvr_marrd_P,C21_65_69_Tot_M,C21_65_69_Tot_F,C21_65_69_Tot_P,C21_70_74_Married_M,C21_70_74_Married_F,C21_70_74_Married_P,C21_70_74_Sep_M,C21_70_74_Sep_F,C21_70_74_Sep_P,C21_70_74_Div_M,C21_70_74_Div_F,C21_70_74_Div_P,C21_70_74_Wid_M,C21_70_74_Wid_F,C21_70_74_Wid_P,C21_70_74_Nvr_marrd_M,C21_70_74_Nvr_marrd_F,C21_70_74_Nvr_marrd_P,C21_70_74_Tot_M,C21_70_74_Tot_F,C21_70_74_Tot_P,C21_75_79_Married_M,C21_75_79_Married_F,C21_75_79_Married_P,C21_75_79_Sep_M,C21_75_79_Sep_F,C21_75_79_Sep_P,C21_75_79_Div_M,C21_75_79_Div_F
5GPER,43,82,120,34,34,63,65781,62067,127848,67284,65344,132631,11229,18359,29583,512,1100,1609,399,802,1203,53,56,110,59377,51967,111341,71559,72285,143850,31758,41230,72984,1521,2648,4170,1744,2807,4556,71,146,216,42607,35516,78123,77701,82350,160051,46804,51082,97885,2615,3677,6294,3441,4975,8415,79,329,405,27751,22685,50431,80691,82738,163435,44887,46007,90890,2982,3769,6750,4571,6450,11020,134,526,660,18583,15577,34162,71155,72329,143484,43620,43579,87196,3297,4133,7430,6245,8894,15135,282,873,1156,15012,12582,27593,68465,70055,138515,42930,42181,85109,3476,3889,7363,7982,11249,19228,475,1393,1869,12496,9985,22483,67358,68693,136051,40023,39152,79172,2930,3316,6249,8736,12123,20863,737,2198,2943,9304,7194,16493,61737,63977,125717,37179,35966,73143,2292,2674,4967,8261,12017,20281,1003,3659,4661,6565,4858,11422,55301,59167,114471,33343,31881,65221,1934,1995,3934,7297,10676,17974,1422,5451,6872,3991,3137,7127,47993,53135,101124,30679,26444,57125,1479,1425,2903,5976,8534,14514,2099,7893,9993,2430,1867,4292,42656,46169,88828,21144,16211,37356,924,736,1656,3488,5013
5RWAU,10,18,26,13,11,28,12962,11299,24263,13513,12084,25595,2629,3641,6277,156,250,403,95,155,252,17,25,46,13161,11257,24415,16061,15324,31391,6687,7909,14594,386,573,958,364,542,908,22,61,83,10265,8628,18889,17722,17709,35428,9374,10262,19635,662,859,1519,777,1012,1791,24,106,125,7475,6078,13546,18307,18303,36610,9722,9461,19177,853,986,1843,1180,1404,2580,66,168,236,5651,4751,10404,17476,16769,34251,10050,9828,19875,1028,1069,2094,1691,1959,3652,88,262,343,5261,4154,9413,18113,17268,35382,10623,10181,20808,1097,1079,2176,2394,2790,5184,146,412,554,4611,3547,8158,18866,18016,36883,10784,10440,21225,1069,971,2038,2857,3186,6044,285,655,942,3718,2510,6229,18715,17759,36478,11059,10626,21684,954,816,1774,3121,3251,6369,420,1075,1498,2580,1678,4255,18136,17441,35576,9993,9282,19275,753,563,1320,2677,2671,5350,597,1582,2177,1573,879,2460,15587,14987,30573,9084,7567,16654,622,404,1029,2227,1938,4172,770,2103,2875,865,491,1358,13572,12505,26084,5939,4574,10519,312,185,496,1143,1121
59499,0,0,0,0,0,0,294,248,539,295,256,562,20,30,53,11,13,17,4,5,6,0,0,0,351,306,666,385,358,744,56,80,130,22,18,36,27,24,45,0,0,0,330,223,550,433,339,773,102,78,184,45,24,66,30,28,54,0,0,5,275,189,456,449,315,769,87,66,154,44,31,72,35,29,68,0,8,9,305,163,470,476,298,770,68,61,126,59,16,76,47,43,94,3,5,13,256,117,377,433,244,680,59,53,113,64,24,89,72,50,122,7,4,9,197,93,295,404,228,631,83,88,174,33,23,63,81,61,141,11,4,16,118,47,160,330,226,552,124,138,265,51,15,65,68,60,132,3,16,13,87,26,115,339,250,588,126,122,249,16,5,24,74,53,132,16,10,22,35,12,49,268,204,478,73,39,116,10,12,21,41,30,76,20,15,38,25,7,34,176,112,281,40,11,52,7,0,8,20,0
59799,0,0,0,0,0,0,25,11,31,25,11,31,0,3,4,0,0,0,0,0,0,0,0,0,38,10,48,49,7,54,17,5,19,0,0,0,0,0,0,0,0,0,27,4,32,48,5,54,36,0,36,0,0,7,7,5,10,0,0,0,38,4,48,85,10,92,44,0,44,5,0,5,6,0,6,0,0,0,24,0,26,79,0,82,33,0,31,8,0,8,8,0,8,0,0,0,7,0,8,51,3,57,27,0,29,0,0,0,6,0,8,0,0,0,12,0,12,48,3,54,13,0,13,3,0,3,6,0,6,0,0,0,0,0,0,26,0,26,19,0,22,6,0,6,7,0,8,0,0,0,0,0,5,27,3,34,9,3,11,0,0,0,5,0,5,0,0,0,0,0,0,9,3,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
