GCCSA_CODE_2021,Age_19_C11_P,Age_19_C16_M,Age_19_C16_F,Age_19_C16_P,Age_19_C21_M,Age_19_C21_F,Age_19_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_C11_M,Age_20_C11_F,Age_20_C11_P,Age_20_C16_M,Age_20_C16_F,Age_20_C16_P,Age_20_C21_M,Age_20_C21_F,Age_20_C21_P,Age_21_C11_M,Age_21_C11_F,Age_21_C11_P,Age_21_C16_M,Age_21_C16_F,Age_21_C16_P,Age_21_C21_M,Age_21_C21_F,Age_21_C21_P,Age_22_C11_M,Age_22_C11_F,Age_22_C11_P,Age_22_C16_M,Age_22_C16_F,Age_22_C16_P,Age_22_C21_M,Age_22_C21_F,Age_22_C21_P,Age_23_C11_M,Age_23_C11_F,Age_23_C11_P,Age_23_C16_M,Age_23_C16_F,Age_23_C16_P,Age_23_C21_M,Age_23_C21_F,Age_23_C21_P,Age_24_C11_M,Age_24_C11_F,Age_24_C11_P,Age_24_C16_M,Age_24_C16_F,Age_24_C16_P,Age_24_C21_M,Age_24_C21_F,Age_24_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_C11_M,Age_25_C11_F,Age_25_C11_P,Age_25_C16_M,Age_25_C16_F,Age_25_C16_P,Age_25_C21_M,Age_25_C21_F,Age_25_C21_P,Age_26_C11_M,Age_26_C11_F,Age_26_C11_P,Age_26_C16_M,Age_26_C16_F,Age_26_C16_P,Age_26_C21_M,Age_26_C21_F,Age_26_C21_P,Age_27_C11_M,Age_27_C11_F,Age_27_C11_P,Age_27_C16_M,Age_27_C16_F,Age_27_C16_P,Age_27_C21_M,Age_27_C21_F,Age_27_C21_P,Age_28_C11_M,Age_28_C11_F,Age_28_C11_P,Age_28_C16_M,Age_28_C16_F,Age_28_C16_P,Age_28_C21_M,Age_28_C21_F,Age_28_C21_P,Age_29_C11_M,Age_29_C11_F,Age_29_C11_P,Age_29_C16_M,Age_29_C16_F,Age_29_C16_P,Age_29_C21_M,Age_29_C21_F,Age_29_C21_P,Age_25_29_C11_M,Age_25_29_C11_F,Age_25_29_C11_P,Age_25_29_C16_M,Age_25_29_C16_F,Age_25_29_C16_P,Age_25_29_C21_M,Age_25_29_C21_F,Age_25_29_C21_P,Age_30_C11_M,Age_30_C11_F,Age_30_C11_P,Age_30_C16_M,Age_30_C16_F,Age_30_C16_P,Age_30_C21_M,Age_30_C21_F,Age_30_C21_P,Age_31_C11_M,Age_31_C11_F,Age_31_C11_P,Age_31_C16_M,Age_31_C16_F,Age_31_C16_P,Age_31_C21_M,Age_31_C21_F,Age_31_C21_P,Age_32_C11_M,Age_32_C11_F,Age_32_C11_P,Age_32_C16_M,Age_32_C16_F,Age_32_C16_P,Age_32_C21_M,Age_32_C21_F,Age_32_C21_P,Age_33_C11_M,Age_33_C11_F,Age_33_C11_P,Age_33_C16_M,Age_33_C16_F,Age_33_C16_P,Age_33_C21_M,Age_33_C21_F,Age_33_C21_P,Age_34_C11_M,Age_34_C11_F,Age_34_C11_P,Age_34_C16_M,Age_34_C16_F,Age_34_C16_P,Age_34_C21_M,Age_34_C21_F,Age_34_C21_P,Age_30_34_C11_M,Age_30_34_C11_F,Age_30_34_C11_P,Age_30_34_C16_M,Age_30_34_C16_F,Age_30_34_C16_P,Age_30_34_C21_M,Age_30_34_C21_F,Age_30_34_C21_P,Age_35_C11_M,Age_35_C11_F,Age_35_C11_P,Age_35_C16_M,Age_35_C16_F,Age_35_C16_P,Age_35_C21_M,Age_35_C21_F,Age_35_C21_P,Age_36_C11_M,Age_36_C11_F,Age_36_C11_P,Age_36_C16_M,Age_36_C16_F,Age_36_C16_P,Age_36_C21_M,Age_36_C21_F,Age_36_C21_P,Age_37_C11_M,Age_37_C11_F,Age_37_C11_P,Age_37_C16_M
5GPER,24293,12852,12304,25155,12362,11936,24299,60289,57461,117747,61397,58736,120131,63138,60176,123315,12801,12546,25348,13435,12550,25979,13144,12557,25700,13252,12603,25858,13785,12809,26592,13354,13106,26454,13271,12824,26094,13669,12881,26551,13621,13155,26774,13225,12589,25815,13633,13348,26981,13523,13104,26623,13472,12593,26060,13830,13496,27326,13645,13424,27069,66020,63159,129178,68350,65082,133428,67284,65344,132631,13726,12895,26621,14398,14172,28570,14117,13661,27777,13707,13161,26864,15004,14785,29792,14488,14194,28680,13469,13026,26501,14876,15160,30036,14338,14583,28922,13651,12976,26630,15189,15610,30794,14078,14830,28911,13120,12607,25723,15414,15716,31134,14540,15020,29560,67671,64665,132331,74881,75447,150333,71559,72285,143850,12754,12797,25551,15996,16076,32072,14961,15968,30933,12284,12228,24505,15687,15730,31412,15553,16186,31741,12191,12124,24321,15594,15799,31393,15497,16658,32155,11931,11693,23624,15627,15471,31098,15732,16675,32406,11647,11749,23398,15418,14958,30377,15960,16867,32823,60806,60585,121395,78314,78040,156351,77701,82350,160051,11958,11984,23951,14761,14678,29436,16219,16889,33110,11868,12160,24025,14096,14012,28106,16361,16835,33197,11952,12251,24205,13459
5RWAU,5139,2588,2261,4847,2613,2350,4965,16052,14169,30226,15631,14084,29712,15418,14251,29670,2903,2374,5273,2620,2203,4820,2557,2179,4735,3013,2545,5555,2671,2343,5020,2599,2245,4845,3101,2671,5775,2719,2423,5139,2708,2407,5116,3268,2769,6037,2869,2705,5574,2769,2565,5325,3519,3024,6543,3055,2770,5823,2880,2690,5572,15799,13384,29176,13934,12443,26381,13513,12084,25595,3720,3130,6843,3227,2976,6203,3047,2781,5828,3750,3230,6984,3425,3288,6709,3176,3026,6195,3709,3253,6961,3576,3173,6745,3270,3115,6386,3723,3285,7007,3656,3268,6922,3222,3229,6451,3661,3246,6910,3773,3480,7249,3347,3181,6526,18567,16149,34708,17651,16176,33836,16061,15324,31391,3692,3142,6831,3924,3724,7651,3497,3451,6950,3665,3183,6851,3803,3618,7420,3449,3566,7016,3477,3296,6774,3846,3577,7422,3595,3546,7140,3577,3238,6814,3877,3554,7428,3554,3537,7097,3456,3241,6691,3761,3548,7309,3618,3607,7223,17865,16095,33967,19212,18014,37228,17722,17709,35428,3654,3353,7014,3772,3391,7159,3719,3686,7408,3759,3398,7152,3655,3415,7072,3569,3713,7274,3759,3504,7269,3618
59499,72,39,32,64,36,30,65,121,106,232,87,65,153,118,147,261,63,38,106,40,39,82,65,63,123,51,41,102,36,42,82,48,40,88,58,47,113,45,48,92,66,38,103,74,68,143,59,49,107,62,41,102,88,74,161,76,63,141,63,84,141,335,278,614,257,245,503,295,256,562,75,67,146,67,65,123,79,66,148,97,79,172,67,75,137,82,69,153,110,57,166,90,51,138,74,64,136,110,76,185,75,66,143,77,81,161,96,54,153,97,54,152,69,71,139,494,333,826,387,310,701,385,358,744,110,63,174,89,66,155,137,91,230,89,71,157,86,46,137,55,76,128,79,55,133,60,49,112,82,60,141,79,57,136,73,22,93,89,50,141,71,50,122,71,42,116,70,61,130,428,294,721,381,223,608,433,339,773,85,49,132,51,28,74,130,107,240,76,51,125,63,33,96,89,50,141,73,41,115,60
59799,3,0,0,0,0,0,0,7,0,7,0,0,0,7,3,6,0,5,5,0,0,0,0,0,0,3,0,3,0,0,0,4,3,6,4,0,3,9,0,8,0,3,4,10,3,6,9,0,9,9,0,7,15,0,15,3,3,3,9,3,10,33,8,38,16,0,23,25,11,31,11,4,7,7,0,7,4,0,6,15,0,12,3,3,6,10,0,10,25,3,25,11,0,11,9,0,10,10,4,11,5,0,5,15,0,18,16,0,16,15,0,15,10,3,12,71,7,79,44,3,49,49,7,54,14,0,14,18,0,21,6,0,3,13,5,14,18,0,18,9,0,10,9,0,9,20,0,20,10,0,10,21,0,20,9,6,11,11,0,11,13,0,13,20,0,20,19,5,20,68,4,72,77,6,83,48,5,54,11,0,11,13,0,13,17,0,17,6,0,6,7,0,7,6,3,12,13,3,13,17
