GCCSA_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
5GPER,268925,35605,10697,1360,47662,15823,332406,191931,38728,2566,488,41780,13217,246930,180886,51452,4469,508,56428,16417,253731,190512,41903,5322,435,47652,13254,251416,186581,32203,5087,322,37609,10812,235005,155838,23846,4697,263,28803,8542,193178,95525,13051,3768,198,17018,5117,117660,54353,7740,3882,168,11789,4149,70292,21157,2676,1717,94,4477,2611,28249,1345695,247198,42196,3825,293223,89946,1728868,285043,50846,15347,1536,67731,17555,370327,189593,46593,3112,366,50068,13891,253558,200383,75944,7439,554,83935,22366,306682,185259,63122,6862,491,70477,16875,272611,195343,41395,6698,386,48482,14861,258692,165874,27944,6589,275,34806,12284,212967,120898,17459,4528,205,22190,9286,152366,61807,9533,3892,163,13586,6613,82006,24622,3380,1981,93,5445,4577,34648,1428829,336210,56446,4079,396731,118307,1943861,303110,66829,13325,3647,83797,14325,401240,196743,47078,1413,119,48612,10594,255946,206515,74622,4743,150,79519,17870,303907,200486,83834,6792,195,90826,15609,306917,203667,50806,7295,154,58260,12642,274565,189905,32491,7973,110,40573,9715,240188,153278,22427,7287,119,29830,6844,189951,82563,10923,4070,106,15098,5444,103099,29762,4231,2628,90
5RWAU,92171,5825,1598,185,7609,7280,107058,49724,4040,353,50,4443,5237,59403,54164,6142,627,55,6825,7686,68674,61689,6279,536,77,6890,7007,75594,63103,4519,431,61,5008,5939,74053,52786,2858,346,35,3244,3844,59876,30624,1617,244,45,1910,1735,34265,15430,957,245,36,1241,1056,17725,4914,396,139,12,547,486,5951,424608,32638,4520,564,37721,40265,502593,88846,6951,1632,292,8876,8240,105964,45977,4595,410,116,5121,4990,56095,53562,8083,815,124,9027,8468,71056,55392,7830,479,124,8427,7575,71401,61495,5584,496,115,6192,7510,75202,57878,3343,358,90,3788,6386,68052,40218,2001,256,53,2313,4126,46658,18476,1013,185,28,1229,2294,21993,6238,384,139,16,548,970,7749,428090,39786,4771,958,45518,50558,524170,85118,7743,1548,434,9720,8929,103769,44737,4802,246,53,5101,5430,55267,49020,8515,715,65,9302,8499,66822,53034,9056,483,77,9616,8217,70860,57734,6190,497,66,6752,7781,72266,61169,3793,399,26,4211,6667,72050,49847,2040,342,31,2414,4395,56655,24144,1052,185,12,1254,2471,27867,7627,401,123,8
59499,451,59,26,0,85,73,606,560,110,21,0,125,152,840,1013,220,30,3,251,284,1544,767,101,16,0,120,258,1146,810,58,6,0,68,223,1091,1129,47,5,0,49,159,1339,531,11,4,0,15,61,608,71,0,4,0,3,22,93,9,0,0,0,5,6,16,5334,603,115,9,725,1236,7294,299,25,16,4,39,58,393,384,96,20,0,118,156,656,708,207,37,4,248,357,1310,531,72,5,4,74,298,910,577,37,12,0,49,327,961,745,41,5,0,40,194,978,492,26,0,6,26,113,636,71,4,0,0,6,18,95,10,0,3,0,3,4,22,3820,503,91,15,612,1528,5950,557,26,15,5,43,171,772,426,61,0,0,70,330,820,654,215,19,0,239,628,1512,664,93,8,0,106,771,1543,533,50,3,0,55,725,1313,633,29,3,0,32,478,1144,516,14,0,0,11,228,758,87,9,3,0,12,62,155,13,0,0,0
59799,0,0,0,0,0,0,0,29,4,0,0,5,6,37,119,9,0,0,7,22,152,69,17,0,0,20,18,105,55,13,0,0,13,5,69,28,3,0,0,3,4,30,8,0,0,0,0,5,6,5,0,0,0,0,0,5,0,0,0,0,0,0,0,311,36,6,0,41,61,415,0,0,0,0,0,0,0,17,3,0,0,3,4,23,80,16,0,0,20,26,124,89,18,0,0,18,16,123,79,10,0,0,10,14,104,33,8,0,0,8,7,44,3,0,0,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,0,0,307,54,4,0,55,68,431,0,0,0,0,0,0,0,25,3,0,0,3,18,42,55,6,0,0,11,47,116,69,26,0,0,26,76,170,44,17,0,0,21,51,109,31,7,0,0,7,21,62,9,0,0,0,3,3,18,0,0,0,0,0,0,0,0,0,0,0
