GCCSA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
5GPER,15445,77667,59425,356598,11448,520578,18,200,117,3051,213,3606,66042,1399,1991,1659,1170,72255,8685,1983,887,4017,238,15814,19573,5298,3293,7132,506,35801,268807,68264,53213,246146,13191,649615,14058,242,1220,141,407,16059,6313,717,627,2079,170,9898,18566,4388,3186,19381,831,46354,5906,1725,762,3790,206,12389,2642,430,239,479,61,3854,34087,1390,946,840,600,37866,49356,11957,8481,71823,2637,144262,42555,12692,5594,31193,1824,93857,3961,41,122,73,79,4275,1781,311,193,296,68,2649,5921,738,400,1424,190,8670,1929,584,286,798,71,3663,13826,1234,888,324,510,16783,14061,3817,2377,599,396,21251,10493,1370,915,2430,247,15457,2771,278,288,539,60,3934,1188,105,43,20,47,1409,57667,14185,10675,58189,2398,143112,4979,302,145,265,103,5804,19471,1094,875,223,273,21936,4380,436,366,1236,137,6548,4033,327,191,148,59,4761,14306,223,273,122,391,15311,9283,1615,1090,2987,233,15214,137485,12479,9824,11373,3897,175060,12923,1944,1708,12093,90704,119373,744303,139189,102634,618058,124677,1728868,20612,84851
5RWAU,2865,19805,15994,157970,4991,201630,25,209,47,15242,217,15740,2403,163,220,663,111,3560,723,213,97,584,29,1641,4603,1424,911,2290,132,9359,49352,18647,14878,108518,4485,195880,3674,50,357,79,127,4289,973,129,113,645,34,1897,4195,1381,1120,9381,301,16376,445,198,95,665,27,1423,331,100,49,112,11,593,1890,152,120,173,37,2377,8203,2984,2265,27653,850,41953,5128,2280,866,9255,362,17894,380,0,32,14,17,438,152,25,18,66,5,262,340,83,48,172,10,647,233,131,51,147,11,571,4962,474,396,159,206,6200,3928,1158,812,221,111,6225,1671,370,248,807,37,3137,363,59,71,181,12,689,248,33,13,12,9,319,11109,3908,3025,23922,693,42648,215,28,18,35,5,305,3229,184,181,67,30,3690,516,99,65,455,23,1157,222,38,21,20,4,314,553,21,24,3,19,617,1555,395,251,1129,44,3373,13942,2409,1913,4346,478,23094,1790,609,479,6668,39928,49467,107230,35673,27150,282084,50453,502593,3374,20696
59499,33,224,177,1574,52,2060,0,0,0,52,4,55,104,7,0,6,4,117,10,9,0,9,0,24,86,24,7,19,0,147,1061,229,159,1099,47,2595,47,0,0,0,0,54,37,3,0,7,0,45,125,17,11,125,6,279,8,3,3,3,0,14,8,0,0,0,0,12,46,0,3,6,0,59,308,50,21,389,15,775,61,21,7,43,0,133,7,0,0,0,0,7,5,0,0,0,0,3,5,0,0,0,0,5,8,0,0,0,0,5,59,6,6,0,0,72,110,10,13,3,0,138,36,4,5,13,0,58,7,0,0,0,0,10,7,0,0,0,0,6,259,54,34,298,13,663,3,0,0,0,0,3,51,0,0,0,0,59,19,0,0,8,0,26,7,0,0,0,0,9,13,0,0,0,4,23,34,5,4,12,0,57,395,32,28,52,5,516,29,8,9,62,1236,1338,2435,431,292,2795,1343,7294,40,170
59799,4,5,10,67,0,89,0,0,0,0,0,0,3,0,0,0,0,5,6,0,0,0,0,7,5,0,3,0,0,7,53,10,11,73,0,150,6,0,0,0,0,0,0,0,0,0,0,5,0,6,0,5,0,10,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,14,3,0,28,0,47,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,5,17,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,6,3,0,41,0,0,0,0,62,68,138,25,19,167,70,415,4,9
