GCCSA_CODE_2021,C16_45_49_Sep_F,C16_45_49_Sep_P,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Div_P,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Wid_P,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_Nvr_marrd_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Married_P,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Sep_P,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Div_P,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Wid_P,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_Nvr_marrd_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Married_P,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Sep_P,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Div_P,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Wid_P,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_Nvr_marrd_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Married_P,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Sep_P,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Div_P,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Wid_P,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_Nvr_marrd_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Married_P,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Sep_P,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Div_P,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Wid_P,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_Nvr_marrd_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Married_P,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Sep_P,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Div_P,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Wid_P,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_Nvr_marrd_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Married_P,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Sep_P,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Div_P,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Wid_P,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_Nvr_marrd_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Married_P,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Sep_P,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Div_P,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Wid_P,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_Nvr_marrd_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Married_M,C16_85_over_Married_F,C16_85_over_Married_P,C16_85_over_Seprtd_M,C16_85_over_Seprtd_F,C16_85_over_Seprtd_P,C16_85_over_Divorce_M,C16_85_over_Divorce_F,C16_85_over_Divorce_P,C16_85_over_Wid_M,C16_85_over_Wid_F,C16_85_over_Wid_P,C16_85_over_Nvr_mard_M,C16_85_over_Nvr_mard_F,C16_85_over_Nvr_mard_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Married_M,C16_Tot_Married_F,C16_Tot_Married_P,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Sep_P,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Div_P,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_Wid_P,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_nver_marrie_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Married_M,C21_15_19_Married_F,C21_15_19_Married_P,C21_15_19_Sep_M,C21_15_19_Sep_F,C21_15_19_Sep_P,C21_15_19_Div_M,C21_15_19_Div_F,C21_15_19_Div_P,C21_15_19_Wid_M,C21_15_19_Wid_F,C21_15_19_Wid_P,C21_15_19_Nvr_marrd_M,C21_15_19_Nvr_marrd_F,C21_15_19_Nvr_marrd_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Married_M,C21_20_24_Married_F,C21_20_24_Married_P,C21_20_24_Sep_M,C21_20_24_Sep_F,C21_20_24_Sep_P
5GPER,3774,6919,6365,9398,15755,273,908,1178,13290,10435,23726,66479,67714,134190,40424,39835,80262,2960,3344,6307,7801,10866,18672,478,1417,1897,9910,7449,17362,61583,62922,124500,36990,36486,73478,2483,2758,5241,7933,11343,19270,691,2373,3066,6860,5104,11965,54956,58060,113021,33522,32441,65962,2003,2085,4086,7368,10264,17636,954,3660,4615,4344,3308,7649,48184,51764,99948,31301,28077,59383,1597,1587,3180,6117,8640,14754,1379,5371,6749,2735,1968,4709,43125,45645,88769,22806,18809,41614,1077,894,1971,3777,5427,9201,1612,6448,8061,1587,1168,2752,30862,32742,63602,16657,12718,29371,544,475,1025,2236,3378,5620,1928,8355,10279,941,808,1745,22312,25726,48040,10524,7186,17705,298,239,540,1132,1776,2906,2321,9469,11795,519,505,1020,14788,19169,33961,7379,3713,11093,203,135,334,632,1224,1856,4004,16279,20284,461,634,1087,12676,21971,34648,385295,385063,770357,21614,25949,47567,52780,76620,129401,14119,55430,69546,299585,257083,556665,773391,800147,1573532,70,62,135,14,21,33,16,14,28,18,22,35,63028,60061,123086,63138,60176,123315,1347,2950,4297,80,215,297
5RWAU,1089,2161,2047,2398,4442,102,247,352,4992,3742,8731,19738,18083,37816,11562,10614,22176,1142,1036,2176,2692,2929,5620,183,458,650,4013,2746,6763,19601,17784,37383,11591,10773,22363,949,896,1845,3155,3265,6420,295,750,1046,2861,1810,4675,18849,17496,36346,10534,9856,20387,807,632,1436,2821,2723,5540,393,1088,1484,1821,1034,2856,16380,15322,31707,9851,8472,18324,681,463,1144,2385,2040,4418,554,1515,2065,1035,553,1591,14505,13043,27542,6951,5646,12592,383,263,647,1378,1197,2576,600,1824,2426,573,298,864,9888,9230,19114,4711,3432,8139,188,121,308,765,670,1436,656,2298,2953,379,179,560,6692,6697,13396,2733,1726,4462,95,50,146,333,319,652,649,2393,3044,191,107,294,3999,4600,8599,1797,846,2639,68,24,92,150,202,350,1017,3417,4436,134,101,232,3155,4598,7749,105382,97605,202986,7880,7368,15249,18337,18834,37171,4598,14360,18959,80364,63479,143848,216556,201651,418203,59,77,135,6,4,10,10,0,12,12,5,11,15337,14161,29498,15418,14251,29670,492,686,1172,40,64,105
59499,7,57,63,26,91,0,7,3,160,66,229,315,141,454,78,73,150,36,22,55,88,40,128,8,4,6,115,48,163,321,186,509,102,116,216,24,19,36,91,49,145,5,11,15,63,24,92,280,219,503,118,147,263,20,14,34,68,44,114,11,10,17,34,11,45,254,221,473,147,121,266,35,7,38,71,36,107,8,8,17,18,0,20,274,174,440,59,52,108,10,0,10,29,23,51,6,6,9,10,6,11,105,85,185,27,17,42,4,0,4,11,3,9,3,5,12,8,0,9,44,20,66,10,10,17,0,0,0,0,0,4,3,3,3,0,0,0,7,18,28,0,0,7,0,0,0,0,0,0,0,8,9,3,0,3,9,12,22,784,729,1514,269,107,374,495,262,760,45,70,113,1736,1054,2793,3338,2223,5558,0,0,0,0,0,0,0,0,0,0,0,0,114,145,259,118,147,261,4,13,10,3,0,3
59799,0,3,8,6,10,0,0,0,10,0,15,47,3,57,31,0,31,3,0,3,3,0,3,0,0,0,4,0,4,44,0,45,15,0,17,0,0,0,6,0,6,0,0,0,3,0,3,27,0,26,10,4,11,0,0,0,6,0,6,0,0,0,4,0,4,12,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,9,207,9,0,12,26,9,29,0,0,0,170,16,181,405,27,431,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,7,3,6,0,0,0,0,0,0
