GCCSA_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
5GPER,40489,77904,2664,3154,5817,48104,54996,103099,6230,12825,19057,8011,9641,17651,1552,2577,4131,15793,25043,40831,45123,52575,97694,938034,970431,1908468,62015,48475,110481,1045172,1071481,2116647
5RWAU,10276,20730,1221,1179,2401,13869,14008,27867,1357,2580,3938,2078,2257,4337,410,565,967,3845,5402,9237,11834,12580,24415,228289,225462,453754,32462,24171,56640,272585,262213,534804
59499,21,86,47,16,63,111,41,155,5,5,8,4,0,4,10,12,15,19,17,30,135,107,236,2288,2040,4327,2222,1277,3492,4645,3424,8055
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,38,297,196,25,218,456,63,514
