GCCSA_CODE_2021,C11_0_4_Indig_M,C11_0_4_Indig_F,C11_0_4_Indig_P,C11_0_4_NonInd_M,C11_0_4_NonInd_F,C11_0_4_NonInd_P,C11_0_4_Indig_st_ns_M,C11_0_4_Indig_st_ns_F,C11_0_4_Indig_st_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_9_Indig_M,C11_5_9_Indig_F,C11_5_9_Indig_P,C11_5_9_NonInd_M,C11_5_9_NonInd_F,C11_5_9_NonInd_P,C11_5_9_Indig_st_ns_M,C11_5_9_Indig_st_ns_F,C11_5_9_Indig_st_ns_P,C11_5_9_Tot_M,C11_5_9_Tot_F,C11_5_9_Tot_P,C11_10_14_Indigen_M,C11_10_14_Indigen_F,C11_10_14_Indigen_P,C11_10_14_NonInd_M,C11_10_14_NonInd_F,C11_10_14_NonInd_P,C11_10_14_Ind_st_ns_M,C11_10_14_Ind_st_ns_F,C11_10_14_Ind_st_ns_P,C11_10_14_Tot_M,C11_10_14_Tot_F,C11_10_14_Tot_P,C11_15_19_Indigen_M,C11_15_19_Indigen_F,C11_15_19_Indigen_P,C11_15_19_NonInd_M,C11_15_19_NonInd_F,C11_15_19_NonInd_P,C11_15_19_Ind_st_ns_M,C11_15_19_Ind_st_ns_F,C11_15_19_Ind_st_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Indigen_M,C11_20_24_Indigen_F,C11_20_24_Indigen_P,C11_20_24_NonInd_M,C11_20_24_NonInd_F,C11_20_24_NonInd_P,C11_20_24_Ind_st_ns_M,C11_20_24_Ind_st_ns_F,C11_20_24_Ind_st_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Indigen_M,C11_25_29_Indigen_F,C11_25_29_Indigen_P,C11_25_29_NonInd_M,C11_25_29_NonInd_F,C11_25_29_NonInd_P,C11_25_29_Ind_st_ns_M,C11_25_29_Ind_st_ns_F,C11_25_29_Ind_st_ns_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Indigen_M,C11_30_34_Indigen_F,C11_30_34_Indigen_P,C11_30_34_NonInd_M,C11_30_34_NonInd_F,C11_30_34_NonInd_P,C11_30_34_Ind_st_ns_M,C11_30_34_Ind_st_ns_F,C11_30_34_Ind_st_ns_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Indigen_M,C11_35_39_Indigen_F,C11_35_39_Indigen_P,C11_35_39_NonInd_M,C11_35_39_NonInd_F,C11_35_39_NonInd_P,C11_35_39_Ind_st_ns_M,C11_35_39_Ind_st_ns_F,C11_35_39_Ind_st_ns_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Indigen_M,C11_40_44_Indigen_F,C11_40_44_Indigen_P,C11_40_44_NonInd_M,C11_40_44_NonInd_F,C11_40_44_NonInd_P,C11_40_44_Ind_st_ns_M,C11_40_44_Ind_st_ns_F,C11_40_44_Ind_st_ns_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Indigen_M,C11_45_49_Indigen_F,C11_45_49_Indigen_P,C11_45_49_NonInd_M,C11_45_49_NonInd_F,C11_45_49_NonInd_P,C11_45_49_Ind_st_ns_M,C11_45_49_Ind_st_ns_F,C11_45_49_Ind_st_ns_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Indigen_M,C11_50_54_Indigen_F,C11_50_54_Indigen_P,C11_50_54_NonInd_M,C11_50_54_NonInd_F,C11_50_54_NonInd_P,C11_50_54_Ind_st_ns_M,C11_50_54_Ind_st_ns_F,C11_50_54_Ind_st_ns_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Indigen_M,C11_55_59_Indigen_F,C11_55_59_Indigen_P,C11_55_59_NonInd_M,C11_55_59_NonInd_F,C11_55_59_NonInd_P,C11_55_59_Ind_st_ns_M,C11_55_59_Ind_st_ns_F,C11_55_59_Ind_st_ns_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Indigen_M,C11_60_64_Indigen_F,C11_60_64_Indigen_P,C11_60_64_NonInd_M,C11_60_64_NonInd_F,C11_60_64_NonInd_P,C11_60_64_Ind_st_ns_M,C11_60_64_Ind_st_ns_F,C11_60_64_Ind_st_ns_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_over_Indigen_M,C11_65_over_Indigen_F,C11_65_over_Indigen_P,C11_65ove_NonInd_M,C11_65ove_NonInd_F,C11_65ove_NonInd_P,C11_65ove_Indig_st_ns_M,C11_65ove_Indig_st_ns_F,C11_65ove_Indig_st_ns_P,C11_65_over_Tot_M,C11_65_over_Tot_F,C11_65_over_Tot_P,C11_Tot_Indig_M,C11_Tot_Indig_F,C11_Tot_Indig_P,C11_Tot_NonInd_M,C11_Tot_NonInd_F,C11_Tot_NonInd_P,C11_Tot_Indig_st_ns_M,C11_Tot_Indig_st_ns_F,C11_Tot_Indig_st_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Indig_M,C16_0_4_Indig_F,C16_0_4_Indig_P,C16_0_4_NonInd_M,C16_0_4_NonInd_F,C16_0_4_NonInd_P,C16_0_4_Indig_st_ns_M,C16_0_4_Indig_st_ns_F,C16_0_4_Indig_st_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_9_Indig_M,C16_5_9_Indig_F,C16_5_9_Indig_P,C16_5_9_NonInd_M,C16_5_9_NonInd_F,C16_5_9_NonInd_P,C16_5_9_Indig_st_ns_M,C16_5_9_Indig_st_ns_F
5GPER,1687,1632,3316,54254,51171,105419,3143,2939,6082,59082,55737,114820,1607,1572,3183,50636,48026,98660,2778,2577,5353,55029,52174,107197,1686,1562,3251,52131,49629,101757,2779,2599,5384,56599,53788,110391,1664,1512,3180,55651,53280,108929,2978,2668,5644,60289,57461,117747,1351,1225,2569,60204,58789,118996,4466,3147,7615,66020,63159,129178,1045,1022,2071,61575,60193,121769,5049,3449,8494,67671,64665,132331,850,850,1697,55827,56720,112550,4130,3019,7150,60806,60585,121395,821,884,1700,56849,58787,115635,3771,2784,6553,61442,62448,123893,722,877,1600,58410,60969,119375,3786,2754,6545,62919,64605,127525,615,717,1331,56045,58628,114673,3373,2487,5859,60035,61830,121868,523,596,1121,51815,54790,106609,3094,2316,5408,55430,57706,113137,336,457,789,46106,49307,95412,2793,2150,4947,49242,51918,101150,260,326,587,42864,44160,87025,2358,2061,4415,45482,46544,92026,296,409,709,92426,110909,203335,5540,6614,12158,98271,117930,216195,13462,13643,27104,794797,815345,1610145,50044,41572,91615,858304,870565,1728868,1840,1746,3587,59794,56774,116568,3406,3156,6557,65037,61673,126714,1800,1782,3579,60298,57084,117385,3046,2822
5RWAU,2491,2409,4903,14770,13802,28568,1383,1320,2710,18645,17532,36179,2480,2547,5022,14259,13639,27894,1230,1219,2450,17966,17403,35366,2448,2368,4823,14632,13610,28243,1226,1213,2445,18316,17189,35507,2100,1973,4072,12834,11350,24187,1121,842,1963,16052,14169,30226,1789,1787,3575,12253,10649,22902,1762,944,2701,15799,13384,29176,1551,1657,3216,14726,13337,28065,2284,1152,3434,18567,16149,34708,1333,1455,2788,14657,13525,28185,1874,1115,2990,17865,16095,33967,1378,1372,2750,16109,14954,31065,1967,1208,3171,19458,17530,36987,1275,1430,2703,17054,15677,32733,2058,1110,3167,20389,18213,38604,1078,1179,2255,17017,15126,32144,1961,1052,3015,20058,17356,37414,907,972,1886,16783,15156,31934,1840,981,2826,19524,17115,36642,705,788,1489,14825,13516,28346,1406,786,2195,16936,15089,32026,459,556,1010,13353,11698,25049,1093,695,1788,14905,12947,27846,687,917,1607,26250,26642,52886,1793,1650,3444,28727,29210,57941,20691,21411,42102,219517,202677,422200,23009,15291,38296,263211,239384,502593,2487,2303,4795,14076,13190,27268,1467,1328,2798,18035,16819,34855,2600,2461,5062,15010,14248,29257,1457,1406
59499,9,9,15,107,110,220,13,15,30,126,132,259,9,7,17,87,82,170,14,9,23,109,96,204,7,6,7,54,53,108,8,10,17,68,71,141,6,13,20,98,89,184,14,8,21,121,106,232,22,22,36,279,242,526,39,16,55,335,278,614,20,15,34,396,295,691,78,25,96,494,333,826,31,24,48,337,249,589,57,26,87,428,294,721,41,21,67,283,166,452,39,22,63,368,212,584,42,21,62,289,164,449,37,17,48,364,200,562,36,26,61,283,143,429,47,11,56,368,180,543,18,17,34,250,200,454,46,19,65,314,236,553,14,10,21,309,295,603,39,30,69,362,333,694,8,3,15,320,258,582,32,23,48,368,283,648,9,10,15,407,239,650,43,14,61,458,260,720,261,195,457,3510,2587,6098,509,234,740,4282,3010,7294,11,16,28,58,48,103,11,14,28,81,79,163,6,5,18,56,53,107,3,10
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,7,0,0,0,28,8,31,6,0,6,33,8,38,0,0,0,58,5,61,12,0,16,71,7,79,0,0,0,60,0,58,12,0,9,68,4,72,0,0,0,48,3,48,14,0,14,62,3,61,0,0,0,33,0,33,7,0,3,41,5,42,0,0,0,27,5,31,3,0,3,33,5,33,0,0,0,31,0,31,3,0,3,35,0,37,0,0,0,15,0,15,7,0,7,21,0,21,0,0,0,11,0,11,0,0,3,13,0,10,0,0,0,6,11,14,0,0,5,7,7,14,4,0,4,312,27,338,61,3,68,377,34,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
