GCCSA_CODE_2021,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85over,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85over,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85over,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85over,C11_P_FldStu_NS_Tot,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85over,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85over,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85over,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85over,C16_P_ArchBuild_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85over,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85over,C16_P_Health_Tot,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85over,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85over,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85over,C16_P_Soc_cult_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85over,C16_P_Creative_art_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85over,C16_P_FoodHos_PS_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85over,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85over,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85over,C16_P_FldStu_NS_Tot,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85over,C16_P_Tot_Tot
5GPER,1418,5513,10780,9420,6470,4137,1996,740,213,40687,146,190,152,145,157,150,117,63,42,1156,88,520,1696,1898,1659,1162,616,311,120,8072,10846,10931,21805,19790,17494,15657,12926,13016,7668,130127,20790,66121,180306,170040,149077,111280,60980,33550,13500,805651,98,3285,8968,7980,6387,4370,2595,790,256,34739,486,1866,7921,7443,4119,1951,587,83,11,24477,1432,10669,37194,34797,32610,26605,17707,8315,2239,171576,750,4298,13737,10123,9366,7160,4933,2768,696,53831,188,976,3572,3554,2764,1811,1095,474,132,14572,703,6300,23630,19666,18072,14519,8337,3906,1258,96376,415,2673,12259,14485,15318,14260,8111,3339,929,71798,2161,11509,45123,42110,34037,21968,12862,4907,1575,176250,1759,7789,24839,22340,18348,14419,7715,2314,600,100118,949,4087,9540,6493,4106,2657,1647,687,230,30386,1479,5113,14401,10312,8325,5035,3102,1055,359,49184,268,292,333,287,268,301,371,330,116,2557,120,695,2460,2412,2260,1524,858,470,169,10959,8488,10635,26983,21351,19310,16106,13861,12113,8543,137384,19302,70187,230954,203352,175297,132690,83776,41541,17112,974197
5RWAU,393,1224,2871,2858,1795,1058,503,160,34,10897,48,37,44,45,37,37,29,10,3,287,34,87,335,467,420,284,164,47,17,1869,3931,4150,9470,9338,8455,6190,4100,3319,1428,50379,7086,15805,44180,46168,41559,30439,15205,7175,2311,209928,25,228,1147,1305,864,649,382,111,28,4720,100,236,597,574,369,227,102,26,0,2231,586,3060,10764,10089,9547,7801,4652,1722,416,48631,240,925,2987,2483,2465,2254,1366,601,128,13451,249,616,1877,2237,1928,1471,828,347,80,9632,198,773,3756,3907,4057,4256,2364,978,250,20541,98,651,3268,4233,4308,4111,2108,728,156,19657,624,1818,6306,6424,5654,4120,2311,715,180,28157,483,1112,3777,3963,3620,3186,1528,354,84,18103,146,340,1042,953,753,612,422,148,40,4446,348,1073,3185,2802,2292,1390,834,231,71,12229,64,64,91,67,67,85,105,94,30,661,27,98,436,520,579,404,197,90,19,2377,4158,3562,10134,9275,9455,8231,6035,3922,1882,56653,7343,14556,49366,48830,45938,38800,23238,10052,3364,241489
59499,0,20,61,25,38,24,7,0,0,183,0,0,5,0,0,0,0,0,0,5,0,4,10,6,10,7,7,0,0,40,61,107,320,290,254,203,81,37,10,1360,91,378,1159,811,716,763,321,56,12,4307,0,9,26,17,10,7,5,0,0,74,0,4,15,5,5,12,5,0,0,44,3,32,159,91,115,106,71,7,3,595,5,13,64,45,22,38,15,3,0,204,0,10,22,16,10,14,9,0,0,86,3,10,66,25,29,43,27,3,0,209,0,7,25,20,15,43,21,5,6,143,8,33,103,55,43,69,42,5,0,356,8,20,76,23,33,39,20,0,0,215,0,14,40,5,7,10,5,0,0,90,0,11,43,35,26,27,10,4,0,161,0,0,3,0,0,0,4,0,0,8,0,6,7,13,13,4,4,3,0,45,47,135,379,319,355,208,129,25,4,1606,64,307,1027,670,678,635,368,57,8,3823
59799,0,0,8,8,8,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,8,0,3,27,17,5,5,5,0,0,67,0,25,107,75,55,23,8,0,0,300,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,45,51,41,17,0,0,0,159,0,0,15,0,3,0,0,0,0,20,0,0,4,5,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,3,0,0,0,13,0,0,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,6,0,0,8,8,10,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,30,17,21,6,0,0,0,81,0,14,106,98,83,31,4,3,0,341
