GCCSA_CODE_2021,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Tot_persons_C21_M,Tot_persons_C21_F,Tot_persons_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_5_14_C21_M,Age_5_14_C21_F,Age_5_14_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_25_34_C21_M,Age_25_34_C21_F,Age_25_34_C21_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_35_44_C21_M,Age_35_44_C21_F,Age_35_44_C21_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_45_54_C21_M,Age_45_54_C21_F,Age_45_54_C21_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_55_64_C21_M,Age_55_64_C21_F,Age_55_64_C21_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_65_74_C21_M,Age_65_74_C21_F,Age_65_74_C21_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_75_84_C21_M,Age_75_84_C21_F,Age_75_84_C21_P,Age_grp_85over_C11_M,Age_grp_85over_C11_F,Age_grp_85over_C11_P,Age_grp_85over_C16_M,Age_grp_85over_C16_F,Age_grp_85over_C16_P,Age_grp_85over_C21_M,Age_grp_85over_C21_F,Age_grp_85over_C21_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,OS_vis_C21_M,OS_vis_C21_F,OS_vis_C21_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Abor_C21_M,IP_Abor_C21_F,IP_Abor_C21_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_Tor_Strt_Is_2021_Ce_M,IP_Tor_Strt_Is_2021_Ce_F,IP_Tor_Strt_Is_2021_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2021_Ce_M,IP_B_Ab_To_St_Is_2021_Ce_F,IP_B_Ab_To_St_Is_2021_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,IP_Tot_2021_Ce_M,IP_Tot_2021_Ce_F,IP_Tot_2021_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Aust_2021_Ce_M,Brthplace_Aust_2021_Ce_F,Brthplace_Aust_2021_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,Brthplace_Elsewhere_2021_Ce_M,Brthplace_Elsewhere_2021_Ce_F,Brthplace_Elsewhere_2021_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Eng_only_2021_Ce_M,LSH_Eng_only_2021_Ce_F,LSH_Eng_only_2021_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,LSH_Oth_Lan_2021_Ce_M,LSH_Oth_Lan_2021_Ce_F,LSH_Oth_Lan_2021_Ce_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P,Aust_citiz_C21_M,Aust_citiz_C21_F,Aust_citiz_C21_P
5GPER,858304,870565,1728868,963540,980320,1943861,1045169,1071480,2116647,59082,55737,114820,65037,61673,126714,66701,62896,129598,111624,105967,217587,125109,118503,243613,139523,132116,271642,60289,57461,117747,61397,58736,120131,63138,60176,123315,66020,63159,129178,68350,65082,133428,67284,65344,132631,128471,125254,253731,153195,153485,306682,149264,154640,303907,124363,127057,251416,135474,137136,272611,151848,155066,306917,115467,119536,235005,128061,130636,258692,135822,138742,274565,94719,98458,193178,103145,109822,212967,117039,123146,240188,57480,60176,117660,73986,78381,152366,90651,99302,189951,31094,39194,70292,37102,44901,82006,48100,55001,103099,9692,18558,28249,12676,21971,34648,15791,25048,40831,8926,9597,18518,10024,13843,23869,2777,2614,5399,12850,13069,25917,14973,14847,29825,20222,19845,40061,348,319,667,394,336,730,528,440,970,264,253,518,335,333,667,550,500,1054,13462,13643,27104,15703,15517,31216,21295,20787,42083,510286,522762,1033044,553137,560147,1113293,625249,633260,1258510,293942,301435,595377,345028,357513,702540,366641,394410,761054,665444,680255,1345695,709051,719770,1428826,775235,790789,1566027,139694,148503,288199,188964,201997,390965,209358,232845,442202,679376,704230,1383616,750316,770917,1521231,864391,892353,1756740
5RWAU,263211,239384,502593,270941,253227,524170,272586,262218,534804,18645,17532,36179,18035,16819,34855,16402,15458,31859,36278,34595,70871,36347,34760,71103,36983,34933,71916,16052,14169,30226,15631,14084,29712,15418,14251,29670,15799,13384,29176,13934,12443,26381,13513,12084,25595,36430,32247,68674,36862,34194,71056,33781,33035,66822,39840,35742,75594,37316,34082,71401,35786,35076,70860,39582,34473,74053,39332,35865,75202,36989,35283,72266,31841,28035,59876,35233,32815,68052,36850,35206,72050,17964,16306,34265,24384,22271,46658,29161,27493,56655,8544,9179,17725,10701,11299,21993,13867,14003,27867,2222,3726,5951,3155,4598,7749,3843,5399,9237,3134,2792,5926,3466,3452,6917,1198,785,1988,19975,20730,40711,21139,21397,42533,21745,21726,43471,346,280,624,365,327,691,343,301,643,363,401,768,473,476,947,502,489,992,20691,21411,42102,21975,22199,44170,22598,22510,45110,192785,181217,374002,193395,182466,375860,196061,189302,385366,45602,41123,86725,47572,45924,93498,46121,48887,95015,218665,205942,424608,219405,208686,428090,218211,214225,432431,18322,17798,36115,21777,21954,43734,22253,24032,46286,213918,203473,417392,219598,209986,429589,223022,219657,442673
59499,4282,3010,7294,3535,2417,5950,4639,3416,8055,126,132,259,81,79,163,149,153,300,183,163,343,119,117,236,244,230,473,121,106,232,87,65,153,118,147,261,335,278,614,257,245,503,295,256,562,916,631,1544,773,536,1310,822,692,1512,731,414,1146,604,304,910,926,613,1543,680,415,1091,639,324,961,842,468,1313,722,613,1339,535,437,978,667,477,1144,387,220,608,376,254,636,444,316,758,67,33,93,57,38,95,118,38,155,6,12,16,9,12,22,14,16,30,0,0,0,0,0,0,0,0,0,243,184,429,323,238,562,786,677,1464,6,7,13,7,3,15,11,0,11,10,0,18,10,3,11,13,5,19,261,195,457,342,244,587,819,683,1495,2433,1803,4238,2137,1377,3512,2708,2061,4775,1323,958,2285,851,636,1484,775,656,1431,3048,2285,5334,2255,1559,3820,2185,1896,4079,381,320,703,308,274,586,243,244,486,2641,2011,4654,2135,1447,3580,2120,1823,3943
59799,377,34,415,405,27,431,455,58,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,3,6,33,8,38,16,0,23,25,11,31,139,9,152,124,6,124,99,14,116,102,5,105,119,3,123,157,11,170,69,6,69,95,6,104,103,9,109,31,0,30,40,4,44,55,3,62,4,4,6,7,0,7,14,4,18,3,5,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,431,31,459,358,105,464,143,16,164,5,0,5,5,0,5,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,0,11,7,3,9,212,22,235,182,13,191,131,24,151,108,7,113,162,6,167,132,14,148,284,23,311,289,18,307,206,29,232,35,5,36,48,3,56,60,4,66,260,26,287,249,17,270,189,29,216
