GCCSA_CODE_2021,C21_F_CL_C_I_II_15_19,C21_F_CL_C_I_II_20_24,C21_F_CL_C_I_II_25_34,C21_F_CL_C_I_II_35_44,C21_F_CL_C_I_II_45_54,C21_F_CL_C_I_II_55_64,C21_F_CL_C_I_II_65_74,C21_F_CL_C_I_II_75_84,C21_F_CL_C_I_II_85over,C21_F_CL_C_I_II_Tot,C21_F_CL_CL_nfd_15_19,C21_F_CL_CL_nfd_20_24,C21_F_CL_CL_nfd_25_34,C21_F_CL_CL_nfd_35_44,C21_F_CL_CL_nfd_45_54,C21_F_CL_CL_nfd_55_64,C21_F_CL_CL_nfd_65_74,C21_F_CL_CL_nfd_75_84,C21_F_CL_CL_nfd_85over,C21_F_CL_CL_nfd_Tot,C21_F_CL_Tot_15_19,C21_F_CL_Tot_20_24,C21_F_CL_Tot_25_34,C21_F_CL_Tot_35_44,C21_F_CL_Tot_45_54,C21_F_CL_Tot_55_64,C21_F_CL_Tot_65_74,C21_F_CL_Tot_75_84,C21_F_CL_Tot_85over,C21_F_CL_Tot_Tot,C21_F_LE_ID_15_19,C21_F_LE_ID_20_24,C21_F_LE_ID_25_34,C21_F_LE_ID_35_44,C21_F_LE_ID_45_54,C21_F_LE_ID_55_64,C21_F_LE_ID_65_74,C21_F_LE_ID_75_84,C21_F_LE_ID_85over,C21_F_LE_ID_Tot,C21_F_LE_NS_15_19,C21_F_LE_NS_20_24,C21_F_LE_NS_25_34,C21_F_LE_NS_35_44,C21_F_LE_NS_45_54,C21_F_LE_NS_55_64,C21_F_LE_NS_65_74,C21_F_LE_NS_75_84,C21_F_LE_NS_85over,C21_F_LE_NS_Tot,C21_F_Tot_15_19_yrs,C21_F_Tot_20_24_yrs,C21_F_Tot_25_34_yrs,C21_F_Tot_35_44_yrs,C21_F_Tot_45_54_yrs,C21_F_Tot_55_64_yrs,C21_F_Tot_65_74_yrs,C21_F_Tot_75_84_yrs,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85over,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85over,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85over,C11_P_BD_Tot,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85over,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85over,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85over,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85over,C11_P_CL_CL_nfd_Tot,C11_P_CL_Tot_15_19,C11_P_CL_Tot_20_24,C11_P_CL_Tot_25_34,C11_P_CL_Tot_35_44,C11_P_CL_Tot_45_54,C11_P_CL_Tot_55_64,C11_P_CL_Tot_65_74,C11_P_CL_Tot_75_84,C11_P_CL_Tot_85over,C11_P_CL_Tot_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85over,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85over,C11_P_LE_NS_Tot,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85over,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85over,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85over,C16_P_BD_Tot
5GPER,2529,2699,2571,2216,1935,1699,1127,429,93,15297,454,853,1847,2961,4237,4159,3102,1546,555,19727,7292,14520,28276,26139,24645,19793,10992,3926,1175,136758,100,333,1022,1245,1173,1203,1378,897,315,7668,2687,3755,9711,8486,7330,7189,7732,7371,5544,59800,10652,37657,123684,124780,99160,74324,48502,22912,9936,551599,6,787,12367,12614,10456,7145,2903,827,163,47273,12,604,5445,6942,6186,3980,1339,366,64,24934,105,17548,61910,48924,34737,23428,10120,3916,1070,201758,1116,8787,23093,26442,25846,19711,10054,4167,1180,120404,6540,22232,45522,44559,43422,31449,17207,8274,2242,221447,1915,2588,3723,2793,2254,1538,633,236,62,15747,569,1681,3617,4639,4577,3813,2028,840,265,22020,9024,26496,52865,51987,50255,36808,19865,9345,2569,259215,418,1602,3938,4644,5173,5213,4086,2301,915,28288,10112,10296,20685,18487,16422,14995,12610,12617,7547,123780,20790,66121,180306,170040,149077,111280,60980,33550,13500,805651,7,947,19034,20156,14246,9345,4923,1482,325,70474,23,768,7034,8215,7825,5854,2432,629,133,32921,138,20643,78366,62782,43246,28857,15971,5839,1617,257461
5RWAU,766,939,1101,874,727,584,339,95,18,5442,109,179,476,702,1015,1034,714,271,60,4551,2011,3765,8199,8118,7538,6133,3145,863,169,39939,18,52,161,201,210,232,294,171,66,1412,1573,1487,3934,3860,3771,3800,3445,2499,1318,25690,3689,7207,23732,25547,23081,19957,13133,5798,2067,124202,0,54,858,1057,1000,812,344,83,14,4212,0,85,925,1235,1094,844,226,48,7,4467,5,1656,8748,8571,5922,4262,1949,624,129,31869,157,1094,4119,5877,6163,4844,2222,743,169,25397,2059,7163,16911,16824,15791,10689,4910,2067,594,77019,925,1061,1510,1090,826,509,189,49,11,6155,173,417,1126,1460,1294,1028,453,174,34,6163,3161,8640,19546,19374,17912,12225,5552,2287,644,89338,116,313,900,1132,1424,1488,995,463,140,6973,3647,3956,9089,8914,8044,5974,3922,2932,1202,47680,7086,15805,44180,46168,41559,30439,15205,7175,2311,209928,0,38,1269,1564,1266,1083,653,160,29,6059,7,117,1053,1407,1264,1179,470,96,12,5603,19,1495,9442,9482,6937,5412,2965,1031,228,37011
59499,6,16,12,3,4,4,0,0,0,49,0,0,0,4,4,19,8,0,0,42,15,45,82,75,63,71,31,0,0,376,0,0,6,0,0,4,4,0,0,15,59,106,262,283,227,164,100,22,7,1234,76,196,590,509,363,340,179,25,7,2290,0,8,55,41,25,12,6,0,0,142,0,5,19,18,19,13,0,0,0,75,0,90,301,150,80,112,23,0,0,755,5,30,112,65,89,111,46,0,0,455,21,107,298,200,205,237,141,9,6,1219,9,14,28,10,10,14,0,0,0,84,0,4,13,16,22,21,7,0,0,85,25,132,340,229,229,275,149,9,0,1389,0,10,38,23,18,42,15,5,0,158,64,110,300,285,254,200,77,34,10,1325,91,378,1159,811,716,763,321,56,12,4307,0,3,50,21,19,10,8,0,0,119,0,0,15,8,6,16,4,4,0,50,0,51,229,90,48,58,40,7,0,522
59799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,3,3,8,0,0,0,0,20,3,8,12,6,7,3,5,0,0,48,0,0,6,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,3,0,0,0,19,0,0,12,13,5,0,0,0,0,28,0,6,42,33,27,8,3,0,0,134,0,0,6,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,15,45,40,31,10,3,0,0,150,0,0,6,5,5,0,0,0,0,23,0,3,30,14,9,9,5,0,0,72,0,25,107,75,55,23,8,0,0,300,0,0,4,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,13,10,8,4,0,3,0,36
