GCCSA_CODE_2021,C21_M_40_44_Em_Tot,C21_M_40_44_Unem_Look_FT,C21_M_40_44_Unem_Look_PT,C21_M_40_44_Unem_Tot,C21_M_40_44_Tot_LF,C21_M_40_44_Not_LF,C21_M_40_44_LF_NS,C21_M_40_44_Tot,C21_M_45_49_Em_FT,C21_M_45_49_Em_PT,C21_M_45_49_Em_AFW,C21_M_45_49_Em_Hrs_NS,C21_M_45_49_Em_Tot,C21_M_45_49_Unem_Look_FT,C21_M_45_49_Unem_Look_PT,C21_M_45_49_Unem_Tot,C21_M_45_49_Tot_LF,C21_M_45_49_Not_LF,C21_M_45_49_LF_NS,C21_M_45_49_Tot,C21_M_50_54_Em_FT,C21_M_50_54_Em_PT,C21_M_50_54_Em_AFW,C21_M_50_54_Em_Hrs_NS,C21_M_50_54_Em_Tot,C21_M_50_54_Unem_Look_FT,C21_M_50_54_Unem_Look_PT,C21_M_50_54_Unem_Tot,C21_M_50_54_Tot_LF,C21_M_50_54_Not_LF,C21_M_50_54_LF_NS,C21_M_50_54_Tot,C21_M_55_59_Em_FT,C21_M_55_59_Em_PT,C21_M_55_59_Em_AFW,C21_M_55_59_Em_Hrs_NS,C21_M_55_59_Em_Tot,C21_M_55_59_Unem_Look_FT,C21_M_55_59_Unem_Look_PT,C21_M_55_59_Unem_Tot,C21_M_55_59_Tot_LF,C21_M_55_59_Not_LF,C21_M_55_59_LF_NS,C21_M_55_59_Tot,C21_M_60_64_Em_FT,C21_M_60_64_Em_PT,C21_M_60_64_Em_AFW,C21_M_60_64_Em_Hrs_NS,C21_M_60_64_Em_Tot,C21_M_60_64_Unem_Look_FT,C21_M_60_64_Unem_Look_PT,C21_M_60_64_Unem_Tot,C21_M_60_64_Tot_LF,C21_M_60_64_Not_LF,C21_M_60_64_LF_NS,C21_M_60_64_Tot,C21_M_65_69_Em_FT,C21_M_65_69_Em_PT,C21_M_65_69_Em_AFW,C21_M_65_69_Em_Hrs_NS,C21_M_65_69_Em_Tot,C21_M_65_69_Unem_Look_FT,C21_M_65_69_Unem_Look_PT,C21_M_65_69_Unem_Tot,C21_M_65_69_Tot_LF,C21_M_65_69_Not_LF,C21_M_65_69_LF_NS,C21_M_65_69_Tot,C21_M_70_74_Em_FT,C21_M_70_74_Em_PT,C21_M_70_74_Em_AFW,C21_M_70_74_Em_Hrs_NS,C21_M_70_74_Em_Tot,C21_M_70_74_Unem_Look_FT,C21_M_70_74_Unem_Look_PT,C21_M_70_74_Unem_Tot,C21_M_70_74_Tot_LF,C21_M_70_74_Not_LF,C21_M_70_74_LF_NS,C21_M_70_74_Tot,C21_M_75over_Em_FT,C21_M_75over_Em_PT,C21_M_75over_Em_AFW,C21_M_75over_Em_Hrs_NS,C21_M_75over_Em_Tot,C21_M_75over_Unem_Lo_ft_wor,C21_M_75over_Unem_Lo_pt_wor,C21_M_75over_Unempl_Tot,C21_M_75over_Tot_LF,C21_M_75over_N_lab_forc,C21_M_75over_LF_NS,C21_M_75over_Tot,C21_M_Tot_Em_FT,C21_M_Tot_Em_PT,C21_M_Tot_Em_AFW,C21_M_Tot_Em_Hrs_NS,C21_M_Tot_Em_Tot,C21_M_Tot_Unem_Look_FT,C21_M_Tot_Unem_Look_PT,C21_M_Tot_Unem_Tot,C21_M_Tot_Tot_labo_for,C21_M_Tot_Not_LF,C21_M_Tot_LF_NS,C21_M_Tot_Tot,C11_F_15_19_Em_FT,C11_F_15_19_Em_PT,C11_F_15_19_Em_AFW,C11_F_15_19_Em_Hrs_NS,C11_F_15_19_Em_Tot,C11_F_15_19_Unem_Look_FT,C11_F_15_19_Unem_Look_PT,C11_F_15_19_Unem_Tot,C11_F_15_19_Tot_LF,C11_F_15_19_Not_LF,C11_F_15_19_LF_NS,C11_F_15_19_Tot,C11_F_20_24_Em_FT,C11_F_20_24_Em_PT,C11_F_20_24_Em_AFW,C11_F_20_24_Em_Hrs_NS,C11_F_20_24_Em_Tot,C11_F_20_24_Unem_Look_FT,C11_F_20_24_Unem_Look_PT,C11_F_20_24_Unem_Tot,C11_F_20_24_Tot_LF,C11_F_20_24_Not_LF,C11_F_20_24_LF_NS,C11_F_20_24_Tot,C11_F_25_29_Em_FT,C11_F_25_29_Em_PT,C11_F_25_29_Em_AFW,C11_F_25_29_Em_Hrs_NS,C11_F_25_29_Em_Tot,C11_F_25_29_Unem_Look_FT,C11_F_25_29_Unem_Look_PT,C11_F_25_29_Unem_Tot,C11_F_25_29_Tot_LF,C11_F_25_29_Not_LF,C11_F_25_29_LF_NS,C11_F_25_29_Tot,C11_F_30_34_Em_FT,C11_F_30_34_Em_PT,C11_F_30_34_Em_AFW,C11_F_30_34_Em_Hrs_NS,C11_F_30_34_Em_Tot,C11_F_30_34_Unem_Look_FT,C11_F_30_34_Unem_Look_PT,C11_F_30_34_Unem_Tot,C11_F_30_34_Tot_LF,C11_F_30_34_Not_LF,C11_F_30_34_LF_NS,C11_F_30_34_Tot,C11_F_35_39_Em_FT,C11_F_35_39_Em_PT,C11_F_35_39_Em_AFW,C11_F_35_39_Em_Hrs_NS,C11_F_35_39_Em_Tot,C11_F_35_39_Unem_Look_FT,C11_F_35_39_Unem_Look_PT,C11_F_35_39_Unem_Tot,C11_F_35_39_Tot_LF,C11_F_35_39_Not_LF,C11_F_35_39_LF_NS,C11_F_35_39_Tot,C11_F_40_44_Em_FT,C11_F_40_44_Em_PT,C11_F_40_44_Em_AFW,C11_F_40_44_Em_Hrs_NS,C11_F_40_44_Em_Tot,C11_F_40_44_Unem_Look_FT,C11_F_40_44_Unem_Look_PT,C11_F_40_44_Unem_Tot,C11_F_40_44_Tot_LF,C11_F_40_44_Not_LF,C11_F_40_44_LF_NS,C11_F_40_44_Tot,C11_F_45_49_Em_FT,C11_F_45_49_Em_PT,C11_F_45_49_Em_AFW,C11_F_45_49_Em_Hrs_NS,C11_F_45_49_Em_Tot,C11_F_45_49_Unem_Look_FT,C11_F_45_49_Unem_Look_PT,C11_F_45_49_Unem_Tot,C11_F_45_49_Tot_LF,C11_F_45_49_Not_LF,C11_F_45_49_LF_NS,C11_F_45_49_Tot,C11_F_50_54_Em_FT,C11_F_50_54_Em_PT,C11_F_50_54_Em_AFW,C11_F_50_54_Em_Hrs_NS,C11_F_50_54_Em_Tot,C11_F_50_54_Unem_Look_FT,C11_F_50_54_Unem_Look_PT,C11_F_50_54_Unem_Tot,C11_F_50_54_Tot_LF,C11_F_50_54_Not_LF,C11_F_50_54_LF_NS,C11_F_50_54_Tot
5GPER,59610,1637,338,1977,61587,5209,4366,71155,47314,6693,1806,797,56611,1710,347,2056,58672,5761,4036,68465,45064,6829,1950,697,54541,1741,393,2134,56675,6771,3914,67358,37827,7340,2131,575,47864,1578,450,2028,49897,8483,3364,61737,25677,8123,1908,397,36100,1408,578,1988,38091,14499,2714,55301,10031,6924,979,193,18122,454,422,873,18999,26878,2118,47993,2830,4170,324,113,7445,85,177,265,7703,33148,1805,42656,960,2346,169,134,3614,34,65,96,3709,55318,4866,63892,402013,118616,19718,9492,549839,19177,11420,30595,580432,210306,48205,838947,5695,19916,1131,869,27610,1425,2663,4092,31699,23134,2624,57461,23226,17899,1789,961,43875,1685,1705,3388,47270,12624,3263,63159,29696,12601,2310,599,45207,1250,1068,2318,47524,13558,3583,64665,20852,15164,2917,500,39442,903,1100,2005,41449,15989,3152,60585,17852,19878,2297,614,40643,836,1194,2025,42666,16841,2944,62448,20609,22776,1772,689,45841,894,1227,2119,47960,13818,2822,64605,23013,20862,1776,672,46322,853,869,1723,48046,11291,2495,61830,22030,17807,1924,593,42356,683,660,1341,43703,11694,2312,57706
5RWAU,13086,377,105,480,13565,1656,2256,17476,11121,1482,711,249,13558,370,93,461,14020,1780,2314,18113,11133,1728,850,253,13959,352,112,464,14423,2082,2366,18866,10215,1997,932,232,13376,361,111,476,13853,2710,2150,18715,7922,2417,813,177,11320,309,153,465,11784,4516,1826,18136,3479,1910,466,81,5943,98,104,200,6150,8070,1377,15587,1266,1155,174,85,2682,10,34,49,2730,9682,1163,13572,640,795,114,126,1674,4,19,24,1701,14086,1921,17705,97240,23093,7261,2951,130548,4081,1820,5900,136444,57261,25497,219201,2143,3980,306,254,6677,452,416,871,7547,5690,931,14169,5336,2404,405,199,8347,404,232,636,8980,3282,1119,13384,5972,3086,658,164,9883,295,253,545,10428,4429,1287,16149,4340,4255,711,165,9477,276,283,549,10024,4872,1196,16095,4721,5594,622,187,11124,273,283,555,11671,4542,1313,17530,5887,6110,581,227,12807,303,290,589,13404,3617,1197,18213,6563,5381,588,208,12744,278,201,479,13221,3038,1099,17356,6425,5051,711,217,12407,206,139,342,12754,3338,1026,17115
59499,99,24,3,32,126,54,296,476,56,10,14,0,79,24,4,27,110,59,265,433,59,13,5,3,80,14,3,18,93,66,245,404,39,13,8,0,59,14,5,19,74,83,175,330,31,22,3,0,59,8,0,16,69,120,154,339,9,8,3,0,23,5,0,5,27,155,82,268,0,0,0,0,5,0,0,0,5,104,67,176,0,0,0,0,0,0,0,0,3,72,58,132,572,210,95,18,899,179,45,227,1125,990,2132,4247,10,22,0,0,28,11,9,24,55,35,27,106,88,44,7,0,138,17,9,27,165,72,34,278,116,51,14,3,185,25,4,32,212,75,46,333,87,33,12,6,133,12,15,17,156,99,44,294,46,21,5,0,75,7,5,14,80,79,51,212,53,18,7,9,78,20,7,19,100,63,41,200,43,29,15,0,85,15,0,19,109,49,24,180,53,31,12,0,100,11,3,15,111,94,32,236
59799,41,0,0,0,39,0,36,79,22,0,0,0,30,0,0,0,30,0,23,51,24,0,0,0,27,0,0,0,27,5,24,48,8,0,4,0,13,0,0,5,15,0,11,26,12,0,4,0,16,0,0,0,16,0,11,27,3,0,0,0,3,0,0,0,3,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,14,9,5,246,5,0,3,252,12,195,455,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,8,3,0,0,0,5,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
