GCCSA_CODE_2021,Age_0_C11_M,Age_0_C11_F,Age_0_C11_P,Age_0_C16_M,Age_0_C16_F,Age_0_C16_P,Age_0_C21_M,Age_0_C21_F,Age_0_C21_P,Age_1_C11_M,Age_1_C11_F,Age_1_C11_P,Age_1_C16_M,Age_1_C16_F,Age_1_C16_P,Age_1_C21_M,Age_1_C21_F,Age_1_C21_P,Age_2_C11_M,Age_2_C11_F,Age_2_C11_P,Age_2_C16_M,Age_2_C16_F,Age_2_C16_P,Age_2_C21_M,Age_2_C21_F,Age_2_C21_P,Age_3_C11_M,Age_3_C11_F,Age_3_C11_P,Age_3_C16_M,Age_3_C16_F,Age_3_C16_P,Age_3_C21_M,Age_3_C21_F,Age_3_C21_P,Age_4_C11_M,Age_4_C11_F,Age_4_C11_P,Age_4_C16_M,Age_4_C16_F,Age_4_C16_P,Age_4_C21_M,Age_4_C21_F,Age_4_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_C11_M,Age_5_C11_F,Age_5_C11_P,Age_5_C16_M,Age_5_C16_F,Age_5_C16_P,Age_5_C21_M,Age_5_C21_F,Age_5_C21_P,Age_6_C11_M,Age_6_C11_F,Age_6_C11_P,Age_6_C16_M,Age_6_C16_F,Age_6_C16_P,Age_6_C21_M,Age_6_C21_F,Age_6_C21_P,Age_7_C11_M,Age_7_C11_F,Age_7_C11_P,Age_7_C16_M,Age_7_C16_F,Age_7_C16_P,Age_7_C21_M,Age_7_C21_F,Age_7_C21_P,Age_8_C11_M,Age_8_C11_F,Age_8_C11_P,Age_8_C16_M,Age_8_C16_F,Age_8_C16_P,Age_8_C21_M,Age_8_C21_F,Age_8_C21_P,Age_9_C11_M,Age_9_C11_F,Age_9_C11_P,Age_9_C16_M,Age_9_C16_F,Age_9_C16_P,Age_9_C21_M,Age_9_C21_F,Age_9_C21_P,Age_5_9_C11_M,Age_5_9_C11_F,Age_5_9_C11_P,Age_5_9_C16_M,Age_5_9_C16_F,Age_5_9_C16_P,Age_5_9_C21_M,Age_5_9_C21_F,Age_5_9_C21_P,Age_10_C11_M,Age_10_C11_F,Age_10_C11_P,Age_10_C16_M,Age_10_C16_F,Age_10_C16_P,Age_10_C21_M,Age_10_C21_F,Age_10_C21_P,Age_11_C11_M,Age_11_C11_F,Age_11_C11_P,Age_11_C16_M,Age_11_C16_F,Age_11_C16_P,Age_11_C21_M,Age_11_C21_F,Age_11_C21_P,Age_12_C11_M,Age_12_C11_F,Age_12_C11_P,Age_12_C16_M,Age_12_C16_F,Age_12_C16_P,Age_12_C21_M,Age_12_C21_F,Age_12_C21_P,Age_13_C11_M,Age_13_C11_F,Age_13_C11_P,Age_13_C16_M,Age_13_C16_F,Age_13_C16_P,Age_13_C21_M,Age_13_C21_F,Age_13_C21_P,Age_14_C11_M,Age_14_C11_F,Age_14_C11_P,Age_14_C16_M,Age_14_C16_F,Age_14_C16_P,Age_14_C21_M,Age_14_C21_F,Age_14_C21_P,Age_10_14_C11_M,Age_10_14_C11_F,Age_10_14_C11_P,Age_10_14_C16_M,Age_10_14_C16_F,Age_10_14_C16_P,Age_10_14_C21_M,Age_10_14_C21_F,Age_10_14_C21_P,Age_15_C11_M,Age_15_C11_F,Age_15_C11_P,Age_15_C16_M,Age_15_C16_F,Age_15_C16_P,Age_15_C21_M,Age_15_C21_F,Age_15_C21_P,Age_16_C11_M,Age_16_C11_F,Age_16_C11_P,Age_16_C16_M,Age_16_C16_F,Age_16_C16_P,Age_16_C21_M,Age_16_C21_F,Age_16_C21_P,Age_17_C11_M,Age_17_C11_F,Age_17_C11_P,Age_17_C16_M,Age_17_C16_F,Age_17_C16_P,Age_17_C21_M,Age_17_C21_F,Age_17_C21_P,Age_18_C11_M,Age_18_C11_F,Age_18_C11_P,Age_18_C16_M,Age_18_C16_F,Age_18_C16_P,Age_18_C21_M,Age_18_C21_F,Age_18_C21_P,Age_19_C11_M,Age_19_C11_F
5GPER,11536,11091,22633,12701,11919,24628,12764,12130,24898,11900,11215,23114,13305,12384,25685,13067,12405,25476,11789,10859,22650,12942,12545,25487,13294,12528,25818,11802,11361,23162,13173,12415,25589,13570,12768,26343,12050,11204,23252,12916,12406,25318,14009,13062,27076,59082,55737,114820,65037,61673,126714,66701,62896,129598,11557,11042,22599,13000,12632,25630,14331,13395,27722,11073,10418,21490,13156,12356,25508,14006,13122,27131,11067,10248,21317,12932,12028,24952,13795,13322,27114,10729,10376,21104,13076,12437,25514,14028,13364,27397,10596,10096,20689,12981,12241,25220,13729,13322,27051,55029,52174,107197,65141,61692,126831,69895,66521,136414,10937,10447,21384,12566,11867,24437,13886,13347,27237,11018,10502,21514,12017,11333,23348,13924,13153,27074,11519,10979,22498,12114,11285,23410,13901,12789,26698,11508,10944,22455,11641,11329,22971,13982,13314,27296,11618,10914,22532,11628,11001,22627,13933,12985,26921,56599,53788,110391,59967,56816,116785,69632,65588,135222,11895,11185,23084,11993,11398,23393,13309,12596,25906,12006,11336,23344,11977,11623,23594,12768,11988,24753,12011,11391,23410,12292,11712,24001,12570,11723,24293,12039,11581,23617,12287,11694,23988,12130,11937,24064,12330,11962
5RWAU,3524,3210,6734,3366,3071,6438,3043,2851,5897,3707,3547,7248,3605,3433,7032,3248,3058,6301,3731,3459,7185,3675,3433,7105,3337,3067,6395,3755,3594,7345,3749,3413,7167,3351,3193,6541,3933,3732,7665,3644,3465,7111,3428,3289,6717,18645,17532,36179,18035,16819,34855,16402,15458,31859,3707,3662,7366,3830,3427,7254,3649,3421,7074,3632,3491,7120,3744,3674,7411,3696,3430,7125,3569,3378,6947,3799,3532,7335,3759,3550,7308,3453,3392,6846,3782,3739,7518,3724,3477,7205,3604,3480,7080,3920,3746,7665,3765,3500,7268,17966,17403,35366,19067,18110,37186,18591,17389,35974,3736,3541,7280,3697,3691,7385,3799,3436,7240,3690,3611,7296,3560,3370,6927,3749,3651,7399,3853,3500,7354,3433,3157,6590,3594,3474,7069,3556,3253,6805,3255,3178,6437,3631,3463,7102,3487,3290,6781,3337,3248,6585,3622,3517,7137,18316,17189,35507,17279,16641,33922,18396,17547,35939,3491,3129,6626,3417,3115,6527,3414,3352,6770,3428,3154,6585,3332,3159,6493,3303,3026,6333,3307,2948,6259,3403,3012,6415,3234,2969,6207,3029,2598,5626,2889,2537,5435,2841,2552,5394,2795,2337
59499,29,23,47,14,20,39,24,32,53,34,25,54,17,12,28,27,31,58,25,30,61,11,21,32,45,31,73,13,28,42,19,11,32,23,32,53,26,30,56,19,16,32,29,24,63,126,132,259,81,79,163,149,153,300,25,24,48,14,12,26,30,28,60,18,22,36,14,18,32,21,24,46,16,11,28,20,15,31,27,25,53,26,21,46,13,9,22,28,27,57,26,17,49,12,12,30,25,20,49,109,96,204,66,69,136,132,127,259,16,13,33,14,15,22,38,35,67,15,13,26,12,6,25,13,24,40,14,15,32,6,7,16,15,15,27,17,11,24,13,4,17,33,12,44,8,13,28,6,10,21,21,20,41,68,71,141,53,44,96,116,101,212,16,13,23,6,8,19,17,20,38,18,18,30,14,7,20,11,25,42,24,25,52,13,12,21,20,28,52,29,21,46,18,14,35,22,44,71,39,37
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,0
