GCCSA_CODE_2021,C16_M_Health_15_19,C16_M_Health_20_24,C16_M_Health_25_34,C16_M_Health_35_44,C16_M_Health_45_54,C16_M_Health_55_64,C16_M_Health_65_74,C16_M_Health_75_84,C16_M_Health_85over,C16_M_Health_Tot,C16_M_Educ_15_19,C16_M_Educ_20_24,C16_M_Educ_25_34,C16_M_Educ_35_44,C16_M_Educ_45_54,C16_M_Educ_55_64,C16_M_Educ_65_74,C16_M_Educ_75_84,C16_M_Educ_85over,C16_M_Educ_Tot,C16_M_MngtCom_15_19,C16_M_MngtCom_20_24,C16_M_MngtCom_25_34,C16_M_MngtCom_35_44,C16_M_MngtCom_45_54,C16_M_MngtCom_55_64,C16_M_MngtCom_65_74,C16_M_MngtCom_75_84,C16_M_MngtCom_85over,C16_M_MngtCom_Tot,C16_M_Soc_cult_15_19,C16_M_Soc_cult_20_24,C16_M_Soc_cult_25_34,C16_M_Soc_cult_35_44,C16_M_Soc_cult_45_54,C16_M_Soc_cult_55_64,C16_M_Soc_cult_65_74,C16_M_Soc_cult_75_84,C16_M_Soc_cult_85over,C16_M_Soc_cult_Tot,C16_M_Creative_art_15_19,C16_M_Creative_art_20_24,C16_M_Creative_art_25_34,C16_M_Creative_art_35_44,C16_M_Creative_art_45_54,C16_M_Creative_art_55_64,C16_M_Creative_art_65_74,C16_M_Creative_art_75_84,C16_M_Creative_art_85over,C16_M_Creative_art_Tot,C16_M_FoodHos_PS_15_19,C16_M_FoodHos_PS_20_24,C16_M_FoodHos_PS_25_34,C16_M_FoodHos_PS_35_44,C16_M_FoodHos_PS_45_54,C16_M_FoodHos_PS_55_64,C16_M_FoodHos_PS_65_74,C16_M_FoodHos_PS_75_84,C16_M_FoodHos_PS_85over,C16_M_Foodhos_PS_Tot,C16_M_MixFld_pr_15_19,C16_M_MixFld_pr_20_24,C16_M_MixFld_pr_25_34,C16_M_MixFld_pr_35_44,C16_M_MixFld_pr_45_54,C16_M_MixFld_pr_55_64,C16_M_MixFld_pr_65_74,C16_M_MixFld_pr_75_84,C16_M_MixFld_pr_85overer,C16_M_MixFld_pr_Tot,C16_M_FldStu_ID_15_19,C16_M_FldStu_ID_20_24,C16_M_FldStu_ID_25_34,C16_M_FldStu_ID_35_44,C16_M_FldStu_ID_45_54,C16_M_FldStu_ID_55_64,C16_M_FldStu_ID_65_74,C16_M_FldStu_ID_75_84,C16_M_FldStu_ID_85over,C16_M_FldStu_ID_Tot,C16_M_FldStu_NS_15_19,C16_M_FldStu_NS_20_24,C16_M_FldStu_NS_25_34,C16_M_FldStu_NS_35_44,C16_M_FldStu_NS_45_54,C16_M_FldStu_NS_55_64,C16_M_FldStu_NS_65_74,C16_M_FldStu_NS_75_84,C16_M_FldStu_NS_85over,C16_M_FldStu_NS_Tot,C16_M_Tot_15_19,C16_M_Tot_20_24,C16_M_Tot_25_34,C16_M_Tot_35_44,C16_M_Tot_45_54,C16_M_Tot_55_64,C16_M_Tot_65_74,C16_M_Tot_75_84,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_NatPhy_sci_15_19,C21_M_NatPhy_sci_20_24,C21_M_NatPhy_sci_25_34,C21_M_NatPhy_sci_35_44,C21_M_NatPhy_sci_45_54,C21_M_NatPhy_sci_55_64,C21_M_NatPhy_sci_65_74,C21_M_NatPhy_sci_75_84,C21_M_NatPhy_sci_85over,C21_M_NatPhy_sci_Tot,C21_M_InfTec_15_19,C21_M_InfTec_20_24,C21_M_InfTec_25_34,C21_M_InfTec_35_44,C21_M_InfTec_45_54,C21_M_InfTec_55_64,C21_M_InfTec_65_74,C21_M_InfTec_75_84,C21_M_InfTec_85over,C21_M_InfTec_Tot,C21_M_EngRT_15_19,C21_M_EngRT_20_24,C21_M_EngRT_25_34,C21_M_EngRT_35_44,C21_M_EngRT_45_54,C21_M_EngRT_55_64,C21_M_EngRT_65_74,C21_M_EngRT_75_84,C21_M_EngRT_85over,C21_M_EngRT_Tot,C21_M_ArchBuild_15_19,C21_M_ArchBuild_20_24,C21_M_ArchBuild_25_34,C21_M_ArchBuild_35_44,C21_M_ArchBuild_45_54,C21_M_ArchBuild_55_64,C21_M_ArchBuild_65_74,C21_M_ArchBuild_75_84,C21_M_ArchBuild_85over,C21_M_ArchBuild_Tot,C21_M_AgEnv_RS_15_19,C21_M_AgEnv_RS_20_24,C21_M_AgEnv_RS_25_34,C21_M_AgEnv_RS_35_44,C21_M_AgEnv_RS_45_54,C21_M_AgEnv_RS_55_64,C21_M_AgEnv_RS_65_74,C21_M_AgEnv_RS_75_84,C21_M_AgEnv_RS_85over,C21_M_AgEnv_RS_Tot,C21_M_Health_15_19,C21_M_Health_20_24,C21_M_Health_25_34,C21_M_Health_35_44,C21_M_Health_45_54,C21_M_Health_55_64,C21_M_Health_65_74,C21_M_Health_75_84,C21_M_Health_85over,C21_M_Health_Tot,C21_M_Educ_15_19,C21_M_Educ_20_24,C21_M_Educ_25_34,C21_M_Educ_35_44,C21_M_Educ_45_54,C21_M_Educ_55_64,C21_M_Educ_65_74,C21_M_Educ_75_84,C21_M_Educ_85over,C21_M_Educ_Tot,C21_M_MngtCom_15_19,C21_M_MngtCom_20_24,C21_M_MngtCom_25_34,C21_M_MngtCom_35_44,C21_M_MngtCom_45_54,C21_M_MngtCom_55_64,C21_M_MngtCom_65_74,C21_M_MngtCom_75_84,C21_M_MngtCom_85over,C21_M_MngtCom_Tot,C21_M_Soc_cult_15_19,C21_M_Soc_cult_20_24,C21_M_Soc_cult_25_34,C21_M_Soc_cult_35_44,C21_M_Soc_cult_45_54,C21_M_Soc_cult_55_64,C21_M_Soc_cult_65_74,C21_M_Soc_cult_75_84,C21_M_Soc_cult_85over,C21_M_Soc_cult_Tot,C21_M_Creative_art_15_19,C21_M_Creative_art_20_24,C21_M_Creative_art_25_34,C21_M_Creative_art_35_44,C21_M_Creative_art_45_54,C21_M_Creative_art_55_64,C21_M_Creative_art_65_74,C21_M_Creative_art_75_84,C21_M_Creative_art_85over,C21_M_Creative_art_Tot
5GPER,95,1164,5280,4965,4393,3221,1860,833,286,22102,74,388,2150,2607,2977,3503,2287,1020,276,15287,723,4156,16839,16111,14179,9755,6194,2182,577,70727,650,2447,7257,6344,5395,4602,2959,1024,272,30951,443,1721,3665,2466,1577,1202,671,261,77,12086,257,1290,4995,3779,3104,1977,1182,480,121,17184,143,160,162,142,132,125,140,130,46,1181,58,313,1216,1271,1297,882,526,293,115,5963,4441,5826,15216,12217,10874,8512,6735,5142,2654,71608,9470,34286,114013,102081,91570,71404,47589,22847,7357,500627,37,1626,4058,4201,3951,3327,2563,1156,221,21139,376,1949,5555,7879,4337,2192,843,163,7,23298,1651,7729,33183,35003,30981,28436,21622,9917,2548,171068,722,2688,10683,9594,8213,7199,5468,2803,845,48209,119,550,1796,2230,2068,1681,1129,588,161,10328,172,1576,6500,6100,5262,4027,2549,1257,352,27792,154,532,2771,2933,3060,3480,3170,1532,390,18020,1416,5074,15810,20363,17088,12492,8499,3574,764,85078,1002,3157,8192,7761,6875,5342,4185,1731,356,38611,691,2307,4253,3402,2004,1307,995,346,84,15386
5RWAU,28,96,708,869,940,815,379,132,37,4008,11,84,553,762,899,1099,629,202,36,4277,144,305,1485,1918,1834,1511,979,268,67,8508,138,244,857,919,875,787,522,144,45,4530,48,132,327,289,237,234,166,47,12,1496,59,260,947,1101,988,611,361,119,29,4473,24,30,33,38,30,38,55,37,13,291,14,53,258,321,350,265,117,68,15,1461,2261,2048,6216,5716,5556,4641,3156,1838,717,32145,3759,7684,26360,26205,25270,21433,13306,5488,1552,131060,8,122,440,564,515,424,402,153,26,2653,86,218,476,471,274,197,111,24,0,1870,549,2160,8471,8790,8294,7714,5452,2106,443,43972,148,703,2640,2392,2044,2144,1610,670,159,12516,172,378,950,1367,1419,1268,900,389,91,6941,38,141,723,878,941,937,575,233,55,4518,31,89,519,767,952,1022,958,321,59,4721,261,450,1433,1975,2029,1783,1278,493,92,9794,149,329,913,998,934,912,734,260,57,5284,74,159,367,367,260,215,218,89,14,1755
59499,0,0,15,4,11,14,4,0,0,54,0,4,6,6,0,17,3,0,0,36,6,5,30,24,16,21,20,0,0,122,4,8,28,9,13,7,5,0,0,79,0,8,12,0,3,3,9,0,0,38,0,3,21,21,13,8,4,0,0,63,0,0,0,0,0,0,0,0,0,5,0,3,4,8,6,0,4,3,0,33,25,69,228,223,249,133,71,13,0,1020,34,157,591,447,459,370,234,33,4,2328,0,0,8,3,8,3,9,0,0,34,0,0,10,6,3,0,0,0,0,29,0,21,112,82,81,85,71,19,0,470,0,0,40,37,28,16,23,0,0,154,0,4,9,10,4,6,8,0,0,45,0,0,14,10,8,4,7,0,0,48,0,0,9,8,4,6,3,5,0,36,6,13,32,32,25,25,23,0,0,145,4,9,26,22,9,11,7,0,0,91,0,10,10,8,9,0,4,0,0,31
59799,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,11,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,3,8,10,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,30,17,21,6,0,0,0,79,0,11,100,94,78,27,4,3,0,317,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,18,46,27,15,5,0,0,116,0,0,7,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,4
