GCCSA_CODE_2021,C16_25_34_Need_asst_ns_P,C16_25_34_Tot_M,C16_25_34_Tot_F,C16_25_34_Tot_P,C16_35_44_Need_asst_M,C16_35_44_Need_asst_F,C16_35_44_Need_asst_P,C16_35_44_No_need_asst_M,C16_35_44_No_need_asst_F,C16_35_44_No_need_asst_P,C16_35_44_Need_asst_ns_M,C16_35_44_Need_asst_ns_F,C16_35_44_Need_asst_ns_P,C16_35_44_Tot_M,C16_35_44_Tot_F,C16_35_44_Tot_P,C16_45_54_Need_asst_M,C16_45_54_Need_asst_F,C16_45_54_Need_asst_P,C16_45_54_No_need_asst_M,C16_45_54_No_need_asst_F,C16_45_54_No_need_asst_P,C16_45_54_Need_asst_ns_M,C16_45_54_Need_asst_ns_F,C16_45_54_Need_asst_ns_P,C16_45_54_Tot_M,C16_45_54_Tot_F,C16_45_54_Tot_P,C16_55_64_Need_asst_M,C16_55_64_Need_asst_F,C16_55_64_Need_asst_P,C16_55_64_No_need_asst_M,C16_55_64_No_need_asst_F,C16_55_64_No_need_asst_P,C16_55_64_Need_asst_ns_M,C16_55_64_Need_asst_ns_F,C16_55_64_Need_asst_ns_P,C16_55_64_Tot_M,C16_55_64_Tot_F,C16_55_64_Tot_P,C16_65_74_Need_asst_M,C16_65_74_Need_asst_F,C16_65_74_Need_asst_P,C16_65_74_No_need_asst_M,C16_65_74_No_need_asst_F,C16_65_74_No_need_asst_P,C16_65_74_Need_asst_ns_M,C16_65_74_Need_asst_ns_F,C16_65_74_Need_asst_ns_P,C16_65_74_Tot_M,C16_65_74_Tot_F,C16_65_74_Tot_P,C16_75_84_Need_asst_M,C16_75_84_Need_asst_F,C16_75_84_Need_asst_P,C16_75_84_No_need_asst_M,C16_75_84_No_need_asst_F,C16_75_84_No_need_asst_P,C16_75_84_Need_asst_ns_M,C16_75_84_Need_asst_ns_F,C16_75_84_Need_asst_ns_P,C16_75_84_Tot_M,C16_75_84_Tot_F,C16_75_84_Tot_P,C16_85over_Need_asst_M,C16_85over_Need_asst_F,C16_85over_Need_asst_P,C16_85over_No_need_assist_M,C16_85over_No_need_assist_F,C16_85over_No_need_asst_P,C16_85over_Need_assist_ns_M,C16_85over_Need_assist_ns_F,C16_85over_Need_assist_ns_P,C16_85over_Tot_M,C16_85over_Tot_F,C16_85over_Tot_P,C16_Tot_Need_assist_M,C16_Tot_Need_assist_F,C16_Tot_Need_asst_P,C16_Tot_No_need_assist_M,C16_Tot_No_need_assist_F,C16_Tot_No_need_asst_P,C16_Tot_Need_assist_ns_M,C16_Tot_Need_assist_ns_F,C16_Tot_Need_assist_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Need_assist_M,C21_0_4_Need_assist_F,C21_0_4_Need_assist_P,C21_0_4_No_need_assist_M,C21_0_4_No_need_assist_F,C21_0_4_No_need_assist_P,C21_0_4_Need_assist_ns_M,C21_0_4_Need_assist_ns_F,C21_0_4_Need_assist_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_14_Need_assist_M,C21_5_14_Need_assist_F,C21_5_14_Need_assist_P,C21_5_14_No_need_assist_M,C21_5_14_No_need_assist_F,C21_5_14_No_need_assist_P,C21_5_14_Need_assist_ns_M,C21_5_14_Need_assist_ns_F,C21_5_14_Need_assist_ns_P,C21_5_14_Tot_M,C21_5_14_Tot_F,C21_5_14_Tot_P,C21_15_19_Need_assist_M,C21_15_19_Need_assist_F,C21_15_19_Need_assist_P,C21_15_19_No_need_assist_M,C21_15_19_No_need_assist_F,C21_15_19_No_need_assist_P,C21_15_19_Need_assist_ns_M,C21_15_19_Need_assist_ns_F,C21_15_19_Need_assist_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Need_assist_M,C21_20_24_Need_assist_F,C21_20_24_Need_assist_P,C21_20_24_No_need_assist_M,C21_20_24_No_need_assist_F,C21_20_24_No_need_assist_P,C21_20_24_Need_assist_ns_M,C21_20_24_Need_assist_ns_F,C21_20_24_Need_assist_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_34_Need_assist_M,C21_25_34_Need_assist_F,C21_25_34_Need_assist_P,C21_25_34_No_need_assist_M,C21_25_34_No_need_assist_F,C21_25_34_No_need_assist_P,C21_25_34_Need_assist_ns_M,C21_25_34_Need_assist_ns_F,C21_25_34_Need_assist_ns_P,C21_25_34_Tot_M,C21_25_34_Tot_F,C21_25_34_Tot_P,C21_35_44_Need_assist_M,C21_35_44_Need_assist_F,C21_35_44_Need_assist_P,C21_35_44_No_need_assist_M,C21_35_44_No_need_assist_F,C21_35_44_No_need_assist_P,C21_35_44_Need_assist_ns_M,C21_35_44_Need_assist_ns_F,C21_35_44_Need_assist_ns_P,C21_35_44_Tot_M,C21_35_44_Tot_F,C21_35_44_Tot_P,C21_45_54_Need_assist_M,C21_45_54_Need_assist_F,C21_45_54_Need_assist_P,C21_45_54_No_need_assist_M,C21_45_54_No_need_assist_F,C21_45_54_No_need_assist_P,C21_45_54_Need_assist_ns_M,C21_45_54_Need_assist_ns_F,C21_45_54_Need_assist_ns_P,C21_45_54_Tot_M,C21_45_54_Tot_F,C21_45_54_Tot_P,C21_55_64_Need_assist_M,C21_55_64_Need_assist_F,C21_55_64_Need_assist_P,C21_55_64_No_need_assist_M,C21_55_64_No_need_assist_F,C21_55_64_No_need_assist_P,C21_55_64_Need_assist_ns_M,C21_55_64_Need_assist_ns_F,C21_55_64_Need_assist_ns_P,C21_55_64_Tot_M,C21_55_64_Tot_F,C21_55_64_Tot_P,C21_65_74_Need_assist_M,C21_65_74_Need_assist_F,C21_65_74_Need_assist_P,C21_65_74_No_need_assist_M,C21_65_74_No_need_assist_F,C21_65_74_No_need_assist_P,C21_65_74_Need_assist_ns_M,C21_65_74_Need_assist_ns_F,C21_65_74_Need_assist_ns_P,C21_65_74_Tot_M,C21_65_74_Tot_F,C21_65_74_Tot_P,C21_75_84_Need_assist_M,C21_75_84_Need_assist_F,C21_75_84_Need_assist_P,C21_75_84_No_need_assist_M
5GPER,25008,153198,153488,306682,1907,2158,4071,122530,126482,249007,11038,8491,19529,135475,137131,272611,2848,3248,6093,115618,119604,235226,9593,7778,17367,128059,130630,258692,3954,4802,8750,91736,98118,189857,7458,6897,14359,103148,109817,212967,5403,5566,10970,63214,67276,130490,5373,5541,10912,73990,78383,152366,5898,8919,14821,27960,31833,59790,3248,4151,7395,37106,44903,82006,4525,10364,14895,6529,8395,14927,1623,3208,4831,12677,21967,34648,34371,40964,75340,857960,874848,1732806,71206,64509,135714,963537,980321,1943861,1021,593,1613,62852,59689,122538,2831,2613,5443,66704,62895,129598,6773,3252,10024,126830,123193,250028,5926,5666,11595,139529,132111,271642,2307,1509,3811,58211,56218,114432,2618,2455,5077,63136,60182,123315,1596,1166,2763,61464,61053,122515,4224,3119,7347,67284,65338,132631,2452,2277,4725,135145,144329,279481,11663,8037,19696,149260,154643,303907,2289,2625,4912,138718,145676,284391,10848,6769,17616,151855,155070,306917,3185,3776,6958,123729,129461,253184,8912,5511,14425,135826,138748,274565,4596,5628,10225,105770,112869,218644,6670,4647,11321,117036,123144,240188,6654,7572,14227,79896,87818,167711,4096,3911,8014,90646,99301,189951,8027,11353,19377,37413
5RWAU,9249,36869,34193,71056,527,580,1110,31624,30220,61835,5160,3284,8447,37311,34084,71401,870,1040,1913,33586,31353,64937,4877,3477,8348,39333,35870,75202,1455,1433,2883,29800,28249,58055,3979,3138,7115,35234,32820,68052,1870,1568,3438,20050,18538,38585,2469,2165,4632,24389,22271,46658,1540,2078,3617,8000,8003,15998,1155,1221,2379,10695,11302,21993,1089,2115,3208,1691,1891,3582,377,588,962,3157,4594,7749,9898,10259,20148,229434,218484,447916,31612,24488,56100,270944,253231,524170,190,131,325,14695,13959,28659,1507,1369,2871,16392,15459,31859,1660,844,2506,31721,30640,62367,3597,3445,7041,36978,34929,71916,571,308,882,13389,12689,26080,1456,1250,2711,15416,14247,29670,368,249,616,11288,10513,21802,1857,1323,3179,13513,12085,25595,580,507,1085,27794,28986,56774,5412,3544,8961,33786,33037,66822,559,648,1211,29928,31008,60934,5297,3419,8719,35784,35075,70860,868,1069,1934,31080,31033,62112,5039,3179,8225,36987,35281,72266,1435,1620,3056,31261,30739,62004,4147,2852,6999,36843,35211,72050,2045,2084,4133,24600,23359,47960,2516,2050,4562,29161,27493,56655,2197,2553,4742,10451
59499,365,768,537,1310,12,11,15,388,198,584,208,97,305,608,306,910,15,9,23,373,221,591,246,100,343,634,330,961,15,25,45,398,336,736,123,82,201,536,443,978,20,17,33,289,189,479,67,49,115,376,255,636,9,12,17,40,26,62,9,4,19,58,42,95,3,7,8,8,0,10,0,0,4,11,7,22,88,80,166,2476,1735,4209,974,599,1574,3538,2414,5950,6,0,5,113,108,218,38,39,77,157,147,300,10,6,16,181,182,367,51,46,95,242,234,473,9,5,7,69,85,156,40,58,100,118,148,261,12,4,21,160,147,304,124,104,235,296,255,562,11,9,26,424,426,852,385,256,641,820,691,1512,16,17,38,385,319,704,528,274,805,929,610,1543,16,20,33,311,225,538,518,224,739,845,469,1313,23,18,40,310,303,612,334,152,484,667,473,1144,26,13,35,273,216,491,144,86,229,443,315,758,3,4,10,61
59799,26,119,8,124,0,0,0,105,3,109,17,0,17,122,3,123,0,0,0,81,4,85,14,6,14,95,10,104,0,0,0,37,4,45,7,0,7,44,4,44,0,0,0,4,0,4,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,23,363,67,4,75,405,27,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,5,6,0,6,0,0,0,12,5,17,13,5,15,25,10,31,0,0,0,55,8,65,43,3,47,98,11,116,0,0,0,93,4,96,68,5,77,161,9,170,0,0,0,57,5,61,43,8,50,100,13,109,0,0,0,33,5,34,24,0,26,57,5,62,0,0,0,5,5,13,4,0,3,9,5,18,0,0,0,0
