GCCSA_CODE_2021,C16_P_25_29_Em_FT,C16_P_25_29_Em_PT,C16_P_25_29_Em_AFW,C16_P_25_29_Em_Hrs_NS,C16_P_25_29_Em_Tot,C16_P_25_29_Unem_Look_FT,C16_P_25_29_Unem_Look_PT,C16_P_25_29_Unem_Tot,C16_P_25_29_Tot_LF,C16_P_25_29_Not_LF,C16_P_25_29_LF_NS,C16_P_25_29_Tot,C16_P_30_34_Em_FT,C16_P_30_34_Em_PT,C16_P_30_34_Em_AFW,C16_P_30_34_Em_Hrs_NS,C16_P_30_34_Em_Tot,C16_P_30_34_Unem_Look_FT,C16_P_30_34_Unem_Look_PT,C16_P_30_34_Unem_Tot,C16_P_30_34_Tot_LF,C16_P_30_34_Not_LF,C16_P_30_34_LF_NS,C16_P_30_34_Tot,C16_P_35_39_Em_FT,C16_P_35_39_Em_PT,C16_P_35_39_Em_AFW,C16_P_35_39_Em_Hrs_NS,C16_P_35_39_Em_Tot,C16_P_35_39_Unem_Look_FT,C16_P_35_39_Unem_Look_PT,C16_P_35_39_Unem_Tot,C16_P_35_39_Tot_LF,C16_P_35_39_Not_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Not_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Not_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Not_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Not_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Not_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Not_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Not_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Em_FT,C16_P_75over_Em_PT,C16_P_75over_Emp_Aw_fr_w,C16_P_75over_Emp_Hou_w_ns,C16_P_75over_Em_Tot,C16_P_75over_Unem_Lo_ft_wor,C16_P_75over_Unem_Lo_pt_wor,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_Tot_Tot_labo_for,C16_P_Tot_Not_LF,C16_P_Tot_LF_NS,C16_P_Tot_Tot,C21_P_15_19_Em_FT,C21_P_15_19_Em_PT,C21_P_15_19_Em_AFW,C21_P_15_19_Em_Hrs_NS,C21_P_15_19_Em_Tot,C21_P_15_19_Unem_Look_FT,C21_P_15_19_Unem_Look_PT,C21_P_15_19_Unem_Tot,C21_P_15_19_Tot_LF,C21_P_15_19_Not_LF,C21_P_15_19_LF_NS,C21_P_15_19_Tot,C21_P_20_24_Em_FT,C21_P_20_24_Em_PT,C21_P_20_24_Em_AFW,C21_P_20_24_Em_Hrs_NS,C21_P_20_24_Em_Tot,C21_P_20_24_Unem_Look_FT,C21_P_20_24_Unem_Look_PT,C21_P_20_24_Unem_Tot,C21_P_20_24_Tot_LF,C21_P_20_24_Not_LF,C21_P_20_24_LF_NS,C21_P_20_24_Tot,C21_P_25_29_Em_FT,C21_P_25_29_Em_PT,C21_P_25_29_Em_AFW,C21_P_25_29_Em_Hrs_NS,C21_P_25_29_Em_Tot,C21_P_25_29_Unem_Look_FT,C21_P_25_29_Unem_Look_PT,C21_P_25_29_Unem_Tot,C21_P_25_29_Tot_LF,C21_P_25_29_Not_LF,C21_P_25_29_LF_NS,C21_P_25_29_Tot,C21_P_30_34_Em_FT,C21_P_30_34_Em_PT,C21_P_30_34_Em_AFW,C21_P_30_34_Em_Hrs_NS,C21_P_30_34_Em_Tot,C21_P_30_34_Unem_Look_FT,C21_P_30_34_Unem_Look_PT,C21_P_30_34_Unem_Tot,C21_P_30_34_Tot_LF,C21_P_30_34_Not_LF,C21_P_30_34_LF_NS,C21_P_30_34_Tot,C21_P_35_39_Em_FT,C21_P_35_39_Em_PT,C21_P_35_39_Em_AFW,C21_P_35_39_Em_Hrs_NS,C21_P_35_39_Em_Tot,C21_P_35_39_Unem_Look_FT,C21_P_35_39_Unem_Look_PT,C21_P_35_39_Unem_Tot
5GPER,74965,27282,4149,2041,108440,6283,3132,9416,117854,21481,11003,150333,78102,28395,5459,1857,113819,5502,2676,8175,121992,23761,10598,156351,66647,28408,3947,1523,100526,4741,2426,7174,107693,21545,8384,137621,67239,29436,2818,1476,100969,4865,2346,7217,108186,18914,7885,134982,69426,28547,2788,1477,102243,4957,1856,6817,109055,17446,7689,134190,63299,25556,2994,1220,93065,4466,1529,5994,99063,18268,7172,124500,50128,23407,3057,996,77579,3697,1460,5155,82738,23673,6601,113021,29901,20360,2538,660,53456,2625,1366,3993,57454,36524,5968,99948,10294,12088,1234,342,23961,408,566,972,24924,58366,5477,88769,2309,4890,407,197,7800,91,216,314,8111,50940,4546,63602,853,2384,200,200,3637,61,97,156,3791,99142,13724,116656,565146,306273,33646,15133,920201,48357,33126,81484,1001684,469291,102559,1573532,9836,44866,1891,900,57492,2318,9433,11752,69241,49683,4391,123315,45038,47636,3121,2150,97947,4337,4054,8393,106342,19600,6694,132631,73195,30761,4788,2416,111156,3881,2226,6110,117267,17956,8632,143850,81170,33252,7414,2368,124199,3155,2145,5304,129503,21453,9095,160051,83404,36942,6026,1912,128288,3013,1976,4992
5RWAU,16115,4693,1196,422,22423,1203,456,1661,24085,5835,3917,33836,16830,6365,1582,473,25252,1042,514,1553,26804,6340,4079,37228,16041,6798,1178,428,24444,1028,442,1471,25910,5442,3552,34906,17556,7501,1007,470,26534,1069,463,1529,28064,4811,3615,36492,18726,7384,1192,513,27814,1055,367,1429,29242,4868,3713,37816,18015,6883,1335,504,26737,1102,346,1446,28183,5490,3714,37383,15440,6812,1454,419,24120,920,405,1322,25446,7329,3572,36346,9393,5841,1162,302,16693,631,388,1021,17712,11031,2964,31707,3649,3352,537,179,7710,91,141,236,7953,17026,2567,27542,1151,1582,214,111,3062,24,50,72,3133,14113,1870,19114,666,933,124,157,1886,9,19,28,1911,23937,3895,29750,148695,69861,12047,4822,235428,10777,5254,16033,251462,124293,42446,418203,4368,8952,612,395,14326,655,1124,1784,16104,10954,2609,29670,11217,4678,765,509,17168,874,431,1302,18463,4139,2989,25595,14801,4929,1291,554,21571,703,348,1049,22615,4857,3918,31391,15876,6591,1742,530,24737,595,351,940,25680,5546,4202,35428,16697,7854,1458,510,26516,520,349,868
59499,228,80,20,8,333,58,12,68,405,116,182,701,185,49,22,12,268,40,4,47,314,118,173,608,117,39,18,10,181,32,5,37,215,98,136,450,103,29,17,3,150,35,11,45,190,98,166,454,99,32,19,3,156,40,3,40,199,79,173,454,98,35,11,3,150,34,8,43,194,151,161,509,112,47,7,0,165,31,12,41,204,184,109,503,62,30,11,4,101,25,9,33,136,256,83,473,20,12,5,0,36,0,0,0,36,319,84,440,0,4,0,0,4,0,0,0,6,143,32,185,0,0,0,0,0,0,0,0,3,92,20,114,1143,435,141,60,1772,352,91,446,2217,1846,1490,5558,16,33,0,3,53,13,13,24,72,89,98,261,90,73,17,4,185,31,18,48,235,93,230,562,176,64,18,7,260,45,13,60,314,120,310,744,152,64,28,9,246,27,9,39,282,142,342,773,100,52,36,3,193,29,12,42
59799,35,0,0,0,36,0,0,0,37,0,5,49,57,0,0,0,63,0,0,0,63,0,15,83,43,0,5,0,49,0,0,0,50,0,10,62,46,4,3,0,51,0,0,0,51,5,7,63,40,4,0,0,43,0,0,0,43,0,14,57,33,0,4,0,36,0,0,0,36,0,7,45,22,0,3,0,20,0,0,0,20,0,3,26,12,0,0,0,12,0,0,0,12,4,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,301,16,13,7,332,3,0,3,337,22,75,431,0,0,0,0,5,0,0,0,5,0,3,6,20,0,0,0,17,0,0,0,17,0,15,31,32,0,4,0,36,0,0,0,36,0,24,54,30,0,0,0,32,0,0,0,32,0,22,54,45,4,0,4,52,0,0,0
