GCCSA_CODE_2021,C21_Aus_Bplace_NS,C21_Aus_Tot_resp,C21_Aus_Ab_BP_B_OS,C21_Aus_Ab_Fa_O_B_OS,C21_Aus_Ab_Mo_O_B_OS,C21_Aus_Ab_BP_B_Aus,C21_Aus_Abor_Bplace_NS,C21_Aus_Abor_Tot_respons,C21_Chi_BP_B_OS,C21_Chi_Fa_O_B_OS,C21_Chi_Mo_O_B_OS,C21_Chi_BP_B_Aus,C21_Chi_Bplace_NS,C21_Chi_Tot_resp,C21_Cro_BP_B_OS,C21_Cro_Fa_O_B_OS,C21_Cro_Mo_O_B_OS,C21_Cro_BP_B_Aus,C21_Cro_Bplace_NS,C21_Cro_Tot_resp,C21_Dut_BP_B_OS,C21_Dut_Fa_O_B_OS,C21_Dut_Mo_O_B_OS,C21_Dut_BP_B_Aus,C21_Dut_Bplace_NS,C21_Dut_Tot_resp,C21_Eng_BP_B_OS,C21_Eng_Fa_O_B_OS,C21_Eng_Mo_O_B_OS,C21_Eng_BP_B_Aus,C21_Eng_Bplace_NS,C21_Eng_Tot_resp,C21_Fil_BP_B_OS,C21_Fil_Fa_O_B_OS,C21_Fil_Mo_O_B_OS,C21_Fil_BP_B_Aus,C21_Fil_Bplace_NS,C21_Fil_Tot_resp,C21_Fre_BP_B_OS,C21_Fre_Fa_O_B_OS,C21_Fre_Mo_O_B_OS,C21_Fre_BP_B_Aus,C21_Fre_Bplace_NS,C21_Fre_Tot_resp,C21_Ger_BP_B_OS,C21_Ger_Fa_O_B_OS,C21_Ger_Mo_O_B_OS,C21_Ger_BP_B_Aus,C21_Ger_Bplace_NS,C21_Ger_Tot_resp,C21_Gre_BP_B_OS,C21_Gre_Fa_O_B_OS,C21_Gre_Mo_O_B_OS,C21_Gre_BP_B_Aus,C21_Gre_Bplace_NS,C21_Gre_Tot_resp,C21_Hun_BP_B_OS,C21_Hun_Fa_O_B_OS,C21_Hun_Mo_O_B_OS,C21_Hun_BP_B_Aus,C21_Hun_Bplace_NS,C21_Hun_Tot_resp,C21_Ind_BP_B_OS,C21_Ind_Fa_O_B_OS,C21_Ind_Mo_O_B_OS,C21_Ind_BP_B_Aus,C21_Ind_Bplace_NS,C21_Ind_Tot_resp,C21_Iri_BP_B_OS,C21_Iri_Fa_O_B_OS,C21_Iri_Mo_O_B_OS,C21_Iri_BP_B_Aus,C21_Iri_Bplace_NS,C21_Iri_Tot_resp,C21_Ita_BP_B_OS,C21_Ita_Fa_O_B_OS,C21_Ita_Mo_O_B_OS,C21_Ita_BP_B_Aus,C21_Ita_Bplace_NS,C21_Ita_Tot_resp,C21_Kor_BP_B_OS,C21_Kor_Fa_O_B_OS,C21_Kor_Mo_O_B_OS,C21_Kor_BP_B_Aus,C21_Kor_Bplace_NS,C21_Kor_Tot_resp,C21_Leb_BP_B_OS,C21_Leb_Fa_O_B_OS,C21_Leb_Mo_O_B_OS,C21_Leb_BP_B_Aus,C21_Leb_Bplace_NS,C21_Leb_Tot_resp,C21_Mac_BP_B_OS,C21_Mac_Fa_O_B_OS,C21_Mac_Mo_O_B_OS,C21_Mac_BP_B_Aus,C21_Mac_Bplace_NS,C21_Mac_Tot_resp,C21_Mal_BP_B_OS,C21_Mal_Fa_O_B_OS,C21_Mal_Mo_O_B_OS,C21_Mal_BP_B_Aus,C21_Mal_Bplace_NS,C21_Mal_Tot_resp,C21_Mao_BP_B_OS,C21_Mao_Fa_O_B_OS,C21_Mao_Mo_O_B_OS,C21_Mao_BP_B_Aus,C21_Mao_Bplace_NS,C21_Mao_Tot_resp,C21_NZ_BP_B_OS,C21_NZ_Fa_O_B_OS,C21_NZ_Mo_O_B_OS,C21_NZ_BP_B_Aus,C21_NZ_Bplace_NS,C21_NZ_Tot_resp,C21_Pol_BP_B_OS,C21_Pol_Fa_O_B_OS,C21_Pol_Mo_O_B_OS,C21_Pol_BP_B_Aus,C21_Pol_Bplace_NS,C21_Pol_Tot_resp,C21_Rus_BP_B_OS,C21_Rus_Fa_O_B_OS,C21_Rus_Mo_O_B_OS,C21_Rus_BP_B_Aus,C21_Rus_Birthplac_ns,C21_Rus_Tot_resp,C21_Sam_BP_B_OS,C21_Sam_Fa_O_B_OS,C21_Sam_Mo_O_B_OS,C21_Sam_BP_B_Aus,C21_Sam_Birthplac_ns,C21_Sam_Tot_resp,C21_Sco_BP_B_OS,C21_Sco_Fa_O_B_OS,C21_Sco_Mo_O_B_OS,C21_Sco_BP_B_Aus,C21_Sco_Birthplac_ns,C21_Sco_Tot_resp,C21_Ser_BP_B_OS,C21_Ser_Fa_O_B_OS,C21_Ser_Mo_O_B_OS,C21_Ser_BP_B_Aus,C21_Ser_Bplace_NS,C21_Ser_Tot_resp,C21_SAf_BP_B_OS,C21_SAf_Fa_O_B_OS,C21_SAf_Mo_O_B_OS,C21_SAf_BP_B_Aus,C21_SAf_Bplace_NS,C21_SAf_Tot_resp,C21_Span_BP_B_OS,C21_Span_Fa_O_B_OS,C21_Span_Mo_O_B_OS,C21_Span_BP_B_Aus,C21_Span_Bplace_NS,C21_Span_Tot_resp,C21_SriL_BP_B_OS,C21_SriL_Fa_O_B_OS,C21_SriL_Mo_O_B_OS,C21_SriL_BP_B_Aus,C21_SriL_Bplace_NS,C21_SriL_Tot_resp,C21_Viet_BP_B_OS,C21_Viet_Fa_O_B_OS,C21_Viet_Mo_O_B_OS,C21_Viet_BP_B_Aus,C21_Viet_Bplace_NS,C21_Viet_Tot_resp,C21_Wel_BP_B_OS,C21_Wel_Fa_O_B_OS,C21_Wel_Mo_O_B_OS,C21_Wel_BP_B_Aus,C21_Wel_Bplace_NS,C21_Wel_Tot_resp,C21_Oth_BP_B_OS,C21_Oth_Fa_O_B_OS,C21_Oth_Mo_O_B_OS,C21_Oth_BP_B_Aus,C21_Oth_Bplace_NS,C21_Oth_Tot_resp,C21_Anc_ns_BP_B_OS,C21_Anc_ns_Fa_O_B_OS,C21_Anc_ns_Mo_O_B_OS,C21_Anc_ns_BP_B_Aus,C21_Anc_ns_Bplace_NS,C21_Anc_NS_Tot_resp,C21_Tot_P_BP_B_OS,C21_Tot_P_Fa_O_B_OS,C21_Tot_P_Mo_O_B_OS,C21_Tot_P_BP_B_Aus,C21_Tot_P_Bplace_NS,C21_Tot_P_Tot_resp
5GPER,4560,593241,599,2851,1808,33096,699,39043,102154,2279,4319,3014,527,112289,9569,2727,1464,7814,148,21726,21543,5949,3993,10774,196,42454,304815,85852,68685,319755,5836,784948,34649,547,2731,604,138,38668,9828,1130,966,2538,72,14540,24378,5401,4484,25445,395,60102,6041,2067,1080,5304,75,14572,3131,566,375,870,34,4976,67443,2325,1649,1768,197,73386,71162,15660,11512,87365,1093,186796,46515,15262,7469,46641,652,116535,7547,117,413,119,16,8216,1920,443,251,531,11,3154,6437,1115,699,2313,60,10629,2022,711,390,1396,30,4543,18917,2601,1698,805,199,24208,13426,5196,3098,1504,119,23348,12041,1931,1589,4260,106,19925,4514,374,619,785,43,6332,2317,318,106,63,20,2827,71908,17927,13884,79086,990,183804,6473,577,358,661,39,8106,23979,2267,1965,600,101,28910,7800,648,569,1793,56,10875,5505,483,316,367,31,6700,20696,515,945,417,70,22652,11979,2075,1468,4285,70,19882,252156,19680,19541,21284,2000,314651,12343,1031,861,5445,96446,116128,985194,169557,134620,716031,111245,2116647
5RWAU,2199,194224,117,1536,719,38420,876,41659,3343,167,279,665,41,4493,716,325,182,1112,29,2354,4781,1499,970,2961,80,10284,51557,20098,16936,122758,2537,213880,7015,93,706,197,53,8069,1586,187,193,728,11,2715,5217,1347,1299,9957,164,17986,464,213,103,732,7,1524,373,111,55,168,6,718,3274,216,139,306,14,3941,10037,3432,2636,29500,404,46010,5328,2367,1079,11575,176,20529,423,8,60,14,5,505,157,27,16,63,0,264,302,83,55,252,5,691,248,134,60,250,0,691,5019,745,600,299,103,6765,3159,1406,885,489,54,6000,1682,395,327,1176,27,3611,503,52,97,208,13,869,424,42,24,24,4,515,12197,4217,3481,27967,380,48239,298,46,28,77,0,455,3470,380,343,150,15,4351,992,101,88,501,9,1692,281,39,50,38,3,405,890,33,69,25,12,1023,1795,462,312,1316,16,3895,21176,3116,3196,6600,398,34481,1348,304,261,2783,51833,56517,119358,37283,30738,289608,57821,534804
59499,24,1746,6,8,6,354,25,402,51,0,0,8,0,67,13,3,0,8,0,28,52,12,9,13,0,89,602,174,149,916,17,1856,34,0,9,0,0,34,44,0,0,5,0,52,104,17,7,95,4,227,7,7,0,4,0,18,7,0,0,3,0,14,23,0,0,0,0,29,146,32,16,278,6,481,79,19,10,60,3,175,8,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,11,44,8,5,0,0,56,50,8,9,6,4,73,20,3,0,11,0,37,12,0,0,0,0,8,4,0,0,0,0,4,141,29,34,255,0,463,0,0,0,0,0,5,34,3,9,0,0,52,25,0,0,0,0,32,9,0,0,0,0,9,14,0,0,0,0,14,17,0,5,7,0,31,314,29,24,68,16,450,19,6,0,32,3432,3489,1481,314,268,2478,3512,8055
59799,3,76,0,0,0,7,0,7,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,49,11,4,50,0,116,16,0,0,0,0,13,4,0,0,0,0,4,8,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,0,36,7,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,17,7,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,11,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,3,4,0,44,12,0,0,0,218,228,169,17,10,115,221,514
